tradeDate,nav,change,changePercent
2022-08-31,7.543,-0.0097,-0.12843
2022-08-30,7.5527,0.0024,0.03179
2022-08-29,7.5503,-0.0195,-0.2576
2022-08-28,7.5698,-0.0151,-0.19908
2022-08-25,7.5849,0.0176,0.23258
2022-08-24,7.5673,0.0107,0.1416
2022-08-23,7.5566,0.0086,0.11394
2022-08-22,7.548,0.0234,0.31098
2022-08-21,7.5246,-0.0363,-0.4801
2022-08-18,7.5609,-0.0249,-0.32824
2022-08-17,7.5858,-0.0061,-0.08035
2022-08-16,7.5919,-0.0226,-0.2968
2022-08-15,7.6145,0.0077,0.10123
2022-08-14,7.6068,-0.0021,-0.0276
2022-08-11,7.6089,0.001,0.01314
2022-08-10,7.6079,0.0275,0.36278
2022-08-09,7.5804,0.0138,0.18238
2022-08-08,7.5666,0.0054,0.07142
2022-08-07,7.5612,0.0148,0.19612
2022-08-04,7.5464,-0.0076,-0.10061
2022-08-03,7.554,0.0162,0.21492
2022-08-02,7.5378,0.006,0.07966
2022-08-01,7.5318,-0.0092,-0.122
2022-07-31,7.541,0.0227,0.30193
2022-07-28,7.5183,0.0188,0.25068
2022-07-27,7.4995,0.0387,0.51871
2022-07-26,7.4608,0.0025,0.03352
2022-07-25,7.4583,0.004,0.05366
2022-07-24,7.4543,0.0279,0.37569
2022-07-21,7.4264,0.0234,0.31609
2022-07-20,7.403,0.0318,0.43141
2022-07-19,7.3712,0.0085,0.11545
2022-07-18,7.3627,-0.009,-0.12209
2022-07-17,7.3717,-0.0038,-0.05152
2022-07-14,7.3755,0.0022,0.02984
2022-07-13,7.3733,-0.0269,-0.3635
2022-07-12,7.4002,-0.038,-0.51088
2022-07-11,7.4382,-0.0317,-0.42437
2022-07-10,7.4699,-0.017,-0.22706
2022-07-07,7.4869,-0.0055,-0.07341
2022-07-06,7.4924,-0.0098,-0.13063
2022-07-05,7.5022,-0.1533,-2.00248
2022-07-04,7.6555,-0.0192,-0.25017
2022-06-30,7.6747,0.0152,0.19845
2022-06-29,7.6595,-0.0159,-0.20716
2022-06-28,7.6754,-0.0135,-0.17558
2022-06-27,7.6889,-0.0201,-0.26073
2022-06-26,7.709,-0.0007,-0.00908
2022-06-23,7.7097,0.0025,0.03244
2022-06-22,7.7072,-0.0071,-0.09204
2022-06-21,7.7143,-0.0043,-0.05571
