tradeDate,nav,change,changePercent
2022-08-30,12.4212,-0.0312,-0.25055
2022-08-29,12.4524,-0.0066,-0.05297
2022-08-28,12.459,0.072,0.58125
2022-08-25,12.387,0.0237,0.1917
2022-08-24,12.3633,-0.0018,-0.01456
2022-08-23,12.3651,0.0089,0.07203
2022-08-22,12.3562,0.0762,0.62052
2022-08-21,12.28,-0.0287,-0.23317
2022-08-18,12.3087,0.0171,0.13912
2022-08-17,12.2916,0.0133,0.10832
2022-08-16,12.2783,-0.0334,-0.27129
2022-08-15,12.3117,0.0239,0.1945
2022-08-14,12.2878,0.0525,0.42909
2022-08-11,12.2353,-0.0027,-0.02206
2022-08-10,12.238,-0.0037,-0.03022
2022-08-09,12.2417,0.0181,0.14807
2022-08-08,12.2236,-0.0044,-0.03598
2022-08-07,12.228,0.048,0.39409
2022-08-04,12.18,-0.0174,-0.14265
2022-08-03,12.1974,0.03,0.24656
2022-08-02,12.1674,0.0227,0.18691
2022-08-01,12.1447,-0.0072,-0.05925
2022-07-31,12.1519,0.0543,0.44885
2022-07-28,12.0976,0.0022,0.01819
2022-07-27,12.0954,0.0008,0.00661
2022-07-26,12.0946,0.0056,0.04632
2022-07-25,12.089,0.0099,0.08196
2022-07-24,12.0791,0.0103,0.08534
2022-07-21,12.0688,0.0176,0.14604
2022-07-20,12.0512,0.0219,0.18206
2022-07-19,12.0293,0.0319,0.26589
2022-07-18,11.9974,-0.0155,-0.12903
2022-07-17,12.0129,-0.0215,-0.17865
2022-07-14,12.0344,0.0335,0.27915
2022-07-13,12.0009,0.0203,0.16944
2022-07-12,11.9806,,
2022-07-11,12.013,0.0005,0.00416
2022-07-10,12.0125,0.0039,0.03248
2022-07-07,12.0086,-0.024,-0.19946
2022-07-06,12.0326,0.0292,0.24326
2022-07-05,12.0034,-0.0123,-0.10237
2022-07-04,12.0157,0.0048,0.03996
2022-07-03,12.0109,-0.0021,-0.01748
2022-06-30,12.013,0.0083,0.06914
2022-06-29,12.0047,-0.0151,-0.12563
2022-06-28,12.0198,-0.0067,-0.05571
2022-06-27,12.0265,-0.0018,-0.01496
2022-06-26,12.0283,-0.0082,-0.06813
2022-06-23,12.0365,-0.0026,-0.0216
2022-06-22,12.0391,-0.0128,-0.10621
2022-06-21,12.0519,,
2022-06-20,12.0209,0.0126,0.10493
2022-06-19,12.0083,-0.0082,-0.06824
2022-06-16,12.0165,-0.0084,-0.06986
2022-06-15,12.0249,-0.012,-0.09969
2022-06-14,12.0369,0.0179,0.14893
2022-06-13,12.019,-0.0202,-0.16779
2022-06-12,12.0392,-0.0269,-0.22294
2022-06-09,12.0661,-0.0448,-0.36991
2022-06-08,12.1109,0.0108,0.08926
2022-06-07,12.1001,-0.0013,-0.01074
2022-06-06,12.1014,0.0181,0.14979
2022-06-05,12.0833,-0.041,-0.33816
2022-06-01,12.1243,-0.0038,-0.03133
2022-05-31,12.1281,0.0537,0.44474
2022-05-30,12.0744,0.0113,0.09367
2022-05-29,12.0631,-0.0736,-0.60643
2022-05-26,12.1367,0.0041,0.03379
2022-05-25,12.1326,0.0738,0.612
2022-05-24,12.0588,0.0123,0.1021
2022-05-23,12.0465,0.0201,0.16713
2022-05-22,12.0264,0.006,0.04992
2022-05-19,12.0204,-0.0899,-0.74234
2022-05-18,12.1103,-0.014,-0.11547
2022-05-17,12.1243,-0.0014,-0.01155
2022-05-16,12.1257,-0.0656,-0.53809
2022-05-15,12.1913,0.0282,0.23185
2022-05-12,12.1631,0.0072,0.05923
2022-05-11,12.1559,0.0521,0.43044
2022-05-10,12.1038,0.0075,0.062
2022-05-09,12.0963,0.0224,0.18552
2022-05-08,12.0739,0.0324,0.26907
2022-05-05,12.0415,0.0616,0.51419
2022-05-04,11.9799,0.0269,0.22505
2022-05-03,11.953,0.0633,0.53239
2022-05-02,11.8897,-0.0495,-0.4146
2022-04-28,11.9392,-0.0464,-0.38713
2022-04-27,11.9856,0.0639,0.536
2022-04-26,11.9217,0.0058,0.04867
2022-04-25,11.9159,0.025,0.21024
2022-04-24,11.8909,0.0772,0.65348
2022-04-21,11.8137,0.0201,0.17043
2022-04-20,11.7936,0.0346,0.29424
2022-04-19,11.759,0.0372,0.31736
2022-04-18,11.7218,-0.0034,-0.029
2022-04-13,11.7252,0.003,0.02559
2022-04-12,11.7222,-0.0029,-0.02473
2022-04-11,11.7251,0.0022,0.01877
2022-04-10,11.7229,0.0052,0.04438
2022-04-07,11.7177,-0.0075,-0.06396
2022-04-06,11.7252,0.0005,0.00426
2022-04-05,11.7247,0.0049,0.04181
2022-03-31,11.7198,0.0306,0.26178
2022-03-30,11.6892,-0.0152,-0.12987
2022-03-29,11.7044,0.003,0.02564
2022-03-28,11.7014,0.0222,0.19008
2022-03-27,11.6792,0.013,0.11143
2022-03-24,11.6662,-0.0155,-0.13269
2022-03-23,11.6817,-0.0013,-0.01113
2022-03-22,11.683,0.0266,0.2282
2022-03-21,11.6564,-0.0053,-0.04545
2022-03-20,11.6617,0.0115,0.09871
2022-03-17,11.6502,0.0146,0.12548
2022-03-16,11.6356,0.0318,0.27405
2022-03-15,11.6038,-0.0112,-0.09643
2022-03-14,11.615,0.0113,0.09738
2022-03-13,11.6037,0.0213,0.1839
2022-03-10,11.5824,-0.0132,-0.11384
2022-03-09,11.5956,-0.0006,-0.00517
2022-03-08,11.5962,-0.0086,-0.07411
2022-03-07,11.6048,-0.0302,-0.25956
2022-03-06,11.635,-0.0406,-0.34773
2022-03-03,11.6756,-0.0091,-0.07788
2022-03-02,11.6847,-0.0005,-0.00428
2022-03-01,11.6852,-0.0444,-0.37853
2022-02-28,11.7296,-0.0151,-0.12857
2022-02-24,11.7447,-0.0021,-0.01788
2022-02-23,11.7468,-0.051,-0.43228
2022-02-22,11.7978,-0.0145,-0.12275
2022-02-21,11.8123,-0.0152,-0.12851
2022-02-20,11.8275,0.0012,0.01015
2022-02-17,11.8263,-0.0073,-0.06169
2022-02-16,11.8336,-0.0067,-0.05659
2022-02-15,11.8403,-0.0081,-0.06836
2022-02-14,11.8484,-0.0092,-0.07759
2022-02-13,11.8576,-0.0331,-0.27837
2022-02-10,11.8907,0.0256,0.21576
2022-02-09,11.8651,-0.0199,-0.16744
2022-02-08,11.885,0.0088,0.0741
2022-02-07,11.8762,0.0082,0.06909
2022-02-06,11.868,-0.0178,-0.14976
2022-01-27,11.8858,-0.0122,-0.10254
2022-01-26,11.898,0.0572,0.48308
2022-01-25,11.8408,-0.0107,-0.09028
2022-01-24,11.8515,-0.0132,-0.11125
2022-01-23,11.8647,-0.0147,-0.12374
2022-01-20,11.8794,0.0135,0.11377
2022-01-19,11.8659,-0.0117,-0.0985
2022-01-18,11.8776,0.0519,0.43887
2022-01-17,11.8257,-0.0341,-0.28753
2022-01-16,11.8598,0.0051,0.04302
