tradeDate,nav,change,changePercent
2022-08-30,9.6775,0.0017,0.01757
2022-08-29,9.6758,0.0061,0.06308
2022-08-28,9.6697,-0.0228,-0.23523
2022-08-25,9.6925,0.02,0.20677
2022-08-24,9.6725,0.0291,0.30176
2022-08-23,9.6434,0.0158,0.16411
2022-08-22,9.6276,0.0013,0.0135
2022-08-21,9.6263,0.019,0.19777
2022-08-18,9.6073,0.003,0.03124
2022-08-17,9.6043,0.0012,0.0125
2022-08-16,9.6031,-0.0258,-0.26794
2022-08-15,9.6289,0.0592,0.61862
2022-08-14,9.5697,0.0233,0.24407
2022-08-11,9.5464,-0.0095,-0.09942
2022-08-10,9.5559,0.0162,0.16982
2022-08-09,9.5397,0.0002,0.0021
2022-08-08,9.5395,-0.0102,-0.10681
2022-08-07,9.5497,0.0077,0.0807
2022-08-04,9.542,-0.0101,-0.10574
2022-08-03,9.5521,-0.0249,-0.26
2022-08-02,9.577,-0.0137,-0.14285
2022-08-01,9.5907,-0.0099,-0.10312
2022-07-31,9.6006,0.0172,0.17948
2022-07-28,9.5834,0.02,0.20913
2022-07-27,9.5634,0.008,0.08372
2022-07-26,9.5554,0.0048,0.05026
2022-07-25,9.5506,0.0207,0.21721
2022-07-24,9.5299,0.0227,0.23877
2022-07-21,9.5072,0.0244,0.25731
2022-07-20,9.4828,0.0093,0.09817
2022-07-19,9.4735,-0.0046,-0.04853
2022-07-18,9.4781,-0.026,-0.27357
2022-07-17,9.5041,0.0052,0.05474
2022-07-14,9.4989,-0.0032,-0.03368
2022-07-13,9.5021,-0.0097,-0.10198
2022-07-12,9.5118,,
2022-07-11,9.5419,-0.04,-0.41745
2022-07-10,9.5819,-0.021,-0.21868
2022-07-07,9.6029,-0.0084,-0.0874
2022-07-06,9.6113,-0.0318,-0.32977
2022-07-05,9.6431,-0.0276,-0.2854
2022-07-04,9.6707,-0.0172,-0.17754
2022-07-03,9.6879,-0.0024,-0.02477
2022-06-30,9.6903,-0.0004,-0.00413
2022-06-29,9.6907,-0.0054,-0.05569
2022-06-28,9.6961,-0.0329,-0.33816
2022-06-27,9.729,0.0072,0.07406
2022-06-26,9.7218,0.0056,0.05764
2022-06-23,9.7162,-0.0024,-0.02469
2022-06-22,9.7186,-0.0171,-0.17564
2022-06-21,9.7357,,
