tradeDate,nav,change,changePercent
2022-08-31,12.6631,-0.1148,-0.89843
2022-08-30,12.7779,-0.057,-0.4441
2022-08-29,12.8349,-0.0659,-0.51082
2022-08-28,12.9008,-0.0938,-0.72184
2022-08-25,12.9946,-0.1119,-0.85377
2022-08-24,13.1065,0.0814,0.62495
2022-08-23,13.0251,0.0192,0.14763
2022-08-22,13.0059,-0.0021,-0.01614
2022-08-21,13.008,-0.1546,-1.17454
2022-08-18,13.1626,-0.1179,-0.88777
2022-08-17,13.2805,0.0132,0.09949
2022-08-16,13.2673,-0.0747,-0.55989
2022-08-15,13.342,0.0772,0.58199
2022-08-11,13.2648,0.0698,0.52899
2022-08-10,13.195,0.0356,0.27053
2022-08-09,13.1594,0.1505,1.1569
2022-08-08,13.0089,-0.0699,-0.53445
2022-08-07,13.0788,0.0726,0.5582
2022-08-04,13.0062,-0.0445,-0.34098
2022-08-03,13.0507,0.0466,0.35835
2022-08-02,13.0041,0.0613,0.47362
2022-08-01,12.9428,-0.0834,-0.64025
2022-07-31,13.0262,0.0435,0.33506
2022-07-28,12.9827,0.1288,1.00203
2022-07-27,12.8539,0.1,0.78407
2022-07-26,12.7539,0.1417,1.12352
2022-07-25,12.6122,-0.076,-0.59898
2022-07-24,12.6882,-0.0097,-0.07639
2022-07-21,12.6979,0.0147,0.1159
2022-07-20,12.6832,0.0774,0.614
2022-07-19,12.6058,0.0689,0.54958
2022-07-18,12.5369,0.1052,0.84622
2022-07-17,12.4317,0.049,0.39571
2022-07-14,12.3827,0.178,1.45845
2022-07-13,12.2047,-0.0459,-0.37468
2022-07-12,12.2506,-0.0568,-0.46151
2022-07-11,12.3074,-0.0515,-0.4167
2022-07-10,12.3589,-0.0796,-0.63995
2022-07-07,12.4385,0.0154,0.12396
2022-07-06,12.4231,0.1401,1.1406
2022-07-05,12.283,0.0268,0.21866
2022-07-04,12.2562,-0.0377,-0.30666
2022-07-03,12.2939,-0.01,-0.08128
2022-06-30,12.3039,0.0073,0.05937
2022-06-29,12.2966,-0.1341,-1.07878
2022-06-28,12.4307,-0.0822,-0.65692
2022-06-27,12.5129,-0.0594,-0.47247
2022-06-26,12.5723,0.0304,0.24239
2022-06-23,12.5419,0.2528,2.05711
2022-06-21,12.2891,-0.0544,-0.44072
2022-06-20,12.3435,0.1624,1.33321
2022-06-19,12.1811,-0.0128,-0.10497
2022-06-16,12.1939,-0.0071,-0.05819
2022-06-15,12.201,-0.238,-1.91334
2022-06-14,12.439,0.0651,0.52611
2022-06-13,12.3739,-0.0709,-0.56972
2022-06-12,12.4448,-0.3007,-2.35926
2022-06-09,12.7455,-0.2699,-2.0737
2022-06-08,13.0154,-0.1583,-1.20164
2022-06-07,13.1737,-0.0147,-0.11146
2022-06-06,13.1884,0.0127,0.09639
2022-06-01,13.1757,0.092,0.70317
2022-05-31,13.0837,0.0178,0.13623
2022-05-30,13.0659,-0.0615,-0.46849
2022-05-29,13.1274,0.0123,0.09379
2022-05-26,13.1151,0.2718,2.11628
2022-05-24,12.8433,0.0442,0.34534
2022-05-23,12.7991,-0.0753,-0.58488
2022-05-22,12.8744,0.0831,0.64966
2022-05-19,12.7913,0.037,0.2901
2022-05-18,12.7543,-0.1236,-0.95978
2022-05-17,12.8779,-0.1908,-1.45998
2022-05-16,13.0687,0.1607,1.24496
2022-05-15,12.908,0.0051,0.03953
2022-05-12,12.9029,0.2183,1.72098
2022-05-11,12.6846,-0.0837,-0.65553
2022-05-10,12.7683,-0.0814,-0.63348
2022-05-09,12.8497,-0.2378,-1.817
2022-05-05,13.0875,-0.1517,-1.14584
2022-05-04,13.2392,-0.125,-0.93533
2022-05-03,13.3642,0.1492,1.12902
2022-05-02,13.215,-0.0083,-0.06277
2022-04-28,13.2233,-0.1104,-0.82798
2022-04-27,13.3337,0.1774,1.3484
2022-04-26,13.1563,-0.0094,-0.0714
2022-04-25,13.1657,-0.1556,-1.16805
2022-04-24,13.3213,-0.1285,-0.9554
2022-04-21,13.4498,-0.277,-2.01795
2022-04-20,13.7268,-0.0663,-0.48068
2022-04-19,13.7931,0.0529,0.385
2022-04-18,13.7402,0.078,0.57092
2022-04-13,13.6622,-0.0599,-0.43652
2022-04-12,13.7221,0.0484,0.35396
2022-04-11,13.6737,-0.0126,-0.09206
2022-04-10,13.6863,-0.1055,-0.76495
2022-04-07,13.7918,0.0113,0.082
2022-04-06,13.7805,-0.023,-0.16662
2022-04-05,13.8035,-0.1408,-1.00973
2022-03-31,13.9443,-0.0117,-0.08383
2022-03-30,13.956,-0.09,-0.64075
2022-03-29,14.046,-0.0481,-0.34128
2022-03-28,14.0941,0.1429,1.02428
2022-03-27,13.9512,0.0495,0.35607
2022-03-24,13.9017,0.0537,0.38778
2022-03-23,13.848,0.0786,0.57083
2022-03-22,13.7694,-0.043,-0.31131
2022-03-21,13.8124,0.0953,0.69475
2022-03-20,13.7171,0.0886,0.65011
2022-03-17,13.6285,0.0753,0.55559
2022-03-16,13.5532,0.1351,1.00685
2022-03-15,13.4181,0.2117,1.60301
2022-03-14,13.2064,-0.0229,-0.1731
2022-03-13,13.2293,-0.0383,-0.28867
2022-03-10,13.2676,-0.037,-0.2781
2022-03-09,13.3046,0.0274,0.20637
2022-03-08,13.2772,0.1971,1.50687
2022-03-07,13.0801,-0.1192,-0.90308
2022-03-06,13.1993,-0.248,-1.84424
2022-03-03,13.4473,-0.1493,-1.09807
2022-03-02,13.5966,-0.0066,-0.04852
2022-03-01,13.6032,0.0808,0.59753
2022-02-28,13.5224,-0.0003,-0.00222
2022-02-24,13.5227,0.2195,1.64998
2022-02-23,13.3032,-0.1451,-1.07895
2022-02-22,13.4483,-0.0678,-0.50162
2022-02-21,13.5161,-0.1066,-0.78252
2022-02-20,13.6227,-0.0724,-0.52866
2022-02-17,13.6951,-0.0486,-0.35362
2022-02-16,13.7437,-0.1343,-0.96772
2022-02-15,13.878,0.0767,0.55574
2022-02-14,13.8013,0.132,0.96567
2022-02-13,13.6693,-0.1788,-1.29115
2022-02-10,13.8481,-0.1241,-0.88819
2022-02-09,13.9722,-0.0479,-0.34165
2022-02-08,14.0201,0.189,1.36649
2022-02-07,13.8311,0.0458,0.33224
2022-02-06,13.7853,0.2436,1.79889
2022-01-27,13.5417,-0.0061,-0.04503
2022-01-26,13.5478,-0.0428,-0.31492
2022-01-25,13.5906,0.105,0.77861
2022-01-24,13.4856,-0.1091,-0.80252
2022-01-23,13.5947,-0.1236,-0.90099
2022-01-20,13.7183,-0.2102,-1.50914
2022-01-19,13.9285,-0.0692,-0.49437
2022-01-18,13.9977,-0.044,-0.31335
2022-01-17,14.0417,-0.1398,-0.98579
2022-01-16,14.1815,0.0173,0.12214
2022-01-13,14.1642,-0.0771,-0.54138
2022-01-12,14.2413,-0.0579,-0.40492
2022-01-11,14.2992,0.1047,0.73761
2022-01-10,14.1945,0.0389,0.2748
2022-01-09,14.1556,-0.0824,-0.57873
2022-01-06,14.238,-0.0718,-0.50175
2022-01-05,14.3098,-0.1443,-0.99833
2022-01-04,14.4541,-0.1465,-1.00338
2022-01-03,14.6006,0.0363,0.24924
2022-01-02,14.5643,-0.0349,-0.23905
2021-12-29,14.5992,0.0153,0.10491
2021-12-28,14.5839,-0.0086,-0.05893
2021-12-27,14.5925,0.051,0.35072
2021-12-26,14.5415,0.0768,0.53095
2021-12-23,14.4647,-0.0136,-0.09393
2021-12-22,14.4783,0.1103,0.76768
2021-12-21,14.368,0.1265,0.88825
2021-12-20,14.2415,0.1567,1.11255
2021-12-19,14.0848,-0.1514,-1.06349
2021-12-16,14.2362,-0.1556,-1.08117
2021-12-15,14.3918,0.0958,0.67012
2021-12-14,14.296,0.0513,0.36013
2021-12-13,14.2447,-0.1328,-0.92367
2021-12-12,14.3775,-0.0312,-0.21654
2021-12-09,14.4087,-0.0061,-0.04232
2021-12-08,14.4148,-0.0544,-0.37597
2021-12-07,14.4692,0.0548,0.38018
2021-12-06,14.4144,0.2435,1.71831
2021-12-05,14.1709,0.0092,0.06496
2021-12-02,14.1617,-0.0452,-0.31816
2021-12-01,14.2069,-0.0301,-0.21142
2021-11-30,14.237,-0.0617,-0.43151
2021-11-29,14.2987,-0.0616,-0.42896
2021-11-28,14.3603,0.087,0.60953
2021-11-25,14.2733,-0.2496,-1.71867
2021-11-24,14.5229,0.0102,0.07028
2021-11-23,14.5127,-0.0577,-0.39601
2021-11-22,14.5704,-0.1109,-0.75538
2021-11-21,14.6813,-0.0384,-0.26087
2021-11-18,14.7197,-0.0173,-0.11739
2021-11-17,14.737,0.003,0.02036
2021-11-16,14.734,-0.0035,-0.02375
2021-11-15,14.7375,0.0046,0.03122
2021-11-14,14.7329,0.0393,0.26746
2021-11-11,14.6936,0.0581,0.39698
2021-11-10,14.6355,0.0051,0.03486
2021-11-09,14.6304,-0.0398,-0.2713
2021-11-08,14.6702,-0.037,-0.25158
2021-11-07,14.7072,-0.0201,-0.13648
2021-11-04,14.7273,0.1124,0.76908
2021-11-03,14.6149,0.0665,0.45709
2021-11-02,14.5484,0.0426,0.29368
2021-11-01,14.5058,0.1164,0.80893
2021-10-28,14.3894,0.0131,0.09112
2021-10-27,14.3763,0.0214,0.14908
2021-10-26,14.3549,-0.0001,-0.0007
2021-10-25,14.355,0.0308,0.21502
2021-10-24,14.3242,0.0101,0.07056
2021-10-21,14.3141,0.0176,0.12311
2021-10-20,14.2965,0.0139,0.09732
2021-10-19,14.2826,0.0333,0.2337
2021-10-18,14.2493,0.0742,0.52345
2021-10-17,14.1751,0.0164,0.11583
2021-10-14,14.1587,0.1167,0.83108
2021-10-13,14.042,0.1361,0.97872
2021-10-12,13.9059,-0.0039,-0.02804
2021-10-11,13.9098,-0.0685,-0.49005
2021-10-07,13.9783,0.0245,0.17558
2021-10-06,13.9538,0.2115,1.53904
2021-10-05,13.7423,-0.0298,-0.21638
2021-10-04,13.7721,0.0552,0.40242
2021-10-03,13.7169,-0.0765,-0.55461
2021-09-30,13.7934,-0.0712,-0.51354
2021-09-29,13.8646,-0.0073,-0.05262
2021-09-28,13.8719,-0.0929,-0.66524
2021-09-27,13.9648,-0.1932,-1.3646
2021-09-26,14.158,-0.0542,-0.38136
2021-09-23,14.2122,-0.0206,-0.14474
2021-09-22,14.2328,0.1455,1.03285
2021-09-21,14.0873,-0.1233,-0.86766
2021-09-16,14.2106,-0.03,-0.21067
2021-09-15,14.2406,-0.0018,-0.01264
2021-09-14,14.2424,-0.0066,-0.04632
2021-09-13,14.249,-0.0155,-0.10866
2021-09-12,14.2645,-0.0328,-0.22941
2021-09-09,14.2973,-0.0039,-0.02727
2021-09-08,14.3012,-0.0014,-0.00979
2021-09-07,14.3026,-0.0517,-0.36017
2021-09-06,14.3543,-0.047,-0.32636
2021-09-05,14.4013,0.0085,0.05906
2021-09-02,14.3928,0.0116,0.08066
2021-09-01,14.3812,0.0147,0.10232
2021-08-31,14.3665,0.0301,0.20996
2021-08-30,14.3364,-0.0023,-0.01604
2021-08-29,14.3387,0.0535,0.37451
2021-08-26,14.2852,0.0456,0.32023
2021-08-25,14.2396,-0.022,-0.15426
2021-08-24,14.2616,0.0462,0.325
2021-08-23,14.2154,0.0402,0.28359
2021-08-22,14.1752,0.1496,1.06662
2021-08-19,14.0256,0.0839,0.60179
2021-08-18,13.9417,-0.0726,-0.51804
2021-08-17,14.0143,0.0037,0.02641
2021-08-16,14.0106,-0.0849,-0.60232
2021-08-15,14.0955,-0.0537,-0.37953
2021-08-12,14.1492,-0.001,-0.00707
2021-08-11,14.1502,0.0029,0.0205
2021-08-10,14.1473,-0.0125,-0.08828
2021-08-09,14.1598,0.0045,0.03179
2021-08-08,14.1553,-0.0446,-0.31409
2021-08-05,14.1999,-0.0027,-0.01901
2021-08-04,14.2026,0.0326,0.23006
2021-08-03,14.17,0.0031,0.02188
2021-08-02,14.1669,0.0123,0.0869
2021-08-01,14.1546,0.0272,0.19253
2021-07-29,14.1274,-0.0412,-0.29078
2021-07-28,14.1686,0.0944,0.67073
2021-07-27,14.0742,-0.0714,-0.50475
2021-07-26,14.1456,-0.0928,-0.65176
2021-07-25,14.2384,0.0427,0.3008
2021-07-22,14.1957,0.0565,0.3996
2021-07-21,14.1392,0.0586,0.41618
