tradeDate,nav,change,changePercent
2022-08-30,9.61,-0.05,-0.5176
2022-08-29,9.66,-0.07,-0.71942
2022-08-28,9.73,-0.03,-0.30738
2022-08-25,9.76,-0.02,-0.2045
2022-08-24,9.78,0.02,0.20492
2022-08-23,9.76,0.0,0.0
2022-08-22,9.76,-0.02,-0.2045
2022-08-21,9.78,-0.07,-0.71066
2022-08-18,9.85,-0.04,-0.40445
2022-08-17,9.89,-0.02,-0.20182
2022-08-16,9.91,-0.04,-0.40201
2022-08-15,9.95,0.0,0.0
2022-08-14,9.95,0.03,0.30242
2022-08-11,9.92,0.01,0.10091
2022-08-10,9.91,0.06,0.60914
2022-08-09,9.85,0.05,0.5102
2022-08-08,9.8,-0.01,-0.10194
2022-08-07,9.81,0.03,0.30675
2022-08-04,9.78,0.0,0.0
2022-08-03,9.78,0.04,0.41068
2022-08-02,9.74,0.03,0.30896
2022-08-01,9.71,0.01,0.10309
2022-07-31,9.7,0.03,0.31024
2022-07-28,9.67,0.06,0.62435
2022-07-27,9.61,0.06,0.62827
2022-07-26,9.55,0.02,0.20986
2022-07-25,9.53,-0.03,-0.31381
2022-07-24,9.56,0.03,0.3148
2022-07-21,9.53,0.04,0.4215
2022-07-20,9.49,0.05,0.52966
2022-07-19,9.44,0.08,0.8547
2022-07-18,9.36,0.04,0.42918
2022-07-17,9.32,0.03,0.32293
2022-07-14,9.29,0.0,0.0
2022-07-13,9.29,-0.03,-0.32189
2022-07-12,9.32,-0.01,-0.10718
2022-07-11,9.33,-0.01,-0.10707
2022-07-10,9.34,0.01,0.10718
2022-07-07,9.33,0.02,0.21482
2022-07-06,9.31,0.04,0.4315
2022-07-05,9.27,-0.01,-0.10776
2022-07-04,9.28,-0.01,-0.10764
2022-06-30,9.29,0.0,0.0
2022-06-29,9.29,-0.08,-0.85379
2022-06-28,9.37,-0.06,-0.63627
2022-06-27,9.43,-0.06,-0.63224
2022-06-26,9.49,-0.01,-0.10526
2022-06-23,9.5,0.02,0.21097
2022-06-22,9.48,-0.02,-0.21053
2022-06-21,9.5,,
2022-06-20,9.53,0.0,0.0
2022-06-19,9.53,0.01,0.10504
2022-06-16,9.52,-0.01,-0.10493
2022-06-15,9.53,-0.08,-0.83247
2022-06-14,9.61,0.05,0.52301
2022-06-13,9.56,-0.05,-0.52029
2022-06-12,9.61,-0.22,-2.23805
2022-06-09,9.83,-0.08,-0.80727
2022-06-08,9.91,-0.04,-0.40201
2022-06-07,9.95,-0.04,-0.4004
2022-06-06,9.99,-0.01,-0.1
2022-06-05,10.0,-0.02,-0.1996
2022-06-01,10.02,0.0,0.0
2022-05-31,10.02,0.01,0.0999
2022-05-30,10.01,0.01,0.1
2022-05-26,10.0,0.06,0.60362
2022-05-25,9.94,0.09,0.91371
2022-05-24,9.85,0.06,0.61287
2022-05-23,9.79,-0.01,-0.10204
2022-05-22,9.8,-0.01,-0.10194
2022-05-19,9.81,0.0,0.0
2022-05-18,9.81,-0.03,-0.30488
2022-05-17,9.84,-0.05,-0.50556
2022-05-16,9.89,0.0,0.0
2022-05-15,9.89,0.0,0.0
2022-05-12,9.89,0.0,0.0
2022-05-11,9.89,-0.03,-0.30242
2022-05-10,9.92,0.0,0.0
2022-05-09,9.92,-0.01,-0.1007
2022-05-08,9.93,-0.1,-0.99701
2022-05-05,10.03,-0.07,-0.69307
2022-05-04,10.1,-0.04,-0.39448
2022-05-03,10.14,0.0,0.0
2022-05-02,10.14,-0.04,-0.39293
2022-04-28,10.18,-0.06,-0.58594
2022-04-27,10.24,-0.02,-0.19493
2022-04-26,10.26,-0.04,-0.38835
2022-04-25,10.3,-0.01,-0.09699
2022-04-24,10.31,-0.02,-0.19361
2022-04-21,10.33,-0.04,-0.38573
2022-04-20,10.37,-0.01,-0.09634
2022-04-19,10.38,0.0,0.0
2022-04-18,10.38,-0.01,-0.09625
2022-04-17,10.39,-0.01,-0.09615
2022-04-13,10.4,-0.01,-0.09606
2022-04-12,10.41,0.0,0.0
2022-04-11,10.41,0.0,0.0
2022-04-10,10.41,-0.05,-0.47801
2022-04-07,10.46,-0.02,-0.19084
2022-04-06,10.48,-0.03,-0.28544
2022-04-05,10.51,-0.04,-0.37915
2022-03-31,10.55,-0.01,-0.0947
2022-03-30,10.56,0.0,0.0
2022-03-29,10.56,0.02,0.18975
2022-03-28,10.54,0.07,0.66858
2022-03-27,10.47,0.02,0.19139
2022-03-24,10.45,-0.01,-0.0956
2022-03-23,10.46,0.0,0.0
2022-03-22,10.46,0.0,0.0
2022-03-21,10.46,-0.02,-0.19084
2022-03-20,10.48,0.0,0.0
2022-03-17,10.48,0.02,0.1912
2022-03-16,10.46,0.05,0.48031
2022-03-15,10.41,0.06,0.57971
2022-03-14,10.35,-0.01,-0.09653
2022-03-13,10.36,-0.06,-0.57582
2022-03-10,10.42,-0.02,-0.19157
2022-03-09,10.44,-0.03,-0.28653
2022-03-08,10.47,0.01,0.0956
2022-03-07,10.46,-0.03,-0.28599
2022-03-06,10.49,-0.06,-0.56872
2022-03-03,10.55,-0.05,-0.4717
2022-03-02,10.6,0.0,0.0
2022-03-01,10.6,0.0,0.0
2022-02-28,10.6,0.02,0.18904
2022-02-24,10.58,0.07,0.66603
2022-02-23,10.51,-0.08,-0.75543
2022-02-22,10.59,0.0,0.0
2022-02-21,10.59,-0.01,-0.09434
2022-02-17,10.6,-0.02,-0.18832
2022-02-16,10.62,-0.01,-0.09407
2022-02-15,10.63,0.02,0.1885
2022-02-14,10.61,0.01,0.09434
2022-02-13,10.6,-0.05,-0.46948
2022-02-10,10.65,-0.06,-0.56022
2022-02-09,10.71,-0.04,-0.37209
2022-02-08,10.75,0.03,0.27985
2022-02-07,10.72,0.01,0.09337
2022-02-06,10.71,-0.07,-0.64935
2022-01-27,10.78,-0.05,-0.46168
2022-01-26,10.83,-0.03,-0.27624
2022-01-25,10.86,0.02,0.1845
2022-01-24,10.84,-0.02,-0.18416
2022-01-23,10.86,-0.03,-0.27548
2022-01-20,10.89,-0.03,-0.27473
2022-01-19,10.92,0.0,0.0
2022-01-18,10.92,0.01,0.09166
2022-01-17,10.91,-0.04,-0.3653
2022-01-13,10.95,-0.01,-0.09124
2022-01-12,10.96,-0.01,-0.09116
2022-01-11,10.97,0.01,0.09124
2022-01-10,10.96,0.02,0.18282
2022-01-09,10.94,-0.01,-0.09132
2022-01-06,10.95,-0.02,-0.18232
2022-01-05,10.97,-0.03,-0.27273
2022-01-04,11.0,0.0,0.0
2022-01-03,11.0,0.0,0.0
2022-01-02,11.0,0.01,0.09099
2021-12-29,10.99,-0.01,-0.09091
2021-12-28,11.0,0.0,0.0
2021-12-27,11.0,0.01,0.09099
2021-12-26,10.99,0.03,0.27372
2021-12-22,10.96,0.01,0.09132
2021-12-21,10.95,0.01,0.09141
2021-12-20,10.94,0.02,0.18315
2021-12-19,10.92,-0.01,-0.09149
2021-12-16,10.93,-0.01,-0.09141
2021-12-15,10.94,0.02,0.18315
2021-12-14,10.92,0.0,0.0
2021-12-13,10.92,0.0,0.0
2021-12-12,10.92,0.0,0.0
2021-12-09,10.92,0.01,0.09166
2021-12-08,10.91,0.0,0.0
2021-12-07,10.91,0.0,0.0
2021-12-06,10.91,0.06,0.553
2021-12-05,10.85,0.03,0.27726
2021-12-02,10.82,0.02,0.18519
2021-12-01,10.8,0.0,0.0
2021-11-30,10.8,0.03,0.27855
2021-11-29,10.77,-0.02,-0.18536
2021-11-28,10.79,0.01,0.09276
2021-11-25,10.78,-0.05,-0.46168
2021-11-23,10.83,-0.01,-0.09225
2021-11-22,10.84,-0.05,-0.45914
2021-11-21,10.89,-0.01,-0.09174
2021-11-18,10.9,-0.01,-0.09166
2021-11-17,10.91,0.0,0.0
2021-11-16,10.91,0.0,0.0
2021-11-15,10.91,-0.01,-0.09158
2021-11-14,10.92,-0.02,-0.18282
2021-11-11,10.94,-0.01,-0.09132
2021-11-10,10.95,0.0,0.0
2021-11-09,10.95,-0.01,-0.09124
2021-11-08,10.96,0.01,0.09132
2021-11-07,10.95,0.01,0.09141
2021-11-04,10.94,0.03,0.27498
2021-11-03,10.91,0.02,0.18365
2021-11-02,10.89,0.0,0.0
2021-11-01,10.89,0.01,0.09191
2021-10-31,10.88,0.0,0.0
2021-10-28,10.88,-0.01,-0.09183
2021-10-27,10.89,0.01,0.09191
2021-10-26,10.88,0.0,0.0
2021-10-25,10.88,0.01,0.092
2021-10-24,10.87,0.0,0.0
2021-10-21,10.87,-0.02,-0.18365
2021-10-20,10.89,0.0,0.0
2021-10-19,10.89,0.0,0.0
2021-10-18,10.89,0.0,0.0
2021-10-17,10.89,0.0,0.0
2021-10-14,10.89,0.01,0.09191
2021-10-13,10.88,0.03,0.2765
2021-10-12,10.85,0.01,0.09225
2021-10-11,10.84,-0.03,-0.27599
2021-10-07,10.87,-0.01,-0.09191
2021-10-06,10.88,0.01,0.092
2021-10-05,10.87,-0.02,-0.18365
2021-10-04,10.89,-0.01,-0.09174
2021-10-03,10.9,0.0,0.0
2021-09-30,10.9,0.0,0.0
2021-09-29,10.9,-0.01,-0.09166
2021-09-28,10.91,0.0,0.0
2021-09-27,10.91,-0.02,-0.18298
2021-09-26,10.93,0.0,0.0
2021-09-23,10.93,-0.01,-0.09141
2021-09-22,10.94,0.01,0.09149
2021-09-21,10.93,-0.02,-0.18265
2021-09-16,10.95,-0.01,-0.09124
2021-09-15,10.96,0.01,0.09132
2021-09-14,10.95,0.0,0.0
2021-09-13,10.95,0.01,0.09141
2021-09-12,10.94,0.01,0.09149
2021-09-09,10.93,0.0,0.0
2021-09-08,10.93,0.01,0.09158
2021-09-07,10.92,-0.01,-0.09149
2021-09-06,10.93,0.01,0.09158
2021-09-02,10.92,0.01,0.09166
2021-09-01,10.91,0.01,0.09174
2021-08-31,10.9,0.01,0.09183
2021-08-30,10.89,0.01,0.09191
2021-08-29,10.88,0.01,0.092
2021-08-26,10.87,0.02,0.18433
2021-08-25,10.85,0.01,0.09225
2021-08-24,10.84,0.01,0.09234
2021-08-23,10.83,0.01,0.09242
2021-08-22,10.82,0.02,0.18519
2021-08-19,10.8,0.0,0.0
2021-08-18,10.8,-0.02,-0.18484
2021-08-17,10.82,0.0,0.0
2021-08-16,10.82,0.0,0.0
2021-08-15,10.82,0.0,0.0
2021-08-12,10.82,-0.01,-0.09234
2021-08-11,10.83,0.0,0.0
2021-08-10,10.83,0.0,0.0
2021-08-09,10.83,0.0,0.0
2021-08-08,10.83,-0.01,-0.09225
2021-08-05,10.84,0.0,0.0
2021-08-04,10.84,0.0,0.0
2021-08-03,10.84,0.0,0.0
2021-08-02,10.84,0.0,0.0
2021-08-01,10.84,0.0,0.0
2021-07-29,10.84,0.01,0.09234
2021-07-28,10.83,0.01,0.09242
2021-07-27,10.82,0.0,0.0
2021-07-26,10.82,0.0,0.0
2021-07-25,10.82,0.0,0.0
2021-07-22,10.82,0.0,0.0
2021-07-21,10.82,0.0,0.0
2021-07-20,10.82,0.03,0.27804
2021-07-19,10.79,0.0,0.0
2021-07-18,10.79,-0.05,-0.46125
2021-07-15,10.84,0.0,0.0
2021-07-14,10.84,0.0,0.0
2021-07-13,10.84,0.0,0.0
2021-07-12,10.84,0.0,0.0
2021-07-11,10.84,0.0,0.0
2021-07-08,10.84,0.0,0.0
2021-07-07,10.84,-0.01,-0.09217
2021-07-06,10.85,0.0,0.0
2021-07-05,10.85,0.01,0.09225
2021-07-01,10.84,0.01,0.09234
2021-06-30,10.83,0.0,0.0
2021-06-29,10.83,0.01,0.09242
2021-06-28,10.82,0.0,0.0
2021-06-27,10.82,0.0,0.0
2021-06-24,10.82,0.01,0.09251
2021-06-23,10.81,0.01,0.09259
2021-06-22,10.8,0.0,0.0
2021-06-21,10.8,0.0,0.0
2021-06-20,10.8,0.0,0.0
2021-06-17,10.8,0.0,0.0
2021-06-16,10.8,-0.01,-0.09251
2021-06-15,10.81,0.0,0.0
2021-06-14,10.81,0.0,0.0
2021-06-10,10.81,0.01,0.09259
2021-06-09,10.8,0.01,0.09268
2021-06-08,10.79,0.01,0.09276
2021-06-07,10.78,0.0,0.0
2021-06-06,10.78,0.01,0.09285
2021-06-03,10.77,0.01,0.09294
2021-06-02,10.76,0.0,0.0
2021-06-01,10.76,0.01,0.09302
2021-05-31,10.75,0.02,0.18639
2021-05-27,10.73,0.01,0.09328
2021-05-26,10.72,0.0,0.0
2021-05-25,10.72,0.01,0.09337
2021-05-24,10.71,0.01,0.09346
2021-05-23,10.7,0.01,0.09355
2021-05-20,10.69,0.0,0.0
2021-05-19,10.69,0.0,0.0
2021-05-18,10.69,-0.01,-0.09346
2021-05-17,10.7,0.0,0.0
2021-05-16,10.7,0.0,0.0
2021-05-13,10.7,0.01,0.09355
2021-05-12,10.69,0.0,0.0
2021-05-11,10.69,-0.01,-0.09346
2021-05-10,10.7,-0.03,-0.27959
2021-05-09,10.73,0.01,0.09328
2021-05-06,10.72,0.02,0.18692
2021-05-05,10.7,0.0,0.0
2021-05-04,10.7,0.01,0.09355
2021-05-03,10.69,0.0,0.0
2021-05-02,10.69,0.01,0.09363
2021-04-28,10.68,0.01,0.09372
2021-04-27,10.67,0.0,0.0
2021-04-26,10.67,0.0,0.0
2021-04-25,10.67,0.02,0.18779
2021-04-22,10.65,0.01,0.09398
2021-04-21,10.64,0.0,0.0
2021-04-20,10.64,0.0,0.0
2021-04-19,10.64,-0.02,-0.18762
2021-04-18,10.66,0.01,0.0939
2021-04-15,10.65,0.02,0.18815
2021-04-14,10.63,0.01,0.09416
2021-04-13,10.62,0.01,0.09425
2021-04-12,10.61,-0.01,-0.09416
2021-04-11,10.62,0.0,0.0
2021-04-08,10.62,0.0,0.0
2021-04-07,10.62,0.01,0.09425
2021-04-06,10.61,0.02,0.18886
2021-04-05,10.59,0.04,0.37915
2021-03-31,10.55,0.01,0.09488
2021-03-30,10.54,0.02,0.19011
2021-03-29,10.52,0.0,0.0
2021-03-28,10.52,0.01,0.09515
2021-03-25,10.51,0.0,0.0
2021-03-24,10.51,0.0,0.0
2021-03-23,10.51,0.0,0.0
2021-03-22,10.51,0.0,0.0
2021-03-21,10.51,0.02,0.19066
2021-03-18,10.49,0.0,0.0
2021-03-17,10.49,-0.02,-0.19029
2021-03-16,10.51,-0.02,-0.18993
2021-03-15,10.53,0.01,0.09506
2021-03-14,10.52,0.0,0.0
2021-03-11,10.52,-0.01,-0.09497
2021-03-10,10.53,0.04,0.38132
2021-03-09,10.49,0.0,0.0
2021-03-08,10.49,0.01,0.09542
2021-03-07,10.48,-0.03,-0.28544
2021-03-04,10.51,-0.01,-0.09506
2021-03-03,10.52,-0.01,-0.09497
2021-03-02,10.53,-0.01,-0.09488
2021-03-01,10.54,0.04,0.38095
2021-02-25,10.5,-0.02,-0.19011
2021-02-24,10.52,-0.02,-0.18975
