tradeDate,nav,change,changePercent
2022-08-31,9.87,-0.05,-0.50403
2022-08-30,9.92,-0.15,-1.48957
2022-08-29,10.07,-0.08,-0.78818
2022-08-28,10.15,-0.05,-0.4902
2022-08-25,10.2,-0.06,-0.5848
2022-08-24,10.26,0.05,0.48972
2022-08-23,10.21,-0.37,-3.49716
2022-08-22,10.58,0.01,0.09461
2022-08-21,10.57,0.12,1.14833
2022-08-18,10.45,-0.19,-1.78571
2022-08-17,10.64,0.05,0.47214
2022-08-16,10.59,0.09,0.85714
2022-08-15,10.5,0.02,0.19084
2022-08-14,10.48,-0.01,-0.09533
2022-08-11,10.49,-0.05,-0.47438
2022-08-10,10.54,0.09,0.86124
2022-08-09,10.45,-0.03,-0.28626
2022-08-08,10.48,0.02,0.1912
2022-08-07,10.46,0.11,1.0628
2022-08-04,10.35,0.09,0.87719
2022-08-03,10.26,0.12,1.18343
2022-08-02,10.14,-0.07,-0.6856
2022-08-01,10.21,-0.18,-1.73244
2022-07-31,10.39,0.12,1.16845
2022-07-28,10.27,-0.13,-1.25
2022-07-27,10.4,0.05,0.48309
2022-07-26,10.35,0.01,0.09671
2022-07-25,10.34,0.05,0.48591
2022-07-24,10.29,-0.09,-0.86705
2022-07-21,10.38,-0.06,-0.57471
2022-07-20,10.44,-0.06,-0.57143
2022-07-19,10.5,0.13,1.25362
2022-07-18,10.37,-0.03,-0.28846
2022-07-17,10.4,0.12,1.16732
2022-07-14,10.28,-0.09,-0.86789
2022-07-13,10.37,0.06,0.58196
2022-07-12,10.31,0.0,0.0
2022-07-11,10.31,-0.15,-1.43403
2022-07-10,10.46,-0.22,-2.05993
2022-07-07,10.68,-0.15,-1.38504
2022-07-06,10.83,0.15,1.40449
2022-07-05,10.68,-0.08,-0.74349
2022-07-04,10.76,-0.15,-1.37489
2022-07-03,10.91,0.2,1.86741
2022-06-29,10.71,0.17,1.6129
2022-06-28,10.54,-0.23,-2.13556
2022-06-27,10.77,0.15,1.41243
2022-06-26,10.62,0.14,1.33588
2022-06-23,10.48,0.22,2.14425
2022-06-22,10.26,0.15,1.48368
2022-06-21,10.11,,
2022-06-20,10.27,-0.03,-0.29126
2022-06-19,10.3,0.13,1.27827
2022-06-16,10.17,0.13,1.29482
2022-06-15,10.04,0.01,0.0997
2022-06-14,10.03,0.14,1.41557
2022-06-13,9.89,0.07,0.71283
2022-06-12,9.82,-0.12,-1.20724
2022-06-09,9.94,0.06,0.60729
2022-06-08,9.88,-0.14,-1.39721
2022-06-07,10.02,0.03,0.3003
2022-06-06,9.99,-0.01,-0.1
2022-06-05,10.0,0.12,1.21457
2022-06-01,9.88,0.07,0.71356
2022-05-31,9.81,-0.03,-0.30488
2022-05-30,9.84,0.11,1.13052
2022-05-29,9.73,0.19,1.99161
2022-05-26,9.54,0.06,0.63291
2022-05-25,9.48,-0.01,-0.10537
2022-05-24,9.49,0.0,0.0
2022-05-23,9.49,-0.26,-2.66667
2022-05-22,9.75,0.02,0.20555
2022-05-19,9.73,0.2,2.09864
2022-05-18,9.53,0.08,0.84656
2022-05-17,9.45,-0.05,-0.52632
2022-05-16,9.5,0.07,0.74231
2022-05-15,9.43,-0.05,-0.52743
2022-05-12,9.48,0.09,0.95847
2022-05-11,9.39,-0.14,-1.46905
2022-05-10,9.53,0.1,1.06045
2022-05-09,9.43,0.02,0.21254
2022-05-05,9.41,-0.21,-2.18295
2022-05-04,9.62,0.02,0.20833
2022-04-28,9.6,0.25,2.6738
2022-04-27,9.35,-0.09,-0.95339
2022-04-26,9.44,0.25,2.72035
2022-04-25,9.19,-0.14,-1.50054
2022-04-24,9.33,-0.47,-4.79592
2022-04-21,9.8,-0.11,-1.10999
2022-04-20,9.91,-0.27,-2.65226
2022-04-19,10.18,-0.22,-2.11538
2022-04-18,10.4,-0.21,-1.97926
2022-04-13,10.61,0.13,1.24046
2022-04-12,10.48,-0.14,-1.31827
2022-04-11,10.62,0.02,0.18868
2022-04-10,10.6,-0.28,-2.57353
2022-04-07,10.88,-0.01,-0.09183
2022-04-06,10.89,-0.16,-1.44796
2022-04-05,11.05,0.01,0.09058
2022-03-31,11.04,-0.03,-0.271
2022-03-30,11.07,-0.02,-0.18034
2022-03-29,11.09,0.27,2.49538
2022-03-28,10.82,0.0,0.0
2022-03-27,10.82,-0.06,-0.55147
2022-03-24,10.88,-0.2,-1.80505
2022-03-23,11.08,-0.02,-0.18018
2022-03-22,11.1,0.06,0.54348
2022-03-21,11.04,-0.06,-0.54054
2022-03-20,11.1,0.1,0.90909
2022-03-17,11.0,0.12,1.10294
2022-03-16,10.88,0.27,2.54477
2022-03-15,10.61,0.32,3.10982
2022-03-14,10.29,-0.58,-5.33579
2022-03-13,10.87,-0.38,-3.37778
2022-03-10,11.25,0.1,0.89686
2022-03-09,11.15,0.14,1.27157
2022-03-08,11.01,-0.1,-0.90009
2022-03-07,11.11,-0.34,-2.96943
2022-03-06,11.45,-0.27,-2.30375
2022-03-03,11.72,-0.18,-1.51261
2022-03-02,11.9,-0.02,-0.16779
2022-03-01,11.92,-0.1,-0.83195
2022-02-28,12.02,0.07,0.58577
2022-02-24,11.95,0.14,1.18544
2022-02-23,11.81,-0.29,-2.39669
2022-02-22,12.1,0.17,1.42498
2022-02-21,11.93,-0.24,-1.97206
2022-02-20,12.17,-0.01,-0.0821
2022-02-17,12.18,0.08,0.66116
2022-02-16,12.1,-0.05,-0.41152
2022-02-15,12.15,0.1,0.82988
2022-02-14,12.05,0.15,1.2605
2022-02-13,11.9,-0.16,-1.3267
2022-02-10,12.06,-0.21,-1.71149
2022-02-09,12.27,-0.04,-0.32494
2022-02-08,12.31,0.16,1.31687
2022-02-07,12.15,-0.08,-0.65413
2022-02-06,12.23,-0.2,-1.60901
2022-01-25,12.43,0.09,0.72934
2022-01-24,12.34,-0.33,-2.60458
2022-01-23,12.67,0.06,0.47581
2022-01-20,12.61,-0.28,-2.17223
2022-01-19,12.89,0.13,1.01881
2022-01-18,12.76,-0.01,-0.07831
2022-01-17,12.77,-0.03,-0.23438
2022-01-16,12.8,0.19,1.50674
2022-01-13,12.61,0.08,0.63847
2022-01-12,12.53,-0.27,-2.10938
2022-01-11,12.8,0.11,0.86682
2022-01-10,12.69,-0.14,-1.09119
2022-01-09,12.83,0.13,1.02362
2022-01-06,12.7,-0.05,-0.39216
2022-01-05,12.75,-0.01,-0.07837
2022-01-04,12.76,-0.19,-1.46718
2022-01-03,12.95,0.03,0.2322
2021-12-29,12.92,0.16,1.25392
2021-12-28,12.76,-0.11,-0.8547
2021-12-27,12.87,-0.01,-0.07764
2021-12-23,12.88,-0.02,-0.15504
2021-12-22,12.9,0.08,0.62402
2021-12-21,12.82,0.12,0.94488
2021-12-20,12.7,0.13,1.03421
2021-12-19,12.57,-0.27,-2.1028
2021-12-16,12.84,-0.18,-1.38249
2021-12-15,13.02,0.08,0.61824
2021-12-14,12.94,-0.11,-0.84291
2021-12-13,13.05,-0.09,-0.68493
2021-12-12,13.14,0.15,1.15473
2021-12-09,12.99,-0.06,-0.45977
2021-12-08,13.05,0.1,0.7722
2021-12-07,12.95,0.22,1.7282
2021-12-06,12.73,-0.02,-0.15686
2021-12-05,12.75,-0.16,-1.23935
2021-12-02,12.91,0.1,0.78064
2021-12-01,12.81,0.06,0.47059
2021-11-30,12.75,-0.05,-0.39063
2021-11-29,12.8,-0.1,-0.77519
2021-11-28,12.9,0.08,0.62402
2021-11-25,12.82,-0.1,-0.77399
2021-11-24,12.92,-0.07,-0.53888
2021-11-23,12.99,0.0,0.0
2021-11-22,12.99,-0.06,-0.45977
2021-11-21,13.05,0.07,0.53929
2021-11-18,12.98,0.02,0.15432
2021-11-17,12.96,-0.16,-1.21951
2021-11-16,13.12,0.11,0.8455
2021-11-15,13.01,-0.07,-0.53517
2021-11-14,13.08,-0.09,-0.68337
2021-11-11,13.17,0.16,1.22982
2021-11-10,13.01,0.13,1.00932
2021-11-09,12.88,-0.01,-0.07758
2021-11-08,12.89,0.09,0.70312
2021-11-07,12.8,0.07,0.54988
2021-11-04,12.73,-0.14,-1.0878
2021-11-03,12.87,0.11,0.86207
2021-11-02,12.76,-0.04,-0.3125
2021-11-01,12.8,-0.09,-0.69822
2021-10-31,12.89,0.16,1.25687
2021-10-28,12.73,0.1,0.79177
2021-10-27,12.63,-0.28,-2.16886
2021-10-26,12.91,-0.23,-1.75038
2021-10-25,13.14,-0.15,-1.12867
2021-10-24,13.29,0.09,0.68182
2021-10-21,13.2,0.03,0.22779
2021-10-20,13.17,0.1,0.76511
2021-10-19,13.07,-0.02,-0.15279
2021-10-18,13.09,0.21,1.63043
2021-10-17,12.88,0.03,0.23346
2021-10-14,12.85,0.4,3.21285
2021-10-11,12.45,-0.31,-2.42947
2021-10-07,12.76,0.12,0.94937
2021-09-29,12.64,0.24,1.93548
2021-09-28,12.4,-0.35,-2.7451
2021-09-27,12.75,0.06,0.47281
2021-09-26,12.69,-0.24,-1.85615
2021-09-23,12.93,0.02,0.15492
2021-09-22,12.91,0.07,0.54517
2021-09-16,12.84,0.08,0.62696
2021-09-15,12.76,-0.29,-2.22222
2021-09-14,13.05,0.08,0.61681
2021-09-13,12.97,-0.2,-1.5186
2021-09-12,13.17,-0.03,-0.22727
2021-09-09,13.2,-0.07,-0.52751
2021-09-08,13.27,0.25,1.92012
2021-09-07,13.02,0.02,0.15385
2021-09-06,13.0,0.25,1.96078
2021-09-05,12.75,0.18,1.43198
2021-09-02,12.57,-0.14,-1.10149
2021-09-01,12.71,0.14,1.11376
2021-08-31,12.57,-0.02,-0.15886
2021-08-30,12.59,0.09,0.72
2021-08-29,12.5,0.14,1.13269
2021-08-26,12.36,0.14,1.14566
2021-08-25,12.22,-0.23,-1.84739
2021-08-24,12.45,0.14,1.13729
2021-08-23,12.31,0.21,1.73554
2021-08-22,12.1,0.23,1.93766
2021-08-19,11.87,-0.19,-1.57546
2021-08-18,12.06,-0.02,-0.16556
2021-08-17,12.08,0.08,0.66667
2021-08-16,12.0,-0.42,-3.38164
2021-08-15,12.42,0.11,0.89358
2021-08-12,12.31,0.04,0.326
2021-08-11,12.27,0.08,0.65628
2021-08-10,12.19,0.04,0.32922
2021-08-09,12.15,0.11,0.91362
2021-08-08,12.04,-0.02,-0.16584
2021-08-05,12.06,-0.02,-0.16556
2021-08-04,12.08,-0.12,-0.98361
2021-08-03,12.2,0.22,1.83639
2021-08-02,11.98,-0.11,-0.90984
2021-08-01,12.09,0.27,2.28426
2021-07-29,11.82,-0.09,-0.75567
2021-07-28,11.91,0.55,4.84155
2021-07-27,11.36,0.06,0.53097
2021-07-26,11.3,-0.59,-4.96215
2021-07-25,11.89,-0.22,-1.81668
2021-07-22,12.11,-0.14,-1.14286
2021-07-21,12.25,0.09,0.74013
2021-07-20,12.16,0.18,1.5025
2021-07-19,11.98,0.1,0.84175
2021-07-18,11.88,-0.01,-0.0841
2021-07-15,11.89,-0.04,-0.33529
2021-07-14,11.93,0.03,0.2521
2021-07-13,11.9,-0.11,-0.9159
2021-07-12,12.01,-0.03,-0.24917
2021-07-11,12.04,0.32,2.73038
2021-07-08,11.72,0.1,0.86059
2021-07-07,11.62,-0.1,-0.85324
2021-07-06,11.72,0.2,1.73611
2021-07-05,11.52,-0.13,-1.11588
2021-07-04,11.65,0.09,0.77855
2021-07-01,11.56,-0.4,-3.34448
2021-06-29,11.96,0.04,0.33557
2021-06-28,11.92,-0.1,-0.83195
2021-06-27,12.02,0.02,0.16667
2021-06-24,12.0,0.22,1.86757
2021-06-23,11.78,-0.03,-0.25402
2021-06-22,11.81,0.14,1.19966
2021-06-21,11.67,0.13,1.12652
2021-06-20,11.54,0.1,0.87413
2021-06-17,11.44,0.04,0.35088
2021-06-16,11.4,0.14,1.24334
2021-06-15,11.26,-0.43,-3.67836
2021-06-14,11.69,0.0,0.0
2021-06-10,11.69,-0.11,-0.9322
2021-06-09,11.8,0.06,0.51107
2021-06-08,11.74,0.09,0.77253
2021-06-07,11.65,-0.11,-0.93537
2021-06-06,11.76,0.01,0.08511
2021-06-03,11.75,0.08,0.68552
2021-06-02,11.67,-0.14,-1.18544
2021-06-01,11.81,-0.14,-1.17155
2021-05-31,11.95,0.05,0.42017
2021-05-30,11.9,0.16,1.36286
2021-05-27,11.74,-0.14,-1.17845
2021-05-26,11.88,0.12,1.02041
2021-05-25,11.76,0.16,1.37931
2021-05-24,11.6,0.28,2.4735
2021-05-23,11.32,0.09,0.80142
2021-05-20,11.23,-0.02,-0.17778
2021-05-19,11.25,0.01,0.08897
2021-05-17,11.24,-0.1,-0.88183
2021-05-16,11.34,0.23,2.07021
2021-05-13,11.11,0.2,1.83318
2021-05-12,10.91,-0.11,-0.99819
2021-05-11,11.02,0.13,1.19376
2021-05-10,10.89,-0.09,-0.81967
2021-05-09,10.98,0.24,2.23464
2021-05-06,10.74,-0.31,-2.80543
2021-05-05,11.05,-0.06,-0.54005
2021-04-28,11.11,-0.1,-0.89206
2021-04-27,11.21,0.17,1.53986
2021-04-26,11.04,0.08,0.72993
2021-04-25,10.96,-0.03,-0.27298
2021-04-22,10.99,0.05,0.45704
2021-04-21,10.94,0.12,1.10906
2021-04-20,10.82,0.03,0.27804
2021-04-19,10.79,0.03,0.27881
2021-04-18,10.76,0.22,2.08729
2021-04-15,10.54,0.03,0.28544
2021-04-14,10.51,-0.02,-0.18993
2021-04-13,10.53,0.1,0.95877
2021-04-12,10.43,-0.04,-0.38204
2021-04-11,10.47,-0.15,-1.41243
2021-04-08,10.62,-0.16,-1.48423
2021-04-07,10.78,0.03,0.27907
2021-04-06,10.75,-0.02,-0.1857
2021-03-31,10.77,0.18,1.69972
2021-03-30,10.59,-0.05,-0.46992
2021-03-29,10.64,0.01,0.09407
2021-03-28,10.63,-0.09,-0.83955
2021-03-25,10.72,0.15,1.41911
2021-03-24,10.57,-0.03,-0.28302
2021-03-23,10.6,-0.17,-1.57846
2021-03-22,10.77,-0.14,-1.28323
2021-03-21,10.91,0.07,0.64576
2021-03-18,10.84,-0.22,-1.98915
2021-03-17,11.06,0.23,2.12373
2021-03-16,10.83,0.04,0.37071
2021-03-15,10.79,0.15,1.40977
2021-03-14,10.64,-0.24,-2.20588
2021-03-11,10.88,0.06,0.55453
2021-03-10,10.82,0.31,2.94957
2021-03-09,10.51,0.2,1.93986
2021-03-08,10.31,-0.19,-1.80952
2021-03-07,10.5,-0.46,-4.19708
2021-03-04,10.96,0.02,0.18282
2021-03-03,10.94,-0.49,-4.28696
2021-03-02,11.43,0.12,1.06101
2021-03-01,11.31,0.03,0.26596
2021-02-25,11.28,-0.31,-2.67472
2021-02-24,11.59,0.04,0.34632
2021-02-23,11.55,-0.31,-2.61383
2021-02-22,11.86,-0.02,-0.16835
2021-02-21,11.88,-0.61,-4.88391
2021-02-18,12.49,-0.09,-0.71542
2021-02-17,12.58,0.36,2.94599
2021-02-04,12.22,-0.02,-0.1634
2021-02-03,12.24,-0.05,-0.40683
2021-02-02,12.29,0.19,1.57025
2021-02-01,12.1,0.3,2.54237
2021-01-31,11.8,0.13,1.11397
2021-01-28,11.67,0.04,0.34394
2021-01-27,11.63,-0.47,-3.8843
2021-01-26,12.1,-0.11,-0.9009
2021-01-25,12.21,-0.31,-2.47604
2021-01-24,12.52,0.24,1.9544
2021-01-21,12.28,0.16,1.32013
2021-01-20,12.12,0.25,2.10615
2021-01-19,11.87,0.34,2.94883
2021-01-18,11.53,-0.23,-1.95578
2021-01-17,11.76,0.03,0.25575
2021-01-14,11.73,-0.12,-1.01266
2021-01-13,11.85,-0.31,-2.54934
2021-01-12,12.16,-0.02,-0.1642
2021-01-11,12.18,0.25,2.09556
2021-01-10,11.93,-0.2,-1.6488
2021-01-07,12.13,0.0,0.0
2021-01-06,12.13,0.18,1.50628
2021-01-05,11.95,0.05,0.42017
2021-01-04,11.9,0.14,1.19048
2021-01-03,11.76,0.23,1.9948
2020-12-30,11.53,0.2,1.76523
2020-12-29,11.33,0.19,1.70557
2020-12-28,11.14,-0.1,-0.88968
2020-12-27,11.24,0.18,1.62749
2020-12-23,11.06,-0.03,-0.27051
2020-12-22,11.09,0.17,1.55678
2020-12-21,10.92,-0.2,-1.79856
2020-12-20,11.12,0.09,0.81596
2020-12-17,11.03,-0.03,-0.27125
2020-12-16,11.06,0.13,1.18939
2020-12-15,10.93,0.17,1.57993
2020-12-14,10.76,0.12,1.12782
2020-12-13,10.64,0.11,1.04463
2020-12-10,10.53,-0.07,-0.66038
2020-12-09,10.6,0.02,0.18904
2020-12-08,10.58,-0.21,-1.94625
2020-12-07,10.79,0.06,0.55918
2020-12-06,10.73,-0.01,-0.09311
2020-12-03,10.74,0.07,0.65604
2020-12-02,10.67,-0.06,-0.55918
2020-12-01,10.73,0.05,0.46816
2020-11-30,10.68,0.26,2.4952
2020-11-29,10.42,0.02,0.19231
2020-11-26,10.4,0.05,0.48309
2020-11-25,10.35,0.04,0.38797
2020-11-24,10.31,-0.21,-1.9962
2020-11-23,10.52,-0.15,-1.40581
2020-11-22,10.67,0.15,1.42586
2020-11-19,10.52,0.09,0.8629
2020-11-18,10.43,0.14,1.36054
2020-11-17,10.29,-0.02,-0.19399
2020-11-16,10.31,-0.1,-0.96061
2020-11-15,10.41,0.09,0.87209
2020-11-12,10.32,-0.05,-0.48216
2020-11-11,10.37,0.09,0.87549
2020-11-10,10.28,-0.3,-2.83554
2020-11-09,10.58,-0.24,-2.21811
2020-11-08,10.82,0.3,2.85171
2020-11-05,10.52,-0.03,-0.28436
2020-11-04,10.55,0.27,2.62646
2020-11-03,10.28,0.01,0.09737
2020-11-02,10.27,0.07,0.68627
2020-11-01,10.2,0.16,1.59363
2020-10-29,10.04,-0.18,-1.76125
2020-10-28,10.22,0.23,2.3023
2020-10-27,9.99,0.0,0.0
2020-10-26,9.99,0.01,0.1002
2020-10-22,9.98,-0.27,-2.63415
2020-10-21,10.25,-0.15,-1.44231
2020-10-20,10.4,0.05,0.48309
2020-10-19,10.35,0.13,1.27202
2020-10-18,10.22,-0.11,-1.06486
2020-10-15,10.33,-0.04,-0.38573
2020-10-14,10.37,-0.01,-0.09634
2020-10-13,10.38,-0.05,-0.47939
2020-10-12,10.43,0.09,0.87041
2020-10-11,10.34,0.6,6.16016
2020-09-29,9.74,0.05,0.516
2020-09-28,9.69,0.07,0.72765
2020-09-27,9.62,-0.06,-0.61983
2020-09-24,9.68,-0.03,-0.30896
2020-09-23,9.71,-0.2,-2.01816
2020-09-22,9.91,0.18,1.84995
2020-09-21,9.73,-0.1,-1.01729
2020-09-20,9.83,-0.17,-1.7
2020-09-17,10.0,0.0,0.0
2020-09-16,10.0,0.0,0.0
2020-09-15,10.0,0.0,0.0
2020-09-14,10.0,0.0,0.0
2020-09-13,10.0,0.0,0.0
2020-09-10,10.0,0.0,0.0
2020-09-09,10.0,0.0,0.0
2020-09-08,10.0,0.0,0.0
