tradeDate,nav,change,changePercent
2022-08-31,18.28,-0.04,-0.21834
2022-08-30,18.32,-0.21,-1.1333
2022-08-29,18.53,-0.1,-0.53677
2022-08-28,18.63,-0.1,-0.5339
2022-08-25,18.73,-0.82,-4.19437
2022-08-24,19.55,0.31,1.61123
2022-08-23,19.24,0.1,0.52247
2022-08-22,19.14,0.06,0.31447
2022-08-21,19.08,-0.51,-2.60337
2022-08-18,19.59,-0.4,-2.001
2022-08-17,19.99,0.07,0.35141
2022-08-16,19.92,-0.33,-1.62963
2022-08-15,20.25,-0.08,-0.39351
2022-08-14,20.33,0.17,0.84325
2022-08-11,20.16,0.41,2.07595
2022-08-10,19.75,-0.21,-1.0521
2022-08-09,19.96,0.65,3.36613
2022-08-08,19.31,-0.35,-1.78026
2022-08-07,19.66,-0.01,-0.05084
2022-08-04,19.67,-0.11,-0.55612
2022-08-03,19.78,0.04,0.20263
2022-08-02,19.74,0.6,3.1348
2022-08-01,19.14,0.0,0.0
2022-07-31,19.14,0.05,0.26192
2022-07-28,19.09,0.23,1.21951
2022-07-27,18.86,0.18,0.9636
2022-07-26,18.68,0.69,3.83546
2022-07-25,17.99,-0.42,-2.28137
2022-07-24,18.41,-0.12,-0.6476
2022-07-21,18.53,-0.38,-2.00952
2022-07-20,18.91,0.24,1.28548
2022-07-19,18.67,0.34,1.85488
2022-07-18,18.33,0.55,3.09336
2022-07-17,17.78,-0.18,-1.00223
2022-07-14,17.96,0.43,2.45294
2022-07-13,17.53,,
2022-07-12,17.54,-0.09,-0.51049
2022-07-11,17.63,-0.24,-1.34303
2022-07-10,17.87,-0.3,-1.65107
2022-07-07,18.17,-0.02,-0.10995
2022-07-06,18.19,0.42,2.36353
2022-07-05,17.77,0.06,0.33879
2022-07-04,17.71,0.33,1.89873
2022-06-30,17.38,0.17,0.9878
2022-06-29,17.21,-0.22,-1.26219
2022-06-28,17.43,-0.03,-0.17182
2022-06-27,17.46,-0.51,-2.83806
2022-06-26,17.97,-0.27,-1.48026
2022-06-23,18.24,0.64,3.63636
2022-06-22,17.6,0.33,1.91083
2022-06-21,17.27,0.09,0.52386
2022-06-20,17.18,0.34,2.019
2022-06-16,16.84,0.28,1.69082
2022-06-15,16.56,-0.68,-3.94432
2022-06-14,17.24,0.44,2.61905
2022-06-13,16.8,0.01,0.05956
2022-06-12,16.79,-0.81,-4.60227
2022-06-09,17.6,-0.68,-3.71991
2022-06-08,18.28,-0.52,-2.76596
2022-06-07,18.8,-0.18,-0.94837
2022-06-06,18.98,0.28,1.49733
2022-06-05,18.7,-0.38,-1.99161
2022-06-01,19.08,0.67,3.63933
2022-05-31,18.41,0.05,0.27233
2022-05-30,18.36,-0.35,-1.87066
2022-05-26,18.71,0.51,2.8022
2022-05-25,18.2,0.37,2.07515
2022-05-24,17.83,0.29,1.65336
2022-05-23,17.54,-0.44,-2.44716
2022-05-22,17.98,0.28,1.58192
2022-05-19,17.7,-0.04,-0.22548
2022-05-18,17.74,0.09,0.50992
2022-05-17,17.65,-0.82,-4.43963
2022-05-16,18.47,0.4,2.21361
2022-05-15,18.07,-0.28,-1.52589
2022-05-12,18.35,0.65,3.67232
2022-05-11,17.7,0.17,0.96977
2022-05-10,17.53,-0.53,-2.93466
2022-05-09,18.06,0.16,0.89385
2022-05-08,17.9,-0.75,-4.02145
2022-05-05,18.65,-0.2,-1.06101
2022-05-04,18.85,-0.96,-4.84604
2022-05-03,19.81,0.53,2.74896
2022-05-02,19.28,0.34,1.79514
2022-04-28,18.94,-0.85,-4.2951
2022-04-27,19.79,0.72,3.77556
2022-04-26,19.07,0.03,0.15756
2022-04-25,19.04,-0.69,-3.49721
2022-04-24,19.73,0.38,1.96382
2022-04-21,19.35,-0.48,-2.42057
2022-04-20,19.83,-0.53,-2.60314
2022-04-19,20.36,-0.25,-1.213
2022-04-18,20.61,0.41,2.0297
2022-04-17,20.2,0.09,0.44754
2022-04-13,20.11,-0.44,-2.14112
2022-04-12,20.55,0.31,1.53162
2022-04-11,20.24,-0.05,-0.24643
