tradeDate,nav,change,changePercent
2022-08-30,8.0205,-0.0373,-0.46291
2022-08-29,8.0578,-0.0237,-0.29326
2022-08-28,8.0815,-0.0447,-0.55007
2022-08-25,8.1262,-0.0648,-0.79111
2022-08-24,8.191,0.0574,0.70571
2022-08-23,8.1336,-0.0041,-0.05038
2022-08-22,8.1377,-0.0073,-0.08963
2022-08-21,8.145,-0.0729,-0.88709
2022-08-18,8.2179,-0.0638,-0.77037
2022-08-17,8.2817,-0.0033,-0.03983
2022-08-16,8.285,-0.0573,-0.68686
2022-08-15,8.3423,0.0018,0.02158
2022-08-14,8.3405,0.0245,0.29461
2022-08-11,8.316,0.0328,0.39598
2022-08-10,8.2832,0.0103,0.1245
2022-08-09,8.2729,0.0454,0.55181
2022-08-08,8.2275,-0.0155,-0.18804
2022-08-07,8.243,0.0177,0.21519
2022-08-04,8.2253,-0.0159,-0.19293
2022-08-03,8.2412,0.0163,0.19818
2022-08-02,8.2249,0.0228,0.27798
2022-08-01,8.2021,-0.023,-0.27963
2022-07-31,8.2251,-0.0588,-0.70981
2022-07-28,8.2839,0.068,0.82766
2022-07-27,8.2159,0.057,0.69862
2022-07-26,8.1589,0.0601,0.74209
2022-07-25,8.0988,-0.0153,-0.18856
2022-07-24,8.1141,0.0085,0.10487
2022-07-21,8.1056,0.0156,0.19283
2022-07-20,8.09,0.0333,0.41332
2022-07-19,8.0567,0.0351,0.43757
2022-07-18,8.0216,0.0531,0.66637
2022-07-17,7.9685,0.0078,0.09798
2022-07-14,7.9607,0.0433,0.5469
2022-07-13,7.9174,-0.0351,-0.44137
2022-07-12,7.9525,,
2022-07-11,7.9681,-0.0213,-0.2666
2022-07-10,7.9894,-0.0066,-0.08254
2022-07-07,7.996,0.0002,0.0025
2022-07-06,7.9958,0.0353,0.44344
2022-07-05,7.9605,-0.0075,-0.09413
2022-07-04,7.968,0.0113,0.14202
2022-06-30,7.9567,-0.0524,-0.65426
2022-06-29,8.0091,-0.0276,-0.34342
2022-06-28,8.0367,-0.007,-0.08702
2022-06-27,8.0437,-0.0434,-0.53666
2022-06-26,8.0871,-0.0057,-0.07043
2022-06-23,8.0928,0.0683,0.85114
2022-06-22,8.0245,0.0272,0.34011
2022-06-21,7.9973,-0.0001,-0.00125
2022-06-20,7.9974,0.0205,0.25699
2022-06-16,7.9769,0.0183,0.22994
2022-06-15,7.9586,-0.0828,-1.02967
2022-06-14,8.0414,0.0408,0.50996
2022-06-13,8.0006,-0.0351,-0.4368
2022-06-12,8.0357,-0.1838,-2.23615
2022-06-09,8.2195,-0.1184,-1.42002
2022-06-08,8.3379,-0.0618,-0.73574
2022-06-07,8.3997,-0.0353,-0.41849
2022-06-06,8.435,0.0143,0.16982
2022-06-05,8.4207,-0.0383,-0.45277
2022-06-01,8.459,0.0207,0.24531
2022-05-31,8.4383,-0.1148,-1.3422
2022-05-30,8.5531,-0.0188,-0.21932
2022-05-26,8.5719,0.0777,0.91474
2022-05-25,8.4942,0.0711,0.84411
2022-05-24,8.4231,0.0421,0.50233
2022-05-23,8.381,-0.0148,-0.17628
2022-05-22,8.3958,0.0285,0.34061
2022-05-19,8.3673,-0.0019,-0.0227
2022-05-18,8.3692,-0.0225,-0.26812
2022-05-17,8.3917,-0.0622,-0.73576
2022-05-16,8.4539,0.0246,0.29184
2022-05-15,8.4293,-0.0034,-0.04032
2022-05-12,8.4327,0.0295,0.35106
2022-05-11,8.4032,0.0139,0.16569
2022-05-10,8.3893,-0.0005,-0.00596
2022-05-09,8.3898,0.0265,0.31686
2022-05-08,8.3633,-0.0707,-0.83827
2022-05-05,8.434,-0.0571,-0.67247
