tradeDate,nav,change,changePercent
2022-08-30,10.5,-0.01,-0.09515
2022-08-29,10.51,-0.01,-0.09506
2022-08-28,10.52,-0.01,-0.09497
2022-08-25,10.53,0.0,0.0
2022-08-24,10.53,0.0,0.0
2022-08-23,10.53,0.01,0.09506
2022-08-22,10.52,0.0,0.0
2022-08-21,10.52,-0.01,-0.09497
2022-08-18,10.53,-0.01,-0.09488
2022-08-17,10.54,0.0,0.0
2022-08-16,10.54,-0.01,-0.09479
2022-08-15,10.55,0.0,0.0
2022-08-14,10.55,0.01,0.09488
2022-08-11,10.54,0.0,0.0
2022-08-10,10.54,0.03,0.28544
2022-08-09,10.51,0.01,0.09524
2022-08-08,10.5,0.0,0.0
2022-08-07,10.5,0.01,0.09533
2022-08-04,10.49,0.0,0.0
2022-08-03,10.49,0.0,0.0
2022-08-02,10.49,0.0,0.0
2022-08-01,10.49,-0.01,-0.09524
2022-07-31,10.5,0.02,0.19084
2022-07-28,10.48,0.03,0.28708
2022-07-27,10.45,0.02,0.19175
2022-07-26,10.43,0.01,0.09597
2022-07-25,10.42,0.0,0.0
2022-07-24,10.42,0.02,0.19231
2022-07-21,10.4,0.0,0.0
2022-07-20,10.4,0.02,0.19268
2022-07-19,10.38,0.01,0.09643
2022-07-18,10.37,0.0,0.0
2022-07-17,10.37,0.0,0.0
2022-07-14,10.37,-0.01,-0.09634
2022-07-13,10.38,-0.02,-0.19231
2022-07-12,10.4,-0.03,-0.28763
2022-07-11,10.43,-0.03,-0.28681
2022-07-10,10.46,-0.03,-0.28599
2022-07-07,10.49,-0.01,-0.09524
2022-07-06,10.5,-0.02,-0.19011
2022-07-05,10.52,-0.02,-0.18975
2022-07-04,10.54,-0.04,-0.37807
2022-06-30,10.58,0.01,0.09461
2022-06-29,10.57,-0.01,-0.09452
2022-06-28,10.58,-0.02,-0.18868
2022-06-27,10.6,-0.01,-0.09425
2022-06-26,10.61,0.01,0.09434
2022-06-23,10.6,-0.01,-0.09425
2022-06-22,10.61,-0.03,-0.28195
2022-06-21,10.64,,
2022-06-20,10.64,-0.02,-0.18762
2022-06-16,10.66,-0.02,-0.18727
2022-06-15,10.68,-0.01,-0.09355
2022-06-14,10.69,0.02,0.18744
2022-06-13,10.67,-0.03,-0.28037
2022-06-12,10.7,-0.09,-0.83411
2022-06-09,10.79,-0.03,-0.27726
2022-06-08,10.82,-0.02,-0.1845
2022-06-07,10.84,-0.01,-0.09217
2022-06-06,10.85,0.0,0.0
2022-06-05,10.85,0.01,0.09225
2022-06-01,10.84,-0.01,-0.09217
2022-05-31,10.85,0.0,0.0
2022-05-30,10.85,0.0,0.0
2022-05-26,10.85,0.0,0.0
2022-05-25,10.85,0.02,0.18467
2022-05-24,10.83,0.01,0.09242
2022-05-23,10.82,0.01,0.09251
2022-05-22,10.81,0.02,0.18536
2022-05-19,10.79,0.02,0.1857
2022-05-18,10.77,-0.02,-0.18536
2022-05-17,10.79,0.02,0.1857
2022-05-16,10.77,-0.02,-0.18536
2022-05-15,10.79,0.01,0.09276
2022-05-12,10.78,-0.01,-0.09268
2022-05-11,10.79,-0.04,-0.36934
2022-05-10,10.83,-0.01,-0.09225
2022-05-09,10.84,-0.04,-0.36765
2022-05-08,10.88,0.0,0.0
2022-05-05,10.88,-0.02,-0.18349
2022-05-04,10.9,0.0,0.0
2022-05-03,10.9,0.01,0.09183
2022-05-02,10.89,-0.01,-0.09174
2022-04-28,10.9,0.0,0.0
2022-04-27,10.9,0.01,0.09183
2022-04-26,10.89,-0.01,-0.09174
2022-04-25,10.9,0.02,0.18382
2022-04-24,10.88,-0.02,-0.18349
2022-04-21,10.9,-0.01,-0.09166
2022-04-20,10.91,-0.02,-0.18298
2022-04-19,10.93,-0.01,-0.09141
2022-04-18,10.94,-0.01,-0.09132
2022-04-17,10.95,0.0,0.0
2022-04-13,10.95,0.02,0.18298
2022-04-12,10.93,0.01,0.09158
2022-04-11,10.92,-0.01,-0.09149
2022-04-10,10.93,-0.03,-0.27372
2022-04-07,10.96,-0.01,-0.09116
2022-04-06,10.97,0.0,0.0
2022-04-05,10.97,0.03,0.27422
2022-03-31,10.94,-0.02,-0.18248
2022-03-30,10.96,0.01,0.09132
2022-03-29,10.95,0.04,0.36664
2022-03-28,10.91,0.03,0.27574
2022-03-27,10.88,0.02,0.18416
2022-03-24,10.86,0.0,0.0
2022-03-23,10.86,-0.01,-0.092
2022-03-22,10.87,0.02,0.18433
2022-03-21,10.85,-0.01,-0.09208
2022-03-20,10.86,0.02,0.1845
2022-03-17,10.84,0.02,0.18484
2022-03-16,10.82,0.03,0.27804
2022-03-15,10.79,0.0,0.0
2022-03-14,10.79,-0.02,-0.18501
2022-03-13,10.81,-0.04,-0.36866
2022-03-10,10.85,-0.02,-0.18399
2022-03-09,10.87,0.02,0.18433
2022-03-08,10.85,-0.05,-0.45872
2022-03-07,10.9,-0.11,-0.99909
2022-03-06,11.01,-0.05,-0.45208
2022-03-03,11.06,-0.02,-0.18051
2022-03-02,11.08,-0.03,-0.27003
2022-03-01,11.11,-0.03,-0.2693
2022-02-28,11.14,-0.04,-0.35778
2022-02-24,11.18,-0.12,-1.06195
2022-02-23,11.3,-0.07,-0.61566
2022-02-22,11.37,-0.01,-0.08787
2022-02-21,11.38,-0.06,-0.52448
2022-02-17,11.44,0.0,0.0
2022-02-16,11.44,0.0,0.0
2022-02-15,11.44,0.0,0.0
2022-02-14,11.44,0.01,0.08749
2022-02-13,11.43,-0.02,-0.17467
2022-02-10,11.45,-0.02,-0.17437
2022-02-09,11.47,0.0,0.0
2022-02-08,11.47,0.01,0.08726
2022-02-07,11.46,0.0,0.0
2022-02-06,11.46,0.0,0.0
2022-01-27,11.46,-0.01,-0.08718
2022-01-26,11.47,-0.01,-0.08711
2022-01-25,11.48,0.0,0.0
2022-01-24,11.48,-0.01,-0.08703
2022-01-23,11.49,-0.01,-0.08696
2022-01-20,11.5,0.02,0.17422
2022-01-19,11.48,0.01,0.08718
2022-01-18,11.47,0.02,0.17467
2022-01-17,11.45,-0.06,-0.52129
2022-01-13,11.51,-0.02,-0.17346
2022-01-12,11.53,-0.03,-0.25952
2022-01-11,11.56,0.0,0.0
2022-01-10,11.56,0.0,0.0
2022-01-09,11.56,-0.01,-0.08643
2022-01-06,11.57,-0.01,-0.08636
2022-01-05,11.58,-0.02,-0.17241
2022-01-04,11.6,0.0,0.0
2022-01-03,11.6,0.0,0.0
2022-01-02,11.6,0.01,0.08628
2021-12-29,11.59,0.0,0.0
2021-12-28,11.59,0.01,0.08636
2021-12-27,11.58,0.0,0.0
2021-12-26,11.58,0.0,0.0
2021-12-22,11.58,0.01,0.08643
2021-12-21,11.57,0.0,0.0
2021-12-20,11.57,0.0,0.0
2021-12-19,11.57,-0.01,-0.08636
2021-12-16,11.58,-0.01,-0.08628
2021-12-15,11.59,0.0,0.0
2021-12-14,11.59,0.0,0.0
2021-12-13,11.59,0.0,0.0
2021-12-12,11.59,0.01,0.08636
2021-12-09,11.58,0.0,0.0
2021-12-08,11.58,0.01,0.08643
2021-12-07,11.57,0.01,0.08651
2021-12-06,11.56,0.0,0.0
2021-12-05,11.56,0.01,0.08658
2021-12-02,11.55,0.0,0.0
2021-12-01,11.55,0.0,0.0
2021-11-30,11.55,0.0,0.0
2021-11-29,11.55,-0.01,-0.08651
2021-11-28,11.56,-0.01,-0.08643
2021-11-25,11.57,-0.01,-0.08636
2021-11-23,11.58,0.0,0.0
2021-11-22,11.58,-0.03,-0.2584
2021-11-21,11.61,0.0,0.0
2021-11-18,11.61,0.0,0.0
2021-11-17,11.61,0.0,0.0
2021-11-16,11.61,0.0,0.0
2021-11-15,11.61,0.0,0.0
2021-11-14,11.61,0.01,0.08621
2021-11-11,11.6,0.0,0.0
2021-11-10,11.6,0.0,0.0
2021-11-09,11.6,-0.01,-0.08613
2021-11-08,11.61,-0.01,-0.08606
2021-11-07,11.62,-0.01,-0.08598
2021-11-04,11.63,-0.01,-0.08591
2021-11-03,11.64,-0.01,-0.08584
2021-11-02,11.65,0.01,0.08591
2021-11-01,11.64,0.0,0.0
2021-10-31,11.64,-0.01,-0.08584
2021-10-28,11.65,0.0,0.0
2021-10-27,11.65,0.0,0.0
2021-10-26,11.65,0.0,0.0
2021-10-25,11.65,0.01,0.08591
2021-10-24,11.64,0.0,0.0
2021-10-21,11.64,-0.01,-0.08584
2021-10-20,11.65,0.0,0.0
2021-10-19,11.65,0.0,0.0
2021-10-18,11.65,0.01,0.08591
2021-10-17,11.64,0.01,0.08598
2021-10-14,11.63,0.01,0.08606
2021-10-13,11.62,0.0,0.0
2021-10-12,11.62,0.01,0.08613
2021-10-11,11.61,-0.03,-0.25773
2021-10-07,11.64,-0.01,-0.08584
2021-10-06,11.65,-0.02,-0.17138
