tradeDate,nav,change,changePercent
2022-08-31,15.32,-0.03,-0.19544
2022-08-30,15.35,-0.1,-0.64725
2022-08-29,15.45,-0.03,-0.1938
2022-08-28,15.48,-0.05,-0.32196
2022-08-25,15.53,-0.45,-2.81602
2022-08-24,15.98,0.21,1.33164
2022-08-23,15.77,0.12,0.76677
2022-08-22,15.65,-0.04,-0.25494
2022-08-21,15.69,-0.25,-1.56838
2022-08-18,15.94,-0.23,-1.42239
2022-08-17,16.17,0.0,0.0
2022-08-16,16.17,-0.15,-0.91912
2022-08-15,16.32,-0.02,-0.1224
2022-08-14,16.34,0.04,0.2454
2022-08-11,16.3,0.17,1.05394
2022-08-10,16.13,-0.05,-0.30902
2022-08-09,16.18,0.31,1.95337
2022-08-08,15.87,-0.14,-0.87445
2022-08-07,16.01,0.01,0.0625
2022-08-04,16.0,-0.11,-0.68281
2022-08-03,16.11,0.17,1.0665
2022-08-02,15.94,0.33,2.11403
2022-08-01,15.61,-0.1,-0.63654
2022-07-31,15.71,0.0,0.0
2022-07-28,15.71,0.05,0.31928
2022-07-27,15.66,0.2,1.29366
2022-07-26,15.46,0.28,1.84453
2022-07-25,15.18,-0.15,-0.97847
2022-07-24,15.33,-0.06,-0.38986
2022-07-21,15.39,-0.05,-0.32383
2022-07-20,15.44,0.15,0.98103
2022-07-19,15.29,0.16,1.0575
2022-07-18,15.13,0.34,2.29885
2022-07-17,14.79,0.0,0.0
2022-07-14,14.79,0.27,1.8595
2022-07-13,14.52,-0.03,-0.20619
2022-07-12,14.55,-0.06,-0.41068
2022-07-11,14.61,-0.06,-0.409
2022-07-10,14.67,-0.14,-0.94531
2022-07-07,14.81,-0.02,-0.13486
2022-07-06,14.83,0.1,0.67889
2022-07-05,14.73,0.07,0.47749
2022-07-04,14.66,0.06,0.41096
2022-06-30,14.6,0.14,0.96819
2022-06-29,14.46,-0.1,-0.68681
2022-06-28,14.56,-0.02,-0.13717
2022-06-27,14.58,-0.31,-2.08193
2022-06-26,14.89,-0.11,-0.73333
2022-06-23,15.0,0.41,2.81014
2022-06-22,14.59,0.17,1.17892
2022-06-21,14.42,0.0,0.0
2022-06-20,14.42,0.19,1.33521
2022-06-16,14.23,0.17,1.2091
2022-06-15,14.06,-0.45,-3.10131
2022-06-14,14.51,0.25,1.75316
2022-06-13,14.26,-0.1,-0.69638
2022-06-12,14.36,-0.5,-3.36474
2022-06-09,14.86,-0.38,-2.49344
2022-06-08,15.24,-0.36,-2.30769
2022-06-07,15.6,-0.08,-0.5102
2022-06-06,15.68,0.15,0.96587
2022-06-05,15.53,-0.11,-0.70332
2022-06-01,15.64,0.37,2.42305
2022-05-31,15.27,-0.13,-0.84416
2022-05-30,15.4,-0.19,-1.21873
2022-05-26,15.59,0.26,1.69602
2022-05-25,15.33,0.24,1.59046
2022-05-24,15.09,0.09,0.6
2022-05-23,15.0,-0.25,-1.63934
2022-05-22,15.25,0.24,1.59893
2022-05-19,15.01,0.12,0.80591
2022-05-18,14.89,0.02,0.1345
2022-05-17,14.87,-0.38,-2.4918
2022-05-16,15.25,0.3,2.00669
2022-05-15,14.95,-0.12,-0.79628
2022-05-12,15.07,0.39,2.65668
2022-05-11,14.68,-0.05,-0.33944
2022-05-10,14.73,-0.14,-0.94149
2022-05-09,14.87,-0.03,-0.20134
2022-05-08,14.9,-0.51,-3.30954
2022-05-05,15.41,-0.24,-1.53355
2022-05-04,15.65,-0.65,-3.98773
2022-05-03,16.3,0.23,1.43124
2022-05-02,16.07,-0.05,-0.31017
2022-04-28,16.12,-0.37,-2.24378
2022-04-27,16.49,0.52,3.25611
2022-04-26,15.97,0.22,1.39683
2022-04-25,15.75,-0.46,-2.83775
2022-04-24,16.21,0.1,0.62073
2022-04-21,16.11,-0.45,-2.71739
2022-04-20,16.56,-0.33,-1.95382
2022-04-19,16.89,-0.05,-0.29516
2022-04-18,16.94,0.25,1.4979
2022-04-17,16.69,0.1,0.60277
2022-04-13,16.59,-0.15,-0.89606
2022-04-12,16.74,0.13,0.78266
2022-04-11,16.61,-0.06,-0.35993
2022-04-10,16.67,-0.18,-1.06825
2022-04-07,16.85,0.01,0.05938
2022-04-06,16.84,-0.03,-0.17783
