tradeDate,nav,change,changePercent
2022-08-31,12.3703,-0.1122,-0.89886
2022-08-30,12.4825,-0.0559,-0.44583
2022-08-29,12.5384,-0.0645,-0.51179
2022-08-28,12.6029,-0.0922,-0.72626
2022-08-25,12.6951,-0.1094,-0.85439
2022-08-24,12.8045,0.0792,0.62238
2022-08-23,12.7253,0.0186,0.14638
2022-08-22,12.7067,-0.0022,-0.01731
2022-08-21,12.7089,-0.1515,-1.17803
2022-08-18,12.8604,-0.1154,-0.88935
2022-08-17,12.9758,0.0127,0.09797
2022-08-16,12.9631,-0.0731,-0.56075
2022-08-15,13.0362,0.0747,0.57632
2022-08-11,12.9615,0.068,0.5274
2022-08-10,12.8935,0.0347,0.26985
2022-08-09,12.8588,0.1469,1.15561
2022-08-08,12.7119,-0.0685,-0.53598
2022-08-07,12.7804,0.0704,0.55389
2022-08-04,12.71,-0.0437,-0.34265
2022-08-03,12.7537,0.0454,0.35725
2022-08-02,12.7083,0.0598,0.47278
2022-08-01,12.6485,-0.0817,-0.64178
2022-07-31,12.7302,0.042,0.33102
2022-07-28,12.6882,0.1257,1.0006
2022-07-27,12.5625,0.0975,0.78219
2022-07-26,12.465,0.1383,1.12195
2022-07-25,12.3267,-0.0744,-0.59995
2022-07-24,12.4011,-0.01,-0.08057
2022-07-21,12.4111,0.0142,0.11454
2022-07-20,12.3969,0.0755,0.61276
2022-07-19,12.3214,0.0672,0.54838
2022-07-18,12.2542,0.1027,0.84516
2022-07-17,12.1515,0.0474,0.3916
2022-07-14,12.1041,0.1738,1.45679
2022-07-13,11.9303,-0.045,-0.37577
2022-07-12,11.9753,,
2022-07-11,12.031,-0.0505,-0.41799
2022-07-10,12.0815,-0.0783,-0.64393
2022-07-07,12.1598,0.0149,0.12269
2022-07-06,12.1449,0.1368,1.13923
2022-07-05,12.0081,0.026,0.21699
2022-07-04,11.9821,-0.037,-0.30784
2022-07-03,12.0191,-0.0102,-0.08479
2022-06-30,12.0293,0.0069,0.05739
2022-06-29,12.0224,-0.1313,-1.08033
2022-06-28,12.1537,-0.0805,-0.65799
2022-06-27,12.2342,-0.0582,-0.47346
2022-06-26,12.2924,0.0292,0.23811
2022-06-23,12.2632,0.2468,2.05386
2022-06-21,12.0164,-0.0533,-0.4416
2022-06-20,12.0697,0.1586,1.33153
2022-06-19,11.9111,-0.013,-0.10902
2022-06-16,11.9241,-0.0071,-0.05951
2022-06-15,11.9312,-0.233,-1.91546
2022-06-14,12.1642,0.0636,0.52559
2022-06-13,12.1006,-0.0695,-0.57107
