tradeDate,nav,change,changePercent
2022-08-30,8.4,-0.08,-0.9434
2022-08-29,8.48,-0.07,-0.81871
2022-08-25,8.55,-0.02,-0.23337
2022-08-24,8.57,0.02,0.23392
2022-08-23,8.55,0.02,0.23447
2022-08-22,8.53,-0.01,-0.1171
2022-08-21,8.54,-0.06,-0.69767
2022-08-18,8.6,-0.05,-0.57803
2022-08-17,8.65,0.0,0.0
2022-08-16,8.65,-0.05,-0.57471
2022-08-15,8.7,0.03,0.34602
2022-08-11,8.67,0.01,0.11547
2022-08-10,8.66,0.03,0.34762
2022-08-09,8.63,0.08,0.93567
2022-08-08,8.55,-0.05,-0.5814
2022-08-07,8.6,0.08,0.93897
2022-08-04,8.52,-0.06,-0.6993
2022-08-03,8.58,0.03,0.35088
2022-08-02,8.55,0.01,0.1171
2022-08-01,8.54,-0.01,-0.11696
2022-07-31,8.55,0.05,0.58824
2022-07-28,8.5,0.03,0.35419
2022-07-27,8.47,0.08,0.95352
2022-07-26,8.39,0.03,0.35885
2022-07-25,8.36,-0.03,-0.35757
2022-07-24,8.39,0.0,0.0
2022-07-21,8.39,0.05,0.59952
2022-07-20,8.34,0.02,0.24038
2022-07-19,8.32,0.04,0.48309
2022-07-18,8.28,0.03,0.36364
2022-07-17,8.25,0.03,0.36496
2022-07-14,8.22,0.11,1.35635
2022-07-13,8.11,,
2022-07-12,8.16,-0.06,-0.72993
2022-07-11,8.22,0.02,0.2439
2022-07-10,8.2,-0.01,-0.1218
2022-07-07,8.21,0.02,0.2442
2022-07-06,8.19,0.06,0.73801
2022-07-05,8.13,0.05,0.61881
2022-07-04,8.08,-0.04,-0.49261
2022-06-30,8.12,0.04,0.49505
2022-06-29,8.08,-0.08,-0.98039
2022-06-28,8.16,-0.06,-0.72993
2022-06-27,8.22,-0.01,-0.12151
2022-06-26,8.23,0.0,0.0
2022-06-23,8.23,0.08,0.9816
2022-06-21,8.15,0.01,0.12285
2022-06-20,8.14,0.06,0.74257
2022-06-16,8.08,0.02,0.24814
2022-06-15,8.06,-0.11,-1.34639
2022-06-14,8.17,0.06,0.73983
2022-06-13,8.11,-0.07,-0.85575
2022-06-12,8.18,-0.15,-1.80072
2022-06-09,8.33,-0.15,-1.76887
2022-06-08,8.48,-0.07,-0.81871
2022-06-07,8.55,0.01,0.1171
2022-06-06,8.54,0.04,0.47059
2022-05-31,8.5,0.05,0.59172
2022-05-30,8.45,-0.15,-1.74419
2022-05-26,8.6,0.13,1.53483
2022-05-24,8.47,0.06,0.71344
2022-05-23,8.41,-0.02,-0.23725
2022-05-22,8.43,0.05,0.59666
2022-05-19,8.38,-0.01,-0.11919
2022-05-18,8.39,-0.06,-0.71006
2022-05-17,8.45,-0.07,-0.8216
2022-05-16,8.52,0.01,0.11751
2022-05-15,8.51,0.01,0.11765
2022-05-12,8.5,0.06,0.7109
2022-05-11,8.44,-0.03,-0.35419
2022-05-10,8.47,0.01,0.1182
2022-05-09,8.46,-0.06,-0.70423
2022-05-05,8.52,-0.05,-0.58343
2022-05-04,8.57,0.0,0.0
2022-05-03,8.57,-0.01,-0.11655
2022-05-02,8.58,-0.04,-0.46404
2022-04-28,8.62,-0.07,-0.80552
2022-04-27,8.69,0.04,0.46243
2022-04-26,8.65,0.0,0.0
2022-04-25,8.65,0.0,0.0
2022-04-24,8.65,-0.05,-0.57471
2022-04-21,8.7,-0.1,-1.13636
2022-04-20,8.8,0.0,0.0
2022-04-19,8.8,0.05,0.57143
2022-04-18,8.75,0.03,0.34404
2022-04-13,8.72,-0.01,-0.11455
2022-04-12,8.73,-0.03,-0.34247
2022-04-11,8.76,0.03,0.34364
2022-04-10,8.73,0.0,0.0
2022-04-07,8.73,0.02,0.22962
2022-04-06,8.71,0.02,0.23015
2022-04-05,8.69,-0.04,-0.45819
2022-03-31,8.73,0.0,0.0
2022-03-30,8.73,-0.04,-0.4561
2022-03-29,8.77,-0.03,-0.34091
2022-03-28,8.8,0.08,0.91743
2022-03-27,8.72,0.04,0.46083
2022-03-24,8.68,0.02,0.23095
2022-03-23,8.66,0.03,0.34762
2022-03-22,8.63,-0.01,-0.11574
2022-03-21,8.64,0.01,0.11587
