tradeDate,nav,change,changePercent
2022-08-30,9.1706,-0.0482,-0.52284
2022-08-29,9.2188,-0.0439,-0.47394
2022-08-28,9.2627,-0.0171,-0.18427
2022-08-25,9.2798,0.0143,0.15434
2022-08-24,9.2655,-0.0109,-0.1175
2022-08-23,9.2764,-0.0039,-0.04202
2022-08-22,9.2803,-0.0531,-0.56892
2022-08-21,9.3334,-0.0388,-0.41399
2022-08-18,9.3722,-0.0049,-0.05225
2022-08-17,9.3771,-0.0238,-0.25317
2022-08-16,9.4009,-0.013,-0.13809
2022-08-15,9.4139,0.0012,0.01275
2022-08-14,9.4127,0.017,0.18093
2022-08-11,9.3957,0.0136,0.14496
2022-08-10,9.3821,0.0422,0.45182
2022-08-09,9.3399,-0.0187,-0.19982
2022-08-08,9.3586,0.0013,0.01389
2022-08-07,9.3573,-0.0072,-0.07689
2022-08-04,9.3645,-0.0223,-0.23757
2022-08-03,9.3868,0.0167,0.17823
2022-08-02,9.3701,0.0055,0.05873
2022-08-01,9.3646,0.0108,0.11546
2022-07-31,9.3538,0.0537,0.57741
2022-07-28,9.3001,0.0444,0.4797
2022-07-27,9.2557,0.0157,0.16991
2022-07-26,9.24,-0.0114,-0.12322
2022-07-25,9.2514,0.0084,0.09088
2022-07-24,9.243,0.0416,0.45211
2022-07-21,9.2014,0.0269,0.2932
2022-07-20,9.1745,0.029,0.3171
2022-07-19,9.1455,0.0234,0.25652
2022-07-18,9.1221,0.0268,0.29466
2022-07-17,9.0953,0.0521,0.57612
2022-07-14,9.0432,-0.0416,-0.45791
2022-07-13,9.0848,,
2022-07-12,9.0851,0.0064,0.07049
2022-07-11,9.0787,0.0125,0.13787
2022-07-10,9.0662,0.0246,0.27208
2022-07-07,9.0416,0.0151,0.16729
2022-07-06,9.0265,0.0234,0.25991
2022-07-05,9.0031,0.0,0.0
2022-07-04,9.0031,0.0261,0.29074
2022-06-30,8.977,-0.0266,-0.29544
2022-06-29,9.0036,-0.0532,-0.5874
2022-06-28,9.0568,-0.0499,-0.54795
2022-06-27,9.1067,0.0073,0.08023
2022-06-26,9.0994,0.0544,0.60144
2022-06-23,9.045,0.0149,0.165
2022-06-22,9.0301,-0.0159,-0.17577
2022-06-21,9.046,,
2022-06-20,9.0359,0.0203,0.22517
2022-06-16,9.0156,-0.0648,-0.71362
2022-06-15,9.0804,0.0379,0.41913
2022-06-14,9.0425,-0.0238,-0.26251
2022-06-13,9.0663,-0.1787,-1.93294
2022-06-12,9.245,-0.0837,-0.89723
2022-06-09,9.3287,-0.0261,-0.279
2022-06-08,9.3548,-0.0226,-0.241
2022-06-07,9.3774,-0.0627,-0.66419
2022-06-06,9.4401,-0.0291,-0.30731
2022-06-05,9.4692,-0.0185,-0.19499
2022-06-01,9.4877,0.0025,0.02636
2022-05-31,9.4852,-0.0157,-0.16525
2022-05-30,9.5009,0.049,0.51841
2022-05-26,9.4519,0.082,0.87514
2022-05-25,9.3699,0.0665,0.71479
2022-05-24,9.3034,0.0138,0.14855
2022-05-23,9.2896,0.018,0.19414
2022-05-22,9.2716,0.0134,0.14474
2022-05-19,9.2582,-0.0132,-0.14237
2022-05-18,9.2714,-0.0387,-0.41568
2022-05-17,9.3101,-0.0015,-0.01611
2022-05-16,9.3116,-0.002,-0.02147
2022-05-15,9.3136,0.0031,0.0333
2022-05-12,9.3105,-0.0241,-0.25818
2022-05-11,9.3346,-0.0057,-0.06103
2022-05-10,9.3403,-0.0067,-0.07168
2022-05-09,9.347,-0.0536,-0.57018
2022-05-08,9.4006,-0.0668,-0.70558
2022-05-05,9.4674,-0.0244,-0.25706
2022-05-04,9.4918,0.0216,0.22808
2022-05-03,9.4702,0.0164,0.17348
2022-05-02,9.4538,-0.0627,-0.65886
2022-04-28,9.5165,-0.0064,-0.06721
2022-04-27,9.5229,-0.0079,-0.08289
2022-04-26,9.5308,0.0008,0.00839
2022-04-25,9.53,0.006,0.063
2022-04-24,9.524,-0.0296,-0.30983
2022-04-21,9.5536,-0.0085,-0.08889
2022-04-20,9.5621,0.0118,0.12356
2022-04-19,9.5503,-0.0061,-0.06383
2022-04-18,9.5564,-0.007,-0.0732
2022-04-17,9.5634,-0.0015,-0.01568
2022-04-13,9.5649,0.013,0.1361
2022-04-12,9.5519,0.0126,0.13209
2022-04-11,9.5393,-0.025,-0.26139
2022-04-10,9.5643,-0.0633,-0.65748
2022-04-07,9.6276,-0.0066,-0.06851
2022-04-06,9.6342,-0.0299,-0.30939
2022-04-05,9.6641,-0.0027,-0.02793
2022-03-31,9.6668,-0.0052,-0.05376
2022-03-30,9.672,0.0117,0.12111
2022-03-29,9.6603,0.0491,0.51086
2022-03-28,9.6112,0.0035,0.03643
2022-03-27,9.6077,-0.0092,-0.09566
2022-03-24,9.6169,0.0015,0.0156
2022-03-23,9.6154,0.0065,0.06765
2022-03-22,9.6089,-0.0127,-0.13199
2022-03-21,9.6216,-0.0014,-0.01455
2022-03-20,9.623,0.0119,0.12382
2022-03-17,9.6111,0.0448,0.46831
2022-03-16,9.5663,0.0347,0.36405
2022-03-15,9.5316,-0.0049,-0.05138
2022-03-14,9.5365,-0.0484,-0.50496
2022-03-13,9.5849,-0.0218,-0.22692
2022-03-10,9.6067,-0.0226,-0.2347
2022-03-09,9.6293,0.019,0.1977
2022-03-08,9.6103,-0.0284,-0.29465
2022-03-07,9.6387,-0.0278,-0.28759
2022-03-06,9.6665,-0.0719,-0.73831
2022-03-03,9.7384,0.0005,0.00513
2022-03-02,9.7379,0.004,0.04109
2022-03-01,9.7339,0.004,0.04111
2022-02-28,9.7299,0.0598,0.6184
2022-02-24,9.6701,-0.0106,-0.1095
2022-02-23,9.6807,-0.009,-0.09288
2022-02-22,9.6897,0.0018,0.01858
2022-02-21,9.6879,0.0017,0.01755
2022-02-17,9.6862,-0.0007,-0.00723
2022-02-16,9.6869,0.0048,0.04958
2022-02-15,9.6821,0.0156,0.16138
2022-02-14,9.6665,-0.0171,-0.17659
2022-02-13,9.6836,-0.0369,-0.37961
2022-02-10,9.7205,-0.0761,-0.7768
2022-02-09,9.7966,0.0062,0.06333
2022-02-08,9.7904,0.0069,0.07053
2022-02-07,9.7835,0.002,0.02045
2022-02-06,9.7815,-0.0265,-0.27019
2022-01-27,9.808,-0.0344,-0.34951
2022-01-26,9.8424,0.0156,0.15875
2022-01-25,9.8268,-0.0055,-0.05594
2022-01-24,9.8323,-0.015,-0.15233
2022-01-23,9.8473,-0.0113,-0.11462
2022-01-20,9.8586,-0.0008,-0.00811
2022-01-19,9.8594,0.0091,0.09238
2022-01-18,9.8503,-0.0162,-0.16419
2022-01-17,9.8665,-0.0034,-0.03445
2022-01-13,9.8699,-0.0009,-0.00912
2022-01-12,9.8708,0.005,0.05068
2022-01-11,9.8658,0.0164,0.16651
2022-01-10,9.8494,-0.0075,-0.07609
2022-01-09,9.8569,-0.0034,-0.03448
2022-01-06,9.8603,-0.064,-0.64488
2022-01-05,9.9243,-0.0057,-0.0574
2022-01-04,9.93,-0.0039,-0.03926
2022-01-03,9.9339,-0.0026,-0.02617
2022-01-02,9.9365,0.0047,0.04732
2021-12-29,9.9318,-0.0017,-0.01711
2021-12-28,9.9335,-0.0012,-0.01208
2021-12-27,9.9347,0.0099,0.09975
2021-12-26,9.9248,0.0165,0.16653
2021-12-22,9.9083,0.0161,0.16275
2021-12-21,9.8922,0.0098,0.09917
2021-12-20,9.8824,-0.002,-0.02023
2021-12-19,9.8844,0.0013,0.01315
2021-12-16,9.8831,0.0051,0.05163
2021-12-15,9.878,0.0013,0.01316
2021-12-14,9.8767,-0.0051,-0.05161
2021-12-13,9.8818,0.0004,0.00405
