tradeDate,nav,change,changePercent
2021-10-21,9.6476,-0.0008,-0.00829
2021-10-20,9.6484,0.0001,0.00104
2021-10-19,9.6483,-0.0098,-0.10147
2021-10-18,9.6581,-0.0103,-0.10653
2021-10-17,9.6684,-0.0038,-0.03929
2021-10-14,9.6722,-0.0181,-0.18678
2021-10-13,9.6903,-0.0117,-0.12059
2021-10-12,9.702,0.0021,0.02165
2021-10-11,9.6999,0.0264,0.27291
2021-10-07,9.6735,0.0437,0.4538
2021-09-29,9.6298,0.0135,0.14039
2021-09-28,9.6163,0.0081,0.0843
2021-09-27,9.6082,0.0153,0.15949
2021-09-26,9.5929,-0.0013,-0.01355
2021-09-23,9.5942,-0.0104,-0.10828
2021-09-22,9.6046,-0.0027,-0.0281
2021-09-21,9.6073,0.0105,0.10941
2021-09-16,9.5968,0.0042,0.04378
2021-09-15,9.5926,0.0001,0.00104
2021-09-14,9.5925,-0.0021,-0.02189
2021-09-13,9.5946,-0.0012,-0.01251
2021-09-12,9.5958,0.009,0.09388
2021-09-09,9.5868,-0.0192,-0.19988
2021-09-08,9.606,0.0011,0.01145
2021-09-07,9.6049,0.0227,0.2369
2021-09-06,9.5822,0.0012,0.01252
2021-09-05,9.581,-0.0134,-0.13966
2021-09-02,9.5944,-0.01,-0.10412
2021-09-01,9.6044,-0.0041,-0.04267
2021-08-31,9.6085,-0.01,-0.10397
2021-08-30,9.6185,-0.0142,-0.14741
2021-08-29,9.6327,-0.0381,-0.39397
2021-08-26,9.6708,-0.0017,-0.01758
2021-08-25,9.6725,0.0031,0.03206
2021-08-24,9.6694,-0.0046,-0.04755
2021-08-23,9.674,-0.0146,-0.15069
2021-08-22,9.6886,-0.0056,-0.05777
2021-08-19,9.6942,0.0144,0.14876
2021-08-18,9.6798,0.0425,0.44099
2021-08-17,9.6373,-0.0041,-0.04252
2021-08-16,9.6414,0.0089,0.0924
2021-08-15,9.6325,0.0009,0.00934
2021-08-12,9.6316,0.0134,0.13932
2021-08-11,9.6182,-0.0109,-0.1132
2021-08-10,9.6291,0.0091,0.09459
2021-08-09,9.62,0.0022,0.02287
2021-08-08,9.6178,0.0071,0.07388
2021-08-05,9.6107,0.0098,0.10207
2021-08-04,9.6009,-0.0174,-0.18091
2021-08-03,9.6183,-0.0327,-0.33882
2021-08-02,9.651,0.0022,0.0228
2021-08-01,9.6488,-0.0087,-0.09009
2021-07-29,9.6575,0.0053,0.05491
2021-07-28,9.6522,-0.0208,-0.21503
2021-07-27,9.673,-0.0166,-0.17132
2021-07-26,9.6896,-0.0092,-0.09486
2021-07-25,9.6988,0.0076,0.07842
2021-07-22,9.6912,0.0029,0.02993
2021-07-21,9.6883,-0.0208,-0.21423
2021-07-20,9.7091,0.0055,0.05668
2021-07-19,9.7036,0.004,0.04124
2021-07-18,9.6996,0.0188,0.1942
2021-07-15,9.6808,0.0383,0.3972
2021-07-14,9.6425,-0.0243,-0.25138
2021-07-13,9.6668,0.0139,0.144
2021-07-12,9.6529,-0.0064,-0.06626
2021-07-11,9.6593,-0.0218,-0.22518
2021-07-08,9.6811,0.0171,0.17695
2021-07-07,9.664,0.0075,0.07767
2021-07-06,9.6565,0.0261,0.27102
2021-07-05,9.6304,-0.0018,-0.01869
2021-07-04,9.6322,-0.0233,-0.24131
2021-07-01,9.6555,0.0288,0.29917
2021-06-30,9.6267,0.011,0.1144
2021-06-29,9.6157,-0.0193,-0.20031
2021-06-28,9.635,-0.0009,-0.00934
2021-06-27,9.6359,0.003,0.03114
2021-06-24,9.6329,-0.0318,-0.32903
2021-06-23,9.6647,-0.002,-0.02069
2021-06-22,9.6667,0.0166,0.17202
2021-06-21,9.6501,0.0037,0.03836
2021-06-20,9.6464,0.0497,0.51789
2021-06-17,9.5967,0.0157,0.16387
2021-06-16,9.581,0.0303,0.31725
2021-06-15,9.5507,0.0119,0.12475
2021-06-14,9.5388,0.0107,0.1123
2021-06-10,9.5281,-0.0246,-0.25752
2021-06-09,9.5527,-0.0229,-0.23915
2021-06-08,9.5756,0.0157,0.16423
2021-06-07,9.5599,0.0032,0.03348
2021-06-06,9.5567,-0.001,-0.01046
2021-06-03,9.5577,0.0173,0.18133
2021-06-02,9.5404,-0.007,-0.07332
2021-06-01,9.5474,0.0298,0.3131
2021-05-31,9.5176,-0.0043,-0.04516
2021-05-30,9.5219,-0.0366,-0.38291
2021-05-27,9.5585,-0.0176,-0.18379
2021-05-26,9.5761,0.0019,0.01985
2021-05-25,9.5742,-0.0162,-0.16892
2021-05-24,9.5904,-0.0233,-0.24236
2021-05-23,9.6137,0.0181,0.18863
2021-05-20,9.5956,-0.0197,-0.20488
2021-05-19,9.6153,-0.0117,-0.12153
2021-05-18,9.627,0.0052,0.05404
2021-05-17,9.6218,-0.0332,-0.34386
2021-05-16,9.655,0.0129,0.13379
2021-05-13,9.6421,0.0007,0.00726
2021-05-12,9.6414,0.0138,0.14334
2021-05-11,9.6276,-0.0065,-0.06747
2021-05-10,9.6341,0.048,0.50073
2021-05-09,9.5861,-0.0297,-0.30887
2021-05-06,9.6158,-0.0254,-0.26345
2021-05-05,9.6412,0.025,0.25998
2021-04-28,9.6162,0.0048,0.04994
2021-04-27,9.6114,0.0148,0.15422
2021-04-26,9.5966,-0.0226,-0.23495
2021-04-25,9.6192,-0.0639,-0.65991
2021-04-22,9.6831,-0.0079,-0.08152
2021-04-21,9.691,-0.0087,-0.08969
2021-04-20,9.6997,0.0117,0.12077
2021-04-19,9.688,-0.0317,-0.32614
2021-04-18,9.7197,-0.0319,-0.32713
2021-04-15,9.7516,0.0383,0.3943
2021-04-14,9.7133,0.0181,0.18669
2021-04-13,9.6952,-0.063,-0.64561
2021-04-12,9.7582,-0.0422,-0.43059
2021-04-11,9.8004,0.0018,0.01837
2021-04-08,9.7986,-0.0034,-0.03469
2021-04-07,9.802,-0.0231,-0.23511
