tradeDate,nav,change,changePercent
2022-08-31,11.27,-0.07,-0.61728
2022-08-30,11.34,-0.15,-1.30548
2022-08-29,11.49,-0.08,-0.69144
2022-08-28,11.57,-0.06,-0.51591
2022-08-25,11.63,-0.07,-0.59829
2022-08-24,11.7,0.07,0.60189
2022-08-23,11.63,0.02,0.17227
2022-08-22,11.61,-0.01,-0.08606
2022-08-21,11.62,-0.11,-0.93777
2022-08-18,11.73,-0.08,-0.67739
2022-08-17,11.81,-0.01,-0.0846
2022-08-16,11.82,-0.08,-0.67227
2022-08-15,11.9,-0.03,-0.25147
2022-08-14,11.93,0.01,0.08389
2022-08-11,11.92,0.04,0.3367
2022-08-10,11.88,0.03,0.25316
2022-08-09,11.85,0.12,1.02302
2022-08-08,11.73,-0.03,-0.2551
2022-08-07,11.76,0.06,0.51282
2022-08-04,11.7,-0.02,-0.17065
2022-08-03,11.72,0.05,0.42845
2022-08-02,11.67,0.04,0.34394
2022-08-01,11.63,-0.04,-0.34276
2022-07-31,11.67,0.04,0.34394
2022-07-28,11.63,0.0,0.0
2022-07-27,11.63,0.09,0.7799
2022-07-26,11.54,0.06,0.52265
2022-07-25,11.48,-0.05,-0.43365
2022-07-24,11.53,0.02,0.17376
2022-07-21,11.51,0.06,0.52402
2022-07-20,11.45,0.07,0.61511
2022-07-19,11.38,0.09,0.79717
2022-07-18,11.29,0.07,0.62389
2022-07-17,11.22,0.04,0.35778
2022-07-14,11.18,0.07,0.63006
2022-07-13,11.11,-0.08,-0.71492
2022-07-12,11.19,,
2022-07-11,11.23,-0.02,-0.17778
2022-07-10,11.25,0.0,0.0
2022-07-07,11.25,0.0,0.0
2022-07-06,11.25,0.06,0.53619
2022-07-05,11.19,-0.02,-0.17841
2022-07-04,11.21,-0.04,-0.35556
2022-06-30,11.25,0.05,0.44643
2022-06-29,11.2,-0.13,-1.1474
2022-06-28,11.33,-0.07,-0.61404
2022-06-27,11.4,-0.1,-0.86957
2022-06-26,11.5,-0.02,-0.17361
2022-06-23,11.52,0.05,0.43592
2022-06-22,11.47,0.0,0.0
2022-06-21,11.47,-0.03,-0.26087
2022-06-20,11.5,0.01,0.08703
2022-06-16,11.49,0.01,0.08711
2022-06-15,11.48,-0.11,-0.94909
2022-06-14,11.59,0.09,0.78261
2022-06-13,11.5,-0.04,-0.34662
2022-06-12,11.54,-0.31,-2.61603
2022-06-09,11.85,-0.14,-1.16764
2022-06-08,11.99,-0.06,-0.49793
2022-06-07,12.05,-0.03,-0.24834
2022-06-06,12.08,-0.03,-0.24773
2022-06-05,12.11,-0.05,-0.41118
2022-06-01,12.16,0.03,0.24732
2022-05-31,12.13,-0.01,-0.08237
2022-05-30,12.14,-0.11,-0.89796
2022-05-26,12.25,0.08,0.65735
2022-05-25,12.17,0.11,0.91211
2022-05-24,12.06,0.11,0.9205
2022-05-23,11.95,0.01,0.08375
2022-05-22,11.94,0.03,0.25189
2022-05-19,11.91,0.01,0.08403
2022-05-18,11.9,-0.02,-0.16779
2022-05-17,11.92,-0.07,-0.58382
2022-05-16,11.99,-0.02,-0.16653
2022-05-15,12.01,-0.01,-0.08319
2022-05-12,12.02,0.0,0.0
2022-05-11,12.02,-0.06,-0.49669
2022-05-10,12.08,0.01,0.08285
2022-05-09,12.07,0.0,0.0
2022-05-08,12.07,-0.1,-0.82169
2022-05-05,12.17,-0.09,-0.73409
2022-05-04,12.26,-0.07,-0.56772
2022-05-03,12.33,0.04,0.32547
2022-05-02,12.29,-0.06,-0.48583
2022-04-28,12.35,-0.15,-1.2
2022-04-27,12.5,-0.02,-0.15974
2022-04-26,12.52,-0.05,-0.39777
2022-04-25,12.57,-0.01,-0.07949
2022-04-24,12.58,-0.01,-0.07943
2022-04-21,12.59,-0.06,-0.47431
2022-04-20,12.65,-0.03,-0.23659
2022-04-19,12.68,0.02,0.15798
2022-04-18,12.66,-0.03,-0.23641
2022-04-17,12.69,-0.02,-0.15736
2022-04-13,12.71,-0.02,-0.15711
2022-04-12,12.73,0.01,0.07862
2022-04-11,12.72,0.02,0.15748
2022-04-10,12.7,-0.08,-0.62598
2022-04-07,12.78,-0.05,-0.38971
2022-04-06,12.83,-0.03,-0.23328
2022-04-05,12.86,-0.08,-0.61824
2022-03-31,12.94,-0.02,-0.15432
2022-03-30,12.96,-0.09,-0.68966
2022-03-29,13.05,0.03,0.23041
2022-03-28,13.02,0.11,0.85205
2022-03-27,12.91,0.02,0.15516
2022-03-24,12.89,-0.02,-0.15492
2022-03-23,12.91,-0.01,-0.0774
2022-03-22,12.92,0.01,0.07746
2022-03-21,12.91,-0.02,-0.15468
2022-03-20,12.93,-0.04,-0.3084
2022-03-17,12.97,0.02,0.15444
2022-03-16,12.95,0.07,0.54348
2022-03-15,12.88,0.1,0.78247
2022-03-14,12.78,-0.02,-0.15625
2022-03-13,12.8,-0.08,-0.62112
2022-03-10,12.88,-0.02,-0.15504
2022-03-09,12.9,-0.02,-0.1548
2022-03-08,12.92,0.06,0.46656
2022-03-07,12.86,-0.04,-0.31008
2022-03-06,12.9,-0.11,-0.8455
2022-03-03,13.01,-0.07,-0.53517
2022-03-02,13.08,-0.02,-0.15267
2022-03-01,13.1,-0.04,-0.30441
2022-02-28,13.14,0.0,0.0
2022-02-24,13.14,0.01,0.07616
2022-02-23,13.13,-0.1,-0.75586
2022-02-22,13.23,-0.04,-0.30143
2022-02-21,13.27,-0.03,-0.22556
2022-02-17,13.3,-0.01,-0.07513
2022-02-16,13.31,-0.01,-0.07508
2022-02-15,13.32,0.02,0.15038
2022-02-14,13.3,0.03,0.22607
2022-02-13,13.27,-0.07,-0.52474
2022-02-10,13.34,-0.06,-0.44776
2022-02-09,13.4,-0.07,-0.51967
2022-02-08,13.47,0.03,0.22321
2022-02-07,13.44,-0.01,-0.07435
2022-02-06,13.45,-0.06,-0.44412
2022-01-27,13.51,-0.12,-0.88041
2022-01-26,13.63,-0.03,-0.21962
2022-01-25,13.66,0.0,0.0
2022-01-24,13.66,-0.02,-0.1462
2022-01-23,13.68,-0.04,-0.29155
2022-01-20,13.72,0.01,0.07294
2022-01-19,13.71,0.01,0.07299
2022-01-18,13.7,0.03,0.21946
2022-01-17,13.67,-0.07,-0.50946
2022-01-13,13.74,-0.05,-0.36258
2022-01-12,13.79,-0.02,-0.14482
2022-01-11,13.81,0.01,0.07246
2022-01-10,13.8,0.03,0.21786
2022-01-09,13.77,-0.04,-0.28965
2022-01-06,13.81,-0.02,-0.14461
2022-01-05,13.83,-0.06,-0.43197
2022-01-04,13.89,-0.03,-0.21552
2022-01-03,13.92,-0.01,-0.07179
2022-01-02,13.93,-0.02,-0.14337
2021-12-29,13.95,-0.09,-0.64103
2021-12-28,14.04,-0.01,-0.07117
2021-12-27,14.05,0.0,0.0
2021-12-26,14.05,0.03,0.21398
2021-12-22,14.02,0.02,0.14286
2021-12-21,14.0,0.03,0.21475
2021-12-20,13.97,0.02,0.14337
2021-12-19,13.95,-0.03,-0.21459
2021-12-16,13.98,0.0,0.0
2021-12-15,13.98,0.02,0.14327
2021-12-14,13.96,0.0,0.0
2021-12-13,13.96,-0.03,-0.21444
2021-12-12,13.99,0.01,0.07153
2021-12-09,13.98,0.0,0.0
2021-12-08,13.98,0.0,0.0
2021-12-07,13.98,-0.01,-0.07148
2021-12-06,13.99,0.07,0.50287
2021-12-05,13.92,0.03,0.21598
2021-12-02,13.89,0.02,0.1442
2021-12-01,13.87,0.01,0.07215
2021-11-30,13.86,0.04,0.28944
2021-11-29,13.82,-0.12,-0.86083
2021-11-28,13.94,0.01,0.07179
2021-11-25,13.93,-0.07,-0.5
2021-11-23,14.0,0.0,0.0
2021-11-22,14.0,-0.06,-0.42674
2021-11-21,14.06,-0.05,-0.35436
2021-11-18,14.11,-0.01,-0.07082
2021-11-17,14.12,0.01,0.07087
2021-11-16,14.11,-0.01,-0.07082
2021-11-15,14.12,-0.03,-0.21201
2021-11-14,14.15,0.0,0.0
2021-11-11,14.15,-0.01,-0.07062
2021-11-09,14.16,-0.05,-0.35186
2021-11-08,14.21,0.0,0.0
2021-11-07,14.21,-0.01,-0.07032
2021-11-04,14.22,0.08,0.56577
2021-11-03,14.14,0.04,0.28369
2021-11-02,14.1,-0.01,-0.07087
2021-11-01,14.11,0.01,0.07092
2021-10-31,14.1,-0.01,-0.07087
2021-10-28,14.11,-0.12,-0.84329
2021-10-27,14.23,-0.01,-0.07022
2021-10-26,14.24,0.01,0.07027
2021-10-25,14.23,0.02,0.14075
2021-10-24,14.21,0.0,0.0
2021-10-21,14.21,-0.01,-0.07032
2021-10-20,14.22,-0.02,-0.14045
2021-10-19,14.24,-0.01,-0.07018
2021-10-18,14.25,0.0,0.0
2021-10-17,14.25,-0.01,-0.07013
2021-10-14,14.26,0.01,0.07018
2021-10-13,14.25,0.05,0.35211
2021-10-12,14.2,0.01,0.07047
2021-10-11,14.19,-0.04,-0.2811
2021-10-07,14.23,-0.02,-0.14035
2021-10-06,14.25,0.01,0.07022
2021-10-05,14.24,-0.03,-0.21023
2021-10-04,14.27,-0.03,-0.20979
2021-10-03,14.3,-0.01,-0.06988
2021-09-30,14.31,0.01,0.06993
2021-09-29,14.3,-0.12,-0.83218
2021-09-28,14.42,0.02,0.13889
2021-09-27,14.4,-0.05,-0.34602
2021-09-26,14.45,-0.02,-0.13822
2021-09-23,14.47,-0.03,-0.2069
2021-09-22,14.5,-0.01,-0.06892
2021-09-21,14.51,-0.02,-0.13765
2021-09-16,14.53,-0.02,-0.13746
2021-09-15,14.55,-0.02,-0.13727
2021-09-14,14.57,0.0,0.0
2021-09-13,14.57,0.01,0.06868
2021-09-12,14.56,0.02,0.13755
2021-09-09,14.54,0.0,0.0
2021-09-08,14.54,0.0,0.0
2021-09-07,14.54,0.0,0.0
2021-09-06,14.54,-0.01,-0.06873
2021-09-02,14.55,0.0,0.0
2021-09-01,14.55,0.01,0.06878
2021-08-31,14.54,0.03,0.20675
2021-08-30,14.51,-0.09,-0.61644
2021-08-29,14.6,0.02,0.13717
2021-08-26,14.58,0.05,0.34412
2021-08-25,14.53,0.0,0.0
2021-08-24,14.53,0.01,0.06887
2021-08-23,14.52,0.02,0.13793
2021-08-22,14.5,0.03,0.20733
2021-08-19,14.47,0.01,0.06916
2021-08-18,14.46,-0.03,-0.20704
2021-08-17,14.49,0.0,0.0
2021-08-16,14.49,-0.02,-0.13784
2021-08-15,14.51,-0.01,-0.06887
2021-08-12,14.52,0.01,0.06892
2021-08-11,14.51,0.01,0.06897
2021-08-10,14.5,0.0,0.0
2021-08-09,14.5,-0.01,-0.06892
2021-08-08,14.51,-0.01,-0.06887
2021-08-05,14.52,-0.01,-0.06882
2021-08-04,14.53,0.0,0.0
2021-08-03,14.53,-0.02,-0.13746
2021-08-02,14.55,-0.01,-0.06868
2021-08-01,14.56,0.01,0.06873
2021-07-29,14.55,-0.09,-0.61475
2021-07-28,14.64,0.01,0.06835
2021-07-27,14.63,-0.01,-0.06831
2021-07-26,14.64,-0.02,-0.13643
2021-07-25,14.66,0.01,0.06826
2021-07-22,14.65,0.0,0.0
2021-07-21,14.65,0.01,0.06831
2021-07-20,14.64,0.01,0.06835
2021-07-19,14.63,0.02,0.13689
2021-07-18,14.61,-0.05,-0.34106
2021-07-15,14.66,0.0,0.0
2021-07-14,14.66,0.0,0.0
2021-07-13,14.66,0.01,0.06826
2021-07-12,14.65,-0.02,-0.13633
2021-07-11,14.67,0.0,0.0
2021-07-08,14.67,0.0,0.0
2021-07-07,14.67,-0.02,-0.13615
2021-07-06,14.69,0.02,0.13633
2021-07-05,14.67,0.01,0.06821
2021-07-01,14.66,0.01,0.06826
2021-06-30,14.65,0.02,0.13671
2021-06-29,14.63,-0.12,-0.81356
2021-06-28,14.75,0.01,0.06784
2021-06-27,14.74,0.01,0.06789
2021-06-24,14.73,0.0,0.0
2021-06-23,14.73,0.01,0.06793
2021-06-22,14.72,0.0,0.0
2021-06-21,14.72,0.01,0.06798
2021-06-20,14.71,-0.02,-0.13578
2021-06-17,14.73,0.0,0.0
2021-06-16,14.73,-0.01,-0.06784
2021-06-15,14.74,-0.01,-0.0678
2021-06-14,14.75,-0.03,-0.20298
2021-06-10,14.78,0.01,0.0677
2021-06-09,14.77,0.02,0.13559
2021-06-08,14.75,0.03,0.2038
2021-06-07,14.72,0.04,0.27248
2021-06-06,14.68,0.0,0.0
2021-06-03,14.68,0.04,0.27322
2021-06-02,14.64,-0.02,-0.13643
2021-06-01,14.66,0.03,0.20506
2021-05-31,14.63,0.03,0.20548
2021-05-27,14.6,-0.09,-0.61266
2021-05-26,14.69,0.0,0.0
2021-05-25,14.69,0.01,0.06812
2021-05-24,14.68,0.02,0.13643
2021-05-23,14.66,0.02,0.13661
2021-05-20,14.64,0.01,0.06835
2021-05-19,14.63,0.02,0.13689
2021-05-18,14.61,-0.04,-0.27304
2021-05-17,14.65,0.0,0.0
2021-05-16,14.65,-0.01,-0.06821
2021-05-13,14.66,0.04,0.2736
2021-05-12,14.62,0.01,0.06845
2021-05-11,14.61,-0.05,-0.34106
2021-05-10,14.66,-0.03,-0.20422
2021-05-09,14.69,-0.01,-0.06803
2021-05-06,14.7,0.02,0.13624
2021-05-05,14.68,0.01,0.06817
2021-05-04,14.67,0.02,0.13652
2021-05-03,14.65,-0.01,-0.06821
2021-05-02,14.66,0.02,0.13661
2021-04-28,14.64,-0.1,-0.67843
2021-04-27,14.74,0.01,0.06789
2021-04-26,14.73,-0.01,-0.06784
2021-04-25,14.74,-0.01,-0.0678
2021-04-22,14.75,0.02,0.13578
2021-04-21,14.73,0.01,0.06793
2021-04-20,14.72,0.0,0.0
2021-04-19,14.72,-0.03,-0.20339
2021-04-18,14.75,0.0,0.0
2021-04-15,14.75,0.01,0.06784
2021-04-14,14.74,0.05,0.34037
2021-04-13,14.69,0.0,0.0
2021-04-12,14.69,0.01,0.06812
2021-04-11,14.68,0.0,0.0
2021-04-08,14.68,0.0,0.0
2021-04-07,14.68,0.03,0.20478
2021-04-06,14.65,0.0,0.0
2021-04-05,14.65,0.02,0.13671
2021-03-31,14.63,0.05,0.34294
2021-03-30,14.58,-0.08,-0.5457
2021-03-29,14.66,-0.02,-0.13624
2021-03-28,14.68,-0.01,-0.06807
2021-03-25,14.69,0.01,0.06812
2021-03-24,14.68,-0.01,-0.06807
2021-03-23,14.69,0.02,0.13633
2021-03-22,14.67,0.03,0.20492
2021-03-21,14.64,0.04,0.27397
2021-03-18,14.6,0.03,0.2059
2021-03-17,14.57,-0.07,-0.47814
2021-03-16,14.64,-0.01,-0.06826
2021-03-15,14.65,0.01,0.06831
2021-03-14,14.64,0.02,0.1368
2021-03-11,14.62,-0.03,-0.20478
2021-03-10,14.65,0.03,0.2052
2021-03-09,14.62,0.03,0.20562
2021-03-08,14.59,-0.05,-0.34153
2021-03-07,14.64,-0.08,-0.54348
2021-03-04,14.72,0.03,0.20422
2021-03-03,14.69,-0.04,-0.27155
2021-03-02,14.73,-0.03,-0.20325
2021-03-01,14.76,0.06,0.40816
2021-02-25,14.7,0.1,0.68493
2021-02-24,14.6,-0.16,-1.08401
2021-02-23,14.76,0.01,0.0678
2021-02-22,14.75,0.02,0.13578
2021-02-21,14.73,-0.05,-0.33829
2021-02-18,14.78,-0.09,-0.60525
2021-02-17,14.87,-0.02,-0.13432
2021-02-16,14.89,-0.06,-0.40134
2021-02-08,14.95,-0.01,-0.06684
2021-02-07,14.96,0.01,0.06689
2021-02-04,14.95,0.02,0.13396
2021-02-03,14.93,0.04,0.26864
2021-02-02,14.89,0.02,0.1345
2021-02-01,14.87,0.03,0.20216
2021-01-31,14.84,0.04,0.27027
2021-01-28,14.8,-0.11,-0.73776
2021-01-27,14.91,0.0,0.0
2021-01-26,14.91,-0.03,-0.2008
2021-01-25,14.94,0.01,0.06698
2021-01-24,14.93,0.0,0.0
2021-01-21,14.93,-0.01,-0.06693
