tradeDate,nav,change,changePercent
2022-08-30,10.78,-0.13,-1.19157
2022-08-29,10.91,-0.14,-1.26697
2022-08-28,11.05,0.03,0.27223
2022-08-25,11.02,-0.14,-1.25448
2022-08-24,11.16,0.02,0.17953
2022-08-23,11.14,0.02,0.17986
2022-08-22,11.12,0.01,0.09001
2022-08-21,11.11,-0.06,-0.53715
2022-08-18,11.17,-0.06,-0.53428
2022-08-17,11.23,0.0,0.0
2022-08-16,11.23,-0.03,-0.26643
2022-08-15,11.26,0.07,0.62556
2022-08-14,11.19,0.01,0.08945
2022-08-11,11.18,0.04,0.35907
2022-08-10,11.14,0.0,0.0
2022-08-09,11.14,0.09,0.81448
2022-08-08,11.05,0.05,0.45455
2022-08-07,11.0,0.11,1.0101
2022-08-04,10.89,-0.07,-0.63869
2022-08-03,10.96,0.05,0.4583
2022-08-02,10.91,-0.01,-0.09158
2022-08-01,10.92,-0.07,-0.63694
2022-07-31,10.99,-0.05,-0.4529
2022-07-28,11.04,0.09,0.82192
2022-07-27,10.95,0.15,1.38889
2022-07-26,10.8,0.09,0.84034
2022-07-25,10.71,0.01,0.09346
2022-07-24,10.7,0.1,0.9434
2022-07-21,10.6,0.07,0.66477
2022-07-20,10.53,-0.04,-0.37843
2022-07-19,10.57,-0.1,-0.93721
2022-07-18,10.67,0.11,1.04167
2022-07-17,10.56,0.04,0.38023
2022-07-14,10.52,0.11,1.05668
2022-07-13,10.41,-0.06,-0.57307
2022-07-12,10.47,-0.04,-0.38059
2022-07-11,10.51,0.0,0.0
2022-07-10,10.51,-0.02,-0.18993
2022-07-07,10.53,0.01,0.09506
2022-07-06,10.52,0.06,0.57361
2022-07-05,10.46,0.03,0.28763
2022-07-04,10.43,-0.23,-2.1576
2022-07-03,10.66,0.01,0.0939
2022-06-30,10.65,0.12,1.1396
2022-06-29,10.53,-0.06,-0.56657
2022-06-28,10.59,-0.06,-0.56338
2022-06-27,10.65,0.03,0.28249
2022-06-26,10.62,0.02,0.18868
2022-06-23,10.6,0.17,1.62991
2022-06-22,10.43,0.05,0.4817
2022-06-21,10.38,,
2022-06-20,10.38,0.01,0.09643
2022-06-19,10.37,0.07,0.67961
2022-06-16,10.3,-0.07,-0.67502
2022-06-15,10.37,-0.19,-1.79924
2022-06-14,10.56,0.09,0.8596
2022-06-13,10.47,-0.23,-2.14953
2022-06-12,10.7,-0.26,-2.37226
2022-06-09,10.96,-0.12,-1.08303
2022-06-08,11.08,-0.16,-1.42349
2022-06-07,11.24,-0.07,-0.61892
2022-06-06,11.31,0.08,0.71238
2022-06-05,11.23,0.01,0.08913
2022-06-01,11.22,0.13,1.17223
2022-05-31,11.09,-0.03,-0.26978
2022-05-30,11.12,-0.11,-0.97952
2022-05-29,11.23,-0.06,-0.53144
2022-05-26,11.29,0.01,0.08865
2022-05-25,11.28,-0.03,-0.26525
2022-05-24,11.31,0.03,0.26596
2022-05-23,11.28,0.02,0.17762
2022-05-22,11.26,0.09,0.80573
2022-05-19,11.17,0.03,0.2693
2022-05-18,11.14,0.01,0.08985
2022-05-17,11.13,-0.03,-0.26882
2022-05-16,11.16,0.11,0.99548
2022-05-15,11.05,0.12,1.0979
2022-05-12,10.93,0.15,1.39147
2022-05-11,10.78,-0.07,-0.64516
2022-05-10,10.85,0.04,0.37003
2022-05-09,10.81,-0.07,-0.64338
2022-05-08,10.88,-0.15,-1.35993
2022-05-05,11.03,0.04,0.36397
2022-05-04,10.99,-0.12,-1.08011
2022-05-03,11.11,0.16,1.46119
2022-05-02,10.95,-0.05,-0.45455
2022-04-28,11.0,-0.18,-1.61002
2022-04-27,11.18,0.12,1.08499
2022-04-26,11.06,0.03,0.27199
2022-04-25,11.03,-0.1,-0.89847
2022-04-24,11.13,-0.03,-0.26882
2022-04-21,11.16,-0.15,-1.32626
2022-04-20,11.31,-0.09,-0.78947
2022-04-19,11.4,0.11,0.97431
2022-04-18,11.29,0.04,0.35556
2022-04-13,11.25,-0.01,-0.08881
2022-04-12,11.26,0.01,0.08889
2022-04-11,11.25,0.0,0.0
2022-04-10,11.25,-0.03,-0.26596
2022-04-07,11.28,0.09,0.80429
2022-04-06,11.19,0.02,0.17905
2022-04-05,11.17,0.1,0.90334
2022-03-31,11.07,0.03,0.27174
2022-03-30,11.04,0.01,0.09066
2022-03-29,11.03,0.02,0.18165
2022-03-28,11.01,0.09,0.82418
2022-03-27,10.92,0.1,0.92421
2022-03-24,10.82,0.09,0.83877
2022-03-23,10.73,0.1,0.94073
2022-03-22,10.63,-0.06,-0.56127
2022-03-21,10.69,0.04,0.37559
2022-03-20,10.65,0.05,0.4717
2022-03-17,10.6,-0.04,-0.37594
2022-03-16,10.64,0.05,0.47214
2022-03-15,10.59,0.01,0.09452
2022-03-14,10.58,0.08,0.7619
2022-03-13,10.5,0.01,0.09533
2022-03-10,10.49,-0.03,-0.28517
2022-03-09,10.52,-0.04,-0.37879
2022-03-08,10.56,0.15,1.44092
2022-03-07,10.41,0.07,0.67698
2022-03-06,10.34,0.02,0.1938
2022-03-03,10.32,0.05,0.48685
2022-03-02,10.27,-0.05,-0.4845
2022-03-01,10.32,0.11,1.07738
2022-02-28,10.21,0.01,0.09804
2022-02-24,10.2,0.28,2.82258
2022-02-23,9.92,0.03,0.30334
2022-02-22,9.89,-0.04,-0.40282
2022-02-21,9.93,-0.08,-0.7992
2022-02-17,10.01,-0.06,-0.59583
2022-02-16,10.07,-0.02,-0.19822
2022-02-15,10.09,0.04,0.39801
2022-02-14,10.05,0.05,0.5
2022-02-13,10.0,-0.09,-0.89197
2022-02-10,10.09,-0.03,-0.29644
2022-02-09,10.12,-0.1,-0.97847
2022-02-08,10.22,0.1,0.98814
2022-02-07,10.12,0.0,0.0
2022-02-06,10.12,0.0,0.0
2022-01-27,10.12,0.07,0.69652
2022-01-26,10.05,0.03,0.2994
2022-01-25,10.02,0.02,0.2
2022-01-24,10.0,0.0,0.0
2022-01-23,10.0,-0.11,-1.08803
2022-01-20,10.11,-0.07,-0.68762
2022-01-19,10.18,0.01,0.09833
2022-01-18,10.17,0.0,0.0
2022-01-17,10.17,-0.06,-0.58651
2022-01-16,10.23,0.01,0.09785
2022-01-13,10.22,-0.03,-0.29268
2022-01-12,10.25,0.02,0.1955
2022-01-11,10.23,0.02,0.19589
2022-01-10,10.21,0.02,0.19627
2022-01-09,10.19,-0.06,-0.58537
2022-01-06,10.25,0.05,0.4902
2022-01-05,10.2,-0.02,-0.19569
2022-01-04,10.22,-0.1,-0.96899
2022-01-03,10.32,0.0,0.0
2022-01-02,10.32,-0.04,-0.3861
2021-12-29,10.36,0.0,0.0
2021-12-28,10.36,0.05,0.48497
2021-12-27,10.31,0.08,0.78201
2021-12-23,10.23,-0.01,-0.09766
2021-12-22,10.24,0.02,0.19569
2021-12-21,10.22,0.05,0.49164
2021-12-20,10.17,0.08,0.79286
2021-12-19,10.09,-0.01,-0.09901
2021-12-16,10.1,-0.07,-0.6883
2021-12-15,10.17,0.04,0.39487
2021-12-14,10.13,0.07,0.69583
2021-12-13,10.06,-0.04,-0.39604
2021-12-12,10.1,0.01,0.09911
2021-12-09,10.09,0.01,0.09921
2021-12-08,10.08,-0.08,-0.7874
2021-12-07,10.16,-0.03,-0.29441
2021-12-06,10.19,0.1,0.99108
2021-12-05,10.09,0.14,1.40704
2021-12-02,9.95,-0.02,-0.2006
2021-12-01,9.97,0.04,0.40282
2021-11-30,9.93,-0.1,-0.99701
2021-11-29,10.03,-0.11,-1.08481
2021-11-28,10.14,0.03,0.29674
2021-11-25,10.11,-0.17,-1.6537
2021-11-24,10.28,0.03,0.29268
2021-11-23,10.25,0.03,0.29354
2021-11-22,10.22,0.06,0.59055
2021-11-21,10.16,-0.02,-0.19646
2021-11-18,10.18,-0.06,-0.58594
2021-11-17,10.24,-0.02,-0.19493
2021-11-16,10.26,-0.02,-0.19455
2021-11-15,10.28,-0.06,-0.58027
2021-11-14,10.34,0.03,0.29098
2021-11-11,10.31,-0.02,-0.19361
2021-11-10,10.33,-0.01,-0.09671
2021-11-09,10.34,-0.01,-0.09662
2021-11-08,10.35,-0.02,-0.19286
2021-11-07,10.37,-0.08,-0.76555
2021-11-04,10.45,0.06,0.57748
2021-11-03,10.39,0.01,0.09634
2021-11-02,10.38,-0.04,-0.38388
2021-11-01,10.42,-0.03,-0.28708
2021-10-31,10.45,0.11,1.06383
2021-10-28,10.34,-0.1,-0.95785
2021-10-27,10.44,0.11,1.06486
2021-10-26,10.33,0.0,0.0
2021-10-25,10.33,0.03,0.29126
2021-10-24,10.3,-0.01,-0.09699
2021-10-21,10.31,0.04,0.38948
2021-10-20,10.27,-0.05,-0.4845
2021-10-19,10.32,0.08,0.78125
2021-10-18,10.24,0.05,0.49068
2021-10-17,10.19,-0.03,-0.29354
2021-10-14,10.22,-0.04,-0.38986
2021-10-13,10.26,0.05,0.48972
2021-10-12,10.21,0.09,0.88933
2021-10-11,10.12,0.07,0.69652
2021-10-07,10.05,0.01,0.0996
2021-10-06,10.04,0.02,0.1996
2021-10-05,10.02,-0.01,-0.0997
2021-10-04,10.03,-0.01,-0.0996
2021-10-03,10.04,0.05,0.5005
2021-09-30,9.99,0.0,0.0
2021-09-29,9.99,-0.02,-0.1998
2021-09-28,10.01,0.01,0.1
2021-09-27,10.0,-0.13,-1.28332
2021-09-26,10.13,0.0,0.0
2021-09-23,10.13,-0.06,-0.58881
2021-09-22,10.19,0.01,0.09823
2021-09-21,10.18,0.08,0.79208
2021-09-16,10.1,-0.08,-0.78585
2021-09-15,10.18,-0.02,-0.19608
2021-09-14,10.2,0.0,0.0
2021-09-13,10.2,0.0,0.0
2021-09-12,10.2,0.09,0.89021
2021-09-09,10.11,-0.11,-1.07632
2021-09-08,10.22,-0.06,-0.58366
2021-09-07,10.28,0.08,0.78431
2021-09-06,10.2,-0.09,-0.87464
2021-09-02,10.29,-0.04,-0.38722
2021-09-01,10.33,0.04,0.38873
2021-08-31,10.29,0.06,0.58651
2021-08-30,10.23,-0.02,-0.19512
2021-08-29,10.25,-0.02,-0.19474
2021-08-26,10.27,0.03,0.29297
2021-08-25,10.24,-0.07,-0.67895
2021-08-24,10.31,-0.03,-0.29014
2021-08-23,10.34,-0.01,-0.09662
2021-08-22,10.35,0.01,0.09671
2021-08-19,10.34,0.08,0.77973
2021-08-18,10.26,0.03,0.29326
2021-08-17,10.23,-0.04,-0.38948
2021-08-16,10.27,-0.03,-0.29126
2021-08-15,10.3,-0.02,-0.1938
2021-08-12,10.32,0.06,0.5848
2021-08-11,10.26,-0.03,-0.29155
2021-08-10,10.29,0.06,0.58651
2021-08-09,10.23,0.02,0.19589
2021-08-08,10.21,-0.01,-0.09785
2021-08-05,10.22,-0.02,-0.19531
2021-08-04,10.24,0.03,0.29383
2021-08-03,10.21,-0.03,-0.29297
