tradeDate,nav,change,changePercent
2022-08-31,9.35,-0.03,-0.31983
2022-08-30,9.38,-0.05,-0.53022
2022-08-29,9.43,-0.05,-0.52743
2022-08-28,9.48,0.0,0.0
2022-08-25,9.48,-0.03,-0.31546
2022-08-24,9.51,0.01,0.10526
2022-08-23,9.5,0.03,0.31679
2022-08-22,9.47,0.01,0.10571
2022-08-21,9.46,-0.06,-0.63025
2022-08-18,9.52,-0.05,-0.52247
2022-08-17,9.57,-0.01,-0.10438
2022-08-16,9.58,-0.07,-0.72539
2022-08-15,9.65,-0.02,-0.20683
2022-08-14,9.67,0.02,0.20725
2022-08-11,9.65,0.01,0.10373
2022-08-10,9.64,0.0,0.0
2022-08-09,9.64,0.07,0.73145
2022-08-08,9.57,-0.06,-0.62305
2022-08-07,9.63,0.04,0.4171
2022-08-04,9.59,-0.05,-0.51867
2022-08-03,9.64,0.04,0.41667
2022-08-02,9.6,0.0,0.0
2022-08-01,9.6,0.0,0.0
2022-07-31,9.6,0.04,0.41841
2022-07-28,9.56,0.07,0.73762
2022-07-27,9.49,0.05,0.52966
2022-07-26,9.44,0.05,0.53248
2022-07-25,9.39,-0.03,-0.31847
2022-07-24,9.42,0.0,0.0
2022-07-21,9.42,0.05,0.53362
2022-07-20,9.37,0.03,0.3212
2022-07-19,9.34,0.07,0.75512
2022-07-18,9.27,0.03,0.32468
2022-07-17,9.24,0.04,0.43478
2022-07-14,9.2,0.08,0.87719
2022-07-13,9.12,-0.03,-0.32787
2022-07-12,9.15,,
2022-07-11,9.17,0.03,0.32823
2022-07-10,9.14,0.03,0.32931
2022-07-07,9.11,0.01,0.10989
2022-07-06,9.1,0.09,0.99889
2022-07-05,9.01,0.05,0.55804
2022-07-04,8.96,0.01,0.11173
2022-06-30,8.95,0.03,0.33632
2022-06-29,8.92,-0.01,-0.11198
2022-06-28,8.93,-0.05,-0.55679
2022-06-27,8.98,-0.07,-0.77348
2022-06-26,9.05,-0.04,-0.44004
2022-06-23,9.09,0.05,0.5531
2022-06-22,9.04,0.02,0.22173
2022-06-21,9.02,,
2022-06-20,9.03,0.02,0.22198
2022-06-16,9.01,0.03,0.33408
2022-06-15,8.98,-0.1,-1.10132
2022-06-14,9.08,0.09,1.00111
2022-06-13,8.99,-0.01,-0.11111
2022-06-12,9.0,-0.21,-2.28013
2022-06-09,9.21,-0.1,-1.07411
2022-06-08,9.31,-0.05,-0.53419
2022-06-07,9.36,-0.03,-0.31949
2022-06-06,9.39,0.0,0.0
2022-06-05,9.39,-0.06,-0.63492
2022-06-01,9.45,0.03,0.31847
2022-05-31,9.42,0.05,0.53362
2022-05-30,9.37,-0.1,-1.05597
2022-05-26,9.47,0.01,0.10571
2022-05-25,9.46,0.13,1.39335
2022-05-24,9.33,0.08,0.86486
2022-05-23,9.25,0.02,0.21668
2022-05-22,9.23,0.02,0.21716
2022-05-19,9.21,-0.02,-0.21668
2022-05-18,9.23,0.02,0.21716
2022-05-17,9.21,-0.07,-0.75431
2022-05-16,9.28,-0.02,-0.21505
2022-05-15,9.3,0.0,0.0
2022-05-12,9.3,0.01,0.10764
2022-05-11,9.29,0.0,0.0
2022-05-10,9.29,-0.01,-0.10753
2022-05-09,9.3,0.01,0.10764
2022-05-08,9.29,-0.06,-0.64171
2022-05-05,9.35,-0.01,-0.10684
2022-05-04,9.36,-0.04,-0.42553
2022-05-03,9.4,0.02,0.21322
2022-05-02,9.38,-0.02,-0.21277
2022-04-28,9.4,-0.06,-0.63425
2022-04-27,9.46,0.03,0.31813
2022-04-26,9.43,0.01,0.10616
2022-04-25,9.42,-0.01,-0.10604
2022-04-24,9.43,0.03,0.31915
2022-04-21,9.4,-0.03,-0.31813
2022-04-20,9.43,-0.04,-0.42239
2022-04-19,9.47,0.02,0.21164
2022-04-18,9.45,0.0,0.0
2022-04-17,9.45,0.03,0.31847
2022-04-13,9.42,-0.03,-0.31746
2022-04-12,9.45,0.0,0.0
2022-04-11,9.45,0.07,0.74627
2022-04-10,9.38,-0.03,-0.31881
2022-04-07,9.41,-0.02,-0.21209
2022-04-06,9.43,0.0,0.0
2022-04-05,9.43,-0.07,-0.73684
2022-03-31,9.5,0.01,0.10537
2022-03-30,9.49,0.02,0.21119
2022-03-29,9.47,-0.04,-0.42061
2022-03-28,9.51,0.08,0.84836
2022-03-27,9.43,0.05,0.53305
2022-03-24,9.38,-0.02,-0.21277
2022-03-23,9.4,0.03,0.32017
2022-03-22,9.37,0.0,0.0
2022-03-21,9.37,-0.01,-0.10661
2022-03-20,9.38,0.02,0.21368
2022-03-17,9.36,-0.02,-0.21322
2022-03-16,9.38,0.02,0.21368
2022-03-15,9.36,0.07,0.7535
2022-03-14,9.29,0.04,0.43243
