tradeDate,nav,change,changePercent
2022-08-30,9.959,0.0282,0.28397
2022-08-29,9.9308,-0.002,-0.02014
2022-08-28,9.9328,-0.041,-0.41108
2022-08-25,9.9738,-0.0007,-0.00702
2022-08-24,9.9745,0.0424,0.4269
2022-08-23,9.9321,0.0055,0.05541
2022-08-22,9.9266,0.0332,0.33558
2022-08-21,9.8934,-0.0417,-0.41972
2022-08-18,9.9351,-0.0229,-0.22997
2022-08-17,9.958,-0.0032,-0.03212
2022-08-16,9.9612,-0.0365,-0.36508
2022-08-15,9.9977,0.0745,0.75077
2022-08-14,9.9232,-0.0454,-0.45543
2022-08-11,9.9686,0.0059,0.05922
2022-08-10,9.9627,0.0023,0.02309
2022-08-09,9.9604,0.0418,0.42143
2022-08-08,9.9186,0.001,0.01008
2022-08-07,9.9176,0.0069,0.06962
2022-08-04,9.9107,-0.0101,-0.10181
2022-08-03,9.9208,0.019,0.19188
2022-08-02,9.9018,0.0081,0.08187
2022-08-01,9.8937,-0.0147,-0.14836
2022-07-31,9.9084,-0.0318,-0.31991
2022-07-28,9.9402,0.0138,0.13902
2022-07-27,9.9264,0.0261,0.26363
2022-07-26,9.9003,0.0114,0.11528
2022-07-25,9.8889,0.0059,0.0597
2022-07-24,9.883,0.0473,0.4809
2022-07-21,9.8357,0.0203,0.20682
2022-07-20,9.8154,0.0263,0.26867
2022-07-19,9.7891,-0.0084,-0.08574
2022-07-18,9.7975,-0.0384,-0.39041
2022-07-17,9.8359,-0.0051,-0.05182
2022-07-14,9.841,-0.0128,-0.1299
2022-07-13,9.8538,-0.0445,-0.44957
2022-07-12,9.8983,-0.0102,-0.10294
2022-07-11,9.9085,-0.0723,-0.72439
2022-07-10,9.9808,-0.0646,-0.64308
2022-07-07,10.0454,0.002,0.01991
2022-07-06,10.0434,0.0011,0.01095
2022-07-05,10.0423,-0.0228,-0.22653
2022-07-04,10.0651,-0.0244,-0.24184
2022-07-03,10.0895,0.0038,0.03768
2022-06-30,10.0857,0.0085,0.08435
2022-06-29,10.0772,0.0014,0.01389
2022-06-28,10.0758,-0.0266,-0.2633
2022-06-27,10.1024,-0.0249,-0.24587
2022-06-26,10.1273,-0.0075,-0.074
2022-06-23,10.1348,0.0099,0.09778
2022-06-22,10.1249,-0.0283,-0.27873
2022-06-21,10.1532,,
2022-06-20,10.1752,-0.0049,-0.04813
2022-06-19,10.1801,0.0171,0.16826
2022-06-16,10.163,-0.0253,-0.24832
2022-06-15,10.1883,-0.0321,-0.31408
2022-06-14,10.2204,0.0827,0.81577
2022-06-13,10.1377,-0.0119,-0.11725
2022-06-12,10.1496,-0.1229,-1.1964
2022-06-09,10.2725,-0.0515,-0.49884
2022-06-08,10.324,-0.0129,-0.1248
2022-06-07,10.3369,-0.0219,-0.21141
2022-06-06,10.3588,-0.0096,-0.09259
2022-06-05,10.3684,-0.0054,-0.05205
2022-06-01,10.3738,0.0314,0.3036
2022-05-31,10.3424,-0.0207,-0.19975
2022-05-30,10.3631,-0.014,-0.13491
2022-05-29,10.3771,0.0395,0.3821
2022-05-26,10.3376,0.0361,0.35043
2022-05-25,10.3015,-0.0294,-0.28458
2022-05-24,10.3309,-0.0359,-0.3463
2022-05-23,10.3668,0.0082,0.07916
2022-05-22,10.3586,0.0411,0.39835
2022-05-19,10.3175,0.0334,0.32477
2022-05-18,10.2841,0.0441,0.43066
2022-05-17,10.24,-0.0154,-0.15016
2022-05-16,10.2554,0.0011,0.01073
2022-05-15,10.2543,0.0109,0.10641
2022-05-12,10.2434,0.0146,0.14273
2022-05-11,10.2288,-0.0859,-0.83279
2022-05-10,10.3147,-0.0231,-0.22345
2022-05-09,10.3378,-0.0281,-0.27108
2022-05-08,10.3659,-0.0352,-0.33843
2022-05-05,10.4011,-0.0494,-0.4727
2022-05-04,10.4505,-0.044,-0.41927
2022-05-03,10.4945,0.029,0.2771
2022-05-02,10.4655,-0.0157,-0.14979
2022-04-28,10.4812,0.0221,0.2113
2022-04-27,10.4591,-0.0506,-0.48146
2022-04-26,10.5097,-0.0112,-0.10645
2022-04-25,10.5209,-0.0016,-0.01521
2022-04-24,10.5225,-0.0611,-0.57731
2022-04-21,10.5836,-0.0459,-0.43182
2022-04-20,10.6295,-0.0523,-0.48962
2022-04-19,10.6818,-0.034,-0.31729
2022-04-18,10.7158,-0.0399,-0.37097
2022-04-13,10.7557,0.0016,0.01488
2022-04-12,10.7541,0.0094,0.08748
2022-04-11,10.7447,-0.0091,-0.08462
2022-04-10,10.7538,-0.0602,-0.55669
2022-04-07,10.814,-0.012,-0.11084
2022-04-06,10.826,-0.0223,-0.20556
2022-04-05,10.8483,0.0759,0.70458
2022-03-31,10.7724,-0.0286,-0.26479
2022-03-30,10.801,0.0234,0.21712
2022-03-29,10.7776,0.0529,0.49325
2022-03-28,10.7247,0.0677,0.63526
2022-03-27,10.657,0.031,0.29174
2022-03-24,10.626,-0.0025,-0.02352
2022-03-23,10.6285,-0.0128,-0.12029
2022-03-22,10.6413,0.0077,0.07241
2022-03-21,10.6336,-0.0244,-0.22894
2022-03-20,10.658,0.0158,0.14847
2022-03-17,10.6422,-0.0158,-0.14825
