tradeDate,nav,change,changePercent
2022-08-30,8.2436,0.0041,0.04976
2022-08-29,8.2395,0.0013,0.01578
2022-08-28,8.2382,-0.0362,-0.43749
2022-08-25,8.2744,0.0107,0.12948
2022-08-24,8.2637,0.0351,0.42656
2022-08-23,8.2286,-0.0005,-0.00608
2022-08-22,8.2291,-0.0065,-0.07893
2022-08-21,8.2356,-0.0028,-0.03399
2022-08-18,8.2384,-0.005,-0.06065
2022-08-17,8.2434,0.0097,0.11781
2022-08-16,8.2337,-0.029,-0.35097
2022-08-15,8.2627,0.0409,0.49746
2022-08-14,8.2218,0.0449,0.54911
2022-08-11,8.1769,0.0095,0.11632
2022-08-10,8.1674,0.0131,0.16065
2022-08-09,8.1543,-0.0016,-0.01962
2022-08-08,8.1559,-0.0443,-0.54023
2022-08-07,8.2002,0.0037,0.04514
2022-08-04,8.1965,-0.0145,-0.17659
2022-08-03,8.211,0.0155,0.18913
2022-08-02,8.1955,-0.0286,-0.34776
2022-08-01,8.2241,-0.0076,-0.09233
2022-07-31,8.2317,0.0037,0.04497
2022-07-28,8.228,0.0394,0.48116
2022-07-27,8.1886,0.0305,0.37386
2022-07-26,8.1581,0.0031,0.03801
2022-07-25,8.155,0.032,0.39394
2022-07-24,8.123,0.0342,0.42281
2022-07-21,8.0888,0.0329,0.4084
2022-07-20,8.0559,0.0373,0.46517
2022-07-19,8.0186,0.0015,0.01871
2022-07-18,8.0171,-0.0309,-0.38395
2022-07-17,8.048,-0.0031,-0.0385
2022-07-14,8.0511,-0.0059,-0.07323
2022-07-13,8.057,-0.0139,-0.17222
2022-07-12,8.0709,-0.0231,-0.2854
2022-07-11,8.094,-0.0306,-0.37663
2022-07-10,8.1246,-0.0078,-0.09591
2022-07-07,8.1324,-0.0067,-0.08232
2022-07-06,8.1391,-0.0232,-0.28423
2022-07-05,8.1623,-0.0187,-0.22858
2022-07-04,8.181,-0.0014,-0.01711
2022-07-03,8.1824,0.0046,0.05625
2022-06-30,8.1778,0.0239,0.29311
2022-06-29,8.1539,0.0153,0.18799
2022-06-28,8.1386,-0.0031,-0.03808
2022-06-27,8.1417,-0.0127,-0.15574
2022-06-26,8.1544,0.0052,0.06381
2022-06-23,8.1492,0.0041,0.05034
2022-06-22,8.1451,0.0159,0.19559
2022-06-21,8.1292,,
2022-06-20,8.1095,-0.0205,-0.25215
2022-06-19,8.13,0.0021,0.02584
2022-06-16,8.1279,0.0086,0.10592
2022-06-15,8.1193,-0.0084,-0.10335
2022-06-14,8.1277,0.0147,0.18119
2022-06-13,8.113,-0.0357,-0.43811
2022-06-12,8.1487,-0.1061,-1.28531
2022-06-09,8.2548,-0.047,-0.56614
2022-06-08,8.3018,-0.0069,-0.08305
2022-06-07,8.3087,-0.008,-0.09619
2022-06-06,8.3167,0.0037,0.04451
2022-06-05,8.313,-0.0084,-0.10094
2022-06-01,8.3214,-0.001,-0.01202
2022-05-31,8.3224,-0.0047,-0.05644
2022-05-30,8.3271,0.001,0.01201
2022-05-29,8.3261,0.0034,0.04085
2022-05-26,8.3227,0.0002,0.0024
2022-05-25,8.3225,0.0205,0.24693
2022-05-24,8.302,0.0278,0.33598
2022-05-23,8.2742,0.0067,0.08104
2022-05-22,8.2675,0.0002,0.00242
2022-05-19,8.2673,0.0156,0.18905
2022-05-18,8.2517,0.0103,0.12498
2022-05-17,8.2414,-0.0065,-0.07881
2022-05-16,8.2479,-0.0229,-0.27688
2022-05-15,8.2708,0.0115,0.13924
2022-05-12,8.2593,-0.0169,-0.2042
2022-05-11,8.2762,-0.0067,-0.08089
2022-05-10,8.2829,0.0018,0.02174
2022-05-09,8.2811,-0.0015,-0.01811
2022-05-08,8.2826,-0.0162,-0.19521
2022-05-05,8.2988,-0.0338,-0.40564
2022-05-04,8.3326,0.0149,0.17914
2022-05-03,8.3177,-0.0029,-0.03485
2022-05-02,8.3206,-0.0422,-0.50462
2022-04-28,8.3628,-0.0073,-0.08722
2022-04-27,8.3701,-0.0038,-0.04538
2022-04-26,8.3739,-0.0075,-0.08948
2022-04-25,8.3814,0.0122,0.14577
2022-04-24,8.3692,0.0102,0.12202
2022-04-21,8.359,-0.0114,-0.13619
2022-04-20,8.3704,-0.0089,-0.10621
2022-04-19,8.3793,0.0008,0.00955
2022-04-18,8.3785,-0.0237,-0.28207
2022-04-13,8.4022,-0.0062,-0.07374
2022-04-12,8.4084,0.0152,0.1811
2022-04-11,8.3932,0.0005,0.00596
2022-04-10,8.3927,-0.0353,-0.41884
2022-04-07,8.428,-0.0256,-0.30283
2022-04-06,8.4536,0.0018,0.0213
2022-04-05,8.4518,-0.0035,-0.04139
2022-03-31,8.4553,-0.0143,-0.16884
2022-03-30,8.4696,0.0186,0.22009
2022-03-29,8.451,0.0334,0.39679
2022-03-28,8.4176,0.0393,0.46907
2022-03-27,8.3783,0.0204,0.24408
2022-03-24,8.3579,-0.0133,-0.15888
2022-03-23,8.3712,-0.0234,-0.27875
2022-03-22,8.3946,0.017,0.20292
2022-03-21,8.3776,-0.0194,-0.23103
2022-03-20,8.397,0.0063,0.07508
2022-03-17,8.3907,0.0306,0.36602
2022-03-16,8.3601,0.097,1.17389
2022-03-15,8.2631,-0.0084,-0.10155
2022-03-14,8.2715,-0.0479,-0.57576
2022-03-13,8.3194,-0.0607,-0.72434
2022-03-10,8.3801,-0.0237,-0.28202
2022-03-09,8.4038,-0.0224,-0.26584
2022-03-08,8.4262,-0.0358,-0.42307
2022-03-07,8.462,-0.0612,-0.71804
2022-03-06,8.5232,-0.0447,-0.52171
2022-03-03,8.5679,0.0048,0.05605
2022-03-02,8.5631,-0.0291,-0.33868
2022-03-01,8.5922,-0.0435,-0.50372
2022-02-28,8.6357,-0.3351,-3.73545
2022-02-24,8.9708,-0.0079,-0.08799
2022-02-23,8.9787,-0.1516,-1.66041
2022-02-22,9.1303,-0.1373,-1.48151
2022-02-21,9.2676,-0.0504,-0.54089
2022-02-20,9.318,-0.0111,-0.11898
2022-02-17,9.3291,0.0143,0.15352
2022-02-16,9.3148,-0.0063,-0.06759
2022-02-15,9.3211,-0.0042,-0.04504
2022-02-14,9.3253,-0.0206,-0.22042
2022-02-13,9.3459,-0.0444,-0.47283
2022-02-10,9.3903,-0.0029,-0.03087
2022-02-09,9.3932,-0.0037,-0.03937
2022-02-08,9.3969,0.018,0.19192
2022-02-07,9.3789,-0.0234,-0.24888
2022-02-06,9.4023,-0.0282,-0.29903
2022-01-27,9.4305,-0.0126,-0.13343
2022-01-26,9.4431,-0.017,-0.1797
2022-01-25,9.4601,0.002,0.02115
2022-01-24,9.4581,-0.0172,-0.18152
2022-01-23,9.4753,-0.0218,-0.22954
2022-01-20,9.4971,0.0152,0.16031
2022-01-19,9.4819,0.0157,0.16585
2022-01-18,9.4662,0.0496,0.52673
2022-01-17,9.4166,-0.0277,-0.2933
2022-01-16,9.4443,-0.0414,-0.43645
2022-01-13,9.4857,-0.0518,-0.54312
2022-01-12,9.5375,-0.0181,-0.18942
2022-01-11,9.5556,-0.007,-0.0732
2022-01-10,9.5626,-0.0089,-0.09298
2022-01-09,9.5715,-0.0203,-0.21164
2022-01-06,9.5918,-0.0197,-0.20496
2022-01-05,9.6115,-0.0622,-0.64298
2022-01-04,9.6737,-0.0135,-0.13936
2022-01-03,9.6872,-0.0071,-0.07324
2022-01-02,9.6943,-0.0093,-0.09584
2021-12-29,9.7036,0.0123,0.12692
2021-12-28,9.6913,0.0053,0.05472
2021-12-27,9.686,0.0267,0.27642
2021-12-26,9.6593,0.002,0.02071
2021-12-23,9.6573,-0.0005,-0.00518
2021-12-22,9.6578,0.0052,0.05387
2021-12-21,9.6526,0.004,0.04146
2021-12-20,9.6486,-0.0017,-0.01762
2021-12-19,9.6503,-0.0272,-0.28106
2021-12-16,9.6775,-0.0085,-0.08776
2021-12-15,9.686,0.013,0.13439
2021-12-14,9.673,-0.0199,-0.2053
2021-12-13,9.6929,-0.0163,-0.16788
2021-12-12,9.7092,-0.0023,-0.02368
2021-12-09,9.7115,0.01,0.10308
2021-12-08,9.7015,0.0229,0.2366
2021-12-07,9.6786,0.005,0.05169
2021-12-06,9.6736,-0.0024,-0.0248
2021-12-05,9.676,-0.0014,-0.01447
2021-12-02,9.6774,0.0187,0.19361
2021-12-01,9.6587,0.0018,0.01864
2021-11-30,9.6569,0.0076,0.07876
2021-11-29,9.6493,0.0015,0.01555
2021-11-28,9.6478,-0.0221,-0.22854
2021-11-25,9.6699,0.0066,0.0683
2021-11-24,9.6633,-0.0004,-0.00414
2021-11-23,9.6637,-0.0091,-0.09408
2021-11-22,9.6728,-0.0318,-0.32768
2021-11-21,9.7046,-0.0159,-0.16357
2021-11-18,9.7205,0.0094,0.0968
2021-11-17,9.7111,0.0126,0.12992
2021-11-16,9.6985,-0.0053,-0.05462
2021-11-15,9.7038,-0.0017,-0.01752
2021-11-14,9.7055,0.0156,0.16099
2021-11-11,9.6899,0.0413,0.42804
2021-11-10,9.6486,0.0019,0.0197
2021-11-09,9.6467,-0.0006,-0.00622
2021-11-08,9.6473,-0.0187,-0.19346
2021-11-07,9.666,-0.0252,-0.26003
2021-11-04,9.6912,-0.0331,-0.34038
2021-11-03,9.7243,0.0019,0.01954
2021-11-02,9.7224,-0.0055,-0.05654
2021-11-01,9.7279,-0.001,-0.01028
2021-10-31,9.7289,-0.0175,-0.17955
2021-10-28,9.7464,-0.0113,-0.11581
2021-10-27,9.7577,0.0055,0.0564
2021-10-26,9.7522,0.0192,0.19727
2021-10-25,9.733,0.0112,0.11521
2021-10-24,9.7218,-0.0033,-0.03393
2021-10-21,9.7251,-0.002,-0.02056
2021-10-20,9.7271,0.0018,0.01851
2021-10-19,9.7253,-0.0076,-0.07809
2021-10-18,9.7329,0.0025,0.02569
2021-10-17,9.7304,0.0169,0.17398
2021-10-14,9.7135,-0.0021,-0.02161
2021-10-13,9.7156,0.017,0.17528
2021-10-12,9.6986,0.0027,0.02785
2021-10-11,9.6959,-0.0473,-0.48547
2021-10-07,9.7432,-0.0231,-0.23653
2021-10-06,9.7663,0.0003,0.00307
2021-10-05,9.766,-0.0156,-0.15948
2021-10-04,9.7816,-0.0211,-0.21525
2021-10-03,9.8027,-0.0012,-0.01224
2021-09-30,9.8039,-0.0005,-0.0051
2021-09-29,9.8044,-0.0079,-0.08051
2021-09-28,9.8123,0.0062,0.06323
2021-09-27,9.8061,-0.0218,-0.22182
2021-09-26,9.8279,-0.0018,-0.01831
2021-09-23,9.8297,-0.002,-0.02034
2021-09-22,9.8317,-0.0054,-0.05489
2021-09-21,9.8371,-0.0094,-0.09547
2021-09-16,9.8465,-0.0168,-0.17033
2021-09-15,9.8633,-0.0066,-0.06687
2021-09-14,9.8699,0.0027,0.02736
2021-09-13,9.8672,0.0151,0.15327
2021-09-12,9.8521,0.0,0.0
2021-09-10,9.8521,0.0001,0.00102
2021-09-09,9.852,0.0014,0.01421
2021-09-08,9.8506,0.0045,0.0457
2021-09-07,9.8461,0.0006,0.00609
2021-09-06,9.8455,0.0,0.0
2021-09-05,9.8455,-0.0033,-0.03351
2021-09-02,9.8488,-0.0085,-0.08623
2021-09-01,9.8573,0.0126,0.12799
2021-08-31,9.8447,-0.0024,-0.02437
2021-08-30,9.8471,0.0007,0.00711
2021-08-29,9.8464,0.0123,0.12507
2021-08-26,9.8341,-0.0048,-0.04879
2021-08-25,9.8389,0.002,0.02033
2021-08-24,9.8369,-0.0001,-0.00102
2021-08-23,9.837,-0.0015,-0.01525
2021-08-22,9.8385,-0.0072,-0.07313
2021-08-19,9.8457,0.0008,0.00813
2021-08-18,9.8449,0.0071,0.07217
2021-08-17,9.8378,0.0022,0.02237
2021-08-16,9.8356,0.0087,0.08853
2021-08-15,9.8269,0.0133,0.13553
2021-08-12,9.8136,0.0061,0.0622
2021-08-11,9.8075,0.0072,0.07347
2021-08-10,9.8003,-0.0067,-0.06832
2021-08-09,9.807,-0.0028,-0.02854
2021-08-08,9.8098,-0.005,-0.05094
2021-08-05,9.8148,-0.0059,-0.06008
2021-08-04,9.8207,0.0013,0.01324
2021-08-03,9.8194,0.0077,0.07848
2021-08-02,9.8117,-0.0001,-0.00102
2021-08-01,9.8118,0.0025,0.02549
2021-07-29,9.8093,0.0004,0.00408
2021-07-28,9.8089,0.0016,0.01631
2021-07-27,9.8073,-0.0059,-0.06012
2021-07-26,9.8132,-0.0109,-0.11095
2021-07-25,9.8241,-0.005,-0.05087
2021-07-22,9.8291,0.0053,0.05395
2021-07-21,9.8238,0.0043,0.04379
2021-07-20,9.8195,-0.0099,-0.10072
2021-07-19,9.8294,0.0011,0.01119
2021-07-18,9.8283,0.011,0.11205
2021-07-15,9.8173,-0.006,-0.06108
2021-07-14,9.8233,0.0294,0.30019
2021-07-13,9.7939,0.0025,0.02553
2021-07-12,9.7914,-0.0044,-0.04492
2021-07-11,9.7958,0.0042,0.04289
2021-07-08,9.7916,-0.0099,-0.101
2021-07-07,9.8015,0.0097,0.09906
2021-07-06,9.7918,0.0111,0.11349
2021-07-05,9.7807,0.0035,0.0358
2021-07-04,9.7772,0.0039,0.0399
2021-07-01,9.7733,-0.0015,-0.01535
2021-06-30,9.7748,0.002,0.02046
2021-06-29,9.7728,0.0036,0.03685
2021-06-28,9.7692,0.0067,0.06863
2021-06-27,9.7625,0.0057,0.05842
2021-06-24,9.7568,0.0034,0.03486
2021-06-23,9.7534,0.0003,0.00308
2021-06-22,9.7531,0.0037,0.03795
2021-06-21,9.7494,0.002,0.02052
2021-06-20,9.7474,-0.0003,-0.00308
2021-06-17,9.7477,0.006,0.06159
2021-06-16,9.7417,-0.0023,-0.0236
2021-06-15,9.744,-0.0047,-0.04821
2021-06-14,9.7487,-0.0054,-0.05536
2021-06-10,9.7541,0.0144,0.14785
2021-06-09,9.7397,0.004,0.04109
2021-06-08,9.7357,0.0177,0.18214
2021-06-07,9.718,0.0119,0.1226
2021-06-06,9.7061,0.0113,0.11656
2021-06-03,9.6948,-0.0004,-0.00413
2021-06-02,9.6952,0.0004,0.00413
2021-06-01,9.6948,-0.0032,-0.033
2021-05-31,9.698,-0.0023,-0.02371
2021-05-30,9.7003,0.0003,0.00309
2021-05-27,9.7,0.0066,0.06809
2021-05-26,9.6934,-0.0017,-0.01753
2021-05-25,9.6951,0.0044,0.0454
2021-05-24,9.6907,0.0142,0.14675
2021-05-23,9.6765,0.007,0.07239
2021-05-20,9.6695,0.0022,0.02276
2021-05-19,9.6673,0.0062,0.06417
2021-05-18,9.6611,-0.0033,-0.03415
2021-05-17,9.6644,0.0019,0.01966
2021-05-16,9.6625,0.0019,0.01967
2021-05-13,9.6606,0.0116,0.12022
2021-05-12,9.649,-0.0017,-0.01762
2021-05-11,9.6507,-0.0184,-0.1903
2021-05-10,9.6691,-0.0092,-0.09506
2021-05-09,9.6783,0.0024,0.0248
2021-05-06,9.6759,0.0154,0.15941
2021-05-05,9.6605,0.0066,0.06837
2021-05-04,9.6539,0.0019,0.01969
2021-05-03,9.652,0.0116,0.12033
