tradeDate,nav,change,changePercent
2022-08-30,10.4245,-0.0347,-0.33177
2022-08-29,10.4592,-0.056,-0.53256
2022-08-28,10.5152,-0.0136,-0.12917
2022-08-25,10.5288,-0.0187,-0.17729
2022-08-24,10.5475,0.034,0.32339
2022-08-23,10.5135,0.0164,0.15623
2022-08-22,10.4971,-0.0675,-0.63893
2022-08-21,10.5646,-0.0832,-0.78138
2022-08-18,10.6478,-0.0503,-0.47018
2022-08-17,10.6981,0.0085,0.07952
2022-08-16,10.6896,-0.061,-0.56741
2022-08-15,10.7506,0.0061,0.05677
2022-08-14,10.7445,0.0138,0.1286
2022-08-11,10.7307,0.0058,0.05408
2022-08-10,10.7249,-0.0115,-0.10711
2022-08-09,10.7364,0.0474,0.44345
2022-08-08,10.689,-0.0345,-0.32172
2022-08-07,10.7235,0.0102,0.09521
2022-08-04,10.7133,-0.0455,-0.42291
2022-08-03,10.7588,0.0065,0.06045
2022-08-02,10.7523,0.0235,0.21904
2022-08-01,10.7288,0.0598,0.5605
2022-07-31,10.669,0.0302,0.28387
2022-07-28,10.6388,0.0604,0.57097
2022-07-27,10.5784,0.057,0.54175
2022-07-26,10.5214,0.0235,0.22385
2022-07-25,10.4979,-0.0097,-0.09231
2022-07-24,10.5076,0.0288,0.27484
2022-07-21,10.4788,0.0406,0.38896
2022-07-20,10.4382,0.0365,0.3509
2022-07-19,10.4017,0.0443,0.42771
2022-07-18,10.3574,0.0311,0.30117
2022-07-17,10.3263,0.0132,0.12799
2022-07-14,10.3131,0.0446,0.43434
2022-07-13,10.2685,,
2022-07-12,10.2979,-0.0345,-0.3339
2022-07-11,10.3324,0.0086,0.0833
2022-07-10,10.3238,0.0126,0.1222
2022-07-07,10.3112,0.037,0.36013
2022-07-06,10.2742,0.0383,0.37417
2022-07-05,10.2359,-0.0128,-0.12489
2022-07-04,10.2487,-0.0108,-0.10527
2022-06-30,10.2595,0.0461,0.45137
2022-06-29,10.2134,-0.0465,-0.45322
2022-06-28,10.2599,-0.026,-0.25277
2022-06-27,10.2859,-0.0183,-0.1776
2022-06-26,10.3042,0.0011,0.01068
2022-06-23,10.3031,0.0405,0.39464
2022-06-22,10.2626,0.0214,0.20896
2022-06-21,10.2412,0.0091,0.08894
2022-06-20,10.2321,0.059,0.57996
2022-06-16,10.1731,-0.0075,-0.07367
2022-06-15,10.1806,-0.1118,-1.08624
2022-06-14,10.2924,0.0653,0.6385
2022-06-13,10.2271,-0.0449,-0.43711
2022-06-12,10.272,-0.2009,-1.91828
2022-06-09,10.4729,-0.1023,-0.96736
2022-06-08,10.5752,-0.0464,-0.43685
2022-06-07,10.6216,-0.0174,-0.16355
2022-06-06,10.639,0.0099,0.09314
2022-06-05,10.6291,-0.0304,-0.28519
2022-06-01,10.6595,-0.0043,-0.04032
2022-05-31,10.6638,-0.0119,-0.11147
2022-05-30,10.6757,-0.0129,-0.12069
2022-05-26,10.6886,0.0996,0.9406
2022-05-25,10.589,0.091,0.86683
2022-05-24,10.498,0.0843,0.80951
2022-05-23,10.4137,0.0224,0.21556
2022-05-22,10.3913,0.0066,0.06356
2022-05-19,10.3847,-0.01,-0.0962
2022-05-18,10.3947,-0.016,-0.15369
2022-05-17,10.4107,-0.0334,-0.3198
2022-05-16,10.4441,-0.0424,-0.40433
2022-05-15,10.4865,0.0176,0.16812
2022-05-12,10.4689,0.0089,0.08509
2022-05-11,10.46,-0.0246,-0.23463
2022-05-10,10.4846,0.0022,0.02099
2022-05-09,10.4824,0.0362,0.34654
2022-05-08,10.4462,-0.0871,-0.8269
2022-05-05,10.5333,-0.0474,-0.44799
2022-05-04,10.5807,-0.0386,-0.36349
2022-05-03,10.6193,0.0247,0.23314
2022-05-02,10.5946,-0.0594,-0.55754
2022-04-28,10.654,-0.0292,-0.27333
2022-04-27,10.6832,0.0376,0.3532
2022-04-26,10.6456,-0.0543,-0.50748
2022-04-25,10.6999,-0.0325,-0.30282
2022-04-24,10.7324,0.0133,0.12408
2022-04-21,10.7191,-0.0211,-0.19646
2022-04-20,10.7402,-0.0283,-0.2628
2022-04-19,10.7685,0.0064,0.05947
2022-04-18,10.7621,-0.009,-0.08356
2022-04-17,10.7711,-0.0084,-0.07793
2022-04-13,10.7795,-0.0004,-0.00371
2022-04-12,10.7799,-0.0014,-0.01299
2022-04-11,10.7813,0.0071,0.0659
2022-04-10,10.7742,-0.0447,-0.41317
2022-04-07,10.8189,-0.0234,-0.21582
2022-04-06,10.8423,0.0418,0.38702
2022-04-05,10.8005,-0.1158,-1.0608
2022-03-31,10.9163,-0.01,-0.09152
2022-03-30,10.9263,0.0124,0.11362
2022-03-29,10.9139,0.0193,0.17715
2022-03-28,10.8946,0.0711,0.6569
2022-03-27,10.8235,-0.0006,-0.00554
2022-03-24,10.8241,-0.0066,-0.06094
2022-03-23,10.8307,-0.0018,-0.01662
2022-03-22,10.8325,-0.0141,-0.12999
2022-03-21,10.8466,-0.0117,-0.10775
2022-03-20,10.8583,-0.0097,-0.08925
2022-03-17,10.868,-0.0089,-0.08182
2022-03-16,10.8769,0.0485,0.4479
2022-03-15,10.8284,0.0821,0.76398
2022-03-14,10.7463,0.0145,0.13511
2022-03-13,10.7318,-0.0461,-0.42773
2022-03-10,10.7779,-0.0426,-0.3937
2022-03-09,10.8205,-0.0115,-0.10617
2022-03-08,10.832,0.0555,0.51501
2022-03-07,10.7765,0.0364,0.33892
2022-03-06,10.7401,-0.0909,-0.83926
2022-03-03,10.831,-0.0807,-0.73957
2022-03-02,10.9117,-0.036,-0.32884
2022-03-01,10.9477,0.0186,0.17019
2022-02-28,10.9291,-0.0333,-0.30377
2022-02-24,10.9624,0.0661,0.60663
2022-02-23,10.8963,-0.0373,-0.34115
2022-02-22,10.9336,-0.0127,-0.11602
2022-02-21,10.9463,-0.0358,-0.32599
2022-02-17,10.9821,0.0059,0.05375
2022-02-16,10.9762,-0.0197,-0.17916
2022-02-15,10.9959,0.0199,0.1813
2022-02-14,10.976,0.025,0.22829
2022-02-13,10.951,-0.055,-0.49973
2022-02-10,11.006,-0.0533,-0.48195
2022-02-09,11.0593,-0.0379,-0.34153
2022-02-08,11.0972,0.0247,0.22308
2022-02-07,11.0725,-0.0173,-0.156
2022-02-06,11.0898,-0.0949,-0.84848
2022-01-27,11.1847,-0.0162,-0.14463
2022-01-26,11.2009,-0.0644,-0.57167
2022-01-25,11.2653,-0.0023,-0.02041
2022-01-24,11.2676,-0.0016,-0.0142
2022-01-23,11.2692,-0.0326,-0.28845
2022-01-20,11.3018,-0.0165,-0.14578
2022-01-19,11.3183,-0.0134,-0.11825
2022-01-18,11.3317,-0.0069,-0.06085
2022-01-17,11.3386,-0.0283,-0.24897
2022-01-13,11.3669,-0.0063,-0.05539
2022-01-12,11.3732,-0.0085,-0.07468
2022-01-11,11.3817,0.0033,0.029
