tradeDate,nav,change,changePercent
2022-08-30,6.1422,-0.0388,-0.62773
2022-08-29,6.181,-0.0417,-0.67013
2022-08-28,6.2227,-0.0363,-0.57996
2022-08-25,6.259,-0.0045,-0.07184
2022-08-24,6.2635,0.0319,0.51191
2022-08-23,6.2316,0.0325,0.52427
2022-08-22,6.1991,0.0462,0.75087
2022-08-21,6.1529,-0.0856,-1.37212
2022-08-18,6.2385,-0.0723,-1.14566
2022-08-17,6.3108,0.0014,0.02219
2022-08-16,6.3094,-0.0744,-1.16545
2022-08-15,6.3838,-0.0521,-0.80952
2022-08-14,6.4359,-0.035,-0.54088
2022-08-11,6.4709,-0.0265,-0.40786
2022-08-10,6.4974,0.0923,1.44104
2022-08-09,6.4051,0.0281,0.44065
2022-08-08,6.377,0.0319,0.50275
2022-08-07,6.3451,0.0758,1.20907
2022-08-04,6.2693,0.0064,0.10219
2022-08-03,6.2629,0.058,0.93475
2022-08-02,6.2049,-0.0004,-0.00645
2022-08-01,6.2053,-0.0153,-0.24596
2022-07-31,6.2206,-0.0296,-0.47358
2022-07-28,6.2502,0.0724,1.17194
2022-07-27,6.1778,0.0927,1.52339
2022-07-26,6.0851,-0.0211,-0.34555
2022-07-25,6.1062,-0.0516,-0.83796
2022-07-24,6.1578,0.02,0.32585
2022-07-21,6.1378,0.043,0.70552
2022-07-20,6.0948,0.0548,0.90728
2022-07-19,6.04,0.0965,1.62362
2022-07-18,5.9435,0.0159,0.26824
2022-07-17,5.9276,0.0744,1.2711
2022-07-14,5.8532,-0.004,-0.06829
2022-07-13,5.8572,-0.0814,-1.37069
2022-07-12,5.9386,-0.0957,-1.58593
2022-07-11,6.0343,-0.0629,-1.03162
2022-07-10,6.0972,-0.0334,-0.54481
2022-07-07,6.1306,-0.0029,-0.04728
2022-07-06,6.1335,-0.0182,-0.29585
2022-07-05,6.1517,-0.0418,-0.6749
2022-07-04,6.1935,-0.0161,-0.25928
2022-07-03,6.2096,0.0056,0.09026
2022-06-30,6.204,-0.0057,-0.09179
2022-06-29,6.2097,-0.0331,-0.53021
2022-06-28,6.2428,-0.0361,-0.57494
2022-06-27,6.2789,-0.0749,-1.17882
2022-06-26,6.3538,-0.0116,-0.18224
2022-06-23,6.3654,0.0166,0.26147
2022-06-22,6.3488,0.0101,0.15934
2022-06-21,6.3387,-0.038,-0.59592
2022-06-20,6.3767,0.0001,0.00157
2022-06-19,6.3766,-0.0051,-0.07992
2022-06-16,6.3817,0.0009,0.0141
2022-06-15,6.3808,-0.058,-0.90079
2022-06-14,6.4388,0.0184,0.28659
2022-06-13,6.4204,0.0035,0.05454
2022-06-12,6.4169,-0.1662,-2.52465
2022-06-09,6.5831,-0.0767,-1.15169
2022-06-08,6.6598,-0.0713,-1.05926
2022-06-07,6.7311,-0.0352,-0.52023
2022-06-06,6.7663,-0.034,-0.49998
2022-06-05,6.8003,-0.0136,-0.19959
2022-06-01,6.8139,-0.0043,-0.06307
2022-05-31,6.8182,-0.0989,-1.42979
2022-05-30,6.9171,-0.0307,-0.44187
2022-05-29,6.9478,0.0011,0.01583
2022-05-26,6.9467,0.0469,0.67973
2022-05-25,6.8998,0.066,0.96579
2022-05-24,6.8338,0.0463,0.68214
2022-05-23,6.7875,-0.0015,-0.02209
2022-05-22,6.789,0.0273,0.40374
2022-05-19,6.7617,0.011,0.16295
2022-05-18,6.7507,-0.0673,-0.98709
2022-05-17,6.818,-0.0222,-0.32455
2022-05-16,6.8402,-0.0079,-0.11536
2022-05-15,6.8481,-0.0117,-0.17056
2022-05-12,6.8598,-0.0056,-0.08157
2022-05-11,6.8654,-0.0132,-0.1919
2022-05-10,6.8786,0.0156,0.22731
2022-05-09,6.863,0.0046,0.06707
2022-05-08,6.8584,-0.0824,-1.18718
2022-05-05,6.9408,-0.0672,-0.9589
2022-05-04,7.008,0.0031,0.04425
2022-05-03,7.0049,0.0246,0.35242
2022-05-02,6.9803,-0.1441,-2.02263
2022-04-28,7.1244,-0.0296,-0.41375
