tradeDate,nav,change,changePercent
2022-08-31,0.3986,-0.0047,-1.16539
2022-08-30,0.4033,-0.0015,-0.37055
2022-08-29,0.4048,-0.0029,-0.71131
2022-08-28,0.4077,-0.0051,-1.23547
2022-08-25,0.4128,-0.0038,-0.91215
2022-08-24,0.4166,0.0035,0.84725
2022-08-23,0.4131,-0.0002,-0.04839
2022-08-22,0.4133,-0.0014,-0.33759
2022-08-21,0.4147,-0.0059,-1.40276
2022-08-18,0.4206,-0.0041,-0.96539
2022-08-17,0.4247,0.0003,0.07069
2022-08-16,0.4244,-0.0023,-0.53902
2022-08-15,0.4267,0.0022,0.51826
2022-08-11,0.4245,0.0018,0.42583
2022-08-10,0.4227,0.0019,0.45152
2022-08-09,0.4208,0.0047,1.12954
2022-08-08,0.4161,-0.0022,-0.52594
2022-08-07,0.4183,0.0018,0.43217
2022-08-04,0.4165,-0.0009,-0.21562
2022-08-03,0.4174,0.0014,0.33654
2022-08-02,0.416,0.002,0.48309
2022-08-01,0.414,-0.0028,-0.67179
2022-07-31,0.4168,0.0008,0.19231
2022-07-28,0.416,0.0041,0.99539
2022-07-27,0.4119,0.0032,0.78297
2022-07-26,0.4087,0.0043,1.0633
2022-07-25,0.4044,-0.0025,-0.6144
2022-07-24,0.4069,-0.0002,-0.04913
2022-07-21,0.4071,0.0002,0.04915
2022-07-20,0.4069,0.0025,0.6182
2022-07-19,0.4044,0.0023,0.572
2022-07-18,0.4021,0.0035,0.87807
2022-07-17,0.3986,0.002,0.50429
2022-07-14,0.3966,0.005,1.27681
2022-07-13,0.3916,-0.0018,-0.45755
2022-07-12,0.3934,-0.0014,-0.35461
2022-07-11,0.3948,-0.0025,-0.62925
2022-07-10,0.3973,-0.003,-0.74944
2022-07-07,0.4003,0.0006,0.15011
2022-07-06,0.3997,0.0047,1.18987
2022-07-05,0.395,0.0003,0.07601
2022-07-04,0.3947,-0.0014,-0.35345
2022-07-03,0.3961,-0.0002,-0.05047
2022-06-30,0.3963,-0.0001,-0.02523
2022-06-29,0.3964,-0.0048,-1.19641
2022-06-28,0.4012,-0.0032,-0.7913
2022-06-27,0.4044,-0.0023,-0.56553
2022-06-26,0.4067,0.0024,0.59362
2022-06-23,0.4043,0.0089,2.25089
2022-06-21,0.3954,-0.0026,-0.65327
2022-06-20,0.398,0.0055,1.40127
2022-06-19,0.3925,-0.0006,-0.15263
2022-06-16,0.3931,-0.0002,-0.05085
2022-06-15,0.3933,-0.0076,-1.89573
2022-06-14,0.4009,0.0017,0.42585
2022-06-13,0.3992,-0.002,-0.4985
2022-06-12,0.4012,-0.0116,-2.81008
2022-06-09,0.4128,-0.0095,-2.24959
2022-06-08,0.4223,-0.0052,-1.21637
2022-06-07,0.4275,-0.0006,-0.14015
2022-06-06,0.4281,-0.0012,-0.27952
2022-06-01,0.4293,0.0015,0.35063
2022-05-31,0.4278,-0.002,-0.46533
2022-05-30,0.4298,-0.001,-0.23213
2022-05-29,0.4308,0.0029,0.67773
2022-05-26,0.4279,0.0114,2.73709
2022-05-24,0.4165,0.0022,0.53102
2022-05-23,0.4143,-0.0025,-0.59981
2022-05-22,0.4168,0.0031,0.74934
2022-05-19,0.4137,0.0026,0.63245
2022-05-18,0.4111,-0.0047,-1.13035
2022-05-17,0.4158,-0.0059,-1.3991
2022-05-16,0.4217,0.0061,1.46776
2022-05-15,0.4156,0.0001,0.02407
2022-05-12,0.4155,0.0072,1.76341
