tradeDate,nav,change,changePercent
2022-08-30,7.9648,-0.0523,-0.65236
2022-08-29,8.0171,-0.0217,-0.26994
2022-08-25,8.0388,-0.0118,-0.14657
2022-08-24,8.0506,0.0173,0.21535
2022-08-23,8.0333,0.0119,0.14835
2022-08-22,8.0214,0.0121,0.15107
2022-08-21,8.0093,-0.0364,-0.45242
2022-08-18,8.0457,-0.0228,-0.28258
2022-08-17,8.0685,-0.0122,-0.15098
2022-08-16,8.0807,-0.0369,-0.45457
2022-08-15,8.1176,-0.0039,-0.04802
2022-08-14,8.1215,0.0111,0.13686
2022-08-11,8.1104,0.0174,0.215
2022-08-10,8.093,0.0139,0.17205
2022-08-09,8.0791,0.0353,0.43885
2022-08-08,8.0438,-0.0218,-0.27028
2022-08-07,8.0656,0.0314,0.39083
2022-08-04,8.0342,-0.0052,-0.06468
2022-08-03,8.0394,0.0242,0.30193
2022-08-02,8.0152,0.0177,0.22132
2022-08-01,7.9975,-0.0379,-0.47166
2022-07-31,8.0354,0.0394,0.49275
2022-07-28,7.996,0.0278,0.34889
2022-07-27,7.9682,0.0261,0.32863
2022-07-26,7.9421,0.0162,0.20439
2022-07-25,7.9259,-0.0163,-0.20523
2022-07-24,7.9422,0.0222,0.2803
2022-07-21,7.92,0.0498,0.63277
2022-07-20,7.8702,0.0268,0.34169
2022-07-19,7.8434,0.0687,0.88364
2022-07-18,7.7747,0.0361,0.46649
2022-07-17,7.7386,0.0243,0.315
2022-07-14,7.7143,0.0297,0.38649
2022-07-13,7.6846,-0.0145,-0.18833
2022-07-12,7.6991,-0.01,-0.12972
2022-07-11,7.7091,0.0154,0.20016
2022-07-10,7.6937,0.0105,0.13666
2022-07-07,7.6832,0.025,0.32645
2022-07-06,7.6582,0.0328,0.43014
2022-07-05,7.6254,0.007,0.09188
2022-07-04,7.6184,-0.0492,-0.64166
2022-06-30,7.6676,0.0093,0.12144
2022-06-29,7.6583,-0.0586,-0.75937
2022-06-28,7.7169,-0.0455,-0.58616
2022-06-27,7.7624,-0.0337,-0.43227
2022-06-26,7.7961,-0.0222,-0.28395
2022-06-23,7.8183,0.0047,0.06015
2022-06-22,7.8136,-0.0115,-0.14696
2022-06-21,7.8251,,
2022-06-20,7.8364,0.0104,0.13289
2022-06-16,7.826,-0.0035,-0.0447
2022-06-15,7.8295,-0.0745,-0.94256
2022-06-14,7.904,0.0374,0.47543
2022-06-13,7.8666,-0.0563,-0.7106
2022-06-12,7.9229,-0.128,-1.58988
2022-06-09,8.0509,-0.0563,-0.69444
2022-06-08,8.1072,-0.035,-0.42986
2022-06-07,8.1422,-0.0135,-0.16553
2022-06-06,8.1557,0.0048,0.05889
2022-06-05,8.1509,-0.021,-0.25698
2022-05-31,8.1719,0.0485,0.59704
2022-05-30,8.1234,-0.0378,-0.46317
2022-05-26,8.1612,0.0103,0.12637
2022-05-25,8.1509,0.0626,0.77396
2022-05-24,8.0883,0.0231,0.28642
2022-05-23,8.0652,-0.0065,-0.08053
2022-05-22,8.0717,-0.0026,-0.0322
2022-05-19,8.0743,-0.0164,-0.2027
2022-05-18,8.0907,-0.0212,-0.26134
2022-05-17,8.1119,-0.0418,-0.51265
2022-05-16,8.1537,-0.0106,-0.12983
2022-05-15,8.1643,-0.0029,-0.03551
2022-05-12,8.1672,0.0004,0.0049
2022-05-11,8.1668,-0.0045,-0.05507
2022-05-10,8.1713,0.0109,0.13357
2022-05-09,8.1604,-0.009,-0.11017
2022-05-08,8.1694,-0.0619,-0.75201
2022-05-05,8.2313,-0.0407,-0.49202
2022-05-04,8.272,-0.028,-0.33735
2022-05-03,8.3,-0.05,-0.5988
2022-05-02,8.35,-0.018,-0.21511
2022-04-28,8.368,-0.0465,-0.55262
2022-04-27,8.4145,0.014,0.16666
2022-04-26,8.4005,-0.0213,-0.25292
2022-04-25,8.4218,-0.0215,-0.25464
2022-04-24,8.4433,-0.0026,-0.03078
2022-04-21,8.4459,-0.0067,-0.07927
2022-04-20,8.4526,-0.0116,-0.13705
2022-04-19,8.4642,0.0102,0.12065
2022-04-18,8.454,0.0264,0.31326
2022-04-13,8.4276,-0.0196,-0.23203
2022-04-12,8.4472,-0.0115,-0.13595
2022-04-11,8.4587,0.0196,0.23225
2022-04-10,8.4391,-0.0097,-0.11481
2022-04-07,8.4488,-0.0012,-0.0142
2022-04-06,8.45,-0.0063,-0.0745
2022-04-05,8.4563,-0.0636,-0.74649
2022-03-31,8.5199,0.0133,0.15635
2022-03-30,8.5066,0.0144,0.16957
2022-03-29,8.4922,-0.021,-0.24668
2022-03-28,8.5132,0.0469,0.55396
2022-03-27,8.4663,0.0259,0.30686
2022-03-24,8.4404,-0.0029,-0.03435
2022-03-23,8.4433,0.0112,0.13283
2022-03-22,8.4321,0.0029,0.0344
2022-03-21,8.4292,0.0061,0.07242
2022-03-20,8.4231,0.0265,0.3156
2022-03-17,8.3966,-0.0068,-0.08092
2022-03-16,8.4034,0.0103,0.12272
2022-03-15,8.3931,0.0468,0.56073
2022-03-14,8.3463,0.0105,0.12596
2022-03-13,8.3358,-0.0153,-0.18321
2022-03-10,8.3511,-0.0032,-0.0383
2022-03-09,8.3543,-0.0383,-0.45635
2022-03-08,8.3926,0.034,0.40677
2022-03-07,8.3586,-0.0002,-0.00239
2022-03-06,8.3588,-0.04,-0.47626
2022-03-03,8.3988,-0.0235,-0.27902
2022-03-02,8.4223,-0.0049,-0.05815
2022-03-01,8.4272,-0.0289,-0.34177
2022-02-28,8.4561,-0.0002,-0.00237
2022-02-24,8.4563,0.0428,0.50871
2022-02-23,8.4135,-0.0081,-0.09618
2022-02-22,8.4216,0.0025,0.02969
2022-02-21,8.4191,-0.015,-0.17785
2022-02-17,8.4341,-0.0067,-0.07938
2022-02-16,8.4408,-0.0101,-0.11951
2022-02-15,8.4509,0.0144,0.17069
2022-02-14,8.4365,0.0227,0.26979
2022-02-13,8.4138,-0.025,-0.29625
2022-02-10,8.4388,-0.0311,-0.36718
2022-02-09,8.4699,-0.0291,-0.34239
2022-02-08,8.499,0.0227,0.26781
2022-02-07,8.4763,-0.0292,-0.34331
2022-02-06,8.5055,-0.0801,-0.93296
2022-01-27,8.5856,-0.024,-0.27876
2022-01-26,8.6096,-0.0156,-0.18087
2022-01-25,8.6252,0.0154,0.17887
2022-01-24,8.6098,-0.0117,-0.13571
2022-01-23,8.6215,-0.0229,-0.26491
2022-01-20,8.6444,-0.0039,-0.0451
2022-01-19,8.6483,-0.0077,-0.08896
2022-01-18,8.656,0.0067,0.07746
2022-01-17,8.6493,-0.0255,-0.29395
2022-01-13,8.6748,-0.0126,-0.14504
2022-01-12,8.6874,-0.0068,-0.07821
2022-01-11,8.6942,0.0107,0.12322
2022-01-10,8.6835,0.017,0.19616
2022-01-09,8.6665,-0.0142,-0.16358
2022-01-06,8.6807,-0.0009,-0.01037
2022-01-05,8.6816,-0.0053,-0.06101
2022-01-04,8.6869,-0.0494,-0.56546
2022-01-03,8.7363,-0.0116,-0.1326
2021-12-29,8.7479,0.002,0.02287
2021-12-28,8.7459,-0.0039,-0.04457
2021-12-22,8.7498,0.0016,0.01829
2021-12-21,8.7482,0.0074,0.08466
2021-12-20,8.7408,0.0126,0.14436
2021-12-19,8.7282,0.0056,0.0642
2021-12-16,8.7226,-0.0097,-0.11108
2021-12-15,8.7323,0.011,0.12613
2021-12-14,8.7213,0.0013,0.01491
2021-12-13,8.72,-0.0021,-0.02408
2021-12-12,8.7221,0.0137,0.15732
2021-12-09,8.7084,0.0084,0.09655
2021-12-08,8.7,-0.0113,-0.12972
2021-12-07,8.7113,-0.0024,-0.02754
2021-12-06,8.7137,0.0387,0.44611
2021-12-05,8.675,0.0191,0.22066
2021-12-02,8.6559,0.0003,0.00347
2021-12-01,8.6556,-0.0263,-0.30293
2021-11-30,8.6819,-0.0007,-0.00806
2021-11-29,8.6826,-0.0107,-0.12308
2021-11-28,8.6933,0.0058,0.06676
2021-11-25,8.6875,-0.0355,-0.40697
2021-11-23,8.723,-0.0089,-0.10193
2021-11-22,8.7319,-0.0157,-0.17948
2021-11-21,8.7476,-0.0071,-0.0811
2021-11-18,8.7547,-0.0067,-0.07647
2021-11-17,8.7614,-0.0026,-0.02967
2021-11-16,8.764,0.0017,0.0194
2021-11-15,8.7623,-0.0017,-0.0194
2021-11-14,8.764,-0.0161,-0.18337
2021-11-11,8.7801,0.0056,0.06382
2021-11-09,8.7745,-0.0067,-0.0763
2021-11-08,8.7812,-0.012,-0.13647
2021-11-07,8.7932,-0.0018,-0.02047
2021-11-04,8.795,0.0194,0.22107
2021-11-03,8.7756,0.0192,0.21927
2021-11-02,8.7564,0.0033,0.0377
2021-11-01,8.7531,-0.037,-0.42093
2021-10-31,8.7901,0.0068,0.07742
2021-10-28,8.7833,-0.0079,-0.08986
2021-10-27,8.7912,0.0063,0.07171
2021-10-26,8.7849,-0.0005,-0.00569
2021-10-25,8.7854,-0.0055,-0.06256
2021-10-24,8.7909,-0.0043,-0.04889
2021-10-21,8.7952,-0.0094,-0.10676
2021-10-20,8.8046,-0.0037,-0.04201
2021-10-19,8.8083,-0.0035,-0.03972
2021-10-18,8.8118,-0.0114,-0.1292
2021-10-17,8.8232,-0.0073,-0.08267
2021-10-14,8.8305,-0.0084,-0.09503
2021-10-13,8.8389,0.015,0.16999
2021-10-12,8.8239,0.0022,0.02494
2021-10-11,8.8217,-0.0064,-0.0725
2021-10-07,8.8281,0.0086,0.09751
2021-10-06,8.8195,0.0016,0.01814
2021-10-05,8.8179,-0.0052,-0.05894
2021-10-04,8.8231,0.0024,0.02721
2021-10-03,8.8207,-0.0479,-0.54011
2021-09-30,8.8686,0.003,0.03384
2021-09-29,8.8656,0.0028,0.03159
2021-09-28,8.8628,0.0114,0.12879
2021-09-27,8.8514,-0.0047,-0.05307
2021-09-26,8.8561,-0.0028,-0.03161
2021-09-23,8.8589,-0.0123,-0.13865
2021-09-22,8.8712,0.0005,0.00564
2021-09-21,8.8707,0.0051,0.05753
2021-09-16,8.8656,0.0036,0.04062
2021-09-15,8.862,0.005,0.05645
2021-09-14,8.857,0.0066,0.07457
2021-09-13,8.8504,0.0032,0.03617
2021-09-12,8.8472,0.013,0.14716
2021-09-09,8.8342,-0.0098,-0.11081
2021-09-08,8.844,0.0048,0.0543
2021-09-07,8.8392,0.0146,0.16545
2021-09-06,8.8246,-0.0038,-0.04304
2021-09-02,8.8284,-0.0041,-0.04642
2021-09-01,8.8325,-0.0333,-0.3756
2021-08-31,8.8658,-0.0009,-0.01015
2021-08-30,8.8667,-0.0139,-0.15652
2021-08-26,8.8806,0.0053,0.05972
2021-08-25,8.8753,0.0023,0.02592
2021-08-24,8.873,0.0032,0.03608
2021-08-23,8.8698,0.0008,0.00902
2021-08-22,8.869,0.0046,0.05189
2021-08-19,8.8644,0.0104,0.11746
2021-08-18,8.854,0.0142,0.16064
2021-08-17,8.8398,-0.0049,-0.0554
2021-08-16,8.8447,0.0023,0.02601
2021-08-15,8.8424,-0.0004,-0.00452
2021-08-12,8.8428,0.0094,0.10641
2021-08-11,8.8334,-0.0029,-0.03282
2021-08-10,8.8363,-0.0004,-0.00453
2021-08-09,8.8367,-0.003,-0.03394
2021-08-08,8.8397,0.002,0.02263
2021-08-05,8.8377,0.0071,0.0804
2021-08-04,8.8306,-0.0063,-0.07129
2021-08-03,8.8369,-0.02,-0.22581
2021-08-02,8.8569,-0.0441,-0.49545
2021-08-01,8.901,-0.0034,-0.03818
2021-07-29,8.9044,0.0078,0.08767
2021-07-28,8.8966,-0.0042,-0.04719
2021-07-27,8.9008,-0.0085,-0.09541
2021-07-26,8.9093,-0.006,-0.0673
2021-07-25,8.9153,0.0056,0.06285
2021-07-22,8.9097,0.0062,0.06964
2021-07-21,8.9035,-0.0022,-0.0247
2021-07-20,8.9057,0.0108,0.12142
2021-07-19,8.8949,0.0036,0.04049
2021-07-18,8.8913,-0.0172,-0.19307
2021-07-15,8.9085,0.0151,0.16979
2021-07-14,8.8934,-0.0218,-0.24453
2021-07-13,8.9152,-0.0002,-0.00224
2021-07-12,8.9154,-0.0045,-0.05045
2021-07-11,8.9199,-0.0103,-0.11534
2021-07-08,8.9302,0.0115,0.12894
2021-07-07,8.9187,0.0001,0.00112
2021-07-06,8.9186,0.0174,0.19548
2021-07-05,8.9012,-0.0072,-0.08082
2021-07-01,8.9084,-0.0208,-0.23294
2021-06-30,8.9292,0.0095,0.10651
2021-06-29,8.9197,-0.0058,-0.06498
2021-06-28,8.9255,0.0015,0.01681
2021-06-27,8.924,0.0029,0.03251
2021-06-24,8.9211,-0.0083,-0.09295
2021-06-23,8.9294,0.0029,0.03249
2021-06-22,8.9265,0.0115,0.129
2021-06-21,8.915,0.0038,0.04264
2021-06-20,8.9112,0.0271,0.30504
2021-06-17,8.8841,0.005,0.05631
2021-06-16,8.8791,0.0082,0.09244
2021-06-15,8.8709,0.0051,0.05752
2021-06-14,8.8658,0.0082,0.09258
2021-06-10,8.8576,-0.0051,-0.05754
2021-06-09,8.8627,-0.0056,-0.06315
2021-06-08,8.8683,0.019,0.21471
2021-06-07,8.8493,0.0043,0.04862
2021-06-06,8.845,0.0036,0.04072
2021-06-03,8.8414,0.0072,0.0815
2021-06-02,8.8342,-0.0041,-0.04639
2021-06-01,8.8383,-0.0186,-0.21001
2021-05-31,8.8569,-0.0148,-0.16682
2021-05-27,8.8717,-0.006,-0.06759
2021-05-26,8.8777,0.0056,0.06312
2021-05-25,8.8721,-0.0071,-0.07996
2021-05-24,8.8792,-0.0125,-0.14058
2021-05-23,8.8917,0.0074,0.08329
2021-05-20,8.8843,-0.0113,-0.12703
2021-05-19,8.8956,0.0076,0.08551
2021-05-18,8.888,-0.0042,-0.04723
2021-05-17,8.8922,-0.0225,-0.25239
2021-05-16,8.9147,0.0083,0.09319
2021-05-13,8.9064,0.009,0.10115
2021-05-12,8.8974,0.004,0.04498
2021-05-11,8.8934,-0.0091,-0.10222
2021-05-10,8.9025,0.0162,0.1823
2021-05-09,8.8863,-0.0196,-0.22008
2021-05-06,8.9059,-0.015,-0.16814
2021-05-05,8.9209,0.0069,0.07741
