tradeDate,nav,change,changePercent
2022-08-30,8.0787,-0.0053,-0.06556
2022-08-29,8.084,-0.0146,-0.18028
2022-08-28,8.0986,-0.004,-0.04937
2022-08-25,8.1026,0.0021,0.02592
2022-08-24,8.1005,0.0112,0.13845
2022-08-23,8.0893,0.0028,0.03463
2022-08-22,8.0865,-0.003,-0.03709
2022-08-21,8.0895,-0.0155,-0.19124
2022-08-18,8.105,-0.0075,-0.09245
2022-08-17,8.1125,-0.0048,-0.05913
2022-08-16,8.1173,-0.0128,-0.15744
2022-08-15,8.1301,-0.0044,-0.05409
2022-08-14,8.1345,0.0083,0.10214
2022-08-11,8.1262,0.0091,0.11211
2022-08-10,8.1171,0.0383,0.47408
2022-08-09,8.0788,0.0182,0.22579
2022-08-08,8.0606,0.0077,0.09562
2022-08-07,8.0529,0.0237,0.29517
2022-08-04,8.0292,0.0058,0.07229
2022-08-03,8.0234,0.0243,0.30378
2022-08-02,7.9991,0.0127,0.15902
2022-08-01,7.9864,0.0035,0.04384
2022-07-31,7.9829,0.0412,0.51878
2022-07-28,7.9417,0.0418,0.52912
2022-07-27,7.8999,0.0343,0.43608
2022-07-26,7.8656,0.0112,0.1426
2022-07-25,7.8544,-0.005,-0.06362
2022-07-24,7.8594,0.0274,0.34985
2022-07-21,7.832,0.0203,0.25987
2022-07-20,7.8117,0.0128,0.16413
2022-07-19,7.7989,0.0151,0.19399
2022-07-18,7.7838,0.0022,0.02827
2022-07-17,7.7816,-0.0161,-0.20647
2022-07-14,7.7977,-0.0097,-0.12424
2022-07-13,7.8074,-0.0287,-0.36625
2022-07-12,7.8361,-0.0243,-0.30914
2022-07-11,7.8604,-0.0205,-0.26012
2022-07-10,7.8809,-0.0198,-0.25061
2022-07-07,7.9007,-0.0081,-0.10242
2022-07-06,7.9088,-0.0109,-0.13763
2022-07-05,7.9197,-0.025,-0.31468
2022-07-04,7.9447,-0.0171,-0.21478
2022-06-30,7.9618,0.0081,0.10184
2022-06-29,7.9537,-0.0229,-0.28709
2022-06-28,7.9766,-0.0359,-0.44805
2022-06-27,8.0125,-0.0234,-0.29119
2022-06-26,8.0359,0.0075,0.09342
2022-06-23,8.0284,0.0,0.0
2022-06-22,8.0284,0.0071,0.08851
2022-06-21,8.0213,,
2022-06-20,8.0216,-0.0386,-0.4789
2022-06-16,8.0602,-0.0278,-0.34372
2022-06-15,8.088,-0.028,-0.345
2022-06-14,8.116,-0.0002,-0.00246
2022-06-13,8.1162,-0.0312,-0.38294
2022-06-12,8.1474,-0.07,-0.85185
2022-06-09,8.2174,-0.029,-0.35167
2022-06-08,8.2464,-0.0184,-0.22263
2022-06-07,8.2648,-0.007,-0.08462
2022-06-06,8.2718,0.0011,0.0133
2022-06-05,8.2707,-0.0025,-0.03022
2022-06-01,8.2732,0.0013,0.01572
2022-05-31,8.2719,-0.0016,-0.01934
2022-05-30,8.2735,0.0055,0.06652
2022-05-26,8.268,0.0165,0.19996
2022-05-25,8.2515,0.017,0.20645
2022-05-24,8.2345,0.0134,0.163
2022-05-23,8.2211,0.0019,0.02312
2022-05-22,8.2192,-0.0021,-0.02554
2022-05-19,8.2213,-0.0025,-0.0304
2022-05-18,8.2238,-0.0147,-0.17843
2022-05-17,8.2385,-0.0009,-0.01092
2022-05-16,8.2394,-0.0128,-0.15511
2022-05-15,8.2522,-0.0023,-0.02786
2022-05-12,8.2545,-0.0063,-0.07626
2022-05-11,8.2608,-0.0184,-0.22224
2022-05-10,8.2792,-0.0039,-0.04708
2022-05-09,8.2831,-0.0125,-0.15068
2022-05-08,8.2956,-0.0195,-0.23451
2022-05-05,8.3151,-0.0161,-0.19325
2022-05-04,8.3312,-0.0076,-0.09114
2022-05-03,8.3388,0.0085,0.10204
2022-05-02,8.3303,-0.0177,-0.21203
2022-04-28,8.348,-0.0075,-0.08976
2022-04-27,8.3555,-0.0104,-0.12431
2022-04-26,8.3659,-0.0187,-0.22303
2022-04-25,8.3846,0.0035,0.04176
2022-04-24,8.3811,-0.014,-0.16676
2022-04-21,8.3951,-0.0082,-0.09758
2022-04-20,8.4033,-0.0058,-0.06897
2022-04-19,8.4091,0.0003,0.00357
2022-04-18,8.4088,-0.0122,-0.14488
2022-04-17,8.421,0.0004,0.00475
2022-04-13,8.4206,0.0005,0.00594
2022-04-12,8.4201,0.0044,0.05228
2022-04-11,8.4157,-0.0095,-0.11276
2022-04-10,8.4252,-0.0154,-0.18245
2022-04-07,8.4406,-0.0115,-0.13606
2022-04-06,8.4521,-0.0023,-0.0272
2022-04-05,8.4544,0.0159,0.18842
2022-03-31,8.4385,0.0016,0.01896
2022-03-30,8.4369,0.0168,0.19952
2022-03-29,8.4201,0.0234,0.27868
2022-03-28,8.3967,0.0216,0.25791
2022-03-27,8.3751,0.0164,0.1962
