tradeDate,nav,change,changePercent
2022-09-01,10.11,0.22,2.22447
2022-08-31,9.89,-0.17,-1.68986
2022-08-30,10.06,-0.13,-1.27576
2022-08-29,10.19,-0.01,-0.09804
2022-08-28,10.2,-0.05,-0.4878
2022-08-25,10.25,-0.04,-0.38873
2022-08-24,10.29,-0.02,-0.19399
2022-08-23,10.31,-0.39,-3.64486
2022-08-22,10.7,-0.11,-1.01758
2022-08-21,10.81,0.1,0.93371
2022-08-18,10.71,-0.23,-2.10238
2022-08-17,10.94,0.06,0.55147
2022-08-16,10.88,0.26,2.44821
2022-08-15,10.62,-0.1,-0.93284
2022-08-14,10.72,-0.11,-1.0157
2022-08-11,10.83,-0.13,-1.18613
2022-08-10,10.96,0.39,3.68969
2022-08-09,10.57,-0.2,-1.85701
2022-08-08,10.77,-0.02,-0.18536
2022-08-07,10.79,0.0,0.0
2022-08-04,10.79,0.35,3.35249
2022-08-03,10.44,0.1,0.96712
2022-08-02,10.34,-0.01,-0.09662
2022-08-01,10.35,-0.24,-2.26629
2022-07-31,10.59,0.27,2.61628
2022-07-28,10.32,-0.07,-0.67372
2022-07-27,10.39,0.31,3.0754
2022-07-26,10.08,-0.04,-0.39526
2022-07-25,10.12,0.05,0.49652
2022-07-24,10.07,-0.15,-1.46771
2022-07-21,10.22,-0.12,-1.16054
2022-07-20,10.34,0.04,0.38835
2022-07-19,10.3,0.04,0.38986
2022-07-18,10.26,0.11,1.08374
2022-07-17,10.15,0.14,1.3986
2022-07-14,10.01,-0.01,-0.0998
2022-07-13,10.02,0.1,1.00806
2022-07-12,9.92,-0.09,-0.8991
2022-07-11,10.01,-0.2,-1.95886
2022-07-10,10.21,-0.21,-2.01536
2022-07-07,10.42,0.1,0.96899
2022-07-06,10.32,0.05,0.48685
2022-07-05,10.27,-0.02,-0.19436
2022-07-04,10.29,-0.15,-1.43678
2022-07-03,10.44,-0.27,-2.52101
2022-06-29,10.71,0.16,1.51659
2022-06-28,10.55,-0.27,-2.49538
