tradeDate,nav,change,changePercent
2022-08-30,8.2127,-0.0285,-0.34582
2022-08-29,8.2412,-0.0316,-0.38197
2022-08-28,8.2728,-0.0376,-0.45245
2022-08-25,8.3104,-0.0649,-0.7749
2022-08-24,8.3753,0.0523,0.62838
2022-08-23,8.323,-0.0131,-0.15715
2022-08-22,8.3361,-0.0137,-0.16408
2022-08-21,8.3498,-0.0747,-0.8867
2022-08-18,8.4245,-0.0662,-0.77968
2022-08-17,8.4907,0.0061,0.07189
2022-08-16,8.4846,-0.046,-0.53924
2022-08-15,8.5306,0.0081,0.09504
2022-08-14,8.5225,0.0276,0.3249
2022-08-11,8.4949,0.0289,0.34137
2022-08-10,8.466,-0.0112,-0.13212
2022-08-09,8.4772,0.0501,0.59451
2022-08-08,8.4271,-0.0162,-0.19187
2022-08-07,8.4433,0.014,0.16609
2022-08-04,8.4293,-0.0136,-0.16108
2022-08-03,8.4429,0.0086,0.10196
2022-08-02,8.4343,0.0211,0.2508
2022-08-01,8.4132,-0.0073,-0.08669
2022-07-31,8.4205,-0.0479,-0.56563
2022-07-28,8.4684,0.0684,0.81429
2022-07-27,8.4,0.0512,0.61326
2022-07-26,8.3488,0.067,0.809
2022-07-25,8.2818,-0.0261,-0.31416
2022-07-24,8.3079,0.0093,0.11207
2022-07-21,8.2986,0.011,0.13273
2022-07-20,8.2876,0.0402,0.48743
2022-07-19,8.2474,0.0309,0.37607
2022-07-18,8.2165,0.0482,0.59009
2022-07-17,8.1683,-0.0069,-0.0844
2022-07-14,8.1752,0.0523,0.64386
2022-07-13,8.1229,-0.0388,-0.47539
2022-07-12,8.1617,-0.0244,-0.29807
2022-07-11,8.1861,-0.0109,-0.13298
2022-07-10,8.197,-0.0051,-0.06218
2022-07-07,8.2021,0.0014,0.01707
2022-07-06,8.2007,0.0362,0.44338
2022-07-05,8.1645,-0.0086,-0.10522
2022-07-04,8.1731,0.0085,0.10411
2022-06-30,8.1646,-0.023,-0.28091
2022-06-29,8.1876,-0.0277,-0.33718
2022-06-28,8.2153,-0.0008,-0.00974
2022-06-27,8.2161,-0.0476,-0.57601
2022-06-26,8.2637,-0.011,-0.13294
2022-06-23,8.2747,0.0709,0.86423
2022-06-22,8.2038,0.0296,0.36211
2022-06-21,8.1742,0.004,0.04896
2022-06-20,8.1702,0.0231,0.28354
2022-06-16,8.1471,0.0178,0.21896
2022-06-15,8.1293,-0.0927,-1.12746
2022-06-14,8.222,0.0465,0.56877
2022-06-13,8.1755,-0.0325,-0.39596
2022-06-12,8.208,-0.1836,-2.1879
2022-06-09,8.3916,-0.1178,-1.38435
2022-06-08,8.5094,-0.0619,-0.72218
2022-06-07,8.5713,-0.0397,-0.46104
2022-06-06,8.611,0.0121,0.14072
2022-06-05,8.5989,-0.0398,-0.46072
2022-06-01,8.6387,0.0218,0.25299
2022-05-31,8.6169,-0.0901,-1.0348
2022-05-30,8.707,-0.0141,-0.16168
2022-05-26,8.7211,0.0732,0.84645
2022-05-25,8.6479,0.0604,0.70335
2022-05-24,8.5875,0.0427,0.49972
2022-05-23,8.5448,-0.0172,-0.20089
2022-05-22,8.562,0.0236,0.2764
2022-05-19,8.5384,0.006,0.07032
2022-05-18,8.5324,-0.0234,-0.2735
2022-05-17,8.5558,-0.0627,-0.7275
2022-05-16,8.6185,0.0187,0.21745
2022-05-15,8.5998,-0.007,-0.08133
2022-05-12,8.6068,0.0303,0.35329
2022-05-11,8.5765,0.013,0.15181
