tradeDate,nav,change,changePercent
2022-09-01,24.25,-0.13,-0.53322
2022-08-31,24.38,-0.37,-1.49495
2022-08-30,24.75,0.19,0.77362
2022-08-29,24.56,-0.04,-0.1626
2022-08-28,24.6,-0.32,-1.28411
2022-08-25,24.92,0.11,0.44337
2022-08-24,24.81,0.18,0.73082
2022-08-23,24.63,-0.08,-0.32376
2022-08-22,24.71,-0.27,-1.08086
2022-08-21,24.98,-0.08,-0.31923
2022-08-18,25.06,-0.02,-0.07974
2022-08-17,25.08,-0.11,-0.43668
2022-08-16,25.19,0.1,0.39857
2022-08-15,25.09,-0.19,-0.75158
2022-08-14,25.28,-0.05,-0.19739
2022-08-11,25.33,-0.03,-0.1183
2022-08-10,25.36,0.46,1.84739
2022-08-09,24.9,0.03,0.12063
2022-08-08,24.87,0.19,0.76985
2022-08-07,24.68,0.04,0.16234
2022-08-04,24.64,0.37,1.52452
2022-08-03,24.27,-0.06,-0.24661
2022-08-02,24.33,0.05,0.20593
2022-08-01,24.28,-0.22,-0.89796
2022-07-31,24.5,0.0,0.0
2022-07-28,24.5,0.11,0.451
2022-07-27,24.39,0.15,0.61881
2022-07-26,24.24,0.21,0.87391
2022-07-25,24.03,-0.04,-0.16618
2022-07-24,24.07,0.07,0.29167
2022-07-21,24.0,0.13,0.54462
2022-07-20,23.87,0.29,1.22986
2022-07-19,23.58,0.02,0.08489
2022-07-18,23.56,-0.02,-0.08482
2022-07-17,23.58,0.23,0.98501
2022-07-14,23.35,-0.11,-0.46888
2022-07-13,23.46,0.05,0.21358
2022-07-12,23.41,0.54,2.36117
2022-07-11,22.87,-0.45,-1.92967
2022-07-10,23.32,-0.19,-0.80817
2022-07-07,23.51,0.02,0.08514
2022-07-06,23.49,0.28,1.20638
2022-07-05,23.21,-0.39,-1.65254
2022-07-04,23.6,0.15,0.63966
2022-07-03,23.45,-0.11,-0.46689
2022-06-30,23.56,-0.27,-1.13303
2022-06-29,23.83,-0.49,-2.0148
2022-06-28,24.32,-0.14,-0.57236
2022-06-27,24.46,-0.03,-0.1225
2022-06-26,24.49,0.12,0.49241
2022-06-23,24.37,0.22,0.91097
2022-06-22,24.15,,
2022-06-21,24.12,-0.31,-1.26893
2022-06-20,24.43,0.54,2.26036
2022-06-19,23.89,-0.3,-1.24018
2022-06-16,24.19,-0.23,-0.94185
2022-06-15,24.42,-0.01,-0.04093
2022-06-14,24.43,-0.05,-0.20425
2022-06-13,24.48,0.07,0.28677
2022-06-12,24.41,-0.32,-1.29397
2022-06-09,24.73,-0.2,-0.80225
2022-06-08,24.93,-0.2,-0.79586
2022-06-07,25.13,0.17,0.68109
2022-06-06,24.96,-0.15,-0.59737
2022-06-05,25.11,0.09,0.35971
2022-06-01,25.02,-0.15,-0.59595
2022-05-31,25.17,-0.39,-1.52582
2022-05-30,25.56,0.21,0.8284
2022-05-29,25.35,0.48,1.93004
2022-05-26,24.87,0.4,1.63465
