tradeDate,nav,change,changePercent
2022-08-30,11.3331,-0.1251,-1.09179
2022-08-29,11.4582,-0.1658,-1.42636
2022-08-28,11.624,-0.0225,-0.19319
2022-08-25,11.6465,-0.1506,-1.27658
2022-08-24,11.7971,0.0431,0.36668
2022-08-23,11.754,0.0032,0.02723
2022-08-22,11.7508,-0.0265,-0.22501
2022-08-21,11.7773,-0.0795,-0.6705
2022-08-18,11.8568,-0.0758,-0.63523
2022-08-17,11.9326,0.0037,0.03102
2022-08-16,11.9289,-0.0328,-0.27421
2022-08-15,11.9617,0.0725,0.6098
2022-08-14,11.8892,0.0102,0.08587
2022-08-11,11.879,0.0362,0.30567
2022-08-10,11.8428,0.012,0.10143
2022-08-09,11.8308,0.0919,0.78287
2022-08-08,11.7389,0.0579,0.49568
2022-08-07,11.681,0.1068,0.92274
2022-08-04,11.5742,-0.0613,-0.52684
2022-08-03,11.6355,0.0469,0.40471
2022-08-02,11.5886,-0.0092,-0.07933
2022-08-01,11.5978,-0.0728,-0.62379
2022-07-31,11.6706,-0.0722,-0.61484
2022-07-28,11.7428,0.0966,0.82946
2022-07-27,11.6462,0.1658,1.4442
2022-07-26,11.4804,0.084,0.73707
2022-07-25,11.3964,0.0076,0.06673
2022-07-24,11.3888,0.1106,0.98065
2022-07-21,11.2782,0.0759,0.67754
2022-07-20,11.2023,-0.045,-0.4001
2022-07-19,11.2473,-0.1069,-0.9415
2022-07-18,11.3542,0.1257,1.11947
2022-07-17,11.2285,0.0515,0.46077
2022-07-14,11.177,0.1039,0.93831
2022-07-13,11.0731,-0.0809,-0.7253
2022-07-12,11.154,-0.025,-0.22363
2022-07-11,11.179,-0.0235,-0.20977
2022-07-10,11.2025,-0.0375,-0.33363
2022-07-07,11.24,0.0151,0.13452
2022-07-06,11.2249,0.0726,0.65099
2022-07-05,11.1523,0.0196,0.17606
2022-07-04,11.1327,-0.2539,-2.22981
2022-07-03,11.3866,0.0189,0.16626
2022-06-30,11.3677,0.1156,1.02736
2022-06-29,11.2521,-0.0731,-0.64546
2022-06-28,11.3252,-0.0803,-0.70405
2022-06-27,11.4055,0.0244,0.21439
2022-06-26,11.3811,0.0588,0.51933
2022-06-23,11.3223,0.2014,1.811
2022-06-22,11.1209,0.0478,0.43168
2022-06-21,11.0731,,
2022-06-20,11.093,0.0254,0.2295
2022-06-19,11.0676,0.06,0.54508
2022-06-16,11.0076,-0.0632,-0.57087
2022-06-15,11.0708,-0.2035,-1.80499
2022-06-14,11.2743,0.0911,0.81461
2022-06-13,11.1832,-0.2451,-2.14468
2022-06-12,11.4283,-0.3295,-2.8024
2022-06-09,11.7578,-0.1483,-1.24558
2022-06-08,11.9061,-0.1745,-1.44446
2022-06-07,12.0806,-0.0809,-0.66521
2022-06-06,12.1615,0.0546,0.45098
2022-06-05,12.1069,0.0025,0.02065
2022-06-01,12.1044,0.1027,0.85571
2022-05-31,12.0017,-0.1113,-0.91885
2022-05-30,12.113,-0.0876,-0.718
2022-05-29,12.2006,0.0126,0.10338
2022-05-26,12.188,0.0568,0.46821
2022-05-25,12.1312,-0.0065,-0.05355
2022-05-24,12.1377,0.0502,0.41531
2022-05-23,12.0875,0.0267,0.22138
2022-05-22,12.0608,0.1072,0.8968
2022-05-19,11.9536,0.0652,0.54843
2022-05-18,11.8884,-0.0048,-0.04036
2022-05-17,11.8932,-0.029,-0.24324
2022-05-16,11.9222,0.1429,1.21315
2022-05-15,11.7793,0.1328,1.14026
2022-05-12,11.6465,0.1611,1.40265
2022-05-11,11.4854,-0.114,-0.98281
2022-05-10,11.5994,0.0442,0.38251
2022-05-09,11.5552,-0.0604,-0.51999
2022-05-08,11.6156,-0.1919,-1.62524
2022-05-05,11.8075,-0.0048,-0.04064
2022-05-04,11.8123,-0.127,-1.06371
2022-05-03,11.9393,0.1782,1.51516
2022-05-02,11.7611,-0.068,-0.57485
2022-04-28,11.8291,-0.1792,-1.4923
2022-04-27,12.0083,0.0782,0.65548
2022-04-26,11.9301,0.0019,0.01593
2022-04-25,11.9282,-0.0816,-0.67945
2022-04-24,12.0098,-0.0751,-0.62144
2022-04-21,12.0849,-0.1733,-1.41375
2022-04-20,12.2582,-0.0922,-0.74653
2022-04-19,12.3504,0.1128,0.92175
2022-04-18,12.2376,-0.0384,-0.31281
2022-04-13,12.276,0.0273,0.22288
2022-04-12,12.2487,0.0323,0.2644
2022-04-11,12.2164,-0.0396,-0.32311
2022-04-10,12.256,-0.0819,-0.66381
2022-04-07,12.3379,0.0702,0.57223
2022-04-06,12.2677,0.0029,0.02364
2022-04-05,12.2648,0.085,0.69788
2022-03-31,12.1798,0.0044,0.03614
2022-03-30,12.1754,-0.0057,-0.04679
2022-03-29,12.1811,0.0869,0.71853
2022-03-28,12.0942,0.0984,0.82029
2022-03-27,11.9958,0.0573,0.47996
2022-03-24,11.9385,0.098,0.82767
2022-03-23,11.8405,0.0937,0.79766
2022-03-22,11.7468,-0.0724,-0.61256
2022-03-21,11.8192,0.0199,0.16865
2022-03-20,11.7993,0.0208,0.17659
2022-03-17,11.7785,-0.0186,-0.15767
2022-03-16,11.7971,0.1187,1.01641
2022-03-15,11.6784,0.0022,0.01884
2022-03-14,11.6762,0.0666,0.57366
2022-03-13,11.6096,-0.0399,-0.3425
2022-03-10,11.6495,-0.0548,-0.4682
2022-03-09,11.7043,-0.0086,-0.07342
2022-03-08,11.7129,0.1402,1.21147
2022-03-07,11.5727,0.0349,0.30248
2022-03-06,11.5378,-0.0167,-0.14453
2022-03-03,11.5545,0.032,0.27772
2022-03-02,11.5225,-0.0556,-0.48022
2022-03-01,11.5781,0.1129,0.98472
2022-02-28,11.4652,0.0076,0.06633
2022-02-24,11.4576,0.315,2.82699
2022-02-23,11.1426,-0.0152,-0.13623
2022-02-22,11.1578,-0.0391,-0.3492
2022-02-21,11.1969,-0.0997,-0.88257
2022-02-17,11.2966,-0.063,-0.5546
2022-02-16,11.3596,-0.0126,-0.1108
2022-02-15,11.3722,0.0393,0.34678
2022-02-14,11.3329,0.0488,0.43247
2022-02-13,11.2841,-0.1152,-1.01059
2022-02-10,11.3993,-0.0389,-0.34009
2022-02-09,11.4382,-0.1128,-0.97654
2022-02-08,11.551,0.1198,1.04801
2022-02-07,11.4312,-0.003,-0.02624
2022-02-06,11.4342,0.0004,0.0035
2022-01-27,11.4338,0.0717,0.63105
2022-01-26,11.3621,0.008,0.07046
2022-01-25,11.3541,0.023,0.20298
2022-01-24,11.3311,-0.014,-0.1234
2022-01-23,11.3451,-0.1267,-1.10445
2022-01-20,11.4718,-0.0982,-0.84875
2022-01-19,11.57,0.0149,0.12895
2022-01-18,11.5551,-0.0035,-0.03028
2022-01-17,11.5586,-0.0727,-0.62504
2022-01-16,11.6313,0.0083,0.07141
2022-01-13,11.623,-0.0221,-0.18978
2022-01-12,11.6451,0.0269,0.23153
2022-01-11,11.6182,0.0348,0.30043
2022-01-10,11.5834,0.0117,0.10111
2022-01-09,11.5717,-0.0525,-0.45164
2022-01-06,11.6242,0.039,0.33664
2022-01-05,11.5852,-0.0309,-0.26601
2022-01-04,11.6161,-0.1085,-0.9254
2022-01-03,11.7246,-0.0013,-0.01109
2022-01-02,11.7259,-0.0315,-0.26792
2021-12-29,11.7574,0.0043,0.03659
2021-12-28,11.7531,0.056,0.47875
2021-12-27,11.6971,0.1113,0.96066
2021-12-23,11.5858,-0.0024,-0.02071
2021-12-22,11.5882,0.0384,0.33247
2021-12-21,11.5498,0.0617,0.53708
2021-12-20,11.4881,0.0898,0.78784
2021-12-19,11.3983,-0.0343,-0.30002
2021-12-16,11.4326,-0.0615,-0.53506
2021-12-15,11.4941,0.0402,0.35097
2021-12-14,11.4539,0.0859,0.75563
2021-12-13,11.368,-0.0594,-0.5198
2021-12-12,11.4274,0.0009,0.00788
2021-12-09,11.4265,0.0017,0.01488
2021-12-08,11.4248,-0.0889,-0.77212
2021-12-07,11.5137,-0.0179,-0.15523
2021-12-06,11.5316,0.1015,0.88801
2021-12-05,11.4301,0.1506,1.33517
2021-12-02,11.2795,-0.0067,-0.05936
2021-12-01,11.2862,0.0445,0.39585
2021-11-30,11.2417,-0.0918,-0.80999
2021-11-29,11.3335,-0.1277,-1.11419
2021-11-28,11.4612,0.0383,0.33529
2021-11-25,11.4229,-0.2054,-1.76638
2021-11-24,11.6283,0.032,0.27595
2021-11-23,11.5963,0.0416,0.36003
2021-11-22,11.5547,0.0557,0.48439
2021-11-21,11.499,-0.0142,-0.12334
2021-11-18,11.5132,-0.0691,-0.5966
2021-11-17,11.5823,-0.0189,-0.16291
2021-11-16,11.6012,-0.0321,-0.27593
2021-11-15,11.6333,-0.0638,-0.54543
2021-11-14,11.6971,0.0543,0.46638
2021-11-11,11.6428,-0.0221,-0.18946
2021-11-10,11.6649,-0.0307,-0.26249
2021-11-09,11.6956,-0.0216,-0.18434
2021-11-08,11.7172,0.008,0.06832
2021-11-07,11.7092,-0.0757,-0.64235
2021-11-04,11.7849,0.0606,0.51688
2021-11-03,11.7243,0.0019,0.01621
2021-11-02,11.7224,-0.0372,-0.31634
2021-11-01,11.7596,-0.0412,-0.34913
2021-10-31,11.8008,0.1114,0.953
2021-10-28,11.6894,-0.0984,-0.83476
2021-10-27,11.7878,0.1199,1.02761
2021-10-26,11.6679,0.0067,0.05746
2021-10-25,11.6612,0.0395,0.33988
2021-10-24,11.6217,0.0,0.0
2021-10-21,11.6217,0.0439,0.37917
2021-10-20,11.5778,-0.0571,-0.49076
2021-10-19,11.6349,0.1009,0.8748
2021-10-18,11.534,0.086,0.75122
2021-10-17,11.448,-0.0351,-0.30567
2021-10-14,11.4831,-0.0142,-0.12351
2021-10-13,11.4973,0.0716,0.62666
2021-10-12,11.4257,0.102,0.90077
2021-10-11,11.3237,0.0383,0.33938
2021-10-07,11.2854,-0.0102,-0.0903
2021-10-06,11.2956,0.0273,0.24227
2021-10-05,11.2683,-0.0364,-0.32199
2021-10-04,11.3047,-0.0181,-0.15985
2021-10-03,11.3228,0.0571,0.50685
2021-09-30,11.2657,-0.0037,-0.03283
2021-09-29,11.2694,-0.0421,-0.37219
2021-09-28,11.3115,0.0037,0.03272
2021-09-27,11.3078,-0.1658,-1.44506
2021-09-26,11.4736,0.0055,0.04796
2021-09-23,11.4681,-0.0609,-0.52823
2021-09-22,11.529,0.0172,0.14941
2021-09-21,11.5118,0.0738,0.64522
2021-09-16,11.438,-0.0904,-0.78415
2021-09-15,11.5284,-0.0229,-0.19825
2021-09-14,11.5513,-0.0047,-0.04067
2021-09-13,11.556,0.0015,0.01298
2021-09-12,11.5545,0.0943,0.82285
2021-09-09,11.4602,-0.1009,-0.87275
2021-09-08,11.5611,-0.0704,-0.60525
2021-09-07,11.6315,0.0587,0.50722
2021-09-06,11.5728,-0.0825,-0.70783
2021-09-02,11.6553,-0.045,-0.38461
2021-09-01,11.7003,0.0499,0.42831
2021-08-31,11.6504,0.0755,0.65227
2021-08-30,11.5749,-0.0028,-0.02418
2021-08-29,11.5777,0.0095,0.08212
2021-08-26,11.5682,0.0398,0.34523
2021-08-25,11.5284,-0.0894,-0.76951
2021-08-24,11.6178,-0.0245,-0.21044
2021-08-23,11.6423,0.0052,0.04468
2021-08-22,11.6371,0.0141,0.12131
2021-08-19,11.623,0.0746,0.64598
2021-08-18,11.5484,-0.0059,-0.05106
2021-08-17,11.5543,-0.0267,-0.23055
2021-08-16,11.581,-0.0421,-0.36221
2021-08-15,11.6231,-0.0178,-0.15291
2021-08-12,11.6409,0.0526,0.45391
2021-08-11,11.5883,-0.0247,-0.21269
2021-08-10,11.613,0.0651,0.56374
2021-08-09,11.5479,0.0111,0.09621
2021-08-08,11.5368,-0.0128,-0.11083
2021-08-05,11.5496,-0.0277,-0.23926
2021-08-04,11.5773,0.0442,0.38324
