tradeDate,nav,change,changePercent
2022-08-31,13.31,-0.15,-1.11441
2022-08-30,13.46,-0.08,-0.59084
2022-08-29,13.54,-0.12,-0.87848
2022-08-28,13.66,-0.09,-0.65455
2022-08-25,13.75,-0.45,-3.16901
2022-08-24,14.2,0.29,2.08483
2022-08-23,13.91,0.15,1.09012
2022-08-22,13.76,0.1,0.73206
2022-08-21,13.66,-0.34,-2.42857
2022-08-18,14.0,-0.36,-2.50696
2022-08-17,14.36,0.13,0.91356
2022-08-16,14.23,-0.26,-1.79434
2022-08-15,14.49,-0.09,-0.61728
2022-08-14,14.58,0.03,0.20619
2022-08-11,14.55,0.34,2.39268
2022-08-10,14.21,-0.06,-0.42046
2022-08-09,14.27,0.44,3.18149
2022-08-08,13.83,-0.25,-1.77557
2022-08-07,14.08,0.02,0.14225
2022-08-04,14.06,0.0,0.0
2022-08-03,14.06,-0.01,-0.07107
2022-08-02,14.07,0.15,1.07759
2022-08-01,13.92,-0.01,-0.07179
2022-07-31,13.93,0.01,0.07184
2022-07-28,13.92,0.22,1.60584
2022-07-27,13.7,0.27,2.01042
2022-07-26,13.43,0.48,3.70656
2022-07-25,12.95,-0.17,-1.29573
2022-07-24,13.12,-0.01,-0.07616
2022-07-21,13.13,-0.21,-1.57421
2022-07-20,13.34,0.22,1.67683
2022-07-19,13.12,0.21,1.62665
2022-07-18,12.91,0.28,2.21694
2022-07-17,12.63,-0.01,-0.07911
2022-07-14,12.64,0.22,1.77134
2022-07-13,12.42,0.09,0.72993
2022-07-12,12.33,0.07,0.57096
2022-07-11,12.26,-0.19,-1.5261
2022-07-10,12.45,-0.35,-2.73438
2022-07-07,12.8,0.09,0.7081
2022-07-06,12.71,0.4,3.24939
2022-07-05,12.31,0.0,0.0
2022-07-04,12.31,0.05,0.40783
2022-06-30,12.26,-0.18,-1.44695
2022-06-29,12.44,-0.1,-0.79745
2022-06-28,12.54,-0.18,-1.41509
2022-06-27,12.72,-0.4,-3.04878
2022-06-26,13.12,-0.02,-0.15221
2022-06-23,13.14,0.25,1.93949
2022-06-22,12.89,0.18,1.41621
2022-06-21,12.71,-0.1,-0.78064
2022-06-20,12.81,0.34,2.72654
2022-06-16,12.47,0.17,1.38211
2022-06-15,12.3,-0.75,-5.74713
2022-06-14,13.05,0.2,1.55642
2022-06-13,12.85,0.04,0.31226
2022-06-12,12.81,-0.77,-5.6701
2022-06-09,13.58,-0.37,-2.65233
2022-06-08,13.95,-0.28,-1.96767
2022-06-07,14.23,-0.15,-1.04312
2022-06-06,14.38,0.14,0.98315
2022-06-05,14.24,-0.17,-1.17974
2022-06-01,14.41,0.57,4.1185
2022-05-31,13.84,-0.15,-1.07219
2022-05-30,13.99,-0.03,-0.21398
2022-05-26,14.02,0.45,3.31614
2022-05-25,13.57,0.31,2.33786
2022-05-24,13.26,0.18,1.37615
2022-05-23,13.08,-0.47,-3.46863
2022-05-22,13.55,0.02,0.14782
2022-05-19,13.53,-0.13,-0.95168
2022-05-18,13.66,0.0,0.0
2022-05-17,13.66,-0.45,-3.18923
2022-05-16,14.11,0.49,3.59765
2022-05-15,13.62,-0.23,-1.66065
2022-05-12,13.85,0.47,3.51271
2022-05-11,13.38,-0.07,-0.52045
2022-05-10,13.45,-0.35,-2.53623
2022-05-09,13.8,0.18,1.32159
2022-05-08,13.62,-0.66,-4.62185
2022-05-05,14.28,-0.18,-1.24481
2022-05-04,14.46,-0.48,-3.21285
2022-05-03,14.94,0.42,2.89256
2022-05-02,14.52,0.33,2.32558
2022-04-28,14.19,-0.37,-2.54121
2022-04-27,14.56,0.29,2.03224
2022-04-26,14.27,-0.04,-0.27952
2022-04-25,14.31,-0.51,-3.4413
2022-04-24,14.82,0.01,0.06752
2022-04-21,14.81,-0.28,-1.85553
2022-04-20,15.09,-0.3,-1.94932
2022-04-19,15.39,-0.1,-0.64558
2022-04-18,15.49,0.22,1.44073
2022-04-17,15.27,0.05,0.32852
2022-04-13,15.22,-0.32,-2.0592
2022-04-12,15.54,0.27,1.76817
2022-04-11,15.27,0.03,0.19685
2022-04-10,15.24,-0.28,-1.80412
2022-04-07,15.52,-0.2,-1.27226
2022-04-06,15.72,-0.01,-0.06357
2022-04-05,15.73,-0.54,-3.31899
2022-03-31,16.27,-0.05,-0.30637
2022-03-30,16.32,-0.22,-1.33011
2022-03-29,16.54,-0.34,-2.01422
2022-03-28,16.88,0.22,1.32053
2022-03-27,16.66,0.2,1.21507
2022-03-24,16.46,0.0,0.0
2022-03-23,16.46,0.47,2.93934
2022-03-22,15.99,-0.09,-0.5597
2022-03-21,16.08,0.23,1.4511
2022-03-20,15.85,0.07,0.4436
2022-03-17,15.78,0.27,1.74081
2022-03-16,15.51,0.14,0.91087
2022-03-15,15.37,0.35,2.33023
2022-03-14,15.02,0.3,2.03804
2022-03-13,14.72,-0.29,-1.93205
2022-03-10,15.01,-0.19,-1.25
2022-03-09,15.2,-0.07,-0.45842
2022-03-08,15.27,0.39,2.62097
2022-03-07,14.88,0.04,0.26954
2022-03-06,14.84,-0.37,-2.43261
2022-03-03,15.21,-0.2,-1.29786
2022-03-02,15.41,-0.18,-1.15459
2022-03-01,15.59,0.32,2.09561
2022-02-28,15.27,-0.26,-1.67418
2022-02-24,15.53,0.18,1.17264
2022-02-23,15.35,0.45,3.02013
2022-02-22,14.9,-0.28,-1.84453
2022-02-21,15.18,-0.17,-1.10749
2022-02-17,15.35,-0.24,-1.53945
2022-02-16,15.59,-0.41,-2.5625
2022-02-15,16.0,0.02,0.12516
2022-02-14,15.98,0.48,3.09677
2022-02-13,15.5,0.01,0.06456
2022-02-10,15.49,-0.53,-3.30836
2022-02-09,16.02,-0.33,-2.01835
