tradeDate,nav,change,changePercent
2022-08-30,9.3878,-0.0257,-0.27301
2022-08-29,9.4135,-0.0014,-0.01487
2022-08-28,9.4149,-0.0147,-0.15589
2022-08-25,9.4296,0.0113,0.11998
2022-08-24,9.4183,0.008,0.08501
2022-08-23,9.4103,0.0022,0.02338
2022-08-22,9.4081,0.0008,0.0085
2022-08-21,9.4073,-0.0175,-0.18568
2022-08-18,9.4248,-0.0104,-0.11023
2022-08-17,9.4352,0.001,0.0106
2022-08-16,9.4342,-0.0137,-0.14501
2022-08-15,9.4479,0.0103,0.10914
2022-08-14,9.4376,0.0165,0.17514
2022-08-11,9.4211,0.0272,0.28955
2022-08-10,9.3939,0.0227,0.24223
2022-08-09,9.3712,0.0084,0.08972
2022-08-08,9.3628,-0.0193,-0.20571
2022-08-07,9.3821,0.029,0.31006
2022-08-04,9.3531,-0.0319,-0.3399
2022-08-03,9.385,0.0158,0.16864
2022-08-02,9.3692,0.0128,0.1368
2022-08-01,9.3564,-0.0161,-0.17178
2022-07-31,9.3725,0.0215,0.22992
2022-07-28,9.351,0.0384,0.41234
2022-07-27,9.3126,0.0302,0.32535
2022-07-26,9.2824,0.0131,0.14133
2022-07-25,9.2693,0.008,0.08638
2022-07-24,9.2613,0.0228,0.24679
2022-07-21,9.2385,0.018,0.19522
2022-07-20,9.2205,0.0293,0.31878
2022-07-19,9.1912,0.006,0.06532
2022-07-18,9.1852,-0.0233,-0.25303
2022-07-17,9.2085,-0.0031,-0.03365
2022-07-14,9.2116,0.0002,0.00217
2022-07-13,9.2114,-0.0133,-0.14418
2022-07-12,9.2247,-0.0111,-0.12018
2022-07-11,9.2358,-0.0211,-0.22794
2022-07-10,9.2569,-0.0044,-0.04751
2022-07-07,9.2613,-0.0042,-0.04533
2022-07-06,9.2655,0.0039,0.04211
2022-07-05,9.2616,-0.0238,-0.25632
2022-07-04,9.2854,-0.0143,-0.15377
2022-06-30,9.2997,0.0105,0.11303
2022-06-29,9.2892,-0.0125,-0.13438
2022-06-28,9.3017,-0.0138,-0.14814
2022-06-27,9.3155,-0.0145,-0.15541
2022-06-26,9.33,-0.0023,-0.02465
2022-06-23,9.3323,-0.003,-0.03214
2022-06-22,9.3353,-0.0089,-0.09525
2022-06-21,9.3442,,
2022-06-20,9.3458,0.0007,0.00749
2022-06-16,9.3451,-0.0191,-0.20397
2022-06-15,9.3642,-0.0115,-0.12266
2022-06-14,9.3757,0.0238,0.25449
2022-06-13,9.3519,-0.0338,-0.36012
2022-06-12,9.3857,-0.0631,-0.66781
2022-06-09,9.4488,-0.0365,-0.38481
2022-06-08,9.4853,-0.0064,-0.06743
2022-06-07,9.4917,-0.0026,-0.02738
2022-06-06,9.4943,0.0004,0.00421
2022-06-05,9.4939,-0.0112,-0.11783
2022-06-01,9.5051,0.0049,0.05158
2022-05-31,9.5002,-0.0046,-0.0484
2022-05-30,9.5048,0.0123,0.12958
2022-05-26,9.4925,0.0139,0.14665
2022-05-25,9.4786,0.0177,0.18709
2022-05-24,9.4609,-0.0094,-0.09926
2022-05-23,9.4703,0.0119,0.12581
2022-05-22,9.4584,0.0037,0.03913
2022-05-19,9.4547,0.0123,0.13026
2022-05-18,9.4424,0.0035,0.03708
2022-05-17,9.4389,-0.0113,-0.11957
2022-05-16,9.4502,-0.0149,-0.15742
2022-05-15,9.4651,0.0014,0.01479
2022-05-12,9.4637,-0.0022,-0.02324
2022-05-11,9.4659,-0.0186,-0.19611
2022-05-10,9.4845,0.0131,0.13831
2022-05-09,9.4714,-0.019,-0.2002
2022-05-08,9.4904,0.0069,0.07276
2022-05-05,9.4835,-0.0201,-0.2115
2022-05-04,9.5036,-0.0143,-0.15024
2022-05-03,9.5179,0.007,0.0736
2022-05-02,9.5109,-0.0146,-0.15327
2022-04-28,9.5255,0.0013,0.01365
2022-04-27,9.5242,-0.0062,-0.06505
2022-04-26,9.5304,-0.019,-0.19897
2022-04-25,9.5494,0.0134,0.14052
