tradeDate,nav,change,changePercent
2022-08-31,8.4581,0.0073,0.08638
2022-08-30,8.4508,-0.0052,-0.06149
2022-08-29,8.456,0.0155,0.18364
2022-08-28,8.4405,0.0271,0.32211
2022-08-25,8.4134,0.0171,0.20366
2022-08-24,8.3963,-0.0057,-0.06784
2022-08-23,8.402,0.0225,0.26851
2022-08-22,8.3795,0.0524,0.62927
2022-08-21,8.3271,-0.0176,-0.21091
2022-08-18,8.3447,-0.0231,-0.27606
2022-08-17,8.3678,-0.0028,-0.03345
2022-08-16,8.3706,-0.0249,-0.29659
2022-08-15,8.3955,0.0047,0.05601
2022-08-14,8.3908,0.0042,0.05008
2022-08-11,8.3866,0.0177,0.2115
2022-08-10,8.3689,-0.0111,-0.13246
2022-08-09,8.38,0.0162,0.19369
2022-08-08,8.3638,-0.0016,-0.01913
2022-08-07,8.3654,0.0323,0.38761
2022-08-04,8.3331,-0.0194,-0.23227
2022-08-03,8.3525,0.0116,0.13907
2022-08-02,8.3409,0.0079,0.0948
2022-08-01,8.333,-0.007,-0.08393
2022-07-31,8.34,0.0392,0.47224
2022-07-28,8.3008,0.0396,0.47935
2022-07-27,8.2612,0.0411,0.49999
2022-07-26,8.2201,0.0166,0.20235
2022-07-25,8.2035,0.0121,0.14772
2022-07-24,8.1914,0.0198,0.2423
2022-07-21,8.1716,0.0334,0.41041
2022-07-20,8.1382,0.0306,0.37742
2022-07-19,8.1076,0.0147,0.18164
2022-07-18,8.0929,-0.0168,-0.20716
2022-07-17,8.1097,-0.0138,-0.16988
2022-07-14,8.1235,0.0149,0.18376
2022-07-13,8.1086,-0.0209,-0.25709
2022-07-12,8.1295,,
2022-07-11,8.1732,-0.0261,-0.31832
2022-07-10,8.1993,-0.0062,-0.07556
2022-07-07,8.2055,-0.0126,-0.15332
2022-07-06,8.2181,-0.0181,-0.21976
2022-07-05,8.2362,-0.0235,-0.28451
2022-07-04,8.2597,-0.0219,-0.26444
2022-06-30,8.2816,0.02,0.24208
2022-06-29,8.2616,-0.0015,-0.01815
2022-06-28,8.2631,-0.0062,-0.07498
2022-06-27,8.2693,-0.0162,-0.19552
2022-06-26,8.2855,-0.0363,-0.4362
2022-06-23,8.3218,-0.0114,-0.1368
2022-06-22,8.3332,-0.0098,-0.11746
2022-06-21,8.343,0.0132,0.15847
2022-06-20,8.3298,-0.0151,-0.18095
2022-06-16,8.3449,-0.0177,-0.21166
2022-06-15,8.3626,-0.0126,-0.15044
2022-06-14,8.3752,0.0291,0.34867
2022-06-13,8.3461,-0.0479,-0.57065
2022-06-12,8.394,-0.0428,-0.5073
2022-06-09,8.4368,-0.0238,-0.2813
2022-06-08,8.4606,-0.0093,-0.1098
2022-06-07,8.4699,-0.0032,-0.03777
2022-06-06,8.4731,0.0287,0.33987
2022-06-05,8.4444,0.004,0.04739
2022-06-01,8.4404,0.0404,0.48095
2022-05-31,8.4,0.0568,0.68079
2022-05-30,8.3432,-0.0799,-0.94858
2022-05-26,8.4231,-0.0328,-0.38789
2022-05-25,8.4559,0.0056,0.06627
2022-05-24,8.4503,0.0074,0.08765
2022-05-23,8.4429,0.0152,0.18036
2022-05-22,8.4277,-0.009,-0.10668
2022-05-19,8.4367,-0.0297,-0.3508
2022-05-18,8.4664,0.0065,0.07683
2022-05-17,8.4599,-0.0101,-0.11924
2022-05-16,8.47,-0.04,-0.47004
2022-05-15,8.51,0.0051,0.05997
2022-05-12,8.5049,-0.0031,-0.03644
2022-05-11,8.508,0.0182,0.21437
2022-05-10,8.4898,-0.0025,-0.02944
2022-05-09,8.4923,-0.0202,-0.2373
2022-05-08,8.5125,0.0026,0.03055
2022-05-05,8.5099,0.0229,0.26982
