tradeDate,nav,change,changePercent
2022-08-30,12.49,-0.07,-0.55732
2022-08-29,12.56,-0.13,-1.02443
2022-08-28,12.69,-0.09,-0.70423
2022-08-25,12.78,-0.33,-2.51716
2022-08-24,13.11,0.14,1.07941
2022-08-23,12.97,0.03,0.23184
2022-08-22,12.94,-0.07,-0.53805
2022-08-21,13.01,-0.23,-1.73716
2022-08-18,13.24,-0.15,-1.12024
2022-08-17,13.39,0.01,0.07474
2022-08-16,13.38,-0.06,-0.44643
2022-08-15,13.44,0.04,0.29851
2022-08-14,13.4,0.06,0.44978
2022-08-11,13.34,0.15,1.13723
2022-08-10,13.19,0.02,0.15186
2022-08-09,13.17,0.21,1.62037
2022-08-08,12.96,-0.06,-0.46083
2022-08-07,13.02,0.01,0.07686
2022-08-04,13.01,0.0,0.0
2022-08-03,13.01,0.02,0.15396
2022-08-02,12.99,0.18,1.40515
2022-08-01,12.81,-0.11,-0.85139
2022-07-31,12.92,-0.02,-0.15456
2022-07-28,12.94,0.22,1.72956
2022-07-27,12.72,0.21,1.67866
2022-07-26,12.51,0.27,2.20588
2022-07-25,12.24,-0.18,-1.44928
2022-07-24,12.42,-0.03,-0.24096
2022-07-21,12.45,-0.04,-0.32026
2022-07-20,12.49,0.13,1.05178
2022-07-19,12.36,0.1,0.81566
2022-07-18,12.26,0.28,2.33723
2022-07-17,11.98,-0.03,-0.24979
2022-07-14,12.01,0.21,1.77966
2022-07-13,11.8,-0.07,-0.58972
2022-07-12,11.87,,
2022-07-11,11.93,-0.1,-0.83126
2022-07-10,12.03,-0.14,-1.15037
2022-07-07,12.17,0.0,0.0
2022-07-06,12.17,0.17,1.41667
2022-07-05,12.0,0.04,0.33445
2022-07-04,11.96,0.05,0.41982
2022-06-30,11.91,0.1,0.84674
2022-06-29,11.81,-0.1,-0.83963
2022-06-28,11.91,-0.05,-0.41806
2022-06-27,11.96,-0.23,-1.88679
2022-06-26,12.19,-0.03,-0.2455
2022-06-23,12.22,0.33,2.77544
2022-06-22,11.89,0.1,0.84818
2022-06-21,11.79,,
2022-06-20,11.78,0.22,1.90311
2022-06-16,11.56,0.06,0.52174
2022-06-15,11.5,-0.32,-2.70728
2022-06-14,11.82,0.17,1.45923
2022-06-13,11.65,-0.05,-0.42735
2022-06-12,11.7,-0.41,-3.38563
2022-06-09,12.11,-0.45,-3.5828
2022-06-08,12.56,-0.23,-1.79828
2022-06-07,12.79,-0.11,-0.85271
2022-06-06,12.9,0.04,0.31104
2022-06-05,12.86,-0.12,-0.9245
2022-06-01,12.98,0.16,1.24805
2022-05-31,12.82,-0.13,-1.00386
2022-05-30,12.95,-0.05,-0.38462
2022-05-26,13.0,0.25,1.96078
2022-05-25,12.75,0.2,1.59363
2022-05-24,12.55,0.1,0.80321
2022-05-23,12.45,-0.03,-0.24038
2022-05-22,12.48,0.23,1.87755
2022-05-19,12.25,0.0,0.0
2022-05-18,12.25,-0.14,-1.12994
2022-05-17,12.39,-0.39,-3.05164
2022-05-16,12.78,0.16,1.26783
2022-05-15,12.62,-0.07,-0.55162
2022-05-12,12.69,0.23,1.84591
2022-05-11,12.46,-0.08,-0.63796
2022-05-10,12.54,-0.12,-0.94787
2022-05-09,12.66,-0.08,-0.62794
2022-05-08,12.74,-0.3,-2.30061
2022-05-05,13.04,-0.08,-0.60976
2022-05-04,13.12,-0.27,-2.01643
2022-05-03,13.39,0.19,1.43939
2022-05-02,13.2,-0.06,-0.45249
2022-04-28,13.26,-0.31,-2.28445
2022-04-27,13.57,0.14,1.04244
2022-04-26,13.43,-0.02,-0.1487
2022-04-25,13.45,-0.16,-1.17561
2022-04-24,13.61,-0.05,-0.36603
2022-04-21,13.66,-0.31,-2.21904
2022-04-20,13.97,-0.07,-0.49858
2022-04-19,14.04,0.14,1.00719
2022-04-18,13.9,0.15,1.09091
2022-04-17,13.75,-0.04,-0.29007
2022-04-13,13.79,-0.05,-0.36127
2022-04-12,13.84,-0.03,-0.21629
2022-04-11,13.87,-0.06,-0.43073
2022-04-10,13.93,-0.13,-0.92461
2022-04-07,14.06,0.09,0.64424
2022-04-06,13.97,0.06,0.43134
2022-04-05,13.91,-0.01,-0.07184
2022-03-31,13.92,0.04,0.28818
2022-03-30,13.88,-0.12,-0.85714
2022-03-29,14.0,-0.03,-0.21383
2022-03-28,14.03,0.15,1.08069
2022-03-27,13.88,0.06,0.43415
2022-03-24,13.82,0.11,0.80233
2022-03-23,13.71,0.07,0.5132
2022-03-22,13.64,-0.16,-1.15942
2022-03-21,13.8,0.08,0.58309
2022-03-20,13.72,-0.01,-0.07283
2022-03-17,13.73,0.05,0.3655
2022-03-16,13.68,0.15,1.10865
2022-03-15,13.53,0.17,1.27246
2022-03-14,13.36,0.17,1.28886
2022-03-13,13.19,0.02,0.15186
2022-03-10,13.17,-0.04,-0.3028
2022-03-09,13.21,-0.07,-0.52711
2022-03-08,13.28,0.18,1.37405
2022-03-07,13.1,-0.2,-1.50376
2022-03-06,13.3,-0.23,-1.69993
2022-03-03,13.53,-0.06,-0.4415
2022-03-02,13.59,0.04,0.2952
2022-03-01,13.55,0.2,1.49813
2022-02-28,13.35,-0.28,-2.05429
2022-02-24,13.63,0.37,2.79035
2022-02-23,13.26,-0.09,-0.67416
2022-02-22,13.35,-0.13,-0.96439
2022-02-21,13.48,-0.06,-0.44313
2022-02-17,13.54,-0.04,-0.29455
2022-02-16,13.58,-0.13,-0.94821
2022-02-15,13.71,0.01,0.07299
2022-02-14,13.7,0.07,0.51357
2022-02-13,13.63,-0.15,-1.08853
2022-02-10,13.78,-0.14,-1.00575
2022-02-09,13.92,-0.17,-1.20653
2022-02-08,14.09,0.14,1.00358
2022-02-07,13.95,0.05,0.35971
2022-02-06,13.9,0.29,2.13079
2022-01-25,13.61,-0.01,-0.07342
2022-01-24,13.62,-0.02,-0.14663
2022-01-23,13.64,-0.11,-0.8
2022-01-20,13.75,-0.12,-0.86518
2022-01-19,13.87,-0.06,-0.43073
2022-01-18,13.93,-0.08,-0.57102
2022-01-17,14.01,-0.16,-1.12915
2022-01-13,14.17,-0.11,-0.77031
2022-01-12,14.28,-0.09,-0.6263
2022-01-11,14.37,0.03,0.20921
2022-01-10,14.34,0.03,0.20964
2022-01-09,14.31,-0.03,-0.20921
2022-01-06,14.34,0.0,0.0
2022-01-05,14.34,-0.02,-0.13928
2022-01-04,14.36,-0.18,-1.23796
2022-01-03,14.54,0.03,0.20675
2022-01-02,14.51,-0.06,-0.41181
2021-12-29,14.57,0.03,0.20633
2021-12-28,14.54,0.05,0.34507
2021-12-27,14.49,0.01,0.06906
2021-12-26,14.48,0.11,0.76548
2021-12-22,14.37,0.07,0.48951
2021-12-21,14.3,0.1,0.70423
2021-12-20,14.2,0.17,1.21169
2021-12-19,14.03,-0.2,-1.40548
2021-12-16,14.23,-0.1,-0.69784
2021-12-15,14.33,0.11,0.77356
2021-12-14,14.22,0.11,0.77959
2021-12-13,14.11,-0.04,-0.28269
2021-12-12,14.15,0.0,0.0
2021-12-09,14.15,0.01,0.07072
2021-12-08,14.14,-0.1,-0.70225
2021-12-07,14.24,0.03,0.21112
2021-12-06,14.21,0.18,1.28297
2021-12-05,14.03,0.17,1.22655
2021-12-02,13.86,-0.07,-0.50251
2021-12-01,13.93,0.13,0.94203
2021-11-30,13.8,-0.08,-0.57637
2021-11-29,13.88,-0.27,-1.90813
2021-11-28,14.15,0.09,0.64011
2021-11-25,14.06,-0.27,-1.88416
2021-11-23,14.33,0.04,0.27992
2021-11-22,14.29,0.02,0.14015
2021-11-21,14.27,-0.01,-0.07003
2021-11-18,14.28,-0.05,-0.34892
2021-11-17,14.33,-0.04,-0.27836
2021-11-16,14.37,-0.04,-0.27759
2021-11-15,14.41,-0.01,-0.06935
2021-11-14,14.42,0.01,0.0694
2021-11-11,14.41,0.06,0.41812
2021-11-10,14.35,-0.01,-0.06964
2021-11-09,14.36,-0.04,-0.27778
2021-11-08,14.4,-0.08,-0.55249
2021-11-07,14.48,0.0,0.0
2021-11-04,14.48,0.04,0.27701
2021-11-03,14.44,-0.06,-0.41379
2021-11-02,14.5,0.05,0.34602
2021-11-01,14.45,0.06,0.41696
2021-10-31,14.39,0.01,0.06954
2021-10-28,14.38,-0.03,-0.20819
2021-10-27,14.41,0.12,0.83975
2021-10-26,14.29,-0.1,-0.69493
2021-10-25,14.39,0.01,0.06954
2021-10-24,14.38,0.03,0.20906
2021-10-21,14.35,-0.01,-0.06964
2021-10-20,14.36,0.0,0.0
2021-10-19,14.36,0.07,0.48985
2021-10-18,14.29,0.1,0.70472
2021-10-17,14.19,0.07,0.49575
2021-10-14,14.12,0.07,0.49822
2021-10-13,14.05,0.21,1.51734
2021-10-12,13.84,0.02,0.14472
2021-10-11,13.82,-0.16,-1.14449
2021-10-07,13.98,-0.06,-0.42735
2021-10-06,14.04,0.12,0.86207
2021-10-05,13.92,-0.01,-0.07179
2021-10-04,13.93,0.12,0.86894
2021-10-03,13.81,-0.13,-0.93257
2021-09-30,13.94,0.1,0.72254
2021-09-29,13.84,-0.13,-0.93057
2021-09-28,13.97,0.04,0.28715
2021-09-27,13.93,-0.21,-1.48515
2021-09-26,14.14,-0.06,-0.42254
2021-09-23,14.2,-0.01,-0.07037
2021-09-22,14.21,0.11,0.78014
2021-09-21,14.1,-0.14,-0.98315
2021-09-16,14.24,-0.07,-0.48917
2021-09-15,14.31,-0.02,-0.13957
2021-09-14,14.33,0.07,0.49088
2021-09-13,14.26,-0.07,-0.48849
2021-09-12,14.33,0.02,0.13976
2021-09-09,14.31,-0.17,-1.17403
2021-09-08,14.48,-0.1,-0.68587
2021-09-07,14.58,-0.01,-0.06854
2021-09-06,14.59,-0.06,-0.40956
2021-09-02,14.65,-0.01,-0.06821
2021-09-01,14.66,0.04,0.2736
2021-08-31,14.62,0.03,0.20562
2021-08-30,14.59,0.01,0.06859
2021-08-29,14.58,0.05,0.34412
2021-08-26,14.53,0.1,0.693
2021-08-25,14.43,-0.06,-0.41408
2021-08-24,14.49,0.01,0.06906
2021-08-23,14.48,-0.01,-0.06901
2021-08-22,14.49,0.07,0.48544
2021-08-19,14.42,0.08,0.55788
2021-08-18,14.34,0.01,0.06978
2021-08-17,14.33,-0.12,-0.83045
2021-08-16,14.45,-0.07,-0.48209
2021-08-15,14.52,0.02,0.13793
2021-08-12,14.5,0.02,0.13812
2021-08-11,14.48,0.04,0.27701
2021-08-10,14.44,0.03,0.20819
2021-08-09,14.41,-0.06,-0.41465
2021-08-08,14.47,-0.01,-0.06906
2021-08-05,14.48,0.02,0.13831
2021-08-04,14.46,0.08,0.55633
2021-08-03,14.38,-0.05,-0.3465
2021-08-02,14.43,0.08,0.55749
2021-08-01,14.35,-0.01,-0.06964
2021-07-29,14.36,-0.06,-0.41609
2021-07-28,14.42,0.05,0.34795
2021-07-27,14.37,0.01,0.06964
2021-07-26,14.36,-0.06,-0.41609
2021-07-25,14.42,0.02,0.13889
2021-07-22,14.4,0.14,0.98177
2021-07-21,14.26,0.0,0.0
2021-07-20,14.26,0.1,0.70621
2021-07-19,14.16,0.22,1.57819
2021-07-18,13.94,-0.23,-1.62315
2021-07-15,14.17,-0.12,-0.83975
2021-07-14,14.29,-0.06,-0.41812
2021-07-13,14.35,-0.02,-0.13918
2021-07-12,14.37,-0.08,-0.55363
2021-07-11,14.45,0.02,0.1386
2021-07-08,14.43,0.18,1.26316
2021-07-07,14.25,-0.13,-0.90403
2021-07-06,14.38,0.02,0.13928
2021-07-05,14.36,-0.07,-0.4851
2021-07-01,14.43,0.06,0.41754
2021-06-30,14.37,0.07,0.48951
2021-06-29,14.3,0.01,0.06998
2021-06-28,14.29,0.0,0.0
2021-06-27,14.29,-0.01,-0.06993
2021-06-24,14.3,0.05,0.35088
2021-06-23,14.25,0.08,0.56457
2021-06-22,14.17,0.01,0.07062
2021-06-21,14.16,0.06,0.42553
2021-06-20,14.1,0.19,1.36592
2021-06-17,13.91,-0.2,-1.41743
2021-06-16,14.11,-0.1,-0.70373
2021-06-15,14.21,-0.07,-0.4902
2021-06-14,14.28,-0.03,-0.20964
2021-06-10,14.31,0.04,0.28031
2021-06-09,14.27,-0.01,-0.07003
2021-06-08,14.28,-0.1,-0.69541
2021-06-07,14.38,0.03,0.20906
2021-06-06,14.35,-0.02,-0.13918
2021-06-03,14.37,0.09,0.63025
2021-06-02,14.28,-0.05,-0.34892
2021-06-01,14.33,0.04,0.27992
2021-05-31,14.29,0.08,0.56298
