tradeDate,nav,change,changePercent
2022-08-30,9.1251,-0.0498,-0.54279
2022-08-29,9.1749,-0.0359,-0.38976
2022-08-28,9.2108,-0.0004,-0.00434
2022-08-25,9.2112,0.0311,0.33878
2022-08-24,9.1801,0.0008,0.00872
2022-08-23,9.1793,0.0177,0.1932
2022-08-22,9.1616,-0.018,-0.19609
2022-08-21,9.1796,-0.0115,-0.12512
2022-08-18,9.1911,0.0089,0.09693
2022-08-17,9.1822,-0.0169,-0.18371
2022-08-16,9.1991,-0.0228,-0.24724
2022-08-15,9.2219,-0.0219,-0.23692
2022-08-14,9.2438,0.0129,0.13975
2022-08-11,9.2309,0.0092,0.09976
2022-08-10,9.2217,0.0402,0.43784
2022-08-09,9.1815,-0.0084,-0.0914
2022-08-08,9.1899,-0.0013,-0.01414
2022-08-07,9.1912,0.0163,0.17766
2022-08-04,9.1749,0.012,0.13096
2022-08-03,9.1629,0.0231,0.25274
2022-08-02,9.1398,0.021,0.23029
2022-08-01,9.1188,-0.0186,-0.20356
2022-07-31,9.1374,0.0474,0.52145
2022-07-28,9.09,0.0459,0.50751
2022-07-27,9.0441,0.023,0.25496
2022-07-26,9.0211,-0.0078,-0.08639
2022-07-25,9.0289,-0.0059,-0.0653
2022-07-24,9.0348,0.0262,0.29083
2022-07-21,9.0086,0.0334,0.37214
2022-07-20,8.9752,0.0242,0.27036
2022-07-19,8.951,0.0905,1.02139
2022-07-18,8.8605,0.0228,0.25799
2022-07-17,8.8377,0.0256,0.29051
2022-07-14,8.8121,-0.0542,-0.6113
2022-07-13,8.8663,,
2022-07-12,8.864,,
2022-07-11,8.8746,0.0116,0.13088
2022-07-10,8.863,0.0286,0.32373
2022-07-07,8.8344,0.0261,0.29631
2022-07-06,8.8083,0.0044,0.04998
2022-07-05,8.8039,-0.0117,-0.13272
2022-07-04,8.8156,-0.008,-0.09067
2022-07-03,8.8236,-0.0131,-0.14825
2022-06-30,8.8367,0.0167,0.18934
2022-06-29,8.82,-0.0806,-0.90556
2022-06-28,8.9006,-0.0513,-0.57306
2022-06-27,8.9519,-0.0168,-0.18732
2022-06-26,8.9687,0.0046,0.05132
2022-06-23,8.9641,-0.0293,-0.32579
2022-06-22,8.9934,-0.038,-0.42075
2022-06-21,9.0314,,
2022-06-20,9.0444,0.0057,0.06306
2022-06-19,9.0387,-0.0162,-0.17891
2022-06-16,9.0549,0.0072,0.07958
2022-06-15,9.0477,-0.1009,-1.1029
2022-06-14,9.1486,-0.0457,-0.49705
2022-06-13,9.1943,-0.0735,-0.79307
2022-06-12,9.2678,-0.0947,-1.01148
2022-06-09,9.3625,-0.039,-0.41483
2022-06-08,9.4015,-0.0311,-0.32971
2022-06-07,9.4326,0.003,0.03181
2022-06-06,9.4296,-0.0013,-0.01378
2022-06-05,9.4309,0.0014,0.01485
2022-06-01,9.4295,-0.0215,-0.22749
2022-05-31,9.451,0.0266,0.28225
2022-05-30,9.4244,0.0102,0.10835
2022-05-29,9.4142,-0.0157,-0.16649
2022-05-26,9.4299,-0.0055,-0.05829
2022-05-25,9.4354,0.074,0.79048
2022-05-24,9.3614,0.0399,0.42804
2022-05-23,9.3215,-0.0153,-0.16387
2022-05-22,9.3368,-0.0223,-0.23827
2022-05-19,9.3591,-0.0195,-0.20792
2022-05-18,9.3786,-0.0736,-0.77865
2022-05-17,9.4522,0.0184,0.19504
2022-05-16,9.4338,-0.0761,-0.80022
2022-05-15,9.5099,0.0035,0.03682
2022-05-12,9.5064,-0.013,-0.13656
2022-05-11,9.5194,0.0323,0.34046
2022-05-10,9.4871,0.0451,0.47765
2022-05-09,9.442,0.0029,0.03072
2022-05-08,9.4391,-0.0291,-0.30734
2022-05-05,9.4682,-0.0396,-0.4165
2022-05-04,9.5078,0.0205,0.21608
2022-05-03,9.4873,-0.0419,-0.4397
2022-05-02,9.5292,-0.018,-0.18854
2022-04-28,9.5472,-0.0373,-0.38917
2022-04-27,9.5845,0.0336,0.3518
2022-04-26,9.5509,-0.0288,-0.30064
2022-04-25,9.5797,0.0011,0.01148
2022-04-24,9.5786,-0.0058,-0.06052
2022-04-21,9.5844,0.0258,0.26991
2022-04-20,9.5586,0.0258,0.27064
2022-04-19,9.5328,0.0056,0.05878
2022-04-18,9.5272,-0.0323,-0.33788
2022-04-17,9.5595,-0.0059,-0.06168
2022-04-14,9.5654,-0.0026,-0.02717
2022-04-13,9.568,0.0038,0.03973
2022-04-12,9.5642,-0.0023,-0.02404
2022-04-11,9.5665,-0.0279,-0.29079
2022-04-10,9.5944,-0.0064,-0.06666
2022-04-07,9.6008,0.0007,0.00729
2022-04-06,9.6001,-0.0078,-0.08118
2022-04-05,9.6079,-0.0225,-0.23364
2022-03-31,9.6304,0.0144,0.14975
2022-03-30,9.616,-0.0058,-0.06028
2022-03-29,9.6218,0.0022,0.02287
2022-03-28,9.6196,0.0253,0.2637
2022-03-27,9.5943,0.0033,0.03441
2022-03-24,9.591,-0.0033,-0.0344
2022-03-23,9.5943,-0.0057,-0.05937
2022-03-22,9.6,0.0182,0.18994
2022-03-21,9.5818,-0.0031,-0.03234
2022-03-20,9.5849,0.0184,0.19234
2022-03-17,9.5665,0.0106,0.11093
2022-03-16,9.5559,0.029,0.3044
2022-03-15,9.5269,0.0202,0.21248
2022-03-14,9.5067,-0.0745,-0.77756
2022-03-13,9.5812,0.0108,0.11285
2022-03-10,9.5704,0.0256,0.26821
2022-03-09,9.5448,-0.0053,-0.0555
2022-03-08,9.5501,0.0157,0.16467
2022-03-07,9.5344,-0.0096,-0.10059
2022-03-06,9.544,-0.0446,-0.46514
2022-03-03,9.5886,-0.026,-0.27042
2022-03-02,9.6146,0.0003,0.00312
2022-03-01,9.6143,0.0014,0.01456
2022-02-28,9.6129,-0.019,-0.19726
2022-02-24,9.6319,0.024,0.24979
2022-02-23,9.6079,-0.0516,-0.53419
2022-02-22,9.6595,-0.0069,-0.07138
2022-02-21,9.6664,-0.0136,-0.1405
2022-02-20,9.68,-0.0527,-0.54147
2022-02-17,9.7327,-0.0145,-0.14876
2022-02-16,9.7472,-0.0007,-0.00718
2022-02-15,9.7479,0.0064,0.0657
2022-02-14,9.7415,-0.0007,-0.00719
2022-02-13,9.7422,-0.0283,-0.28965
2022-02-10,9.7705,-0.0193,-0.19714
2022-02-09,9.7898,-0.0082,-0.08369
2022-02-08,9.798,0.0212,0.21684
2022-02-07,9.7768,0.0178,0.1824
2022-02-06,9.759,-0.0946,-0.96006
2022-01-27,9.8536,-0.0267,-0.27023
2022-01-26,9.8803,0.0063,0.0638
2022-01-25,9.874,0.0196,0.1989
2022-01-24,9.8544,-0.0124,-0.12567
2022-01-23,9.8668,-0.0231,-0.23357
2022-01-20,9.8899,-0.0176,-0.17764
2022-01-19,9.9075,-0.0038,-0.03834
2022-01-18,9.9113,-0.0104,-0.10482
2022-01-17,9.9217,-0.0572,-0.57321
2022-01-13,9.9789,-0.0088,-0.08811
2022-01-12,9.9877,-0.0002,-0.002
2022-01-11,9.9879,-0.0055,-0.05504
2022-01-10,9.9934,0.0008,0.00801
2022-01-09,9.9926,-0.0089,-0.08899
2022-01-06,10.0015,-0.0087,-0.08691
2022-01-05,10.0102,0.0073,0.07298
2022-01-04,10.0029,0.0079,0.07904
2022-01-03,9.995,0.0159,0.15933
2022-01-02,9.9791,0.0043,0.04311
2021-12-29,9.9748,0.0039,0.03911
2021-12-28,9.9709,0.0032,0.0321
2021-12-27,9.9677,-0.0008,-0.00803
2021-12-26,9.9685,0.0066,0.06625
2021-12-23,9.9619,0.0014,0.01406
2021-12-22,9.9605,0.0035,0.03515
2021-12-21,9.957,0.0055,0.05527
2021-12-20,9.9515,0.0041,0.04122
2021-12-19,9.9474,-0.0045,-0.04522
2021-12-16,9.9519,-0.0002,-0.00201
2021-12-15,9.9521,0.0072,0.0724
2021-12-14,9.9449,-0.0402,-0.4026
2021-12-13,9.9851,-0.0017,-0.01702
2021-12-12,9.9868,0.0042,0.04207
2021-12-09,9.9826,0.0006,0.00601
2021-12-08,9.982,0.0244,0.24504
2021-12-07,9.9576,-0.0053,-0.0532
2021-12-06,9.9629,0.021,0.21123
2021-12-05,9.9419,0.0107,0.10774
2021-12-02,9.9312,0.0112,0.1129
2021-12-01,9.92,0.0054,0.05447
2021-11-30,9.9146,0.0177,0.17884
2021-11-29,9.8969,-0.0212,-0.21375
2021-11-28,9.9181,-0.0046,-0.04636
2021-11-25,9.9227,-0.0378,-0.3795
2021-11-24,9.9605,-0.0079,-0.07925
2021-11-23,9.9684,-0.004,-0.04011
2021-11-22,9.9724,-0.0077,-0.07715
2021-11-21,9.9801,0.0013,0.01303
2021-11-18,9.9788,-0.0024,-0.02405
2021-11-17,9.9812,-0.0007,-0.00701
2021-11-16,9.9819,-0.0118,-0.11807
2021-11-15,9.9937,0.0033,0.03303
2021-11-14,9.9904,-0.0424,-0.42261
2021-11-11,10.0328,-0.0044,-0.04384
2021-11-10,10.0372,-0.0066,-0.06571
2021-11-09,10.0438,0.004,0.03984
2021-11-08,10.0398,0.0029,0.02889
2021-11-07,10.0369,0.0046,0.04585
2021-11-04,10.0323,0.009,0.08979
2021-11-03,10.0233,0.0162,0.16189
2021-11-02,10.0071,-0.0076,-0.07589
2021-11-01,10.0147,0.007,0.06995
2021-10-31,10.0077,-0.0072,-0.07189
2021-10-28,10.0149,0.0076,0.07594
2021-10-27,10.0073,0.0008,0.00799
2021-10-26,10.0065,0.0111,0.11105
2021-10-25,9.9954,0.0013,0.01301
2021-10-24,9.9941,-0.0013,-0.01301
2021-10-21,9.9954,-0.0126,-0.1259
2021-10-20,10.008,-0.0042,-0.04195
2021-10-19,10.0122,0.0108,0.10798
2021-10-18,10.0014,-0.032,-0.31893
2021-10-17,10.0334,-0.052,-0.5156
2021-10-14,10.0854,0.0053,0.05258
2021-10-13,10.0801,0.0218,0.21674
2021-10-12,10.0583,-0.0078,-0.07749
2021-10-11,10.0661,-0.0285,-0.28233
2021-10-07,10.0946,-0.0094,-0.09303
2021-10-06,10.104,0.0024,0.02376
2021-10-05,10.1016,-0.0083,-0.0821
2021-10-04,10.1099,-0.0063,-0.06228
2021-10-03,10.1162,0.0055,0.0544
2021-09-30,10.1107,-0.0151,-0.14912
2021-09-29,10.1258,-0.0283,-0.27871
2021-09-28,10.1541,0.0109,0.10746
2021-09-27,10.1432,-0.0056,-0.05518
2021-09-26,10.1488,0.0004,0.00394
2021-09-23,10.1484,-0.0035,-0.03448
2021-09-22,10.1519,-0.0011,-0.01083
2021-09-21,10.153,-0.0095,-0.09348
2021-09-16,10.1625,0.0086,0.0847
2021-09-15,10.1539,0.0247,0.24385
2021-09-14,10.1292,-0.0427,-0.41978
2021-09-13,10.1719,0.0046,0.04524
2021-09-12,10.1673,0.0077,0.07579
2021-09-09,10.1596,-0.0043,-0.04231
2021-09-08,10.1639,0.0035,0.03445
2021-09-07,10.1604,-0.0055,-0.0541
2021-09-06,10.1659,0.0222,0.21886
2021-09-02,10.1437,-0.0045,-0.04434
2021-09-01,10.1482,0.0083,0.08185
2021-08-31,10.1399,0.0049,0.04835
2021-08-30,10.135,-0.0012,-0.01184
2021-08-29,10.1362,0.0069,0.06812
2021-08-26,10.1293,-0.0097,-0.09567
2021-08-25,10.139,0.0111,0.1096
2021-08-24,10.1279,0.0067,0.0662
2021-08-23,10.1212,-0.0029,-0.02864
2021-08-22,10.1241,-0.0087,-0.08586
2021-08-19,10.1328,0.0006,0.00592
2021-08-18,10.1322,0.0036,0.03554
2021-08-17,10.1286,-0.0037,-0.03652
2021-08-16,10.1323,0.0106,0.10473
2021-08-15,10.1217,-0.0468,-0.46024
2021-08-12,10.1685,0.0017,0.01672
2021-08-11,10.1668,0.0034,0.03345
2021-08-10,10.1634,-0.009,-0.08847
2021-08-09,10.1724,-0.0003,-0.00295
2021-08-08,10.1727,0.0061,0.06
2021-08-05,10.1666,0.0145,0.14283
2021-08-04,10.1521,0.0025,0.02463
2021-08-03,10.1496,-0.0007,-0.0069
2021-08-02,10.1503,0.0022,0.02168
2021-08-01,10.1481,0.0098,0.09666
2021-07-29,10.1383,0.005,0.04934
