tradeDate,nav,change,changePercent
2022-08-30,6.5936,-0.0101,-0.15294
2022-08-29,6.6037,0.0329,0.5007
2022-08-28,6.5708,0.0017,0.02588
2022-08-25,6.5691,0.0313,0.47875
2022-08-24,6.5378,0.0326,0.50114
2022-08-23,6.5052,0.0245,0.37805
2022-08-22,6.4807,0.0217,0.33597
2022-08-21,6.459,0.0041,0.06352
2022-08-18,6.4549,-0.0129,-0.19945
2022-08-17,6.4678,-0.0035,-0.05408
2022-08-16,6.4713,-0.0182,-0.28045
2022-08-15,6.4895,0.0552,0.8579
2022-08-14,6.4343,0.0363,0.56736
2022-08-11,6.398,0.0177,0.27742
2022-08-10,6.3803,0.0388,0.61184
2022-08-09,6.3415,-0.0046,-0.07249
2022-08-07,6.3461,0.0063,0.09937
2022-08-04,6.3398,-0.0389,-0.60984
2022-08-03,6.3787,-0.0116,-0.18153
2022-08-02,6.3903,-0.0292,-0.45486
2022-08-01,6.4195,0.0043,0.06703
2022-07-31,6.4152,0.0219,0.34255
2022-07-28,6.3933,0.0251,0.39415
2022-07-27,6.3682,0.0099,0.1557
2022-07-26,6.3583,-0.0009,-0.01415
2022-07-25,6.3592,0.0308,0.48669
2022-07-24,6.3284,0.0376,0.5977
2022-07-21,6.2908,0.021,0.33494
2022-07-20,6.2698,-0.007,-0.11152
2022-07-19,6.2768,-0.0111,-0.17653
2022-07-18,6.2879,-0.0136,-0.21582
2022-07-17,6.3015,-0.0107,-0.16951
2022-07-14,6.3122,-0.0149,-0.23549
2022-07-13,6.3271,-0.0074,-0.11682
2022-07-12,6.3345,-0.0143,-0.22524
2022-07-11,6.3488,-0.0602,-0.9393
2022-07-07,6.409,-0.0111,-0.17289
2022-07-06,6.4201,-0.043,-0.66532
2022-07-05,6.4631,-0.0284,-0.4375
2022-07-04,6.4915,-0.0758,-1.1542
2022-07-03,6.5673,0.0266,0.40668
2022-06-30,6.5407,-0.0251,-0.38228
2022-06-29,6.5658,-0.0043,-0.06545
2022-06-28,6.5701,-0.0174,-0.26414
2022-06-27,6.5875,0.0028,0.04252
2022-06-26,6.5847,-0.0034,-0.05161
2022-06-23,6.5881,-0.026,-0.3931
2022-06-22,6.6141,-0.052,-0.78007
2022-06-21,6.6661,,
2022-06-20,6.7018,-0.0082,-0.12221
2022-06-19,6.71,0.0052,0.07756
2022-06-16,6.7048,-0.0151,-0.22471
2022-06-15,6.7199,0.0029,0.04317
2022-06-14,6.717,-0.0028,-0.04167
2022-06-13,6.7198,-0.0481,-0.71071
2022-06-12,6.7679,-0.0527,-0.77266
2022-06-09,6.8206,-0.0227,-0.33171
2022-06-08,6.8433,-0.0069,-0.10073
2022-06-07,6.8502,-0.0171,-0.24901
2022-06-06,6.8673,0.0048,0.06995
2022-06-05,6.8625,0.0156,0.22784
2022-06-01,6.8469,0.0078,0.11405
2022-05-31,6.8391,0.0244,0.35805
2022-05-30,6.8147,0.0015,0.02202
2022-05-29,6.8132,-0.0285,-0.41656
2022-05-26,6.8417,-0.0184,-0.26822
2022-05-25,6.8601,0.0203,0.29679
2022-05-24,6.8398,0.0029,0.04242
2022-05-23,6.8369,-0.014,-0.20435
2022-05-22,6.8509,0.0205,0.30013
2022-05-19,6.8304,-0.0127,-0.18559
2022-05-18,6.8431,0.0133,0.19473
2022-05-17,6.8298,-0.0294,-0.42862
2022-05-16,6.8592,0.0191,0.27924
2022-05-12,6.8401,0.0007,0.01023
2022-05-11,6.8394,-0.0407,-0.59156
2022-05-10,6.8801,-0.0133,-0.19294
2022-05-09,6.8934,-0.0596,-0.85718
2022-05-08,6.953,-0.0224,-0.32113
2022-05-05,6.9754,-0.0047,-0.06733
2022-05-04,6.9801,0.029,0.4172
2022-05-03,6.9511,-0.005,-0.07188
2022-04-28,6.9561,0.0038,0.05466
2022-04-27,6.9523,0.0296,0.42758
2022-04-26,6.9227,0.0058,0.08385
2022-04-25,6.9169,-0.0159,-0.22934
2022-04-24,6.9328,-0.0192,-0.27618
2022-04-21,6.952,-0.0209,-0.29973
2022-04-20,6.9729,-0.0111,-0.15893
2022-04-19,6.984,-0.0212,-0.30263
2022-04-18,7.0052,0.0092,0.1315
2022-04-17,6.996,-0.0016,-0.02286
2022-04-13,6.9976,0.0289,0.41471
2022-04-12,6.9687,0.0038,0.05456
2022-04-11,6.9649,-0.0157,-0.22491
2022-04-10,6.9806,-0.0473,-0.67303
2022-04-07,7.0279,0.0136,0.19389
2022-04-06,7.0143,0.0004,0.0057
2022-04-05,7.0139,0.0652,0.93831
2022-03-31,6.9487,0.009,0.12969
2022-03-30,6.9397,0.0063,0.09086
2022-03-29,6.9334,0.0045,0.06495
2022-03-28,6.9289,-0.0113,-0.16282
2022-03-27,6.9402,0.003,0.04325
2022-03-24,6.9372,0.0064,0.09234
2022-03-23,6.9308,0.0131,0.18937
2022-03-22,6.9177,0.0188,0.27251
2022-03-21,6.8989,0.0185,0.26888
2022-03-20,6.8804,0.031,0.45259
2022-03-17,6.8494,0.033,0.48413
2022-03-16,6.8164,0.0758,1.12453
2022-03-15,6.7406,0.0156,0.23197
2022-03-14,6.725,-0.0475,-0.70137
2022-03-13,6.7725,-0.0509,-0.74596
