tradeDate,nav,change,changePercent
2022-08-31,13.34,-0.14,-1.03858
2022-08-30,13.48,-0.16,-1.17302
2022-08-29,13.64,-0.07,-0.51058
2022-08-28,13.71,-0.1,-0.72411
2022-08-25,13.81,-0.43,-3.01966
2022-08-24,14.24,0.22,1.56919
2022-08-23,14.02,-0.02,-0.14245
2022-08-22,14.04,0.05,0.3574
2022-08-21,13.99,-0.28,-1.96216
2022-08-18,14.27,-0.25,-1.72176
2022-08-17,14.52,0.1,0.69348
2022-08-16,14.42,-0.15,-1.02951
2022-08-15,14.57,-0.03,-0.20548
2022-08-14,14.6,0.06,0.41265
2022-08-11,14.54,0.29,2.03509
2022-08-10,14.25,0.05,0.35211
2022-08-09,14.2,0.28,2.01149
2022-08-08,13.92,-0.28,-1.97183
2022-08-07,14.2,-0.07,-0.49054
2022-08-04,14.27,-0.09,-0.62674
2022-08-03,14.36,0.0,0.0
2022-08-02,14.36,0.15,1.05559
2022-08-01,14.21,-0.06,-0.42046
2022-07-31,14.27,0.12,0.84806
2022-07-28,14.15,0.16,1.14367
2022-07-27,13.99,0.15,1.08382
2022-07-26,13.84,0.38,2.82318
2022-07-25,13.46,-0.12,-0.88365
2022-07-24,13.58,-0.06,-0.43988
2022-07-21,13.64,-0.15,-1.08774
2022-07-20,13.79,0.14,1.02564
2022-07-19,13.65,0.15,1.11111
2022-07-18,13.5,0.31,2.35027
2022-07-17,13.19,0.01,0.07587
2022-07-14,13.18,0.23,1.77606
2022-07-13,12.95,0.13,1.01404
2022-07-12,12.82,0.03,0.23456
2022-07-11,12.79,-0.13,-1.00619
2022-07-10,12.92,-0.27,-2.04701
2022-07-07,13.19,0.05,0.38052
2022-07-06,13.14,0.39,3.05882
2022-07-05,12.75,0.01,0.07849
2022-07-04,12.74,0.0,0.0
2022-06-30,12.74,-0.16,-1.24031
2022-06-29,12.9,-0.22,-1.67683
2022-06-28,13.12,-0.24,-1.79641
2022-06-27,13.36,-0.15,-1.11029
2022-06-26,13.51,-0.01,-0.07396
2022-06-23,13.52,0.33,2.5019
2022-06-22,13.19,-0.05,-0.37764
2022-06-21,13.24,-0.1,-0.74963
2022-06-20,13.34,0.3,2.30061
2022-06-16,13.04,0.06,0.46225
2022-06-15,12.98,-0.52,-3.85185
2022-06-14,13.5,0.2,1.50376
2022-06-13,13.3,0.0,0.0
2022-06-12,13.3,-0.57,-4.10959
2022-06-09,13.87,-0.34,-2.39268
2022-06-08,14.21,-0.22,-1.5246
2022-06-07,14.43,-0.07,-0.48276
2022-06-06,14.5,0.04,0.27663
2022-06-05,14.46,-0.15,-1.02669
2022-06-01,14.61,0.35,2.45442
2022-05-31,14.26,0.02,0.14045
2022-05-30,14.24,-0.09,-0.62805
2022-05-26,14.33,0.33,2.35714
2022-05-25,14.0,0.32,2.33918
2022-05-24,13.68,0.12,0.88496
2022-05-23,13.56,-0.3,-2.1645
2022-05-22,13.86,0.13,0.94683
2022-05-19,13.73,-0.07,-0.50725
2022-05-18,13.8,-0.05,-0.36101
2022-05-17,13.85,-0.43,-3.0112
2022-05-16,14.28,0.38,2.73381
2022-05-15,13.9,-0.22,-1.55807
2022-05-12,14.12,0.48,3.51906
2022-05-11,13.64,-0.07,-0.51058
2022-05-10,13.71,-0.18,-1.2959
2022-05-09,13.89,0.14,1.01818
2022-05-08,13.75,-0.52,-3.64401
2022-05-05,14.27,-0.03,-0.20979
2022-05-04,14.3,-0.44,-2.98507
2022-05-03,14.74,0.3,2.07756
2022-05-02,14.44,0.29,2.04947
2022-04-28,14.15,-0.24,-1.66782
2022-04-27,14.39,0.4,2.85919
2022-04-26,13.99,0.07,0.50287
2022-04-25,13.92,-0.5,-3.46741
2022-04-24,14.42,0.02,0.13889
2022-04-21,14.4,-0.28,-1.90736
2022-04-20,14.68,-0.14,-0.94467
2022-04-19,14.82,-0.07,-0.47011
2022-04-18,14.89,0.28,1.9165
2022-04-17,14.61,0.12,0.82816
2022-04-13,14.49,-0.23,-1.5625
2022-04-12,14.72,0.19,1.30764
2022-04-11,14.53,0.01,0.06887
2022-04-10,14.52,-0.26,-1.75913
2022-04-07,14.78,-0.14,-0.93834
2022-04-06,14.92,-0.07,-0.46698
2022-04-05,14.99,-0.65,-4.15601
2022-03-31,15.64,-0.1,-0.63532
2022-03-30,15.74,-0.21,-1.31661
2022-03-29,15.95,-0.26,-1.60395
2022-03-28,16.21,0.36,2.27129
2022-03-27,15.85,0.15,0.95541
2022-03-24,15.7,-0.05,-0.31746
2022-03-23,15.75,0.35,2.27273
2022-03-22,15.4,-0.11,-0.70922
2022-03-21,15.51,0.19,1.24021
2022-03-20,15.32,0.06,0.39318
2022-03-17,15.26,0.12,0.7926
2022-03-16,15.14,0.08,0.53121
2022-03-15,15.06,0.58,4.00552
2022-03-14,14.48,0.37,2.62225
2022-03-13,14.11,-0.17,-1.19048
2022-03-10,14.28,-0.23,-1.58511
2022-03-09,14.51,-0.11,-0.75239
2022-03-08,14.62,0.58,4.13105
2022-03-07,14.04,0.1,0.71736
2022-03-06,13.94,-0.56,-3.86207
2022-03-03,14.5,-0.47,-3.13961
2022-03-02,14.97,-0.27,-1.77165
2022-03-01,15.24,0.15,0.99404
2022-02-28,15.09,-0.45,-2.89575
2022-02-24,15.54,0.31,2.03546
2022-02-23,15.23,0.14,0.92777
2022-02-22,15.09,-0.2,-1.30804
2022-02-21,15.29,-0.29,-1.86136
2022-02-17,15.58,-0.13,-0.8275
2022-02-16,15.71,-0.42,-2.60384
2022-02-15,16.13,0.07,0.43587
2022-02-14,16.06,0.51,3.27974
2022-02-13,15.55,-0.04,-0.25657
2022-02-10,15.59,-0.47,-2.92653
2022-02-09,16.06,-0.34,-2.07317
2022-02-08,16.4,0.4,2.5
2022-02-07,16.0,0.08,0.50251
2022-02-06,15.92,0.11,0.69576
2022-01-25,15.81,0.22,1.41116
2022-01-24,15.59,-0.32,-2.01131
2022-01-23,15.91,-0.2,-1.24146
2022-01-20,16.11,-0.29,-1.76829
2022-01-19,16.4,-0.23,-1.38304
2022-01-18,16.63,-0.44,-2.57762
2022-01-17,17.07,-0.36,-2.0654
2022-01-13,17.43,0.06,0.34542
2022-01-12,17.37,-0.2,-1.1383
2022-01-11,17.57,0.21,1.20968
2022-01-10,17.36,0.22,1.28355
2022-01-09,17.14,-0.08,-0.46458
2022-01-06,17.22,-0.18,-1.03448
2022-01-05,17.4,-0.03,-0.17212
2022-01-04,17.43,-0.42,-2.35294
2022-01-03,17.85,0.08,0.4502
2022-01-02,17.77,0.3,1.71723
2021-12-29,17.47,-0.02,-0.11435
2021-12-28,17.49,-0.08,-0.45532
2021-12-27,17.57,-0.09,-0.50963
2021-12-26,17.66,0.2,1.14548
2021-12-22,17.46,0.2,1.15875
2021-12-21,17.26,0.21,1.23167
2021-12-20,17.05,0.38,2.27954
2021-12-19,16.67,-0.26,-1.53574
2021-12-16,16.93,-0.2,-1.16754
2021-12-15,17.13,-0.34,-1.94619
2021-12-14,17.47,0.36,2.10403
2021-12-13,17.11,-0.16,-0.92646
2021-12-12,17.27,-0.31,-1.76337
2021-12-09,17.58,0.16,0.91848
2021-12-08,17.42,-0.29,-1.63749
2021-12-07,17.71,-0.04,-0.22535
2021-12-06,17.75,0.58,3.37798
2021-12-05,17.17,-0.07,-0.40603
2021-12-02,17.24,-0.23,-1.31654
2021-12-01,17.47,0.02,0.11461
2021-11-30,17.45,-0.11,-0.62642
2021-11-29,17.56,-0.18,-1.01466
2021-11-28,17.74,0.35,2.01265
2021-11-25,17.39,-0.43,-2.41302
2021-11-23,17.82,0.02,0.11236
2021-11-22,17.8,-0.2,-1.11111
2021-11-21,18.0,-0.06,-0.33223
