tradeDate,nav,change,changePercent
2022-08-30,8.2865,0.0251,0.30382
2022-08-29,8.2614,0.0,0.0
2022-08-28,8.2614,-0.0352,-0.42427
2022-08-25,8.2966,0.0117,0.14122
2022-08-24,8.2849,0.0288,0.34883
2022-08-23,8.2561,0.0035,0.04241
2022-08-22,8.2526,0.01,0.12132
2022-08-21,8.2426,0.0005,0.00607
2022-08-18,8.2421,-0.0037,-0.04487
2022-08-17,8.2458,0.0119,0.14452
2022-08-16,8.2339,-0.0051,-0.0619
2022-08-15,8.239,0.0356,0.43397
2022-08-14,8.2034,0.0407,0.49861
2022-08-11,8.1627,0.0004,0.0049
2022-08-10,8.1623,0.0267,0.32819
2022-08-09,8.1356,0.0136,0.16745
2022-08-08,8.122,-0.0436,-0.53395
2022-08-07,8.1656,0.0149,0.18281
2022-08-04,8.1507,0.0023,0.02823
2022-08-03,8.1484,-0.0298,-0.36438
2022-08-02,8.1782,-0.0001,-0.00122
2022-08-01,8.1783,-0.0033,-0.04033
2022-07-31,8.1816,-0.0055,-0.06718
2022-07-28,8.1871,0.0119,0.14556
2022-07-27,8.1752,0.0252,0.3092
2022-07-26,8.15,0.0148,0.18193
2022-07-25,8.1352,0.001,0.01229
2022-07-24,8.1342,0.0019,0.02336
2022-07-21,8.1323,0.0071,0.08738
2022-07-20,8.1252,0.0332,0.41028
2022-07-19,8.092,0.0065,0.08039
2022-07-18,8.0855,-0.0267,-0.32913
2022-07-17,8.1122,-0.007,-0.08622
2022-07-14,8.1192,-0.013,-0.15986
2022-07-13,8.1322,,
2022-07-12,8.1544,-0.0064,-0.07842
2022-07-11,8.1608,-0.0622,-0.75641
2022-07-10,8.223,-0.0243,-0.29464
2022-07-07,8.2473,-0.0208,-0.25157
2022-07-06,8.2681,-0.0086,-0.10391
2022-07-05,8.2767,-0.0368,-0.44265
2022-07-04,8.3135,-0.0343,-0.41089
2022-06-30,8.3478,-0.0382,-0.45552
2022-06-29,8.386,-0.0098,-0.11673
2022-06-28,8.3958,-0.0182,-0.21631
2022-06-27,8.414,-0.0211,-0.25015
2022-06-26,8.4351,-0.0038,-0.04503
2022-06-23,8.4389,-0.0045,-0.0533
2022-06-22,8.4434,-0.0002,-0.00237
2022-06-21,8.4436,,
2022-06-20,8.437,-0.0023,-0.02725
2022-06-16,8.4393,-0.0192,-0.22699
2022-06-15,8.4585,-0.0044,-0.05199
2022-06-14,8.4629,0.0256,0.30341
2022-06-13,8.4373,-0.0277,-0.32723
2022-06-12,8.465,-0.0699,-0.81899
2022-06-09,8.5349,-0.0405,-0.47228
2022-06-08,8.5754,-0.0156,-0.18159
2022-06-07,8.591,-0.0155,-0.1801
2022-06-06,8.6065,-0.0074,-0.08591
2022-06-05,8.6139,0.0019,0.02206
2022-06-01,8.612,0.0061,0.07088
2022-05-31,8.6059,-0.0019,-0.02207
2022-05-30,8.6078,-0.0063,-0.07314
2022-05-26,8.6141,-0.013,-0.15069
2022-05-25,8.6271,0.0104,0.1207
2022-05-24,8.6167,-0.0202,-0.23388
2022-05-23,8.6369,0.0118,0.13681
2022-05-22,8.6251,0.0036,0.04176
2022-05-19,8.6215,0.0139,0.16149
2022-05-18,8.6076,0.0102,0.11864
2022-05-17,8.5974,0.0091,0.10596
2022-05-16,8.5883,-0.0111,-0.12908
2022-05-15,8.5994,0.0008,0.0093
2022-05-12,8.5986,-0.0052,-0.06044
2022-05-11,8.6038,-0.0232,-0.26892
2022-05-10,8.627,0.0082,0.09514
2022-05-09,8.6188,-0.0271,-0.31344
2022-05-08,8.6459,-0.0144,-0.16628
2022-05-05,8.6603,-0.0127,-0.14643
2022-05-04,8.673,-0.0097,-0.11172
2022-05-03,8.6827,0.0061,0.0703
2022-05-02,8.6766,0.0045,0.05189
2022-04-28,8.6721,0.0177,0.20452
2022-04-27,8.6544,-0.0017,-0.01964
2022-04-26,8.6561,-0.0319,-0.36717
2022-04-25,8.688,0.0108,0.12446
2022-04-24,8.6772,-0.0209,-0.24028
2022-04-21,8.6981,-0.0133,-0.15267
2022-04-20,8.7114,-0.0408,-0.46617
2022-04-19,8.7522,-0.0044,-0.05025
2022-04-18,8.7566,-0.0203,-0.23129
2022-04-17,8.7769,0.009,0.10265
2022-04-13,8.7679,0.0001,0.00114
2022-04-12,8.7678,-0.0034,-0.03876
2022-04-11,8.7712,-0.0095,-0.10819
2022-04-10,8.7807,-0.0256,-0.2907
2022-04-07,8.8063,-0.0089,-0.10096
2022-04-06,8.8152,-0.0133,-0.15065
2022-04-05,8.8285,0.0545,0.62115
2022-03-31,8.774,0.0098,0.11182
2022-03-30,8.7642,0.0111,0.12681
2022-03-29,8.7531,0.0262,0.30022
2022-03-28,8.7269,0.0272,0.31265
2022-03-27,8.6997,0.021,0.24197
2022-03-24,8.6787,-0.0035,-0.04031
2022-03-23,8.6822,-0.0197,-0.22639
2022-03-22,8.7019,0.0173,0.1992
2022-03-21,8.6846,0.0072,0.08297
2022-03-20,8.6774,0.0098,0.11306
2022-03-17,8.6676,0.0268,0.31016
2022-03-16,8.6408,0.1023,1.1981
2022-03-15,8.5385,0.0218,0.25597
2022-03-14,8.5167,0.0206,0.24246
2022-03-13,8.4961,-0.0153,-0.17976
2022-03-10,8.5114,-0.0104,-0.12204
2022-03-09,8.5218,-0.0018,-0.02112
2022-03-08,8.5236,0.0345,0.4064
2022-03-07,8.4891,-0.0539,-0.63093
2022-03-06,8.543,-0.0033,-0.03861
2022-03-03,8.5463,-0.0456,-0.53073
2022-03-02,8.5919,-0.0544,-0.62917
2022-03-01,8.6463,-0.1744,-1.97717
2022-02-28,8.8207,-0.6701,-7.06052
2022-02-24,9.4908,-0.1053,-1.09732
2022-02-23,9.5961,-0.1165,-1.19947
2022-02-22,9.7126,-0.1407,-1.42795
2022-02-21,9.8533,-0.0597,-0.60224
2022-02-17,9.913,0.011,0.11109
2022-02-16,9.902,-0.015,-0.15126
2022-02-15,9.917,-0.0001,-0.00101
2022-02-14,9.9171,-0.0059,-0.05946
2022-02-13,9.923,-0.037,-0.37149
2022-02-10,9.96,0.0062,0.06229
2022-02-09,9.9538,0.0003,0.00301
2022-02-08,9.9535,0.0136,0.13682
2022-02-07,9.9399,-0.0069,-0.06937
2022-02-06,9.9468,0.0069,0.06942
2022-01-27,9.9399,-0.0129,-0.12961
2022-01-26,9.9528,-0.0019,-0.01909
2022-01-25,9.9547,-0.0215,-0.21551
2022-01-24,9.9762,0.0028,0.02807
2022-01-23,9.9734,-0.0136,-0.13618
2022-01-20,9.987,0.0203,0.20368
2022-01-19,9.9667,0.0008,0.00803
2022-01-18,9.9659,0.0629,0.63516
2022-01-17,9.903,-0.0243,-0.24478
2022-01-13,9.9273,-0.0393,-0.39432
2022-01-12,9.9666,-0.0169,-0.16928
2022-01-11,9.9835,-0.0092,-0.09207
2022-01-10,9.9927,-0.0068,-0.068
2022-01-09,9.9995,-0.0087,-0.08693
2022-01-06,10.0082,-0.0079,-0.07887
2022-01-05,10.0161,-0.0501,-0.49771
2022-01-04,10.0662,-0.0111,-0.11015
2022-01-03,10.0773,0.0017,0.01687
2022-01-02,10.0756,-0.3987,-3.80646
2021-12-29,10.4743,0.0045,0.04298
2021-12-28,10.4698,0.0045,0.043
2021-12-27,10.4653,-0.0034,-0.03248
2021-12-26,10.4687,0.0062,0.05926
2021-12-22,10.4625,0.0021,0.02008
2021-12-21,10.4604,0.0044,0.04208
2021-12-20,10.456,0.0063,0.06029
2021-12-19,10.4497,-0.0101,-0.09656
2021-12-16,10.4598,0.0005,0.00478
2021-12-15,10.4593,0.0058,0.05548
2021-12-14,10.4535,-0.0157,-0.14996
2021-12-13,10.4692,-0.0304,-0.28953
2021-12-12,10.4996,-0.0097,-0.0923
2021-12-09,10.5093,0.0061,0.05808
2021-12-08,10.5032,0.0047,0.04477
2021-12-07,10.4985,0.0129,0.12303
2021-12-06,10.4856,0.016,0.15282
2021-12-05,10.4696,0.0139,0.13294
2021-12-02,10.4557,0.0017,0.01626
2021-12-01,10.454,-0.0016,-0.0153
2021-11-30,10.4556,0.0086,0.08232
2021-11-29,10.447,-0.0079,-0.07556
2021-11-28,10.4549,-0.0095,-0.09078
2021-11-25,10.4644,-0.014,-0.13361
2021-11-23,10.4784,-0.0063,-0.06009
2021-11-22,10.4847,-0.0232,-0.22079
2021-11-21,10.5079,-0.005,-0.04756
2021-11-18,10.5129,-0.0015,-0.01427
2021-11-17,10.5144,0.0062,0.059
2021-11-16,10.5082,0.0007,0.00666
2021-11-15,10.5075,-0.0051,-0.04851
2021-11-14,10.5126,0.0184,0.17533
2021-11-11,10.4942,0.0545,0.52205
2021-11-09,10.4397,0.0274,0.26315
2021-11-08,10.4123,-0.0198,-0.1898
2021-11-07,10.4321,-0.0495,-0.47226
2021-11-04,10.4816,-0.033,-0.31385
2021-11-03,10.5146,-0.011,-0.10451
2021-11-02,10.5256,0.0035,0.03326
2021-11-01,10.5221,-0.0007,-0.00665
2021-10-31,10.5228,-0.0143,-0.13571
2021-10-28,10.5371,-0.0044,-0.04174
2021-10-27,10.5415,-0.007,-0.06636
2021-10-26,10.5485,0.0086,0.08159
2021-10-25,10.5399,-0.0022,-0.02087
2021-10-24,10.5421,-0.0042,-0.03982
2021-10-21,10.5463,-0.0061,-0.05781
2021-10-20,10.5524,-0.0085,-0.08049
2021-10-19,10.5609,0.007,0.06633
2021-10-18,10.5539,-0.0047,-0.04451
2021-10-17,10.5586,0.0115,0.10903
2021-10-14,10.5471,0.0065,0.06167
2021-10-13,10.5406,0.0054,0.05126
2021-10-12,10.5352,0.012,0.11403
2021-10-11,10.5232,-0.0199,-0.18875
2021-10-07,10.5431,-0.0106,-0.10044
2021-10-06,10.5537,-0.0018,-0.01705
2021-10-05,10.5555,-0.0056,-0.05302
2021-10-04,10.5611,-0.0127,-0.12011
2021-10-03,10.5738,-0.002,-0.01891
2021-09-30,10.5758,0.0011,0.0104
2021-09-29,10.5747,0.0013,0.0123
2021-09-28,10.5734,0.0008,0.00757
2021-09-27,10.5726,-0.0194,-0.18316
2021-09-26,10.592,-0.0079,-0.07453
2021-09-23,10.5999,-0.0101,-0.09519
2021-09-22,10.61,0.0035,0.033
2021-09-21,10.6065,-0.0176,-0.16566
2021-09-16,10.6241,-0.0136,-0.12785
2021-09-15,10.6377,-0.0037,-0.03477
2021-09-14,10.6414,-0.0006,-0.00564
2021-09-13,10.642,0.0053,0.04983
2021-09-12,10.6367,0.0028,0.02633
2021-09-09,10.6339,0.0079,0.07435
2021-09-08,10.626,0.0046,0.04331
2021-09-07,10.6214,-0.0104,-0.09782
2021-09-06,10.6318,0.0223,0.21019
2021-09-02,10.6095,-0.0016,-0.01508
2021-09-01,10.6111,-0.0005,-0.00471
2021-08-31,10.6116,-0.0071,-0.06686
2021-08-30,10.6187,-0.0003,-0.00283
2021-08-29,10.619,0.0121,0.11408
2021-08-26,10.6069,0.0069,0.06509
2021-08-25,10.6,-0.0046,-0.04338
2021-08-24,10.6046,0.0099,0.09344
2021-08-23,10.5947,0.0118,0.1115
2021-08-22,10.5829,0.0063,0.05957
2021-08-19,10.5766,0.0082,0.07759
2021-08-18,10.5684,0.0073,0.06912
2021-08-17,10.5611,0.0058,0.05495
2021-08-16,10.5553,-0.0039,-0.03693
2021-08-15,10.5592,0.0057,0.05401
2021-08-12,10.5535,0.0023,0.0218
2021-08-11,10.5512,-0.0059,-0.05589
2021-08-10,10.5571,0.0093,0.08817
2021-08-09,10.5478,0.0094,0.0892
2021-08-08,10.5384,0.0026,0.02468
2021-08-05,10.5358,-0.0028,-0.02657
2021-08-04,10.5386,-0.0047,-0.04458
2021-08-03,10.5433,0.004,0.03795
2021-08-02,10.5393,0.0073,0.06931
2021-08-01,10.532,0.0069,0.06556
2021-07-29,10.5251,-0.006,-0.05697
2021-07-28,10.5311,-0.0084,-0.0797
2021-07-27,10.5395,-0.0033,-0.0313
2021-07-26,10.5428,-0.0111,-0.10517
2021-07-25,10.5539,-0.0058,-0.05493
