tradeDate,nav,change,changePercent
2022-08-30,6.6,-0.04,-0.60241
2022-08-29,6.64,-0.03,-0.44978
2022-08-28,6.67,0.02,0.30075
2022-08-25,6.65,0.0,0.0
2022-08-24,6.65,-0.01,-0.15015
2022-08-23,6.66,0.02,0.3012
2022-08-22,6.64,0.01,0.15083
2022-08-21,6.63,-0.04,-0.5997
2022-08-18,6.67,-0.02,-0.29895
2022-08-17,6.69,0.0,0.0
2022-08-16,6.69,-0.03,-0.44643
2022-08-15,6.72,-0.06,-0.88496
2022-08-14,6.78,0.02,0.29586
2022-08-11,6.76,0.02,0.29674
2022-08-10,6.74,0.02,0.29762
2022-08-09,6.72,0.04,0.5988
2022-08-08,6.68,-0.01,-0.14948
2022-08-07,6.69,0.03,0.45045
2022-08-04,6.66,-0.01,-0.14993
2022-08-03,6.67,0.03,0.45181
2022-08-02,6.64,0.02,0.30211
2022-08-01,6.62,0.01,0.15129
2022-07-31,6.61,0.03,0.45593
2022-07-28,6.58,0.04,0.61162
2022-07-27,6.54,0.05,0.77042
2022-07-26,6.49,0.01,0.15432
2022-07-25,6.48,-0.02,-0.30769
2022-07-24,6.5,0.02,0.30864
2022-07-21,6.48,0.03,0.46512
2022-07-20,6.45,0.04,0.62402
2022-07-19,6.41,0.05,0.78616
2022-07-18,6.36,0.02,0.31546
2022-07-17,6.34,0.01,0.15798
2022-07-14,6.33,-0.04,-0.62794
2022-07-13,6.37,-0.01,-0.15674
2022-07-12,6.38,-0.02,-0.3125
2022-07-11,6.4,0.01,0.15649
2022-07-10,6.39,0.01,0.15674
2022-07-07,6.38,0.01,0.15699
2022-07-06,6.37,0.03,0.47319
2022-07-05,6.34,0.0,0.0
2022-07-04,6.34,-0.01,-0.15748
2022-06-30,6.35,0.01,0.15773
2022-06-29,6.34,-0.04,-0.62696
2022-06-28,6.38,-0.04,-0.62305
2022-06-27,6.42,-0.04,-0.6192
2022-06-26,6.46,-0.03,-0.46225
2022-06-23,6.49,0.01,0.15432
2022-06-22,6.48,-0.02,-0.30769
2022-06-21,6.5,,
2022-06-20,6.5,0.0,0.0
2022-06-19,6.5,0.0,0.0
2022-06-16,6.5,-0.01,-0.15361
2022-06-15,6.51,-0.06,-0.91324
2022-06-14,6.57,-0.01,-0.15198
2022-06-13,6.58,-0.04,-0.60423
2022-06-12,6.62,-0.12,-1.78042
2022-06-09,6.74,-0.04,-0.58997
2022-06-08,6.78,-0.03,-0.44053
2022-06-07,6.81,-0.02,-0.29283
2022-06-06,6.83,0.01,0.14663
2022-06-05,6.82,-0.01,-0.14641
2022-06-01,6.83,0.03,0.44118
2022-05-31,6.8,0.05,0.74074
2022-05-30,6.75,-0.06,-0.88106
2022-05-26,6.81,0.01,0.14706
2022-05-25,6.8,0.05,0.74074
2022-05-24,6.75,0.02,0.29718
2022-05-23,6.73,0.0,0.0
2022-05-22,6.73,-0.02,-0.2963
2022-05-19,6.75,-0.02,-0.29542
2022-05-18,6.77,-0.01,-0.14749
2022-05-17,6.78,-0.04,-0.58651
2022-05-16,6.82,-0.08,-1.15942
2022-05-15,6.9,0.0,0.0
2022-05-12,6.9,0.0,0.0
2022-05-11,6.9,0.0,0.0
2022-05-10,6.9,0.0,0.0
2022-05-09,6.9,-0.02,-0.28902
2022-05-08,6.92,-0.05,-0.71736
2022-05-05,6.97,-0.01,-0.14327
2022-05-04,6.98,-0.03,-0.42796
2022-05-03,7.01,-0.01,-0.14245
2022-05-02,7.02,-0.02,-0.28409
2022-04-28,7.04,-0.05,-0.70522
2022-04-27,7.09,0.02,0.28289
2022-04-26,7.07,-0.01,-0.14124
2022-04-25,7.08,-0.02,-0.28169
2022-04-24,7.1,0.01,0.14104
2022-04-21,7.09,-0.01,-0.14085
2022-04-20,7.1,-0.02,-0.2809
2022-04-19,7.12,0.01,0.14065
2022-04-18,7.11,0.0,0.0
2022-04-17,7.11,-0.03,-0.42017
2022-04-13,7.14,-0.02,-0.27933
2022-04-12,7.16,-0.01,-0.13947
2022-04-11,7.17,0.02,0.27972
2022-04-10,7.15,0.0,0.0
2022-04-07,7.15,0.0,0.0
2022-04-06,7.15,0.0,0.0
2022-04-05,7.15,-0.02,-0.27894
2022-03-31,7.17,0.02,0.27972
2022-03-30,7.15,0.01,0.14006
2022-03-29,7.14,-0.04,-0.5571
2022-03-28,7.18,0.05,0.70126
2022-03-27,7.13,0.05,0.70621
2022-03-24,7.08,-0.01,-0.14104
2022-03-23,7.09,0.02,0.28289
2022-03-22,7.07,0.0,0.0
2022-03-21,7.07,0.0,0.0
2022-03-20,7.07,0.03,0.42614
2022-03-17,7.04,-0.01,-0.14184
2022-03-16,7.05,-0.01,-0.14164
2022-03-15,7.06,0.05,0.71327
2022-03-14,7.01,-0.05,-0.70822
2022-03-13,7.06,-0.01,-0.14144
2022-03-10,7.07,0.0,0.0
2022-03-09,7.07,-0.04,-0.56259
2022-03-08,7.11,0.02,0.28209
2022-03-07,7.09,0.01,0.14124
2022-03-06,7.08,-0.01,-0.14104
2022-03-03,7.09,-0.02,-0.28129
2022-03-02,7.11,0.0,0.0
2022-03-01,7.11,0.01,0.14085
2022-02-28,7.1,0.01,0.14104
2022-02-24,7.09,0.04,0.56738
2022-02-23,7.05,-0.01,-0.14164
2022-02-22,7.06,-0.01,-0.14144
2022-02-21,7.07,0.0,0.0
2022-02-17,7.07,-0.01,-0.14124
2022-02-16,7.08,-0.01,-0.14104
2022-02-15,7.09,0.0,0.0
2022-02-14,7.09,-0.04,-0.56101
2022-02-13,7.13,-0.03,-0.41899
2022-02-10,7.16,-0.03,-0.41725
2022-02-09,7.19,-0.03,-0.41551
2022-02-08,7.22,0.02,0.27778
2022-02-07,7.2,0.0,0.0
2022-02-06,7.2,-0.05,-0.68966
2022-01-27,7.25,-0.02,-0.2751
2022-01-26,7.27,-0.01,-0.13736
2022-01-25,7.28,0.01,0.13755
2022-01-24,7.27,0.0,0.0
2022-01-23,7.27,-0.03,-0.41096
2022-01-20,7.3,0.01,0.13717
2022-01-19,7.29,-0.01,-0.13699
2022-01-18,7.3,0.01,0.13717
2022-01-17,7.29,-0.08,-1.08548
2022-01-13,7.37,-0.02,-0.27064
2022-01-12,7.39,-0.01,-0.13514
2022-01-11,7.4,0.01,0.13532
2022-01-10,7.39,0.01,0.1355
2022-01-09,7.38,-0.01,-0.13532
2022-01-06,7.39,-0.01,-0.13514
2022-01-05,7.4,0.0,0.0
2022-01-04,7.4,-0.02,-0.26954
2022-01-03,7.42,0.01,0.13495
2022-01-02,7.41,-0.02,-0.26918
2021-12-29,7.43,0.0,0.0
2021-12-28,7.43,0.0,0.0
2021-12-27,7.43,-0.01,-0.13441
2021-12-26,7.44,0.0,0.0
