tradeDate,nav,change,changePercent
2022-08-30,6.98,-0.03,-0.42796
2022-08-29,7.01,0.0,0.0
2022-08-28,7.01,0.01,0.14286
2022-08-25,7.0,0.01,0.14306
2022-08-24,6.99,0.0,0.0
2022-08-23,6.99,0.03,0.43103
2022-08-22,6.96,0.05,0.72359
2022-08-21,6.91,-0.01,-0.14451
2022-08-18,6.92,-0.03,-0.43165
2022-08-17,6.95,0.01,0.14409
2022-08-16,6.94,-0.03,-0.43042
2022-08-15,6.97,-0.07,-0.99432
2022-08-14,7.04,0.0,0.0
2022-08-11,7.04,0.02,0.2849
2022-08-10,7.02,0.02,0.28571
2022-08-09,7.0,0.04,0.57471
2022-08-08,6.96,0.0,0.0
2022-08-07,6.96,0.05,0.72359
2022-08-04,6.91,-0.02,-0.2886
2022-08-03,6.93,0.04,0.58055
2022-08-02,6.89,0.02,0.29112
2022-08-01,6.87,-0.02,-0.29028
2022-07-31,6.89,0.05,0.73099
2022-07-28,6.84,0.05,0.73638
2022-07-27,6.79,0.07,1.04167
2022-07-26,6.72,0.01,0.14903
2022-07-25,6.71,-0.01,-0.14881
2022-07-24,6.72,0.01,0.14903
2022-07-21,6.71,0.03,0.4491
2022-07-20,6.68,0.03,0.45113
2022-07-19,6.65,0.04,0.60514
2022-07-18,6.61,0.01,0.15152
2022-07-17,6.6,0.03,0.45662
2022-07-14,6.57,-0.05,-0.75529
2022-07-13,6.62,,
2022-07-12,6.68,-0.04,-0.59524
2022-07-11,6.72,-0.03,-0.44444
2022-07-10,6.75,-0.01,-0.14793
2022-07-07,6.76,-0.01,-0.14771
2022-07-06,6.77,0.0,0.0
2022-07-05,6.77,-0.02,-0.29455
2022-07-04,6.79,-0.02,-0.29369
2022-06-30,6.81,0.03,0.44248
2022-06-29,6.78,-0.02,-0.29412
2022-06-28,6.8,-0.01,-0.14684
2022-06-27,6.81,-0.03,-0.4386
2022-06-26,6.84,-0.04,-0.5814
2022-06-23,6.88,-0.01,-0.14514
2022-06-22,6.89,-0.01,-0.14493
2022-06-21,6.9,,
2022-06-20,6.9,0.0,0.0
2022-06-16,6.9,-0.02,-0.28902
2022-06-15,6.92,-0.02,-0.28818
2022-06-14,6.94,-0.02,-0.28736
2022-06-13,6.96,-0.03,-0.42918
2022-06-12,6.99,-0.07,-0.9915
2022-06-09,7.06,-0.03,-0.42313
2022-06-08,7.09,-0.02,-0.28129
2022-06-07,7.11,-0.01,-0.14045
2022-06-06,7.12,0.02,0.28169
2022-06-05,7.1,-0.01,-0.14065
2022-06-01,7.11,0.03,0.42373
2022-05-31,7.08,0.04,0.56818
2022-05-30,7.04,-0.07,-0.98453
2022-05-26,7.11,-0.01,-0.14045
2022-05-25,7.12,0.03,0.42313
2022-05-24,7.09,0.02,0.28289
2022-05-23,7.07,0.01,0.14164
2022-05-22,7.06,0.01,0.14184
2022-05-19,7.05,-0.01,-0.14164
2022-05-18,7.06,-0.02,-0.28249
2022-05-17,7.08,-0.01,-0.14104
2022-05-16,7.09,-0.09,-1.25348
2022-05-15,7.18,-0.01,-0.13908
2022-05-12,7.19,0.0,0.0
2022-05-11,7.19,-0.01,-0.13889
2022-05-10,7.2,0.01,0.13908
2022-05-09,7.19,-0.02,-0.27739
2022-05-08,7.21,-0.02,-0.27663
2022-05-05,7.23,0.0,0.0
2022-05-04,7.23,-0.03,-0.41322
2022-05-03,7.26,0.03,0.41494
2022-05-02,7.23,-0.03,-0.41322
2022-04-28,7.26,-0.04,-0.54795
2022-04-27,7.3,0.03,0.41265
2022-04-26,7.27,-0.01,-0.13736
2022-04-25,7.28,-0.01,-0.13717
2022-04-24,7.29,0.0,0.0
