tradeDate,nav,change,changePercent
2022-08-30,9.4051,0.0047,0.05
2022-08-29,9.4004,-0.0024,-0.02552
2022-08-28,9.4028,-0.0197,-0.20907
2022-08-25,9.4225,0.012,0.12752
2022-08-24,9.4105,0.0317,0.338
2022-08-23,9.3788,0.025,0.26727
2022-08-22,9.3538,0.0081,0.08667
2022-08-21,9.3457,0.0164,0.17579
2022-08-18,9.3293,0.0087,0.09334
2022-08-17,9.3206,-0.0002,-0.00215
2022-08-16,9.3208,-0.0106,-0.11359
2022-08-15,9.3314,0.0293,0.31498
2022-08-14,9.3021,0.0035,0.03764
2022-08-11,9.2986,-0.0096,-0.10313
2022-08-10,9.3082,0.0034,0.03654
2022-08-09,9.3048,-0.0062,-0.06659
2022-08-08,9.311,-0.0029,-0.03114
2022-08-07,9.3139,-0.0146,-0.15651
2022-08-04,9.3285,0.0013,0.01394
2022-08-03,9.3272,-0.0127,-0.13598
2022-08-02,9.3399,-0.016,-0.17102
2022-08-01,9.3559,-0.0023,-0.02458
2022-07-31,9.3582,0.0086,0.09198
2022-07-28,9.3496,0.028,0.30038
2022-07-27,9.3216,0.008,0.0859
2022-07-26,9.3136,0.0041,0.04404
2022-07-25,9.3095,0.0139,0.14953
2022-07-24,9.2956,0.0163,0.17566
2022-07-21,9.2793,0.0224,0.24198
2022-07-20,9.2569,0.0035,0.03782
2022-07-19,9.2534,-0.0001,-0.00108
2022-07-18,9.2535,-0.0119,-0.12843
2022-07-17,9.2654,-0.0009,-0.00971
2022-07-14,9.2663,0.0082,0.08857
2022-07-13,9.2581,-0.0128,-0.13807
2022-07-12,9.2709,-0.0308,-0.33112
2022-07-11,9.3017,-0.0339,-0.36313
2022-07-10,9.3356,-0.0064,-0.06851
2022-07-07,9.342,-0.0157,-0.16778
2022-07-06,9.3577,-0.0282,-0.30045
2022-07-05,9.3859,-0.0058,-0.06176
2022-07-04,9.3917,-0.0129,-0.13717
2022-07-03,9.4046,0.0021,0.02233
2022-06-30,9.4025,0.002,0.02128
2022-06-29,9.4005,0.0043,0.04576
2022-06-28,9.3962,-0.0095,-0.101
2022-06-27,9.4057,-0.0096,-0.10196
2022-06-26,9.4153,0.0038,0.04038
2022-06-23,9.4115,0.009,0.09572
2022-06-22,9.4025,0.0384,0.41008
2022-06-21,9.3641,,
2022-06-20,9.3964,-0.0225,-0.23888
2022-06-19,9.4189,0.003,0.03186
2022-06-16,9.4159,-0.0313,-0.33132
2022-06-15,9.4472,0.0054,0.05719
2022-06-14,9.4418,-0.0087,-0.09206
2022-06-13,9.4505,-0.0189,-0.19959
2022-06-12,9.4694,-0.038,-0.39969
2022-06-09,9.5074,-0.0118,-0.12396
2022-06-08,9.5192,0.0022,0.02312
2022-06-07,9.517,0.0005,0.00525
2022-06-06,9.5165,-0.0012,-0.01261
2022-06-05,9.5177,0.0016,0.01681
2022-06-01,9.5161,0.0083,0.0873
2022-05-31,9.5078,-0.0081,-0.08512
2022-05-30,9.5159,-0.002,-0.02101
2022-05-29,9.5179,0.0046,0.04835
2022-05-26,9.5133,-0.0113,-0.11864
2022-05-25,9.5246,0.0034,0.03571
2022-05-24,9.5212,0.0047,0.04939
2022-05-23,9.5165,0.0036,0.03784
2022-05-22,9.5129,0.0124,0.13052
2022-05-19,9.5005,0.0099,0.10431
2022-05-18,9.4906,0.0002,0.00211
2022-05-17,9.4904,-0.0029,-0.03055
2022-05-16,9.4933,-0.0001,-0.00105
2022-05-15,9.4934,0.0047,0.04953
2022-05-12,9.4887,-0.0121,-0.12736
2022-05-11,9.5008,-0.0165,-0.17337
2022-05-10,9.5173,-0.0017,-0.01786
2022-05-09,9.519,0.0001,0.00105
2022-05-08,9.5189,-0.0037,-0.03885
2022-05-05,9.5226,-0.0133,-0.13947
2022-05-04,9.5359,0.0109,0.11444
2022-05-03,9.525,0.0001,0.00105
2022-05-02,9.5249,-0.0135,-0.14153
2022-04-28,9.5384,0.0071,0.07449
2022-04-27,9.5313,-0.0023,-0.02413
2022-04-26,9.5336,-0.002,-0.02097
2022-04-25,9.5356,0.0059,0.06191
2022-04-24,9.5297,-0.0089,-0.09331
2022-04-21,9.5386,-0.0151,-0.15805
2022-04-20,9.5537,-0.0077,-0.08053
2022-04-19,9.5614,-0.0115,-0.12013
2022-04-18,9.5729,0.0023,0.02403
2022-04-17,9.5706,-0.0099,-0.10333
2022-04-14,9.5805,0.0,0.0
2022-04-13,9.5805,0.0137,0.1432
2022-04-12,9.5668,0.0131,0.13712
2022-04-11,9.5537,0.0332,0.34872
2022-04-10,9.5205,-0.064,-0.66774
2022-04-07,9.5845,-0.0065,-0.06777
2022-04-06,9.591,0.0189,0.19745
2022-04-05,9.5721,0.0283,0.29653
2022-03-31,9.5438,-0.0032,-0.03352
2022-03-30,9.547,0.0212,0.22255
2022-03-29,9.5258,0.0541,0.57118
2022-03-28,9.4717,-0.0015,-0.01583
2022-03-27,9.4732,-0.0134,-0.14125
2022-03-24,9.4866,-0.0012,-0.01265
2022-03-23,9.4878,0.0094,0.09917
2022-03-22,9.4784,0.0163,0.17227
2022-03-21,9.4621,-0.0015,-0.01585
2022-03-20,9.4636,0.0208,0.22027
2022-03-17,9.4428,0.0194,0.20587
2022-03-16,9.4234,0.0196,0.20843
2022-03-15,9.4038,-0.0304,-0.32223
2022-03-14,9.4342,-0.031,-0.32752
2022-03-13,9.4652,-0.0308,-0.32435
2022-03-10,9.496,-0.0068,-0.07156
2022-03-09,9.5028,0.003,0.03158
2022-03-08,9.4998,-0.0343,-0.35976
2022-03-07,9.5341,-0.0318,-0.33243
2022-03-06,9.5659,-0.0235,-0.24506
2022-03-03,9.5894,-0.007,-0.07294
2022-03-02,9.5964,-0.0209,-0.21732
2022-03-01,9.6173,-0.0036,-0.03742
2022-02-28,9.6209,0.0014,0.01455
2022-02-24,9.6195,-0.003,-0.03118
2022-02-23,9.6225,-0.007,-0.07269
2022-02-22,9.6295,-0.012,-0.12446
2022-02-21,9.6415,0.0046,0.04773
2022-02-20,9.6369,-0.0021,-0.02179
2022-02-17,9.639,0.0075,0.07787
2022-02-16,9.6315,0.0035,0.03635
2022-02-15,9.628,-0.0018,-0.01869
2022-02-14,9.6298,-0.0078,-0.08093
2022-02-13,9.6376,-0.0062,-0.06429
2022-02-10,9.6438,-0.0295,-0.30496
2022-02-09,9.6733,0.0049,0.05068
2022-02-08,9.6684,0.0036,0.03725
2022-02-07,9.6648,-0.0071,-0.07341
2022-02-06,9.6719,-0.0119,-0.12289
2022-01-27,9.6838,-0.0098,-0.1011
2022-01-26,9.6936,-0.005,-0.05155
2022-01-25,9.6986,0.0023,0.02372
2022-01-24,9.6963,0.0081,0.08361
2022-01-23,9.6882,0.0172,0.17785
2022-01-20,9.671,0.0132,0.13668
2022-01-19,9.6578,0.0232,0.2408
2022-01-18,9.6346,-0.0154,-0.15959
2022-01-17,9.65,-0.0412,-0.42513
2022-01-16,9.6912,-0.0008,-0.00825
2022-01-13,9.692,-0.0097,-0.09998
2022-01-12,9.7017,-0.0156,-0.16054
2022-01-11,9.7173,-0.0162,-0.16644
2022-01-10,9.7335,-0.0111,-0.11391
2022-01-09,9.7446,-0.0044,-0.04513
2022-01-06,9.749,-0.0112,-0.11475
2022-01-05,9.7602,-0.014,-0.14323
2022-01-04,9.7742,-0.0034,-0.03477
2022-01-03,9.7776,-0.0087,-0.0889
2022-01-02,9.7863,0.0088,0.09
2021-12-29,9.7775,-0.0028,-0.02863
2021-12-28,9.7803,-0.0002,-0.00204
2021-12-27,9.7805,0.0014,0.01432
2021-12-26,9.7791,0.0017,0.01739
2021-12-23,9.7774,0.0051,0.05219
2021-12-22,9.7723,0.0039,0.03992
2021-12-21,9.7684,-0.003,-0.0307
2021-12-20,9.7714,-0.0046,-0.04705
2021-12-19,9.776,0.0049,0.05015
2021-12-16,9.7711,-0.0021,-0.02149
2021-12-15,9.7732,0.0018,0.01842
2021-12-14,9.7714,-0.0041,-0.04194
2021-12-13,9.7755,0.0015,0.01535
2021-12-12,9.774,0.0074,0.07577
