tradeDate,nav,change,changePercent
2022-08-30,10.1522,-0.0037,-0.03643
2022-08-29,10.1559,0.0082,0.08081
2022-08-28,10.1477,-0.0394,-0.38676
2022-08-25,10.1871,0.0048,0.04714
2022-08-24,10.1823,0.0122,0.11996
2022-08-23,10.1701,0.0066,0.06494
2022-08-22,10.1635,0.0114,0.11229
2022-08-21,10.1521,0.0028,0.02759
2022-08-18,10.1493,-0.0073,-0.07187
2022-08-17,10.1566,0.007,0.06897
2022-08-16,10.1496,-0.0077,-0.07581
2022-08-15,10.1573,0.0331,0.32694
2022-08-14,10.1242,0.0106,0.10481
2022-08-11,10.1136,0.0076,0.0752
2022-08-10,10.106,0.0181,0.17942
2022-08-09,10.0879,0.0096,0.09525
2022-08-08,10.0783,-0.0011,-0.01091
2022-08-07,10.0794,0.009,0.08937
2022-08-04,10.0704,0.0076,0.07553
2022-08-03,10.0628,0.0093,0.09251
2022-08-02,10.0535,-0.0047,-0.04673
2022-08-01,10.0582,-0.0049,-0.04869
2022-07-31,10.0631,0.0115,0.11441
2022-07-28,10.0516,0.0149,0.14846
2022-07-27,10.0367,0.0198,0.19767
2022-07-26,10.0169,0.0041,0.04095
2022-07-25,10.0128,-0.0019,-0.01897
2022-07-24,10.0147,0.0114,0.11396
2022-07-21,10.0033,0.0141,0.14115
2022-07-20,9.9892,0.007,0.07012
2022-07-19,9.9822,0.0095,0.09526
2022-07-18,9.9727,-0.0111,-0.11118
2022-07-17,9.9838,0.0042,0.04209
2022-07-14,9.9796,-0.0008,-0.00802
2022-07-13,9.9804,-0.0142,-0.14208
2022-07-12,9.9946,-0.0046,-0.046
2022-07-11,9.9992,-0.038,-0.37859
2022-07-10,10.0372,-0.0019,-0.01893
2022-07-07,10.0391,-0.0026,-0.02589
2022-07-06,10.0417,-0.0307,-0.30479
2022-07-05,10.0724,-0.0037,-0.03672
2022-07-04,10.0761,-0.0138,-0.13677
2022-07-03,10.0899,0.0019,0.01883
2022-06-30,10.088,0.0089,0.0883
2022-06-29,10.0791,-0.0127,-0.12584
2022-06-28,10.0918,-0.0168,-0.1662
2022-06-27,10.1086,-0.0176,-0.17381
2022-06-26,10.1262,0.0028,0.02766
2022-06-23,10.1234,0.0032,0.03162
2022-06-22,10.1202,0.0069,0.06823
2022-06-21,10.1133,,
2022-06-20,10.1113,-0.003,-0.02966
2022-06-19,10.1143,0.0027,0.0267
2022-06-16,10.1116,0.0049,0.04848
2022-06-15,10.1067,-0.0097,-0.09588
2022-06-14,10.1164,0.026,0.25767
2022-06-13,10.0904,-0.0234,-0.23137
2022-06-12,10.1138,-0.0925,-0.9063
2022-06-09,10.2063,-0.0379,-0.36997
2022-06-08,10.2442,-0.0148,-0.14426
2022-06-07,10.259,-0.0089,-0.08668
2022-06-06,10.2679,0.0016,0.01558
2022-06-05,10.2663,0.0054,0.05263
2022-06-01,10.2609,-0.0042,-0.04092
2022-05-31,10.2651,0.0193,0.18837
2022-05-30,10.2458,-0.028,-0.27254
2022-05-29,10.2738,0.0066,0.06428
2022-05-26,10.2672,0.0086,0.08383
2022-05-25,10.2586,0.0084,0.08195
2022-05-24,10.2502,0.0124,0.12112
2022-05-23,10.2378,0.0073,0.07136
2022-05-22,10.2305,0.0099,0.09686
2022-05-19,10.2206,0.0161,0.15777
2022-05-18,10.2045,-0.0204,-0.19951
2022-05-17,10.2249,-0.0113,-0.11039
2022-05-16,10.2362,0.0027,0.02638
2022-05-15,10.2335,0.0005,0.00489
2022-05-12,10.233,0.0108,0.10565
2022-05-11,10.2222,-0.0067,-0.0655
2022-05-10,10.2289,-0.0001,-0.00098
2022-05-09,10.229,-0.0056,-0.05472
2022-05-08,10.2346,0.0148,0.14482
2022-05-05,10.2198,-0.0111,-0.10849
2022-05-04,10.2309,0.0052,0.05085
2022-05-03,10.2257,0.0148,0.14494
2022-05-02,10.2109,-0.0112,-0.10957
2022-04-28,10.2221,-0.0099,-0.09676
2022-04-27,10.232,-0.0065,-0.06349
2022-04-26,10.2385,0.0002,0.00195
2022-04-25,10.2383,0.0058,0.05668
2022-04-24,10.2325,-0.0202,-0.19702
2022-04-21,10.2527,-0.0169,-0.16456
2022-04-20,10.2696,-0.0037,-0.03602
2022-04-19,10.2733,0.0,0.0
2022-04-18,10.2733,-0.0106,-0.10307
2022-04-17,10.2839,0.0004,0.00389
2022-04-14,10.2835,0.0,0.0
2022-04-13,10.2835,-0.0042,-0.04083
2022-04-12,10.2877,0.0,0.0
2022-04-11,10.2877,-0.0093,-0.09032
2022-04-10,10.297,-0.01,-0.09702
2022-04-07,10.307,-0.0041,-0.03976
2022-04-06,10.3111,0.005,0.04851
2022-04-05,10.3061,0.0499,0.48653
2022-03-31,10.2562,0.0166,0.16212
2022-03-30,10.2396,0.0122,0.11929
2022-03-29,10.2274,0.0213,0.2087
2022-03-28,10.2061,0.0928,0.9176
2022-03-27,10.1133,0.0147,0.14556
2022-03-24,10.0986,0.0101,0.10011
2022-03-23,10.0885,-0.06,-0.59122
2022-03-22,10.1485,0.1568,1.5693
2022-03-21,9.9917,-0.0335,-0.33416
2022-03-20,10.0252,0.0081,0.08086
2022-03-17,10.0171,0.0333,0.33354
2022-03-16,9.9838,0.033,0.33163
2022-03-15,9.9508,0.0273,0.2751
2022-03-14,9.9235,-0.0144,-0.1449
2022-03-13,9.9379,-0.0139,-0.13967
2022-03-10,9.9518,-0.0068,-0.06828
2022-03-09,9.9586,0.0219,0.2204
2022-03-08,9.9367,0.0129,0.12999
2022-03-07,9.9238,-0.0124,-0.1248
2022-03-06,9.9362,-0.0903,-0.90061
2022-03-03,10.0265,-0.0405,-0.4023
2022-03-02,10.067,-0.0233,-0.23091
2022-03-01,10.0903,-0.0369,-0.36437
2022-02-28,10.1272,-0.5108,-4.80165
2022-02-24,10.638,-0.3054,-2.79072
2022-02-23,10.9434,-0.0948,-0.85884
2022-02-22,11.0382,-0.0274,-0.24761
2022-02-21,11.0656,-0.0564,-0.5071
2022-02-20,11.122,0.001,0.00899
2022-02-17,11.121,-0.0042,-0.03775
2022-02-16,11.1252,-0.0051,-0.04582
2022-02-15,11.1303,0.0066,0.05933
2022-02-14,11.1237,0.0077,0.06927
2022-02-13,11.116,-0.0171,-0.1536
2022-02-10,11.1331,-0.0147,-0.13186
2022-02-09,11.1478,-0.0054,-0.04842
2022-02-08,11.1532,0.0046,0.04126
2022-02-07,11.1486,-0.0035,-0.03138
2022-02-06,11.1521,0.0097,0.08705
2022-01-25,11.1424,0.0047,0.0422
2022-01-24,11.1377,-0.0017,-0.01526
2022-01-23,11.1394,-0.0182,-0.16312
2022-01-20,11.1576,0.0053,0.04752
2022-01-19,11.1523,0.0104,0.09334
2022-01-18,11.1419,0.0267,0.24021
2022-01-17,11.1152,-0.026,-0.23337
