tradeDate,nav,change,changePercent
2022-08-30,8.2786,-0.023,-0.27706
2022-08-29,8.3016,-0.032,-0.38399
2022-08-28,8.3336,-0.0641,-0.7633
2022-08-25,8.3977,-0.0593,-0.70119
2022-08-24,8.457,0.0363,0.43108
2022-08-23,8.4207,-0.0064,-0.07595
2022-08-22,8.4271,-0.0203,-0.24031
2022-08-21,8.4474,-0.0817,-0.9579
2022-08-18,8.5291,-0.0571,-0.66502
2022-08-17,8.5862,0.0088,0.1026
2022-08-16,8.5774,-0.0332,-0.38557
2022-08-15,8.6106,0.0114,0.13257
2022-08-14,8.5992,0.0367,0.42861
2022-08-11,8.5625,0.0361,0.42339
2022-08-10,8.5264,0.0025,0.02933
2022-08-09,8.5239,0.0836,0.99049
2022-08-08,8.4403,-0.0421,-0.49632
2022-08-07,8.4824,0.0237,0.28018
2022-08-04,8.4587,-0.0211,-0.24883
2022-08-03,8.4798,0.0124,0.14644
2022-08-02,8.4674,0.0397,0.47107
2022-08-01,8.4277,-0.0138,-0.16348
2022-07-31,8.4415,0.0084,0.09961
2022-07-28,8.4331,0.0487,0.58084
2022-07-27,8.3844,0.0338,0.40476
2022-07-26,8.3506,0.0532,0.64116
2022-07-25,8.2974,-0.0218,-0.26204
2022-07-24,8.3192,-0.0046,-0.05526
2022-07-21,8.3238,0.0066,0.07935
2022-07-20,8.3172,0.027,0.32569
2022-07-19,8.2902,0.0109,0.13165
2022-07-18,8.2793,0.0363,0.44037
2022-07-17,8.243,-0.0116,-0.14053
2022-07-14,8.2546,0.033,0.40138
2022-07-13,8.2216,-0.0122,-0.14817
2022-07-12,8.2338,-0.0226,-0.27373
2022-07-11,8.2564,-0.0072,-0.08713
2022-07-10,8.2636,-0.0227,-0.27395
2022-07-07,8.2863,-0.0117,-0.141
2022-07-06,8.298,0.0189,0.22829
2022-07-05,8.2791,0.0101,0.12214
2022-07-04,8.269,-0.0173,-0.20878
2022-06-30,8.2863,0.0364,0.44122
2022-06-29,8.2499,-0.0333,-0.40202
2022-06-28,8.2832,-0.0257,-0.30931
2022-06-27,8.3089,-0.0301,-0.36095
2022-06-26,8.339,0.0134,0.16095
2022-06-23,8.3256,0.0783,0.9494
2022-06-22,8.2473,0.028,0.34066
2022-06-21,8.2193,,
2022-06-20,8.2321,0.0493,0.60248
2022-06-16,8.1828,-0.0018,-0.02199
2022-06-15,8.1846,-0.0807,-0.97637
2022-06-14,8.2653,0.0275,0.33383
2022-06-13,8.2378,-0.0403,-0.48683
2022-06-12,8.2781,-0.169,-2.00069
2022-06-09,8.4471,-0.115,-1.34313
2022-06-08,8.5621,-0.0732,-0.84768
2022-06-07,8.6353,-0.0225,-0.25988
2022-06-06,8.6578,0.011,0.12721
2022-06-05,8.6468,-0.0289,-0.33311
2022-06-01,8.6757,0.0235,0.27161
2022-05-31,8.6522,-0.0181,-0.20876
2022-05-30,8.6703,-0.0072,-0.08297
2022-05-26,8.6775,0.1155,1.34898
2022-05-25,8.562,0.0561,0.65954
2022-05-24,8.5059,0.0387,0.45706
2022-05-23,8.4672,-0.0233,-0.27442
2022-05-22,8.4905,0.0347,0.41037
2022-05-19,8.4558,0.0192,0.22758
2022-05-18,8.4366,-0.0649,-0.76339
2022-05-17,8.5015,-0.1137,-1.31976
2022-05-16,8.6152,0.0765,0.89592
2022-05-15,8.5387,-0.0109,-0.12749
2022-05-12,8.5496,0.101,1.19546
2022-05-11,8.4486,-0.0455,-0.53567
2022-05-10,8.4941,-0.0533,-0.62358
2022-05-09,8.5474,-0.0396,-0.46116
2022-05-08,8.587,-0.1293,-1.48343
2022-05-05,8.7163,-0.116,-1.31336
2022-05-04,8.8323,-0.0985,-1.10292
2022-05-03,8.9308,0.0864,0.97689
2022-05-02,8.8444,-0.0253,-0.28524
2022-04-28,8.8697,-0.0956,-1.06633
2022-04-27,8.9653,0.0683,0.76767
2022-04-26,8.897,-0.017,-0.19071
2022-04-25,8.914,-0.0827,-0.91923
2022-04-24,8.9967,-0.0488,-0.53949
2022-04-21,9.0455,-0.1535,-1.66866
2022-04-20,9.199,-0.0454,-0.49111
2022-04-19,9.2444,0.0017,0.01839
2022-04-18,9.2427,0.0356,0.38666
2022-04-17,9.2071,-0.04,-0.43257
2022-04-13,9.2471,-0.0274,-0.29543
2022-04-12,9.2745,0.0571,0.61948
2022-04-11,9.2174,-0.0264,-0.2856
2022-04-10,9.2438,-0.1054,-1.12737
2022-04-07,9.3492,-0.0323,-0.34429
2022-04-06,9.3815,-0.0215,-0.22865
2022-04-05,9.403,-0.1278,-1.34092
2022-03-31,9.5308,-0.011,-0.11528
2022-03-30,9.5418,-0.0586,-0.61039
2022-03-29,9.6004,-0.0094,-0.09782
2022-03-28,9.6098,0.0971,1.02074
2022-03-27,9.5127,0.0108,0.11366
2022-03-24,9.5019,0.0143,0.15072
2022-03-23,9.4876,0.0421,0.44571
2022-03-22,9.4455,-0.0526,-0.55379
2022-03-21,9.4981,0.0624,0.66132
2022-03-20,9.4357,-0.0017,-0.01801
2022-03-17,9.4374,0.0778,0.83123
2022-03-16,9.3596,0.1104,1.19362
2022-03-15,9.2492,0.1546,1.69991
2022-03-14,9.0946,0.0061,0.06712
2022-03-13,9.0885,-0.0726,-0.79248
2022-03-10,9.1611,-0.08,-0.8657
2022-03-09,9.2411,0.0181,0.19625
2022-03-08,9.223,0.1469,1.61854
2022-03-07,9.0761,-0.0888,-0.96891
2022-03-06,9.1649,-0.2264,-2.41074
2022-03-03,9.3913,-0.1179,-1.23985
2022-03-02,9.5092,-0.0326,-0.34165
2022-03-01,9.5418,0.0497,0.52359
2022-02-28,9.4921,-0.0405,-0.42486
2022-02-24,9.5326,0.1554,1.65721
2022-02-23,9.3772,-0.0292,-0.31043
2022-02-22,9.4064,-0.0621,-0.65586
2022-02-21,9.4685,-0.1045,-1.09161
2022-02-17,9.573,-0.0298,-0.31033
2022-02-16,9.6028,-0.1015,-1.04593
2022-02-15,9.7043,0.0151,0.15584
