tradeDate,nav,change,changePercent
2022-08-30,8.1865,-0.0106,-0.12931
2022-08-29,8.1971,0.0055,0.06714
2022-08-28,8.1916,-0.0288,-0.35035
2022-08-25,8.2204,0.016,0.19502
2022-08-24,8.2044,0.0225,0.275
2022-08-23,8.1819,0.0057,0.06971
2022-08-22,8.1762,0.0077,0.09426
2022-08-21,8.1685,-0.0149,-0.18208
2022-08-18,8.1834,-0.004,-0.04886
2022-08-17,8.1874,0.0081,0.09903
2022-08-16,8.1793,-0.0104,-0.12699
2022-08-15,8.1897,0.0194,0.23745
2022-08-14,8.1703,0.0356,0.43763
2022-08-11,8.1347,0.0471,0.58237
2022-08-10,8.0876,0.0221,0.27401
2022-08-09,8.0655,-0.0243,-0.30038
2022-08-08,8.0898,-0.0616,-0.7557
2022-08-07,8.1514,0.0298,0.36692
2022-08-04,8.1216,-0.0197,-0.24198
2022-08-03,8.1413,0.0031,0.03809
2022-08-02,8.1382,0.0055,0.06763
2022-08-01,8.1327,-0.0206,-0.25266
2022-07-31,8.1533,0.0073,0.08961
2022-07-28,8.146,0.0165,0.20296
2022-07-27,8.1295,0.0284,0.35057
2022-07-26,8.1011,0.0142,0.17559
2022-07-25,8.0869,0.0075,0.09283
2022-07-24,8.0794,0.015,0.186
2022-07-21,8.0644,0.013,0.16146
2022-07-20,8.0514,0.0209,0.26026
2022-07-19,8.0305,0.0044,0.05482
2022-07-18,8.0261,-0.0328,-0.407
2022-07-17,8.0589,-0.0158,-0.19567
2022-07-14,8.0747,-0.0064,-0.0792
2022-07-13,8.0811,-0.0207,-0.2555
2022-07-12,8.1018,-0.0054,-0.06661
2022-07-11,8.1072,-0.0388,-0.47631
2022-07-10,8.146,-0.0156,-0.19114
2022-07-07,8.1616,-0.0137,-0.16758
2022-07-06,8.1753,-0.0035,-0.04279
2022-07-05,8.1788,-0.0244,-0.29744
2022-07-04,8.2032,-0.0107,-0.13027
2022-06-30,8.2139,-0.0171,-0.20775
2022-06-29,8.231,-0.0094,-0.11407
2022-06-28,8.2404,-0.0106,-0.12847
2022-06-27,8.251,-0.0122,-0.14764
