tradeDate,nav,change,changePercent
2022-08-31,7.7749,-0.0517,-0.66057
2022-08-30,7.8266,-0.002,-0.02555
2022-08-29,7.8286,0.0087,0.11125
2022-08-28,7.8199,-0.0622,-0.78913
2022-08-25,7.8821,0.0166,0.21105
2022-08-24,7.8655,0.062,0.79452
2022-08-23,7.8035,0.001,0.01282
2022-08-22,7.8025,-0.0126,-0.16123
2022-08-21,7.8151,-0.0205,-0.26163
2022-08-18,7.8356,-0.0233,-0.29648
2022-08-17,7.8589,-0.0105,-0.13343
2022-08-16,7.8694,-0.0199,-0.25224
2022-08-15,7.8893,0.0433,0.55187
2022-08-14,7.846,0.024,0.30683
2022-08-11,7.822,0.0098,0.12544
2022-08-10,7.8122,0.0544,0.70123
2022-08-09,7.7578,-0.0149,-0.1917
2022-08-07,7.7727,-0.0326,-0.41766
2022-08-04,7.8053,-0.0026,-0.0333
2022-08-03,7.8079,0.0092,0.11797
2022-08-02,7.7987,-0.0114,-0.14596
2022-08-01,7.8101,-0.0203,-0.25925
2022-07-31,7.8304,0.0111,0.14196
2022-07-28,7.8193,0.0079,0.10113
2022-07-27,7.8114,0.0198,0.25412
2022-07-26,7.7916,-0.0025,-0.03208
2022-07-25,7.7941,0.0287,0.36959
2022-07-24,7.7654,0.0089,0.11474
2022-07-21,7.7565,0.0366,0.4741
2022-07-20,7.7199,0.0184,0.23891
2022-07-19,7.7015,0.0201,0.26167
2022-07-18,7.6814,-0.0401,-0.51933
2022-07-17,7.7215,0.0308,0.40048
2022-07-14,7.6907,-0.0174,-0.22574
2022-07-13,7.7081,,
2022-07-12,7.7055,,
2022-07-11,7.7022,-0.1096,-1.40301
2022-07-07,7.8118,-0.0233,-0.29738
2022-07-06,7.8351,0.019,0.24309
2022-07-05,7.8161,-0.0276,-0.35187
2022-07-04,7.8437,0.0043,0.05485
2022-07-03,7.8394,-0.0234,-0.2976
2022-06-29,7.8628,-0.0266,-0.33716
2022-06-28,7.8894,-0.0501,-0.63102
2022-06-27,7.9395,-0.0201,-0.25253
2022-06-26,7.9596,0.032,0.40365
