tradeDate,nav,change,changePercent
2022-08-31,7.63,0.09,1.19363
2022-08-30,7.54,-0.03,-0.3963
2022-08-29,7.57,-0.02,-0.2635
2022-08-28,7.59,0.0,0.0
2022-08-25,7.59,-0.15,-1.93798
2022-08-24,7.74,0.04,0.51948
2022-08-23,7.7,0.0,0.0
2022-08-22,7.7,-0.03,-0.3881
2022-08-21,7.73,-0.08,-1.02433
2022-08-18,7.81,-0.02,-0.25543
2022-08-17,7.83,0.0,0.0
2022-08-16,7.83,-0.07,-0.88608
2022-08-15,7.9,-0.02,-0.25253
2022-08-14,7.92,0.07,0.89172
2022-08-11,7.85,0.08,1.0296
2022-08-10,7.77,-0.08,-1.01911
2022-08-09,7.85,0.1,1.29032
2022-08-08,7.75,-0.04,-0.51348
2022-08-07,7.79,0.03,0.3866
2022-08-04,7.76,0.07,0.91027
2022-08-03,7.69,0.09,1.18421
2022-08-02,7.6,0.02,0.26385
2022-08-01,7.58,-0.04,-0.52493
2022-07-31,7.62,-0.06,-0.78125
2022-07-28,7.68,-0.03,-0.38911
2022-07-27,7.71,0.02,0.26008
2022-07-26,7.69,0.04,0.52288
2022-07-25,7.65,0.02,0.26212
2022-07-24,7.63,0.03,0.39474
2022-07-21,7.6,-0.06,-0.78329
2022-07-20,7.66,0.04,0.52493
2022-07-19,7.62,-0.07,-0.91027
2022-07-18,7.69,0.09,1.18421
2022-07-17,7.6,-0.13,-1.68176
2022-07-14,7.73,0.09,1.17801
2022-07-13,7.64,-0.03,-0.39113
2022-07-12,7.67,-0.05,-0.64767
2022-07-11,7.72,-0.07,-0.89859
2022-07-10,7.79,-0.03,-0.38363
2022-07-07,7.82,0.0,0.0
2022-07-06,7.82,0.02,0.25641
2022-07-05,7.8,-0.04,-0.5102
2022-07-04,7.84,0.08,1.03093
2022-06-30,7.76,0.06,0.77922
2022-06-29,7.7,0.0,0.0
2022-06-28,7.7,0.04,0.52219
2022-06-27,7.66,-0.12,-1.54242
2022-06-26,7.78,0.0,0.0
2022-06-23,7.78,0.12,1.56658
2022-06-22,7.66,0.14,1.8617
2022-06-21,7.52,0.07,0.9396
2022-06-20,7.45,0.09,1.22283
2022-06-16,7.36,0.13,1.79806
2022-06-15,7.23,-0.06,-0.82305
2022-06-14,7.29,0.07,0.96953
2022-06-13,7.22,-0.07,-0.96022
2022-06-12,7.29,-0.17,-2.27882
2022-06-09,7.46,-0.07,-0.92961
2022-06-08,7.53,-0.13,-1.69713
2022-06-07,7.66,0.0,0.0
2022-06-06,7.66,0.19,2.54351
2022-06-05,7.47,0.01,0.13405
2022-06-01,7.46,0.08,1.08401
2022-05-31,7.38,-0.06,-0.80645
2022-05-30,7.44,-0.16,-2.10526
2022-05-26,7.6,0.03,0.3963
2022-05-25,7.57,-0.01,-0.13193
2022-05-24,7.58,0.03,0.39735
2022-05-23,7.55,-0.08,-1.04849
2022-05-22,7.63,0.06,0.7926
2022-05-19,7.57,0.02,0.2649
2022-05-18,7.55,0.03,0.39894
2022-05-17,7.52,-0.17,-2.21066
2022-05-16,7.69,0.09,1.18421
2022-05-15,7.6,0.03,0.3963
2022-05-12,7.57,0.15,2.02156
2022-05-11,7.42,0.07,0.95238
2022-05-10,7.35,-0.07,-0.9434
2022-05-09,7.42,0.09,1.22783
2022-05-08,7.33,-0.25,-3.29815
2022-05-05,7.58,-0.11,-1.43043
2022-05-04,7.69,-0.24,-3.02648
2022-05-03,7.93,0.09,1.14796
2022-05-02,7.84,0.04,0.51282
2022-04-28,7.8,-0.16,-2.01005
2022-04-27,7.96,0.07,0.8872
2022-04-26,7.89,0.0,0.0
2022-04-25,7.89,-0.21,-2.59259
2022-04-24,8.1,0.05,0.62112
2022-04-21,8.05,-0.24,-2.89505
2022-04-20,8.29,-0.18,-2.12515
2022-04-19,8.47,0.01,0.1182
2022-04-18,8.46,0.07,0.83433
2022-04-17,8.39,-0.07,-0.82742
2022-04-13,8.46,-0.09,-1.05263
2022-04-12,8.55,0.08,0.94451
2022-04-11,8.47,-0.01,-0.11792
2022-04-10,8.48,-0.12,-1.39535
