tradeDate,nav,change,changePercent
2022-08-30,9.0012,-0.0233,-0.25819
2022-08-29,9.0245,-0.0154,-0.17036
2022-08-28,9.0399,-0.031,-0.34175
2022-08-25,9.0709,-0.0034,-0.03747
2022-08-24,9.0743,0.0391,0.43275
2022-08-23,9.0352,-0.0339,-0.3738
2022-08-22,9.0691,-0.0106,-0.11674
2022-08-21,9.0797,-0.0381,-0.41786
2022-08-18,9.1178,-0.0633,-0.68946
2022-08-17,9.1811,0.003,0.03269
2022-08-16,9.1781,-0.0499,-0.54075
2022-08-15,9.228,-0.0069,-0.07472
2022-08-14,9.2349,0.0336,0.36517
2022-08-11,9.2013,0.0037,0.04023
2022-08-10,9.1976,-0.0531,-0.57401
2022-08-09,9.2507,0.0084,0.09089
2022-08-08,9.2423,-0.011,-0.11888
2022-08-07,9.2533,0.0255,0.27634
2022-08-04,9.2278,-0.0613,-0.65991
2022-08-03,9.2891,0.0168,0.18118
2022-08-02,9.2723,-0.0162,-0.17441
2022-08-01,9.2885,-0.0162,-0.17411
2022-07-31,9.3047,0.0195,0.21001
2022-07-28,9.2852,0.0347,0.37511
2022-07-27,9.2505,0.0321,0.34822
2022-07-26,9.2184,0.0186,0.20218
2022-07-25,9.1998,0.008,0.08703
2022-07-24,9.1918,-0.0063,-0.06849
2022-07-21,9.1981,0.0762,0.83535
2022-07-20,9.1219,0.0477,0.52567
2022-07-19,9.0742,0.0128,0.14126
2022-07-18,9.0614,-0.0278,-0.30586
2022-07-17,9.0892,-0.0203,-0.22284
2022-07-14,9.1095,0.0206,0.22665
2022-07-13,9.0889,-0.0355,-0.38907
2022-07-12,9.1244,-0.004,-0.04382
2022-07-11,9.1284,0.0373,0.41029
2022-07-10,9.0911,0.0431,0.47635
2022-07-07,9.048,-0.0197,-0.21725
2022-07-06,9.0677,-0.0348,-0.38231
2022-07-05,9.1025,-0.0166,-0.18204
2022-07-04,9.1191,0.0476,0.52472
2022-07-03,9.0715,-0.0173,-0.19034
2022-06-30,9.0888,0.0416,0.45981
2022-06-29,9.0472,0.0325,0.36052
2022-06-28,9.0147,0.0426,0.47481
2022-06-27,8.9721,-0.0181,-0.20133
2022-06-26,8.9902,-0.0311,-0.34474
