tradeDate,nav,change,changePercent
2022-08-30,8.2487,-0.0232,-0.28047
2022-08-29,8.2719,0.001,0.01209
2022-08-28,8.2709,0.012,0.1453
2022-08-25,8.2589,0.0042,0.05088
2022-08-24,8.2547,-0.0003,-0.00363
2022-08-23,8.255,0.0143,0.17353
2022-08-22,8.2407,0.0122,0.14827
2022-08-21,8.2285,-0.0252,-0.30532
2022-08-18,8.2537,-0.0132,-0.15967
2022-08-17,8.2669,-0.0088,-0.10634
2022-08-16,8.2757,-0.0227,-0.27355
2022-08-15,8.2984,0.0064,0.07718
2022-08-14,8.292,0.0088,0.10624
2022-08-11,8.2832,0.0137,0.16567
2022-08-10,8.2695,0.0187,0.22664
2022-08-09,8.2508,0.0215,0.26126
2022-08-08,8.2293,0.0119,0.14481
2022-08-07,8.2174,0.0237,0.28925
2022-08-04,8.1937,-0.007,-0.08536
2022-08-03,8.2007,0.0153,0.18692
2022-08-02,8.1854,0.0015,0.01833
2022-08-01,8.1839,-0.0037,-0.04519
2022-07-31,8.1876,0.053,0.65154
2022-07-28,8.1346,0.0338,0.41724
2022-07-27,8.1008,0.0577,0.71739
2022-07-26,8.0431,0.0161,0.20057
2022-07-25,8.027,0.0157,0.19597
2022-07-24,8.0113,0.0189,0.23647
2022-07-21,7.9924,0.0302,0.37929
2022-07-20,7.9622,0.0218,0.27455
2022-07-19,7.9404,0.0054,0.06805
2022-07-18,7.935,-0.0095,-0.11958
2022-07-17,7.9445,-0.0224,-0.28116
2022-07-14,7.9669,0.0052,0.06531
2022-07-13,7.9617,,
2022-07-12,7.9806,-0.0371,-0.46273
2022-07-11,8.0177,-0.0078,-0.09719
2022-07-10,8.0255,-0.0049,-0.06102
2022-07-07,8.0304,-0.0059,-0.07342
2022-07-06,8.0363,-0.0136,-0.16895
2022-07-05,8.0499,-0.027,-0.33429
2022-07-04,8.0769,-0.0079,-0.09771
2022-07-03,8.0848,-0.0183,-0.22584
2022-06-30,8.1031,0.0121,0.14955
2022-06-29,8.091,-0.0155,-0.1912
2022-06-28,8.1065,-0.0144,-0.17732
2022-06-27,8.1209,-0.0062,-0.07629
2022-06-26,8.1271,-0.0172,-0.21119
2022-06-23,8.1443,-0.0201,-0.24619
2022-06-22,8.1644,-0.0118,-0.14432
2022-06-21,8.1762,,
2022-06-20,8.1745,-0.0206,-0.25137
2022-06-19,8.1951,-0.002,-0.0244
2022-06-16,8.1971,-0.0117,-0.14253
2022-06-15,8.2088,-0.0211,-0.25638
2022-06-14,8.2299,0.0082,0.09974
2022-06-13,8.2217,-0.0506,-0.61168
2022-06-12,8.2723,-0.0653,-0.7832
2022-06-09,8.3376,-0.0224,-0.26794
2022-06-08,8.36,-0.0113,-0.13499
2022-06-07,8.3713,-0.0034,-0.0406
2022-06-06,8.3747,0.0187,0.22379
2022-06-05,8.356,-0.0033,-0.03948
2022-06-01,8.3593,0.0171,0.20498
2022-05-31,8.3422,0.0263,0.31626
2022-05-30,8.3159,-0.0044,-0.05288
2022-05-29,8.3203,-0.0209,-0.25056
2022-05-26,8.3412,0.0031,0.03718
2022-05-25,8.3381,0.0127,0.15255
2022-05-24,8.3254,0.0215,0.25891
2022-05-23,8.3039,-0.0008,-0.00963
2022-05-22,8.3047,-0.0244,-0.29295
2022-05-19,8.3291,-0.0242,-0.28971
2022-05-18,8.3533,0.0005,0.00599
2022-05-17,8.3528,-0.0208,-0.2484
2022-05-16,8.3736,-0.0446,-0.5298
2022-05-15,8.4182,-0.0017,-0.02019
2022-05-12,8.4199,-0.0068,-0.0807
2022-05-11,8.4267,0.004,0.04749
2022-05-10,8.4227,-0.0044,-0.05221
2022-05-09,8.4271,-0.0177,-0.2096
2022-05-08,8.4448,-0.0136,-0.16079
2022-05-05,8.4584,-0.0086,-0.10157
2022-05-04,8.467,-0.0127,-0.14977
2022-05-03,8.4797,0.0024,0.02831
2022-05-02,8.4773,-0.0231,-0.27175
2022-04-28,8.5004,-0.035,-0.41006
