tradeDate,nav,change,changePercent
2022-08-30,9.0217,-0.0246,-0.27193
2022-08-29,9.0463,0.0111,0.12285
2022-08-28,9.0352,-0.0125,-0.13816
2022-08-25,9.0477,0.0101,0.11176
2022-08-24,9.0376,0.0167,0.18513
2022-08-23,9.0209,-0.0078,-0.08639
2022-08-22,9.0287,0.02,0.22201
2022-08-21,9.0087,-0.0324,-0.35836
2022-08-18,9.0411,-0.043,-0.47335
2022-08-17,9.0841,-0.0012,-0.01321
2022-08-16,9.0853,-0.0481,-0.52664
2022-08-15,9.1334,-0.0054,-0.05909
2022-08-14,9.1388,0.0235,0.25781
2022-08-11,9.1153,0.0075,0.08235
2022-08-10,9.1078,-0.0177,-0.19396
2022-08-09,9.1255,0.0101,0.1108
2022-08-08,9.1154,-0.0113,-0.12381
2022-08-07,9.1267,0.0268,0.29451
2022-08-04,9.0999,-0.0394,-0.43111
2022-08-03,9.1393,0.0244,0.26769
2022-08-02,9.1149,-0.0127,-0.13914
2022-08-01,9.1276,-0.0106,-0.116
2022-07-31,9.1382,0.0304,0.33378
2022-07-28,9.1078,0.0553,0.61088
2022-07-27,9.0525,0.0408,0.45274
2022-07-26,9.0117,0.0131,0.14558
2022-07-25,8.9986,0.017,0.18928
2022-07-24,8.9816,0.0015,0.0167
2022-07-21,8.9801,0.0799,0.89773
2022-07-20,8.9002,0.0284,0.32012
2022-07-19,8.8718,0.0178,0.20104
2022-07-18,8.854,-0.014,-0.15787
2022-07-17,8.868,-0.0091,-0.10251
2022-07-14,8.8771,0.0189,0.21336
2022-07-13,8.8582,-0.0338,-0.38012
2022-07-12,8.892,-0.0143,-0.16056
2022-07-11,8.9063,0.029,0.32668
2022-07-10,8.8773,0.0316,0.35724
2022-07-07,8.8457,-0.0136,-0.15351
2022-07-06,8.8593,-0.0384,-0.43157
2022-07-05,8.8977,-0.007,-0.07861
2022-07-04,8.9047,0.0221,0.2488
2022-07-03,8.8826,-0.0071,-0.07987
2022-06-30,8.8897,0.0392,0.44291
2022-06-29,8.8505,0.0318,0.3606
2022-06-28,8.8187,0.0243,0.27631
2022-06-27,8.7944,-0.0157,-0.1782
2022-06-26,8.8101,-0.0392,-0.44297
2022-06-23,8.8493,-0.0201,-0.22662
2022-06-22,8.8694,0.036,0.40754
2022-06-21,8.8334,0.0555,0.63227
2022-06-20,8.7779,-0.031,-0.35192
2022-06-19,8.8089,-0.0043,-0.04879
2022-06-16,8.8132,0.0171,0.1944
2022-06-15,8.7961,0.0,0.0
2022-06-14,8.7961,0.0264,0.30104
2022-06-13,8.7697,-0.0636,-0.72
2022-06-12,8.8333,-0.1051,-1.17583
2022-06-09,8.9384,-0.0424,-0.47212
2022-06-08,8.9808,-0.0219,-0.24326
2022-06-07,9.0027,-0.0204,-0.22609
2022-06-06,9.0231,0.0254,0.28229
2022-06-05,8.9977,-0.0377,-0.41725
2022-06-01,9.0354,0.0093,0.10303
2022-05-31,9.0261,0.0087,0.09648
2022-05-30,9.0174,-0.0427,-0.4713
2022-05-29,9.0601,-0.0269,-0.29603
2022-05-26,9.087,-0.0081,-0.08906
2022-05-25,9.0951,0.0117,0.12881
2022-05-24,9.0834,0.0219,0.24168
2022-05-23,9.0615,0.0301,0.33328
2022-05-22,9.0314,-0.0279,-0.30797
2022-05-19,9.0593,0.0017,0.01877
2022-05-18,9.0576,0.0088,0.09725
2022-05-17,9.0488,0.0009,0.00995
2022-05-16,9.0479,-0.044,-0.48395
2022-05-15,9.0919,0.003,0.03301
2022-05-12,9.0889,-0.0399,-0.43708
2022-05-11,9.1288,0.0458,0.50424
2022-05-10,9.083,0.027,0.29814
2022-05-09,9.056,0.0372,0.41247
2022-05-08,9.0188,-0.011,-0.12182
2022-05-05,9.0298,-0.0264,-0.29151
2022-05-04,9.0562,-0.0379,-0.41675
2022-05-03,9.0941,-0.0152,-0.16686
2022-05-02,9.1093,-0.0361,-0.39473
2022-04-28,9.1454,-0.0228,-0.24869
2022-04-27,9.1682,-0.0082,-0.08936
2022-04-26,9.1764,-0.0038,-0.04139
2022-04-25,9.1802,0.0008,0.00872
2022-04-24,9.1794,0.0347,0.37945
2022-04-21,9.1447,-0.0239,-0.26067
2022-04-20,9.1686,-0.0394,-0.42789
2022-04-19,9.208,0.0226,0.24604
2022-04-18,9.1854,-0.0232,-0.25194
2022-04-17,9.2086,-0.0091,-0.09872
2022-04-14,9.2177,0.0054,0.05862
2022-04-13,9.2123,-0.035,-0.37849
2022-04-12,9.2473,-0.0026,-0.02811
2022-04-11,9.2499,0.0112,0.12123
2022-04-10,9.2387,-0.0369,-0.39782
2022-04-07,9.2756,-0.0269,-0.28917
2022-04-06,9.3025,-0.0025,-0.02687
2022-04-05,9.305,-0.0746,-0.79534
2022-03-31,9.3796,0.0047,0.05013
2022-03-30,9.3749,0.0188,0.20094
2022-03-29,9.3561,0.0161,0.17238
2022-03-28,9.34,0.025,0.26838
2022-03-27,9.315,0.0022,0.02362
2022-03-24,9.3128,-0.0298,-0.31897
2022-03-23,9.3426,0.0103,0.11037
2022-03-22,9.3323,0.0243,0.26107
2022-03-21,9.308,-0.0291,-0.31166
2022-03-20,9.3371,-0.0191,-0.20414
2022-03-17,9.3562,0.0274,0.29371
2022-03-16,9.3288,0.0093,0.09979
