tradeDate,nav,change,changePercent
2022-08-30,9.749,-0.1083,-1.09868
2022-08-29,9.8573,-0.0614,-0.61903
2022-08-28,9.9187,-0.0479,-0.48061
2022-08-25,9.9666,-0.1777,-1.75172
2022-08-24,10.1443,0.0992,0.98755
2022-08-23,10.0451,0.0535,0.53545
2022-08-22,9.9916,-0.1089,-1.07816
2022-08-21,10.1005,-0.1409,-1.37579
2022-08-18,10.2414,-0.1044,-1.00911
2022-08-17,10.3458,-0.0564,-0.54219
2022-08-16,10.4022,-0.0705,-0.67318
2022-08-15,10.4727,0.0479,0.45948
2022-08-14,10.4248,0.0448,0.4316
2022-08-11,10.38,0.1219,1.18833
2022-08-10,10.2581,0.0061,0.0595
2022-08-09,10.252,0.1438,1.42261
2022-08-08,10.1082,0.0473,0.47014
2022-08-07,10.0609,0.0365,0.36411
2022-08-04,10.0244,0.0005,0.00499
2022-08-03,10.0239,0.0101,0.10086
2022-08-02,10.0138,-0.0104,-0.10375
2022-08-01,10.0242,-0.1072,-1.0581
2022-07-31,10.1314,-0.017,-0.16751
2022-07-28,10.1484,0.0785,0.77955
2022-07-27,10.0699,0.2191,2.22418
2022-07-26,9.8508,0.0599,0.61179
2022-07-25,9.7909,-0.0214,-0.21809
2022-07-24,9.8123,0.02,0.20424
2022-07-21,9.7923,0.0801,0.82474
2022-07-20,9.7122,0.0398,0.41148
2022-07-19,9.6724,0.0496,0.51544
2022-07-18,9.6228,0.2086,2.2158
2022-07-17,9.4142,-0.0118,-0.12519
2022-07-14,9.426,0.1439,1.5503
2022-07-13,9.2821,-0.0834,-0.8905
2022-07-12,9.3655,,
2022-07-11,9.4287,0.001,0.01061
2022-07-10,9.4277,-0.0167,-0.17682
2022-07-07,9.4444,-0.0334,-0.3524
2022-07-06,9.4778,0.0649,0.68948
2022-07-05,9.4129,-0.0068,-0.07219
2022-07-04,9.4197,-0.0641,-0.67589
2022-06-30,9.4838,0.1029,1.09691
2022-06-29,9.3809,-0.128,-1.34611
2022-06-28,9.5089,-0.0757,-0.78981
2022-06-27,9.5846,-0.0114,-0.1188
2022-06-26,9.596,0.004,0.0417
2022-06-23,9.592,0.1531,1.62201
2022-06-22,9.4389,0.0577,0.61506
2022-06-21,9.3812,,
2022-06-20,9.3494,0.0628,0.67624
2022-06-16,9.2866,0.0515,0.55766
2022-06-15,9.2351,-0.1772,-1.88264
2022-06-14,9.4123,0.1019,1.09447
2022-06-13,9.3104,-0.1179,-1.25049
2022-06-12,9.4283,-0.3456,-3.53595
2022-06-09,9.7739,-0.1969,-1.97477
2022-06-08,9.9708,-0.1894,-1.86414
2022-06-07,10.1602,-0.1662,-1.60947
2022-06-06,10.3264,0.1173,1.14897
2022-06-05,10.2091,-0.1856,-1.78553
