tradeDate,nav,change,changePercent
2022-08-29,7.02,0.04,0.57307
2022-08-28,6.98,0.0,0.0
2022-08-25,6.98,0.01,0.14347
2022-08-24,6.97,0.0,0.0
2022-08-23,6.97,0.0,0.0
2022-08-22,6.97,0.01,0.14368
2022-08-21,6.96,0.0,0.0
2022-08-18,6.96,-0.01,-0.14347
2022-08-17,6.97,-0.05,-0.71225
2022-08-16,7.02,0.05,0.71736
2022-08-11,6.97,0.0,0.0
2022-08-10,6.97,-0.03,-0.42857
2022-08-09,7.0,0.06,0.86455
2022-08-07,6.94,-0.02,-0.28736
2022-08-04,6.96,-0.08,-1.13636
2022-08-03,7.04,0.0,0.0
2022-08-02,7.04,-0.06,-0.84507
2022-08-01,7.1,0.04,0.56657
2022-07-31,7.06,0.06,0.85714
2022-07-28,7.0,0.02,0.28653
2022-07-27,6.98,0.04,0.57637
2022-07-26,6.94,0.0,0.0
2022-07-25,6.94,-0.01,-0.14388
2022-07-24,6.95,0.01,0.14409
2022-07-21,6.94,0.02,0.28902
2022-07-20,6.92,0.0,0.0
2022-07-19,6.92,-0.01,-0.1443
2022-07-18,6.93,0.03,0.43478
2022-07-17,6.9,-0.02,-0.28902
2022-07-14,6.92,-0.01,-0.1443
2022-07-13,6.93,,
2022-07-12,6.96,0.0,0.0
2022-07-11,6.96,0.02,0.28818
2022-07-10,6.94,-0.03,-0.43042
2022-07-07,6.97,-0.02,-0.28612
2022-07-06,6.99,-0.05,-0.71023
2022-07-05,7.04,0.04,0.57143
2022-07-04,7.0,-0.02,-0.2849
2022-07-03,7.02,0.0,0.0
2022-06-30,7.02,-0.01,-0.14225
2022-06-29,7.03,0.03,0.42857
2022-06-28,7.0,0.0,0.0
2022-06-27,7.0,-0.06,-0.84986
2022-06-26,7.06,-0.02,-0.28249
2022-06-23,7.08,0.0,0.0
2022-06-22,7.08,0.0,0.0
2022-06-21,7.08,,
2022-06-20,7.08,-0.01,-0.14104
2022-06-19,7.09,0.02,0.28289
2022-06-16,7.07,-0.02,-0.28209
2022-06-15,7.09,0.01,0.14124
2022-06-14,7.08,0.0,0.0
2022-06-13,7.08,0.03,0.42553
2022-06-12,7.05,-0.02,-0.28289
2022-06-09,7.07,-0.04,-0.56259
2022-06-08,7.11,0.0,0.0
2022-06-07,7.11,-0.04,-0.55944
2022-06-06,7.15,0.01,0.14006
2022-06-05,7.14,-0.06,-0.83333
2022-06-01,7.2,-0.01,-0.1387
2022-05-31,7.21,0.01,0.13889
2022-05-30,7.2,0.0,0.0
2022-05-29,7.2,0.0,0.0
2022-05-26,7.2,-0.02,-0.27701
2022-05-25,7.22,0.0,0.0
2022-05-24,7.22,0.0,0.0
2022-05-23,7.22,0.03,0.41725
2022-05-22,7.19,0.01,0.13928
2022-05-19,7.18,-0.04,-0.55402
2022-05-18,7.22,0.02,0.27778
2022-05-17,7.2,-0.01,-0.1387
2022-05-16,7.21,-0.01,-0.1385
2022-05-12,7.22,-0.04,-0.55096
2022-05-11,7.26,0.02,0.27624
2022-05-10,7.24,0.01,0.13831
2022-05-09,7.23,-0.01,-0.13812
2022-05-08,7.24,-0.04,-0.54945
2022-05-05,7.28,-0.05,-0.68213
2022-05-04,7.33,-0.06,-0.81191
2022-05-03,7.39,-0.01,-0.13514
2022-04-28,7.4,0.03,0.40706
2022-04-27,7.37,-0.03,-0.40541
2022-04-26,7.4,0.01,0.13532
2022-04-25,7.39,0.0,0.0
2022-04-24,7.39,0.0,0.0
2022-04-21,7.39,-0.02,-0.26991
2022-04-20,7.41,-0.01,-0.13477
2022-04-19,7.42,0.03,0.40595
2022-04-18,7.39,-0.01,-0.13514
2022-04-17,7.4,0.0,0.0
2022-04-12,7.4,-0.01,-0.13495
2022-04-11,7.41,-0.08,-1.06809
2022-04-10,7.49,-0.01,-0.13333
2022-04-07,7.5,-0.06,-0.79365
2022-04-06,7.56,-0.02,-0.26385
2022-04-05,7.58,-0.03,-0.39422
2022-03-30,7.61,0.01,0.13158
2022-03-29,7.6,0.04,0.5291
2022-03-28,7.56,0.01,0.13245
2022-03-27,7.55,0.0,0.0
2022-03-24,7.55,0.02,0.2656
2022-03-23,7.53,-0.01,-0.13263
2022-03-22,7.54,0.0,0.0
2022-03-21,7.54,-0.02,-0.26455
2022-03-20,7.56,-0.03,-0.39526
2022-03-16,7.59,0.06,0.79681
2022-03-15,7.53,0.03,0.4
2022-03-14,7.5,0.01,0.13351
2022-03-13,7.49,0.01,0.13369
2022-03-10,7.48,-0.04,-0.53191
2022-03-09,7.52,0.06,0.80429
2022-03-08,7.46,0.02,0.26882
2022-03-07,7.44,-0.04,-0.53476
2022-03-06,7.48,-0.1,-1.31926
2022-03-03,7.58,-0.03,-0.39422
2022-03-02,7.61,-0.03,-0.39267
2022-03-01,7.64,-0.05,-0.6502
2022-02-24,7.69,0.01,0.13021
2022-02-23,7.68,-0.1,-1.28535
2022-02-22,7.78,0.05,0.64683
2022-02-21,7.73,-0.07,-0.89744
2022-02-20,7.8,0.03,0.3861
2022-02-17,7.77,0.05,0.64767
