tradeDate,nav,change,changePercent
2022-08-30,8.5795,-0.0116,-0.13502
2022-08-29,8.5911,-0.0012,-0.01397
2022-08-28,8.5923,-0.0213,-0.24728
2022-08-25,8.6136,0.0136,0.15814
2022-08-24,8.6,0.0306,0.35708
2022-08-23,8.5694,0.0063,0.07357
2022-08-22,8.5631,0.0032,0.03738
2022-08-21,8.5599,-0.012,-0.13999
2022-08-18,8.5719,-0.0091,-0.10605
2022-08-17,8.581,0.0005,0.00583
2022-08-16,8.5805,-0.0243,-0.2824
2022-08-15,8.6048,0.014,0.16297
2022-08-14,8.5908,0.018,0.20997
2022-08-11,8.5728,0.009,0.10509
2022-08-10,8.5638,0.0296,0.34684
2022-08-09,8.5342,0.0038,0.04455
2022-08-07,8.5304,0.0037,0.04339
2022-08-04,8.5267,0.0042,0.04928
2022-08-03,8.5225,0.0009,0.01056
2022-08-02,8.5216,-0.0066,-0.07739
2022-08-01,8.5282,-0.0138,-0.16155
2022-07-31,8.542,0.0212,0.2488
2022-07-28,8.5208,0.0253,0.2978
2022-07-27,8.4955,0.0213,0.25135
2022-07-26,8.4742,-0.0025,-0.02949
2022-07-25,8.4767,0.0047,0.05548
2022-07-24,8.472,0.0223,0.26391
2022-07-21,8.4497,0.0201,0.23845
2022-07-20,8.4296,0.0239,0.28433
2022-07-19,8.4057,0.0255,0.30429
2022-07-18,8.3802,-0.0202,-0.24046
2022-07-17,8.4004,0.0001,0.00119
2022-07-14,8.4003,-0.0034,-0.04046
2022-07-13,8.4037,-0.0192,-0.22795
2022-07-12,8.4229,-0.0304,-0.35962
2022-07-11,8.4533,-0.058,-0.68145
2022-07-07,8.5113,-0.0038,-0.04463
2022-07-06,8.5151,-0.015,-0.17585
2022-07-05,8.5301,-0.0122,-0.14282
2022-07-04,8.5423,-0.0348,-0.40573
2022-06-30,8.5771,0.0205,0.23958
2022-06-29,8.5566,-0.0129,-0.15053
2022-06-28,8.5695,-0.0151,-0.1759
2022-06-27,8.5846,-0.0189,-0.21968
2022-06-26,8.6035,0.0114,0.13268
2022-06-23,8.5921,-0.0132,-0.15339
2022-06-22,8.6053,-0.0252,-0.29199
2022-06-21,8.6305,,
2022-06-20,8.6437,-0.0122,-0.14094
2022-06-16,8.6559,-0.0063,-0.07273
2022-06-15,8.6622,-0.0118,-0.13604
2022-06-14,8.674,0.0221,0.25544
2022-06-13,8.6519,-0.0264,-0.30421
2022-06-12,8.6783,-0.0729,-0.83303
2022-06-09,8.7512,-0.0313,-0.35639
2022-06-08,8.7825,-0.0148,-0.16823
2022-06-07,8.7973,-0.0012,-0.01364
2022-06-06,8.7985,0.0022,0.02501
2022-06-05,8.7963,0.0006,0.00682
2022-06-01,8.7957,-0.0012,-0.01364
2022-05-31,8.7969,-0.0034,-0.03864
2022-05-30,8.8003,-0.003,-0.03408
2022-05-26,8.8033,0.0103,0.11714
2022-05-25,8.793,0.0196,0.2234
2022-05-24,8.7734,0.0146,0.16669
2022-05-23,8.7588,0.0109,0.1246
2022-05-22,8.7479,0.0166,0.19012
2022-05-19,8.7313,0.0145,0.16635
2022-05-18,8.7168,-0.019,-0.2175
2022-05-17,8.7358,-0.0022,-0.02518
2022-05-16,8.738,-0.0109,-0.12459
2022-05-12,8.7489,-0.0056,-0.06397
2022-05-11,8.7545,-0.022,-0.25067
2022-05-10,8.7765,-0.0036,-0.041
2022-05-09,8.7801,-0.0167,-0.18984
2022-05-08,8.7968,-0.0113,-0.12829
2022-05-05,8.8081,-0.0234,-0.26496
2022-05-04,8.8315,0.0036,0.04078
2022-05-03,8.8279,-0.0155,-0.17527
2022-04-28,8.8434,-0.0048,-0.05425
2022-04-27,8.8482,-0.004,-0.04519
2022-04-26,8.8522,-0.0171,-0.1928
2022-04-25,8.8693,0.0112,0.12644
2022-04-24,8.8581,-0.0229,-0.25785
2022-04-21,8.881,-0.0102,-0.11472
2022-04-20,8.8912,-0.0146,-0.16394
2022-04-19,8.9058,-0.0066,-0.07405
2022-04-18,8.9124,-0.0496,-0.55345
2022-04-17,8.962,0.0346,0.38757
2022-04-13,8.9274,0.0089,0.09979
2022-04-12,8.9185,0.0109,0.12237
2022-04-11,8.9076,-0.012,-0.13454
2022-04-10,8.9196,-0.0312,-0.34857
2022-04-07,8.9508,-0.0094,-0.10491
2022-04-06,8.9602,0.0025,0.02791
2022-04-05,8.9577,0.0169,0.18902
2022-03-31,8.9408,-0.0079,-0.08828
2022-03-30,8.9487,0.0086,0.0962
2022-03-29,8.9401,0.0303,0.34007
2022-03-28,8.9098,0.0295,0.3322
2022-03-27,8.8803,0.0139,0.15677
2022-03-24,8.8664,0.0018,0.02031
2022-03-23,8.8646,-0.0001,-0.00113
2022-03-22,8.8647,0.0232,0.2624
2022-03-21,8.8415,-0.013,-0.14682
2022-03-20,8.8545,0.0149,0.16856
2022-03-17,8.8396,0.0121,0.13707
2022-03-16,8.8275,0.069,0.78781
2022-03-15,8.7585,0.0242,0.27707
2022-03-14,8.7343,-0.0419,-0.47743
2022-03-13,8.7762,-0.0331,-0.37574
2022-03-10,8.8093,-0.0363,-0.41037
2022-03-09,8.8456,0.009,0.10185
2022-03-08,8.8366,-0.0204,-0.23033
2022-03-07,8.857,-0.0792,-0.88628
2022-03-06,8.9362,-0.0522,-0.58075
2022-03-03,8.9884,-0.0374,-0.41437
2022-03-02,9.0258,-0.0295,-0.32578
2022-03-01,9.0553,-0.0437,-0.48027
2022-02-28,9.099,-0.0449,-0.49104
2022-02-24,9.1439,0.0169,0.18516
2022-02-23,9.127,-0.0744,-0.80857
2022-02-22,9.2014,-0.0227,-0.24609
2022-02-21,9.2241,-0.0183,-0.198
2022-02-17,9.2424,-0.0012,-0.01298
2022-02-16,9.2436,-0.0073,-0.07891
2022-02-15,9.2509,0.0027,0.02919
2022-02-14,9.2482,-0.0028,-0.03027
2022-02-13,9.251,-0.0237,-0.25553
2022-02-10,9.2747,-0.0105,-0.11308
2022-02-09,9.2852,-0.0006,-0.00646
2022-02-08,9.2858,0.0021,0.02262
2022-02-07,9.2837,-0.0083,-0.08932
2022-02-06,9.292,-0.0425,-0.4553
2022-01-25,9.3345,0.0088,0.09436
2022-01-24,9.3257,0.0021,0.02252
2022-01-23,9.3236,0.0043,0.04614
2022-01-20,9.3193,0.0231,0.24849
2022-01-19,9.2962,0.0243,0.26208
2022-01-18,9.2719,0.0238,0.25735
2022-01-17,9.2481,-0.0411,-0.44245
2022-01-13,9.2892,-0.0298,-0.31978
2022-01-12,9.319,-0.0148,-0.15856
2022-01-11,9.3338,-0.0026,-0.02785
2022-01-10,9.3364,-0.0093,-0.09951
2022-01-09,9.3457,-0.0233,-0.24869
2022-01-06,9.369,-0.0098,-0.10449
2022-01-05,9.3788,-0.0458,-0.48596
2022-01-04,9.4246,-0.0348,-0.36789
2022-01-03,9.4594,-0.0073,-0.07711
2022-01-02,9.4667,0.0025,0.02642
2021-12-29,9.4642,-0.0004,-0.00423
2021-12-28,9.4646,0.0006,0.00634
2021-12-27,9.464,-0.0004,-0.00423
2021-12-26,9.4644,0.0056,0.0592
2021-12-23,9.4588,0.0019,0.02009
2021-12-22,9.4569,0.0034,0.03597
2021-12-21,9.4535,0.0006,0.00635
2021-12-20,9.4529,0.0008,0.00846
2021-12-19,9.4521,-0.0801,-0.84031
2021-12-16,9.5322,-0.0106,-0.11108
2021-12-15,9.5428,0.0008,0.00838
2021-12-14,9.542,-0.02,-0.20916
2021-12-13,9.562,-0.0104,-0.10865
2021-12-12,9.5724,0.0055,0.05749
2021-12-09,9.5669,0.0126,0.13188
2021-12-08,9.5543,0.0047,0.04922
2021-12-07,9.5496,0.0144,0.15102
2021-12-06,9.5352,0.0212,0.22283
2021-12-05,9.514,0.0071,0.07468
2021-12-02,9.5069,-0.0077,-0.08093
2021-12-01,9.5146,0.0017,0.01787
2021-11-30,9.5129,-0.0092,-0.09662
2021-11-29,9.5221,-0.0103,-0.10805
2021-11-28,9.5324,-0.0182,-0.19056
2021-11-25,9.5506,-0.032,-0.33394
2021-11-23,9.5826,-0.0077,-0.08029
2021-11-22,9.5903,-0.0175,-0.18214
2021-11-21,9.6078,0.0108,0.11254
2021-11-18,9.597,0.0071,0.07404
2021-11-17,9.5899,0.0066,0.06887
2021-11-16,9.5833,-0.0121,-0.1261
2021-11-15,9.5954,-0.0175,-0.18205
2021-11-14,9.6129,0.017,0.17716
2021-11-11,9.5959,0.0757,0.79515
2021-11-09,9.5202,0.0133,0.1399
2021-11-08,9.5069,-0.036,-0.37724
2021-11-07,9.5429,-0.0094,-0.09841
2021-11-04,9.5523,-0.0231,-0.24124
2021-11-02,9.5754,0.0075,0.07839
2021-11-01,9.5679,-0.0101,-0.10545
2021-10-31,9.578,-0.0322,-0.33506
2021-10-28,9.6102,-0.0059,-0.06136
2021-10-27,9.6161,-0.0114,-0.11841
2021-10-26,9.6275,0.0083,0.08629
2021-10-25,9.6192,-0.0048,-0.04988
2021-10-24,9.624,0.0031,0.03222
2021-10-21,9.6209,0.0095,0.09884
2021-10-20,9.6114,-0.0242,-0.25115
2021-10-19,9.6356,0.0,0.0
2021-10-18,9.6356,0.0018,0.01868
2021-10-17,9.6338,0.0525,0.54794
2021-10-14,9.5813,0.0261,0.27315
2021-10-13,9.5552,0.0063,0.06598
2021-10-12,9.5489,0.0003,0.00314
2021-10-11,9.5486,-0.0799,-0.82983
2021-10-07,9.6285,-0.0268,-0.27757
2021-10-06,9.6553,-0.03,-0.30975
2021-10-05,9.6853,-0.0641,-0.65748
2021-10-04,9.7494,-0.0458,-0.46758
2021-10-03,9.7952,-0.0208,-0.2119
2021-09-30,9.816,0.0,0.0
2021-09-29,9.816,0.0048,0.04892
2021-09-28,9.8112,-0.0078,-0.07944
2021-09-27,9.819,-0.0095,-0.09666
2021-09-26,9.8285,-0.0148,-0.15036
2021-09-23,9.8433,-0.0142,-0.14405
2021-09-22,9.8575,0.0162,0.16461
2021-09-21,9.8413,-0.0237,-0.24024
2021-09-16,9.865,-0.0238,-0.24068
2021-09-15,9.8888,-0.0389,-0.39183
2021-09-14,9.9277,-0.0083,-0.08353
2021-09-13,9.936,-0.0063,-0.06337
2021-09-12,9.9423,0.0044,0.04427
2021-09-09,9.9379,0.0195,0.1966
2021-09-08,9.9184,0.0091,0.09183
2021-09-07,9.9093,0.017,0.17185
2021-09-06,9.8923,-0.02,-0.20177
2021-09-02,9.9123,-0.0395,-0.39691
2021-09-01,9.9518,-0.0181,-0.18155
2021-08-31,9.9699,-0.0169,-0.16922
2021-08-30,9.9868,0.003,0.03005
2021-08-29,9.9838,0.014,0.14042
2021-08-26,9.9698,-0.0009,-0.00903
2021-08-25,9.9707,0.0023,0.02307
2021-08-24,9.9684,0.0123,0.12354
2021-08-23,9.9561,0.0043,0.04321
2021-08-22,9.9518,0.0067,0.06737
2021-08-19,9.9451,-0.0003,-0.00302
2021-08-18,9.9454,-0.004,-0.0402
2021-08-17,9.9494,-0.0031,-0.03115
2021-08-16,9.9525,-0.0085,-0.08533
2021-08-15,9.961,0.0041,0.04118
2021-08-12,9.9569,0.0105,0.10557
2021-08-11,9.9464,0.0091,0.09157
2021-08-10,9.9373,0.0067,0.06747
2021-08-09,9.9306,0.004,0.0403
2021-08-08,9.9266,0.0018,0.01814
2021-08-05,9.9248,-0.0085,-0.08557
2021-08-04,9.9333,0.0027,0.02719
2021-08-03,9.9306,0.028,0.28275
2021-08-02,9.9026,0.0253,0.25614
2021-08-01,9.8773,0.012,0.12164
2021-07-29,9.8653,-0.0116,-0.11745
2021-07-28,9.8769,-0.0165,-0.16678
2021-07-27,9.8934,-0.0249,-0.25105
2021-07-26,9.9183,-0.0424,-0.42567
2021-07-25,9.9607,-0.0218,-0.21838
2021-07-22,9.9825,-0.0008,-0.00801
2021-07-21,9.9833,-0.0073,-0.07307
2021-07-20,9.9906,-0.0179,-0.17885
2021-07-19,10.0085,-0.0152,-0.15164
2021-07-18,10.0237,-0.0107,-0.10663
2021-07-15,10.0344,0.004,0.03988
2021-07-14,10.0304,0.0053,0.05287
2021-07-13,10.0251,0.0093,0.09285
2021-07-12,10.0158,0.0048,0.04795
2021-07-11,10.011,0.0151,0.15106
2021-07-08,9.9959,0.0118,0.11819
2021-07-07,9.9841,0.0079,0.07919
2021-07-06,9.9762,-0.0005,-0.00501
2021-07-05,9.9767,-0.025,-0.24996
2021-07-01,10.0017,-0.0086,-0.08591
2021-06-30,10.0103,0.0,0.0
2021-06-29,10.0103,-0.0039,-0.03894
2021-06-28,10.0142,-0.0039,-0.03893
2021-06-27,10.0181,0.0029,0.02896
2021-06-24,10.0152,-0.0003,-0.003
2021-06-23,10.0155,-0.007,-0.06984
2021-06-22,10.0225,-0.0087,-0.08673
2021-06-21,10.0312,0.0068,0.06783
2021-06-20,10.0244,-0.0028,-0.02792
2021-06-17,10.0272,0.006,0.05987
2021-06-16,10.0212,-0.0021,-0.02095
2021-06-15,10.0233,-0.0045,-0.04488
2021-06-14,10.0278,-0.014,-0.13942
2021-06-10,10.0418,0.0068,0.06776
2021-06-09,10.035,-0.0095,-0.09458
2021-06-08,10.0445,0.0044,0.04382
2021-06-07,10.0401,0.011,0.10968
2021-06-06,10.0291,0.0018,0.01795
2021-06-03,10.0273,0.0011,0.01097
2021-06-02,10.0262,-0.0075,-0.07475
2021-06-01,10.0337,0.0022,0.02193
2021-05-31,10.0315,0.1441,1.45741
2021-05-27,9.8874,-0.001,-0.01011
2021-05-26,9.8884,-0.0028,-0.02831
2021-05-25,9.8912,0.0114,0.11539
2021-05-24,9.8798,0.017,0.17236
2021-05-23,9.8628,0.0132,0.13402
2021-05-20,9.8496,0.0069,0.0701
2021-05-19,9.8427,0.0049,0.04981
2021-05-18,9.8378,-0.0017,-0.01728
2021-05-17,9.8395,0.0051,0.05186
