tradeDate,nav,change,changePercent
2022-08-30,10.19,-0.07,-0.68226
2022-08-29,10.26,-0.07,-0.67764
2022-08-28,10.33,-0.02,-0.19324
2022-08-25,10.35,-0.05,-0.48077
2022-08-24,10.4,0.03,0.2893
2022-08-23,10.37,0.03,0.29014
2022-08-22,10.34,-0.05,-0.48123
2022-08-21,10.39,-0.07,-0.66922
2022-08-18,10.46,-0.05,-0.47574
2022-08-17,10.51,-0.01,-0.09506
2022-08-16,10.52,-0.07,-0.661
2022-08-15,10.59,0.02,0.18921
2022-08-14,10.57,0.06,0.57088
2022-08-11,10.51,0.03,0.28626
2022-08-10,10.48,0.04,0.38314
2022-08-09,10.44,0.05,0.48123
2022-08-08,10.39,-0.04,-0.38351
2022-08-07,10.43,0.01,0.09597
2022-08-04,10.42,-0.01,-0.09588
2022-08-03,10.43,0.02,0.19212
2022-08-02,10.41,0.0,0.0
2022-08-01,10.41,-0.03,-0.28736
2022-07-31,10.44,0.05,0.48123
2022-07-28,10.39,0.07,0.67829
2022-07-27,10.32,0.05,0.48685
2022-07-26,10.27,0.05,0.48924
2022-07-25,10.22,-0.01,-0.09775
2022-07-24,10.23,0.01,0.09785
2022-07-21,10.22,0.02,0.19608
2022-07-20,10.2,0.04,0.3937
2022-07-19,10.16,0.06,0.59406
2022-07-18,10.1,0.06,0.59761
2022-07-17,10.04,0.0,0.0
2022-07-14,10.04,0.07,0.70211
2022-07-13,9.97,-0.02,-0.2002
2022-07-12,9.99,-0.03,-0.2994
2022-07-11,10.02,0.02,0.2
2022-07-10,10.0,-0.02,-0.1996
2022-07-07,10.02,0.01,0.0999
2022-07-06,10.01,0.03,0.3006
2022-07-05,9.98,0.02,0.2008
2022-07-04,9.96,-0.02,-0.2004
2022-07-03,9.98,0.0,0.0
2022-06-30,9.98,0.05,0.50352
2022-06-29,9.93,-0.04,-0.4012
2022-06-28,9.97,-0.03,-0.3
2022-06-27,10.0,-0.05,-0.49751
2022-06-26,10.05,0.0,0.0
2022-06-23,10.05,0.09,0.90361
2022-06-22,9.96,0.01,0.1005
2022-06-21,9.95,,
2022-06-20,9.94,0.05,0.50556
2022-06-19,9.89,-0.01,-0.10101
2022-06-16,9.9,0.02,0.20243
2022-06-15,9.88,-0.12,-1.2
2022-06-14,10.0,0.02,0.2004
2022-06-13,9.98,-0.08,-0.79523
2022-06-12,10.06,-0.19,-1.85366
2022-06-09,10.25,-0.12,-1.15718
2022-06-08,10.37,-0.08,-0.76555
2022-06-07,10.45,-0.01,-0.0956
2022-06-06,10.46,0.01,0.09569
2022-06-05,10.45,-0.03,-0.28626
2022-06-01,10.48,0.01,0.09551
2022-05-31,10.47,-0.01,-0.09542
2022-05-30,10.48,-0.04,-0.38023
2022-05-29,10.52,-0.02,-0.18975
2022-05-26,10.54,0.07,0.66858
2022-05-25,10.47,0.11,1.06178
2022-05-24,10.36,0.09,0.87634
2022-05-23,10.27,-0.03,-0.29126
2022-05-22,10.3,0.02,0.19455
2022-05-19,10.28,0.0,0.0
2022-05-18,10.28,-0.06,-0.58027
2022-05-17,10.34,-0.09,-0.8629
2022-05-16,10.43,0.02,0.19212
2022-05-15,10.41,0.0,0.0
2022-05-12,10.41,0.07,0.67698
2022-05-11,10.34,0.02,0.1938
2022-05-10,10.32,0.01,0.09699
2022-05-09,10.31,-0.01,-0.0969
2022-05-08,10.32,-0.1,-0.95969
2022-05-05,10.42,-0.05,-0.47755
2022-05-04,10.47,-0.06,-0.5698
2022-05-03,10.53,0.06,0.57307
2022-05-02,10.47,-0.02,-0.19066
2022-04-28,10.49,-0.08,-0.75686
2022-04-27,10.57,0.09,0.85878
2022-04-26,10.48,-0.01,-0.09533
2022-04-25,10.49,-0.03,-0.28517
2022-04-24,10.52,-0.02,-0.18975
2022-04-21,10.54,-0.09,-0.84666
2022-04-20,10.63,-0.02,-0.18779
2022-04-19,10.65,0.04,0.377
2022-04-18,10.61,0.0,0.0
2022-04-13,10.61,-0.03,-0.28195
2022-04-12,10.64,0.05,0.47214
2022-04-11,10.59,0.01,0.09452
2022-04-10,10.58,-0.08,-0.75047
2022-04-07,10.66,0.0,0.0
2022-04-06,10.66,0.0,0.0
2022-04-05,10.66,-0.1,-0.92937
2022-03-31,10.76,0.01,0.09302
2022-03-30,10.75,-0.04,-0.37071
2022-03-29,10.79,0.0,0.0
2022-03-28,10.79,0.07,0.65299
