tradeDate,nav,change,changePercent
2022-08-30,8.88,-0.04,-0.44843
2022-08-29,8.92,-0.09,-0.99889
2022-08-28,9.01,-0.02,-0.22148
2022-08-25,9.03,-0.03,-0.33113
2022-08-24,9.06,0.04,0.44346
2022-08-23,9.02,0.02,0.22222
2022-08-22,9.0,-0.03,-0.33223
2022-08-21,9.03,-0.07,-0.76923
2022-08-18,9.1,-0.03,-0.32859
2022-08-17,9.13,0.0,0.0
2022-08-16,9.13,-0.05,-0.54466
2022-08-15,9.18,-0.01,-0.10881
2022-08-14,9.19,0.01,0.10893
2022-08-11,9.18,0.03,0.32787
2022-08-10,9.15,-0.02,-0.2181
2022-08-09,9.17,0.04,0.43812
2022-08-08,9.13,-0.04,-0.43621
2022-08-07,9.17,0.0,0.0
2022-08-04,9.17,-0.04,-0.43431
2022-08-03,9.21,0.01,0.1087
2022-08-02,9.2,0.05,0.54645
2022-08-01,9.15,0.05,0.54945
2022-07-31,9.1,0.02,0.22026
2022-07-28,9.08,0.06,0.66519
2022-07-27,9.02,-0.04,-0.4415
2022-07-26,9.06,0.02,0.22124
2022-07-25,9.04,0.0,0.0
2022-07-24,9.04,0.01,0.11074
2022-07-21,9.03,0.05,0.55679
2022-07-20,8.98,0.05,0.55991
2022-07-19,8.93,0.03,0.33708
2022-07-18,8.9,0.03,0.33822
2022-07-17,8.87,0.01,0.11287
2022-07-14,8.86,0.06,0.68182
2022-07-13,8.8,-0.02,-0.22676
2022-07-12,8.82,0.0,0.0
2022-07-11,8.82,0.0,0.0
2022-07-10,8.82,0.02,0.22727
2022-07-07,8.8,0.03,0.34208
2022-07-06,8.77,0.03,0.34325
2022-07-05,8.74,-0.02,-0.22831
2022-07-04,8.76,0.0,0.0
2022-06-30,8.76,0.05,0.57405
2022-06-29,8.71,-0.02,-0.2291
2022-06-28,8.73,-0.07,-0.79545
2022-06-27,8.8,-0.01,-0.11351
2022-06-26,8.81,0.0,0.0
2022-06-23,8.81,0.03,0.34169
2022-06-22,8.78,0.0,0.0
2022-06-21,8.78,,
2022-06-20,8.77,0.02,0.22857
2022-06-16,8.75,-0.02,-0.22805
2022-06-15,8.77,-0.07,-0.79186
2022-06-14,8.84,0.06,0.68337
2022-06-13,8.78,-0.03,-0.34052
2022-06-12,8.81,-0.18,-2.00222
2022-06-09,8.99,-0.1,-1.10011
2022-06-08,9.09,-0.04,-0.43812
2022-06-07,9.13,-0.02,-0.21858
2022-06-06,9.15,0.02,0.21906
2022-06-05,9.13,-0.02,-0.21858
2022-06-01,9.15,0.01,0.10941
2022-05-31,9.14,0.0,0.0
2022-05-30,9.14,-0.02,-0.21834
2022-05-26,9.16,-0.01,-0.10905
2022-05-25,9.17,0.08,0.88009
2022-05-24,9.09,0.09,1.0
2022-05-23,9.0,0.05,0.55866
2022-05-22,8.95,-0.01,-0.11161
2022-05-19,8.96,-0.02,-0.22272
2022-05-18,8.98,-0.02,-0.22222
2022-05-17,9.0,-0.04,-0.44248
2022-05-16,9.04,-0.04,-0.44053
2022-05-15,9.08,0.01,0.11025
