tradeDate,nav,change,changePercent
2022-08-31,9.3148,-0.0345,-0.36901
2022-08-30,9.3493,-0.0153,-0.16338
2022-08-29,9.3646,0.0195,0.20867
2022-08-28,9.3451,-0.021,-0.22421
2022-08-25,9.3661,-0.0113,-0.1205
2022-08-24,9.3774,0.0203,0.21695
2022-08-23,9.3571,0.0105,0.11234
2022-08-22,9.3466,0.0128,0.13714
2022-08-21,9.3338,-0.0443,-0.47238
2022-08-18,9.3781,-0.0265,-0.28178
2022-08-17,9.4046,-0.0112,-0.11895
2022-08-16,9.4158,-0.0375,-0.39669
2022-08-15,9.4533,0.0087,0.09212
2022-08-14,9.4446,0.0359,0.38156
2022-08-11,9.4087,0.0334,0.35626
2022-08-10,9.3753,0.0571,0.61278
2022-08-09,9.3182,-0.1455,-1.53745
2022-08-07,9.4637,-0.0052,-0.05492
2022-08-04,9.4689,0.0042,0.04438
2022-08-03,9.4647,0.0273,0.28927
2022-08-02,9.4374,0.0026,0.02756
2022-08-01,9.4348,-0.0148,-0.15662
2022-07-31,9.4496,0.0241,0.25569
2022-07-28,9.4255,0.0347,0.36951
2022-07-27,9.3908,0.0421,0.45033
2022-07-26,9.3487,0.0021,0.02247
2022-07-25,9.3466,0.0104,0.11139
2022-07-24,9.3362,0.0292,0.31374
2022-07-21,9.307,0.0445,0.48043
2022-07-20,9.2625,0.0303,0.3282
2022-07-19,9.2322,0.0282,0.30639
2022-07-18,9.204,-0.022,-0.23846
2022-07-17,9.226,0.0007,0.00759
2022-07-14,9.2253,-0.0171,-0.18502
2022-07-13,9.2424,-0.062,-0.66635
2022-07-12,9.3044,-0.0616,-0.6577
2022-07-11,9.366,-0.0804,-0.85112
2022-07-07,9.4464,0.0001,0.00106
2022-07-06,9.4463,-0.0398,-0.41956
2022-07-05,9.4861,-0.022,-0.23138
2022-07-04,9.5081,-0.0549,-0.57409
2022-07-03,9.563,0.0026,0.0272
2022-06-30,9.5604,0.0149,0.15609
2022-06-29,9.5455,-0.0383,-0.39963
2022-06-28,9.5838,-0.0495,-0.51384
2022-06-27,9.6333,-0.0167,-0.17306
2022-06-26,9.65,-0.0088,-0.09111
2022-06-23,9.6588,-0.0208,-0.21488
2022-06-22,9.6796,-0.0039,-0.04027
2022-06-21,9.6835,-0.0168,-0.17319
2022-06-20,9.7003,-0.0121,-0.12458
2022-06-19,9.7124,0.0061,0.06285
2022-06-16,9.7063,-0.0057,-0.05869
2022-06-15,9.712,-0.0192,-0.1973
2022-06-14,9.7312,0.0215,0.22143
2022-06-13,9.7097,-0.0316,-0.32439
2022-06-12,9.7413,-0.1026,-1.04227
2022-06-09,9.8439,-0.0364,-0.36841
2022-06-08,9.8803,-0.0013,-0.01316
2022-06-07,9.8816,-0.0015,-0.01518
2022-06-06,9.8831,-0.0079,-0.07987
2022-06-05,9.891,0.006,0.0607
2022-06-01,9.885,-0.002,-0.02023
2022-05-31,9.887,0.0326,0.33082
2022-05-30,9.8544,0.0024,0.02436
2022-05-29,9.852,0.0132,0.13416
2022-05-26,9.8388,0.029,0.29562
2022-05-25,9.8098,0.0207,0.21146
2022-05-24,9.7891,0.006,0.06133
2022-05-23,9.7831,0.0019,0.01943
2022-05-22,9.7812,0.023,0.2357
2022-05-19,9.7582,0.0116,0.11902
2022-05-18,9.7466,-0.0209,-0.21397
2022-05-17,9.7675,-0.0068,-0.06957
2022-05-16,9.7743,-0.0254,-0.25919
2022-05-12,9.7997,0.0004,0.00408
2022-05-11,9.7993,-0.0177,-0.1803
2022-05-10,9.817,-0.0299,-0.30365
2022-05-09,9.8469,-0.0174,-0.17639
2022-05-08,9.8643,-0.0246,-0.24876
2022-05-05,9.8889,-0.035,-0.35268
2022-05-04,9.9239,-0.0019,-0.01914
2022-05-03,9.9258,-0.0114,-0.11472
2022-04-28,9.9372,-0.0146,-0.14671
2022-04-27,9.9518,-0.0103,-0.10339
2022-04-26,9.9621,-0.0217,-0.21735
2022-04-25,9.9838,0.0174,0.17459
2022-04-24,9.9664,-0.0184,-0.18428
2022-04-21,9.9848,-0.0113,-0.11304
