tradeDate,nav,change,changePercent
2022-08-30,10.59,-0.02,-0.1885
2022-08-29,10.61,-0.1,-0.93371
2022-08-25,10.71,-0.12,-1.10803
2022-08-24,10.83,0.07,0.65056
2022-08-23,10.76,0.03,0.27959
2022-08-22,10.73,0.03,0.28037
2022-08-21,10.7,-0.11,-1.01758
2022-08-18,10.81,-0.12,-1.0979
2022-08-17,10.93,0.01,0.09158
2022-08-16,10.92,-0.08,-0.72727
2022-08-15,11.0,0.02,0.18215
2022-08-14,10.98,0.03,0.27397
2022-08-11,10.95,0.06,0.55096
2022-08-10,10.89,0.03,0.27624
2022-08-09,10.86,0.17,1.59027
2022-08-08,10.69,-0.05,-0.46555
2022-08-07,10.74,0.06,0.5618
2022-08-04,10.68,-0.05,-0.46598
2022-08-03,10.73,0.04,0.37418
2022-08-02,10.69,0.04,0.37559
2022-08-01,10.65,-0.06,-0.56022
2022-07-31,10.71,0.04,0.37488
2022-07-28,10.67,0.07,0.66038
2022-07-27,10.6,0.08,0.76046
2022-07-26,10.52,0.15,1.44648
2022-07-25,10.37,-0.09,-0.86042
2022-07-24,10.46,0.01,0.09569
2022-07-21,10.45,0.01,0.09579
2022-07-20,10.44,0.06,0.57803
2022-07-19,10.38,0.03,0.28986
2022-07-18,10.35,0.1,0.97561
2022-07-17,10.25,0.04,0.39177
2022-07-14,10.21,0.15,1.49105
2022-07-13,10.06,-0.06,-0.59289
2022-07-12,10.12,-0.06,-0.58939
2022-07-11,10.18,0.0,0.0
2022-07-10,10.18,-0.12,-1.16505
2022-07-07,10.3,0.02,0.19455
2022-07-06,10.28,0.13,1.28079
2022-07-05,10.15,0.04,0.39565
2022-07-04,10.11,-0.07,-0.68762
2022-06-30,10.18,0.0,0.0
2022-06-29,10.18,-0.06,-0.58594
2022-06-28,10.24,-0.04,-0.38911
2022-06-27,10.28,-0.08,-0.7722
2022-06-26,10.36,-0.01,-0.09643
2022-06-23,10.37,0.17,1.66667
2022-06-22,10.2,0.02,0.19646
2022-06-21,10.18,,
2022-06-20,10.2,0.16,1.59363
2022-06-16,10.04,-0.01,-0.0995
2022-06-15,10.05,-0.19,-1.85547
2022-06-14,10.24,0.08,0.7874
2022-06-13,10.16,-0.03,-0.29441
2022-06-12,10.19,-0.25,-2.39464
2022-06-09,10.44,-0.22,-2.06379
2022-06-08,10.66,-0.17,-1.56971
2022-06-07,10.83,0.01,0.09242
2022-06-06,10.82,0.05,0.46425
2022-06-05,10.77,0.11,1.03189
2022-05-31,10.66,-0.01,-0.09372
2022-05-30,10.67,-0.07,-0.65177
2022-05-26,10.74,0.1,0.93985
2022-05-25,10.64,0.11,1.04463
2022-05-24,10.53,0.05,0.4771
2022-05-23,10.48,-0.12,-1.13208
2022-05-22,10.6,0.12,1.14504
2022-05-19,10.48,0.0,0.0
2022-05-18,10.48,-0.03,-0.28544
2022-05-17,10.51,-0.19,-1.7757
2022-05-16,10.7,0.14,1.32576
2022-05-15,10.56,-0.03,-0.28329
2022-05-12,10.59,0.18,1.72911
2022-05-11,10.41,-0.05,-0.47801
2022-05-10,10.46,0.0,0.0
2022-05-09,10.46,0.01,0.09569
2022-05-08,10.45,-0.23,-2.15356
2022-05-05,10.68,-0.05,-0.46598
2022-05-04,10.73,-0.16,-1.46924
2022-05-03,10.89,0.02,0.18399
2022-05-02,10.87,0.02,0.18433
2022-04-28,10.85,-0.05,-0.45872
2022-04-27,10.9,0.13,1.20706
2022-04-26,10.77,0.04,0.37279
2022-04-25,10.73,-0.13,-1.19705
2022-04-24,10.86,-0.08,-0.73126
2022-04-21,10.94,-0.17,-1.53015
2022-04-20,11.11,-0.08,-0.71492
2022-04-19,11.19,0.03,0.26882
2022-04-18,11.16,0.05,0.45005
2022-04-13,11.11,-0.09,-0.80357
2022-04-12,11.2,0.04,0.35842
2022-04-11,11.16,0.02,0.17953
2022-04-10,11.14,-0.09,-0.80142
2022-04-07,11.23,0.06,0.53715
2022-04-06,11.17,-0.02,-0.17873
2022-04-05,11.19,-0.13,-1.14841
2022-03-31,11.32,0.02,0.17699
2022-03-30,11.3,-0.08,-0.70299
2022-03-29,11.38,-0.06,-0.52448
2022-03-28,11.44,0.17,1.50843
2022-03-27,11.27,0.06,0.53524
2022-03-24,11.21,0.0,0.0
2022-03-23,11.21,0.05,0.44803
2022-03-22,11.16,-0.05,-0.44603
2022-03-21,11.21,0.11,0.99099
2022-03-20,11.1,0.01,0.09017
2022-03-17,11.09,0.07,0.63521
2022-03-16,11.02,0.03,0.27298
2022-03-15,10.99,0.33,3.09568
2022-03-14,10.66,0.07,0.661
2022-03-13,10.59,-0.06,-0.56338
2022-03-10,10.65,-0.05,-0.46729
2022-03-09,10.7,-0.12,-1.10906
2022-03-08,10.82,0.27,2.55924
2022-03-07,10.55,-0.06,-0.5655
2022-03-06,10.61,-0.17,-1.57699
2022-03-03,10.78,-0.15,-1.37237
2022-03-02,10.93,-0.09,-0.8167
2022-03-01,11.02,0.08,0.73126
2022-02-28,10.94,-0.1,-0.9058
2022-02-24,11.04,0.23,2.12766
2022-02-23,10.81,-0.1,-0.91659
2022-02-22,10.91,-0.08,-0.72793
2022-02-21,10.99,-0.1,-0.90171
2022-02-17,11.09,-0.1,-0.89366
2022-02-16,11.19,-0.08,-0.70985
2022-02-15,11.27,0.02,0.17778
2022-02-14,11.25,0.13,1.16906
2022-02-13,11.12,-0.1,-0.89127
2022-02-10,11.22,-0.13,-1.14537
2022-02-09,11.35,-0.06,-0.52585
2022-02-08,11.41,0.14,1.24224
2022-02-07,11.27,0.04,0.35619
2022-02-06,11.23,0.16,1.44535
2022-01-25,11.07,0.05,0.45372
2022-01-24,11.02,-0.01,-0.09066
2022-01-23,11.03,-0.19,-1.6934
2022-01-20,11.22,-0.14,-1.23239
2022-01-19,11.36,0.03,0.26478
2022-01-18,11.33,-0.02,-0.17621
2022-01-17,11.35,-0.13,-1.1324
