tradeDate,nav,change,changePercent
2022-08-31,10.48,-0.06,-0.56926
2022-08-30,10.54,-0.08,-0.7533
2022-08-29,10.62,0.0,0.0
2022-08-28,10.62,-0.06,-0.5618
2022-08-25,10.68,0.04,0.37594
2022-08-24,10.64,0.07,0.66225
2022-08-23,10.57,0.02,0.18957
2022-08-22,10.55,0.0,0.0
2022-08-21,10.55,-0.02,-0.18921
2022-08-18,10.57,-0.03,-0.28302
2022-08-17,10.6,-0.01,-0.09425
2022-08-16,10.61,-0.04,-0.37559
2022-08-15,10.65,0.02,0.18815
2022-08-14,10.63,0.03,0.28302
2022-08-11,10.6,0.03,0.28382
2022-08-10,10.57,0.01,0.0947
2022-08-09,10.56,-0.02,-0.18904
2022-08-07,10.58,0.02,0.18939
2022-08-04,10.56,-0.06,-0.56497
2022-08-03,10.62,0.02,0.18868
2022-08-02,10.6,0.01,0.09443
2022-08-01,10.59,-0.08,-0.74977
2022-07-31,10.67,0.03,0.28195
2022-07-28,10.64,-0.04,-0.37453
2022-07-27,10.68,0.05,0.47037
2022-07-26,10.63,0.01,0.09416
2022-07-25,10.62,0.02,0.18868
2022-07-24,10.6,0.02,0.18904
2022-07-21,10.58,0.04,0.37951
2022-07-20,10.54,0.07,0.66858
2022-07-19,10.47,-0.01,-0.09542
2022-07-18,10.48,-0.05,-0.47483
2022-07-17,10.53,-0.03,-0.28409
2022-07-14,10.56,-0.02,-0.18904
2022-07-13,10.58,-0.03,-0.28275
2022-07-12,10.61,,
2022-07-11,10.62,-0.03,-0.28169
2022-07-07,10.65,-0.03,-0.2809
2022-07-06,10.68,-0.05,-0.46598
2022-07-05,10.73,-0.06,-0.55607
2022-07-04,10.79,-0.02,-0.18501
2022-07-03,10.81,-0.01,-0.09242
2022-06-30,10.82,0.02,0.18519
2022-06-29,10.8,-0.08,-0.73529
2022-06-28,10.88,0.01,0.092
2022-06-27,10.87,0.0,0.0
2022-06-26,10.87,-0.01,-0.09191
2022-06-23,10.88,-0.04,-0.3663
2022-06-22,10.92,-0.02,-0.18282
2022-06-21,10.94,0.03,0.27498
2022-06-20,10.91,-0.07,-0.63752
2022-06-19,10.98,0.0,0.0
2022-06-16,10.98,-0.04,-0.36298
2022-06-15,11.02,0.02,0.18182
2022-06-14,11.0,0.05,0.45662
2022-06-13,10.95,-0.07,-0.63521
2022-06-12,11.02,-0.13,-1.16592
2022-06-09,11.15,-0.05,-0.44643
2022-06-08,11.2,-0.01,-0.08921
2022-06-07,11.21,-0.01,-0.08913
2022-06-06,11.22,0.02,0.17857
2022-06-05,11.2,-0.04,-0.35587
2022-06-01,11.24,0.02,0.17825
2022-05-31,11.22,-0.04,-0.35524
2022-05-30,11.26,-0.09,-0.79295
2022-05-29,11.35,0.0,0.0
2022-05-26,11.35,0.0,0.0
2022-05-25,11.35,0.02,0.17652
2022-05-24,11.33,-0.01,-0.08818
2022-05-23,11.34,0.06,0.53191
2022-05-22,11.28,0.0,0.0
2022-05-19,11.28,0.04,0.35587
2022-05-18,11.24,-0.02,-0.17762
2022-05-17,11.26,0.02,0.17794
2022-05-16,11.24,-0.05,-0.44287
2022-05-12,11.29,-0.04,-0.35305
2022-05-11,11.33,-0.05,-0.43937
2022-05-10,11.38,0.0,0.0
2022-05-09,11.38,-0.02,-0.17544
2022-05-08,11.4,0.02,0.17575
2022-05-05,11.38,-0.04,-0.35026
2022-05-04,11.42,-0.05,-0.43592
2022-05-03,11.47,0.0,0.0
2022-04-28,11.47,-0.08,-0.69264
2022-04-27,11.55,0.0,0.0
2022-04-26,11.55,-0.04,-0.34513
2022-04-25,11.59,0.03,0.25952
2022-04-24,11.56,-0.02,-0.17271
2022-04-21,11.58,-0.01,-0.08628
2022-04-20,11.59,-0.04,-0.34394
2022-04-19,11.63,0.01,0.08606
2022-04-18,11.62,-0.03,-0.25751
2022-04-13,11.65,-0.04,-0.34217
2022-04-12,11.69,0.02,0.17138
2022-04-11,11.67,-0.02,-0.17109
2022-04-10,11.69,-0.07,-0.59524
2022-04-07,11.76,-0.03,-0.25445
2022-04-06,11.79,-0.04,-0.33812
2022-04-05,11.83,0.06,0.50977
