tradeDate,nav,change,changePercent
2022-08-31,13.7233,-0.3392,-2.41209
2022-08-30,14.0625,-0.1121,-0.79085
2022-08-29,14.1746,-0.1166,-0.81589
2022-08-28,14.2912,-0.2089,-1.44068
2022-08-25,14.5001,-0.4863,-3.24494
2022-08-24,14.9864,0.3042,2.0719
2022-08-23,14.6822,0.1121,0.76938
2022-08-22,14.5701,0.013,0.0893
2022-08-21,14.5571,-0.3799,-2.54335
2022-08-18,14.937,-0.4166,-2.71337
2022-08-17,15.3536,0.0241,0.15721
2022-08-16,15.3295,-0.3031,-1.9389
2022-08-15,15.6326,-0.0606,-0.38615
2022-08-14,15.6932,0.0588,0.37609
2022-08-11,15.6344,0.263,1.71097
2022-08-10,15.3714,-0.101,-0.65278
2022-08-09,15.4724,0.4995,3.33603
2022-08-08,14.9729,-0.2922,-1.91417
2022-08-07,15.2651,-0.0523,-0.34144
2022-08-04,15.3174,0.0479,0.3137
2022-08-03,15.2695,0.1836,1.21703
2022-08-02,15.0859,0.4471,3.05421
2022-08-01,14.6388,0.0752,0.51636
2022-07-31,14.5636,0.0509,0.35073
2022-07-28,14.5127,0.1314,0.91369
2022-07-27,14.3813,0.2061,1.45395
2022-07-26,14.1752,0.533,3.90699
2022-07-25,13.6422,-0.3589,-2.56337
2022-07-24,14.0011,-0.1248,-0.88348
2022-07-21,14.1259,-0.3101,-2.1481
2022-07-20,14.436,0.2354,1.65768
2022-07-19,14.2006,0.3676,2.65741
2022-07-18,13.833,0.3398,2.51831
2022-07-17,13.4932,-0.0127,-0.09403
2022-07-14,13.5059,0.2546,1.92132
2022-07-13,13.2513,,
2022-07-12,13.3174,0.0394,0.29673
2022-07-11,13.278,-0.3057,-2.25049
2022-07-10,13.5837,-0.3295,-2.36825
2022-07-07,13.9132,-0.0317,-0.22732
2022-07-06,13.9449,0.3279,2.40802
2022-07-05,13.617,-0.0146,-0.1071
2022-07-04,13.6316,0.2464,1.84084
2022-06-30,13.3852,0.0694,0.52119
2022-06-29,13.3158,-0.244,-1.79944
2022-06-28,13.5598,-0.1065,-0.77929
2022-06-27,13.6663,-0.4444,-3.14938
2022-06-26,14.1107,-0.1182,-0.8307
2022-06-23,14.2289,0.4979,3.6261
2022-06-22,13.731,0.2741,2.03687
2022-06-21,13.4569,-0.0523,-0.38714
2022-06-20,13.5092,0.2866,2.1675
2022-06-16,13.2226,0.2038,1.56543
2022-06-15,13.0188,-0.5443,-4.01309
2022-06-14,13.5631,0.3191,2.40939
2022-06-13,13.244,-0.0192,-0.14476
2022-06-12,13.2632,-0.6914,-4.95464
2022-06-09,13.9546,-0.475,-3.29184
2022-06-08,14.4296,-0.4051,-2.73076
2022-06-07,14.8347,-0.0611,-0.41018
2022-06-06,14.8958,0.1345,0.91117
2022-06-05,14.7613,-0.2782,-1.8498
2022-06-01,15.0395,0.4771,3.27625
2022-05-31,14.5624,-0.0996,-0.67931
2022-05-30,14.662,-0.1001,-0.67809
2022-05-26,14.7621,0.4685,3.27769
2022-05-25,14.2936,0.3103,2.21908
2022-05-24,13.9833,0.2745,2.00236
2022-05-23,13.7088,-0.4158,-2.9438
2022-05-22,14.1246,0.0915,0.65203
2022-05-19,14.0331,0.0558,0.39922
2022-05-18,13.9773,0.1263,0.91185
2022-05-17,13.851,-0.4928,-3.43563
2022-05-16,14.3438,0.3212,2.29059
2022-05-15,14.0226,-0.2678,-1.87399
2022-05-12,14.2904,0.5443,3.95967
2022-05-11,13.7461,0.0502,0.36653
2022-05-10,13.6959,-0.3492,-2.48628
2022-05-09,14.0451,0.1039,0.74527
2022-05-08,13.9412,-0.7865,-5.34028
2022-05-05,14.7277,-0.3767,-2.49398
2022-05-04,15.1044,-0.7325,-4.62527
2022-05-03,15.8369,0.3413,2.20256
2022-05-02,15.4956,0.0912,0.59204
2022-04-28,15.4044,-0.4304,-2.71806
2022-04-27,15.8348,0.425,2.75799
2022-04-26,15.4098,0.0071,0.0461
2022-04-25,15.4027,-0.5494,-3.44406
2022-04-24,15.9521,0.1718,1.0887
2022-04-21,15.7803,-0.2939,-1.8284
2022-04-20,16.0742,-0.4196,-2.54399
2022-04-19,16.4938,-0.2809,-1.67455
2022-04-18,16.7747,0.3216,1.95465
2022-04-17,16.4531,-0.1237,-0.74622
2022-04-13,16.5768,-0.3739,-2.20581
2022-04-12,16.9507,0.3346,2.01371
2022-04-11,16.6161,-0.0714,-0.42787
2022-04-10,16.6875,-0.1797,-1.06538
2022-04-07,16.8672,-0.2909,-1.69541
2022-04-06,17.1581,-0.0198,-0.11526
2022-04-05,17.1779,-0.6167,-3.46566
2022-03-31,17.7946,0.0562,0.31683
2022-03-30,17.7384,-0.2375,-1.32121
2022-03-29,17.9759,-0.2287,-1.25628
2022-03-28,18.2046,0.3387,1.89579
2022-03-27,17.8659,0.2565,1.45661
2022-03-24,17.6094,-0.1526,-0.85914
2022-03-23,17.762,0.2903,1.66154
2022-03-22,17.4717,-0.2227,-1.25859
2022-03-21,17.6944,0.3763,2.17287
2022-03-20,17.3181,-0.0971,-0.55756
2022-03-17,17.4152,0.4059,2.38634
2022-03-16,17.0093,0.3597,2.16041
2022-03-15,16.6496,0.7563,4.75861
2022-03-14,15.8933,0.3227,2.0725
2022-03-13,15.5706,-0.4415,-2.75729
2022-03-10,16.0121,-0.4203,-2.55775
2022-03-09,16.4324,-0.2022,-1.21554
2022-03-08,16.6346,0.5287,3.28265
2022-03-07,16.1059,-0.0623,-0.38532
2022-03-06,16.1682,-0.5534,-3.30949
2022-03-03,16.7216,-0.3164,-1.85703
2022-03-02,17.038,-0.3447,-1.98301
2022-03-01,17.3827,0.1629,0.946
2022-02-28,17.2198,-0.08,-0.46243
2022-02-24,17.2998,0.2425,1.42168
2022-02-23,17.0573,0.4731,2.85272
2022-02-22,16.5842,-0.3296,-1.9487
2022-02-21,16.9138,-0.2154,-1.2575
2022-02-17,17.1292,-0.3177,-1.82095
2022-02-16,17.4469,-0.5454,-3.0313
2022-02-15,17.9923,-0.1358,-0.74911
2022-02-14,18.1281,0.3962,2.23439
2022-02-13,17.7319,-0.0188,-0.10591
2022-02-10,17.7507,-0.5553,-3.03343
2022-02-09,18.306,-0.2759,-1.48478
2022-02-08,18.5819,0.4477,2.46882
2022-02-07,18.1342,0.1763,0.98174
2022-02-06,17.9579,0.5678,3.26508
2022-01-27,17.3901,0.4159,2.45019
2022-01-26,16.9742,-0.2835,-1.64274
2022-01-25,17.2577,-0.0945,-0.5446
2022-01-24,17.3522,-0.5245,-2.93399
2022-01-23,17.8767,0.132,0.74388
2022-01-20,17.7447,-0.4988,-2.73412
2022-01-19,18.2435,-0.0842,-0.45941
2022-01-18,18.3277,-0.1338,-0.72475
2022-01-17,18.4615,-0.4227,-2.23838
2022-01-13,18.8842,0.0326,0.17293
2022-01-12,18.8516,-0.599,-3.0796
2022-01-11,19.4506,0.0056,0.0288
2022-01-10,19.445,0.3158,1.65088
2022-01-09,19.1292,0.0753,0.39519
2022-01-06,19.0539,-0.2393,-1.24033
2022-01-05,19.2932,0.013,0.06743
2022-01-04,19.2802,-0.756,-3.77317
2022-01-03,20.0362,-0.4615,-2.25147
2022-01-02,20.4977,-0.1438,-0.69665
2021-12-29,20.6415,0.0716,0.34808
2021-12-28,20.5699,-0.0583,-0.28262
2021-12-27,20.6282,-0.2308,-1.10648
2021-12-26,20.859,0.2386,1.15711
2021-12-22,20.6204,0.1372,0.66982
2021-12-21,20.4832,0.1123,0.55128
2021-12-20,20.3709,0.6879,3.49489
2021-12-19,19.683,-0.2898,-1.45097
2021-12-16,19.9728,0.1162,0.5852
2021-12-15,19.8566,-0.5298,-2.59879
2021-12-14,20.3864,0.4571,2.29361
2021-12-13,19.9293,-0.3347,-1.6517
2021-12-12,20.264,-0.199,-0.97249
2021-12-09,20.463,-0.1377,-0.66842
2021-12-08,20.6007,-0.4455,-2.11677
2021-12-07,21.0462,0.1388,0.66388
2021-12-06,20.9074,0.7397,3.66775
2021-12-05,20.1677,-0.0789,-0.3897
2021-12-02,20.2466,-0.4778,-2.30549
2021-12-01,20.7244,0.134,0.65079
2021-11-30,20.5904,-0.5077,-2.40638
2021-11-29,21.0981,-0.3268,-1.52533
2021-11-28,21.4249,0.2536,1.19785
2021-11-25,21.1713,-0.2507,-1.17029
2021-11-23,21.422,0.155,0.72883
