tradeDate,nav,change,changePercent
2022-08-30,9.45,-0.03,-0.31646
2022-08-29,9.48,0.02,0.21142
2022-08-28,9.46,-0.02,-0.21097
2022-08-25,9.48,-0.03,-0.31546
2022-08-24,9.51,0.07,0.74153
2022-08-23,9.44,-0.05,-0.52687
2022-08-22,9.49,0.01,0.10549
2022-08-21,9.48,-0.04,-0.42017
2022-08-18,9.52,-0.09,-0.93652
2022-08-17,9.61,-0.06,-0.62048
2022-08-16,9.67,-0.05,-0.5144
2022-08-15,9.72,-0.04,-0.40984
2022-08-14,9.76,-0.02,-0.2045
2022-08-11,9.78,-0.07,-0.71066
2022-08-10,9.85,0.04,0.40775
2022-08-09,9.81,0.08,0.8222
2022-08-08,9.73,0.01,0.10288
2022-08-07,9.72,0.02,0.20619
2022-08-04,9.7,-0.08,-0.818
2022-08-03,9.78,0.1,1.03306
2022-08-02,9.68,0.0,0.0
2022-08-01,9.68,-0.15,-1.52594
2022-07-31,9.83,0.07,0.71721
2022-07-28,9.76,0.1,1.0352
2022-07-27,9.66,0.03,0.31153
2022-07-26,9.63,0.04,0.4171
2022-07-25,9.59,0.01,0.10438
2022-07-24,9.58,0.05,0.52466
2022-07-21,9.53,0.05,0.52743
2022-07-20,9.48,-0.05,-0.52466
2022-07-19,9.53,0.07,0.73996
2022-07-18,9.46,0.05,0.53135
2022-07-17,9.41,0.05,0.53419
2022-07-14,9.36,0.07,0.7535
2022-07-13,9.29,-0.1,-1.06496
2022-07-12,9.39,0.0,0.0
2022-07-11,9.39,0.05,0.53533
2022-07-10,9.34,-0.09,-0.9544
2022-07-07,9.43,0.06,0.64034
2022-07-06,9.37,0.03,0.3212
2022-07-05,9.34,0.11,1.19177
2022-07-04,9.23,-0.11,-1.17773
2022-07-03,9.34,0.07,0.75512
2022-06-30,9.27,-0.03,-0.32258
2022-06-29,9.3,-0.09,-0.95847
2022-06-28,9.39,-0.11,-1.15789
2022-06-27,9.5,0.07,0.74231
2022-06-26,9.43,0.01,0.10616
2022-06-23,9.42,0.12,1.29032
2022-06-22,9.3,0.07,0.7584
2022-06-21,9.23,,
2022-06-20,9.28,0.02,0.21598
2022-06-19,9.26,0.12,1.31291
2022-06-16,9.14,-0.11,-1.18919
2022-06-15,9.25,-0.02,-0.21575
2022-06-14,9.27,0.01,0.10799
2022-06-13,9.26,-0.28,-2.93501
2022-06-09,9.54,-0.14,-1.44628
