tradeDate,nav,change,changePercent
2022-08-31,9.1902,-0.0287,-0.31132
2022-08-30,9.2189,-0.0156,-0.16893
2022-08-29,9.2345,-0.0217,-0.23444
2022-08-28,9.2562,-0.0236,-0.25432
2022-08-25,9.2798,-0.0058,-0.06246
2022-08-24,9.2856,0.0241,0.26022
2022-08-23,9.2615,0.0027,0.02916
2022-08-22,9.2588,-0.0073,-0.07878
2022-08-21,9.2661,-0.0344,-0.36987
2022-08-18,9.3005,-0.0289,-0.30977
2022-08-17,9.3294,-0.0101,-0.10814
2022-08-16,9.3395,-0.0323,-0.34465
2022-08-15,9.3718,-0.0012,-0.0128
2022-08-14,9.373,0.0203,0.21705
2022-08-11,9.3527,0.0108,0.11561
2022-08-10,9.3419,0.0236,0.25327
2022-08-09,9.3183,0.0362,0.39
2022-08-08,9.2821,-0.0547,-0.58585
2022-08-07,9.3368,0.019,0.20391
2022-08-04,9.3178,-0.0152,-0.16286
2022-08-03,9.333,0.0102,0.10941
2022-08-02,9.3228,0.0125,0.13426
2022-08-01,9.3103,-0.0203,-0.21756
2022-07-31,9.3306,0.0143,0.15349
2022-07-28,9.3163,0.0521,0.56238
2022-07-27,9.2642,0.0458,0.49683
2022-07-26,9.2184,0.0127,0.13796
2022-07-25,9.2057,-0.001,-0.01086
2022-07-24,9.2067,0.013,0.1414
2022-07-21,9.1937,0.0328,0.35804
2022-07-20,9.1609,0.027,0.2956
2022-07-19,9.1339,0.034,0.37363
2022-07-18,9.0999,0.007,0.07698
2022-07-17,9.0929,0.0162,0.17848
2022-07-14,9.0767,0.0089,0.09815
2022-07-13,9.0678,-0.033,-0.36261
2022-07-12,9.1008,,
2022-07-11,9.1225,-0.0257,-0.28093
2022-07-10,9.1482,-0.0069,-0.07537
2022-07-07,9.1551,0.0002,0.00218
2022-07-06,9.1549,0.0093,0.10169
2022-07-05,9.1456,-0.0111,-0.12122
2022-07-04,9.1567,-0.0263,-0.2864
2022-06-30,9.183,0.0131,0.14286
2022-06-29,9.1699,-0.0293,-0.31851
2022-06-28,9.1992,-0.0385,-0.41677
2022-06-27,9.2377,-0.0331,-0.35703
2022-06-26,9.2708,-0.0031,-0.03343
2022-06-23,9.2739,0.0142,0.15335
2022-06-22,9.2597,-0.0111,-0.11973
2022-06-21,9.2708,,
2022-06-20,9.2856,-0.0123,-0.13229
2022-06-16,9.2979,-0.0054,-0.05804
2022-06-15,9.3033,-0.0331,-0.35453
2022-06-14,9.3364,0.0367,0.39464
2022-06-13,9.2997,-0.022,-0.23601
2022-06-12,9.3217,-0.138,-1.45882
2022-06-09,9.4597,-0.049,-0.51532
2022-06-08,9.5087,-0.014,-0.14702
2022-06-07,9.5227,-0.0109,-0.11433
2022-06-06,9.5336,-0.0073,-0.07651
2022-06-05,9.5409,-0.0182,-0.19039
2022-06-01,9.5591,-0.0011,-0.01151
2022-05-31,9.5602,0.0081,0.0848
2022-05-30,9.5521,0.0016,0.01675
2022-05-26,9.5505,0.0212,0.22247
2022-05-25,9.5293,0.0451,0.47553
2022-05-24,9.4842,0.0416,0.44056
2022-05-23,9.4426,0.0017,0.01801
2022-05-22,9.4409,0.0157,0.16657
2022-05-19,9.4252,0.0099,0.10515
2022-05-18,9.4153,-0.015,-0.15906
2022-05-17,9.4303,-0.0158,-0.16726
2022-05-16,9.4461,-0.0135,-0.14271
2022-05-15,9.4596,-0.0007,-0.0074
2022-05-12,9.4603,0.0008,0.00846
2022-05-11,9.4595,-0.0284,-0.29933
2022-05-10,9.4879,-0.0058,-0.06109
2022-05-09,9.4937,-0.0109,-0.11468
2022-05-08,9.5046,-0.0291,-0.30523
2022-05-05,9.5337,-0.0358,-0.37411
2022-05-04,9.5695,-0.0186,-0.19399
2022-05-03,9.5881,0.0163,0.17029
2022-05-02,9.5718,-0.0255,-0.2657
2022-04-28,9.5973,-0.0072,-0.07496
2022-04-27,9.6045,0.0077,0.08024
2022-04-26,9.5968,-0.012,-0.12489
2022-04-25,9.6088,0.0034,0.0354
2022-04-24,9.6054,-0.0192,-0.19949
2022-04-21,9.6246,-0.0065,-0.06749
2022-04-20,9.6311,-0.0189,-0.19585
2022-04-19,9.65,-0.0036,-0.03729
2022-04-18,9.6536,-0.0201,-0.20778
2022-04-17,9.6737,-0.0024,-0.0248
2022-04-13,9.6761,-0.0016,-0.01653
2022-04-12,9.6777,0.0053,0.0548
2022-04-11,9.6724,-0.0003,-0.0031
2022-04-10,9.6727,-0.0411,-0.42311
2022-04-07,9.7138,-0.0156,-0.16034
2022-04-06,9.7294,-0.012,-0.12319
2022-04-05,9.7414,0.0164,0.16864
2022-03-31,9.725,-0.0038,-0.03906
2022-03-30,9.7288,0.0166,0.17092
2022-03-29,9.7122,0.039,0.40318
2022-03-28,9.6732,0.0513,0.53316
2022-03-27,9.6219,0.0111,0.1155
2022-03-24,9.6108,-0.0049,-0.05096
2022-03-23,9.6157,-0.0009,-0.00936
2022-03-22,9.6166,0.0202,0.2105
2022-03-21,9.5964,-0.0189,-0.19656
2022-03-20,9.6153,0.0035,0.03641
2022-03-17,9.6118,0.0011,0.01145
2022-03-16,9.6107,0.0741,0.77701
2022-03-15,9.5366,0.0405,0.42649
2022-03-14,9.4961,-0.0359,-0.37663
2022-03-13,9.532,-0.039,-0.40748
2022-03-10,9.571,-0.0213,-0.22205
2022-03-09,9.5923,-0.0005,-0.00521
2022-03-08,9.5928,-0.0128,-0.13326
2022-03-07,9.6056,-0.0458,-0.47454
2022-03-06,9.6514,-0.0471,-0.48564
2022-03-03,9.6985,-0.0265,-0.27249
2022-03-02,9.725,-0.0083,-0.08527
2022-03-01,9.7333,-0.0322,-0.32973
2022-02-28,9.7655,-0.1011,-1.02467
2022-02-24,9.8666,0.0198,0.20108
2022-02-23,9.8468,-0.104,-1.04514
2022-02-22,9.9508,-0.0291,-0.29159
2022-02-21,9.9799,-0.0312,-0.31165
2022-02-17,10.0111,-0.0025,-0.02497
2022-02-16,10.0136,-0.0055,-0.0549
2022-02-15,10.0191,0.0012,0.01198
2022-02-14,10.0179,-0.0119,-0.11865
2022-02-13,10.0298,-0.0474,-0.47037
2022-02-10,10.0772,-0.0075,-0.07437
2022-02-09,10.0847,-0.0249,-0.2463
2022-02-08,10.1096,0.0169,0.16745
2022-02-07,10.0927,-0.0105,-0.10393
2022-02-06,10.1032,-0.0304,-0.29999
2022-01-27,10.1336,-0.0413,-0.4059
