tradeDate,nav,change,changePercent
2022-08-31,12.62,-0.04,-0.31596
2022-08-30,12.66,-0.13,-1.01642
2022-08-29,12.79,-0.08,-0.6216
2022-08-28,12.87,-0.09,-0.69444
2022-08-25,12.96,-0.28,-2.1148
2022-08-24,13.24,0.16,1.22324
2022-08-23,13.08,0.02,0.15314
2022-08-22,13.06,-0.02,-0.15291
2022-08-21,13.08,-0.2,-1.50602
2022-08-18,13.28,-0.14,-1.04322
2022-08-17,13.42,0.01,0.07457
2022-08-16,13.41,-0.11,-0.81361
2022-08-15,13.52,-0.02,-0.14771
2022-08-14,13.54,0.02,0.14793
2022-08-11,13.52,0.11,0.82028
2022-08-10,13.41,-0.03,-0.22321
2022-08-09,13.44,0.2,1.51057
2022-08-08,13.24,-0.09,-0.67517
2022-08-07,13.33,0.01,0.07508
2022-08-04,13.32,-0.01,-0.07502
2022-08-03,13.33,0.04,0.30098
2022-08-02,13.29,0.12,0.91116
2022-08-01,13.17,-0.03,-0.22727
2022-07-31,13.2,-0.01,-0.0757
2022-07-28,13.21,-0.03,-0.22659
2022-07-27,13.24,0.13,0.99161
2022-07-26,13.11,0.22,1.70675
2022-07-25,12.89,-0.1,-0.76982
2022-07-24,12.99,-0.01,-0.07692
2022-07-21,13.0,-0.06,-0.45942
2022-07-20,13.06,0.1,0.7716
2022-07-19,12.96,0.09,0.6993
2022-07-18,12.87,0.2,1.57853
2022-07-17,12.67,-0.03,-0.23622
2022-07-14,12.7,0.15,1.19522
2022-07-13,12.55,-0.02,-0.15911
2022-07-12,12.57,,
2022-07-11,12.61,-0.07,-0.55205
2022-07-10,12.68,-0.08,-0.62696
2022-07-07,12.76,0.01,0.07843
2022-07-06,12.75,0.15,1.19048
2022-07-05,12.6,0.01,0.07943
2022-07-04,12.59,0.07,0.55911
2022-06-30,12.52,0.07,0.56225
2022-06-29,12.45,-0.18,-1.42518
2022-06-28,12.63,-0.02,-0.1581
2022-06-27,12.65,-0.18,-1.40296
2022-06-26,12.83,-0.03,-0.23328
2022-06-23,12.86,0.22,1.74051
2022-06-22,12.64,0.13,1.03917
2022-06-21,12.51,-0.01,-0.07987
2022-06-20,12.52,0.16,1.2945
2022-06-16,12.36,0.04,0.32468
2022-06-15,12.32,-0.28,-2.22222
2022-06-14,12.6,0.19,1.53102
2022-06-13,12.41,-0.01,-0.08052
2022-06-12,12.42,-0.49,-3.79551
2022-06-09,12.91,-0.31,-2.34493
2022-06-08,13.22,-0.18,-1.34328
2022-06-07,13.4,-0.07,-0.51967
2022-06-06,13.47,0.06,0.44743
2022-06-05,13.41,-0.11,-0.81361
2022-06-01,13.52,0.19,1.42536
2022-05-31,13.33,-0.13,-0.96582
2022-05-30,13.46,-0.1,-0.73746
2022-05-26,13.56,0.18,1.34529
2022-05-25,13.38,0.2,1.51745
2022-05-24,13.18,0.12,0.91884
2022-05-23,13.06,-0.06,-0.45732
2022-05-22,13.12,0.1,0.76805
2022-05-19,13.02,0.03,0.23095
2022-05-18,12.99,0.03,0.23148
2022-05-17,12.96,-0.28,-2.1148
2022-05-16,13.24,0.15,1.14591
2022-05-15,13.09,-0.05,-0.38052
2022-05-12,13.14,0.23,1.78156
2022-05-11,12.91,-0.02,-0.15468
2022-05-10,12.93,-0.1,-0.76746
2022-05-09,13.03,0.02,0.15373
2022-05-08,13.01,-0.35,-2.61976
2022-05-05,13.36,-0.12,-0.89021
2022-05-04,13.48,-0.32,-2.31884
2022-05-03,13.8,0.18,1.32159
2022-05-02,13.62,0.08,0.59084
2022-04-28,13.54,-0.36,-2.58993
2022-04-27,13.9,0.17,1.23816
2022-04-26,13.73,-0.02,-0.14545
2022-04-25,13.75,-0.21,-1.5043
2022-04-24,13.96,0.06,0.43165
2022-04-21,13.9,-0.25,-1.76678
2022-04-20,14.15,-0.18,-1.25611
2022-04-19,14.33,0.01,0.06983
2022-04-18,14.32,0.1,0.70323
2022-04-17,14.22,-0.02,-0.14045
2022-04-13,14.24,-0.1,-0.69735
2022-04-12,14.34,0.12,0.84388
2022-04-11,14.22,-0.01,-0.07027
2022-04-10,14.23,-0.15,-1.04312
2022-04-07,14.38,-0.06,-0.41551
2022-04-06,14.44,0.0,0.0
2022-04-05,14.44,-0.19,-1.2987
2022-03-31,14.63,0.03,0.20548
2022-03-30,14.6,-0.16,-1.08401
2022-03-29,14.76,-0.06,-0.40486
2022-03-28,14.82,0.16,1.09141
2022-03-27,14.66,0.06,0.41096
2022-03-24,14.6,-0.03,-0.20506
2022-03-23,14.63,0.1,0.68823
2022-03-22,14.53,-0.12,-0.81911
2022-03-21,14.65,0.09,0.61813
2022-03-20,14.56,-0.08,-0.54645
2022-03-17,14.64,0.11,0.75705
2022-03-16,14.53,0.12,0.83276
2022-03-15,14.41,0.25,1.76554
2022-03-14,14.16,0.17,1.21515
2022-03-13,13.99,-0.16,-1.13074
2022-03-10,14.15,-0.14,-0.97971
2022-03-09,14.29,-0.06,-0.41812
2022-03-08,14.35,0.24,1.70092
2022-03-07,14.11,-0.08,-0.56378
2022-03-06,14.19,-0.29,-2.00276
2022-03-03,14.48,-0.11,-0.75394
2022-03-02,14.59,-0.09,-0.61308
2022-03-01,14.68,0.1,0.68587
2022-02-28,14.58,-0.12,-0.81633
2022-02-24,14.7,0.11,0.75394
2022-02-23,14.59,0.18,1.24913
2022-02-22,14.41,-0.15,-1.03022
2022-02-21,14.56,-0.08,-0.54645
2022-02-17,14.64,-0.07,-0.47587
2022-02-16,14.71,-0.17,-1.14247
2022-02-15,14.88,0.01,0.06725
2022-02-14,14.87,0.16,1.0877
2022-02-13,14.71,-0.06,-0.40623
2022-02-10,14.77,-0.2,-1.33601
2022-02-09,14.97,-0.19,-1.2533
2022-02-08,15.16,0.17,1.13409
2022-02-07,14.99,0.05,0.33467
2022-02-06,14.94,0.2,1.35685
2022-01-25,14.74,-0.07,-0.47265
2022-01-24,14.81,-0.17,-1.13485
2022-01-23,14.98,0.04,0.26774
2022-01-20,14.94,-0.2,-1.321
2022-01-19,15.14,-0.1,-0.65617
2022-01-18,15.24,-0.06,-0.39216
2022-01-17,15.3,-0.22,-1.41753
2022-01-13,15.52,-0.02,-0.1287
2022-01-12,15.54,-0.16,-1.01911
2022-01-11,15.7,0.03,0.19145
2022-01-10,15.67,0.13,0.83655
2022-01-09,15.54,-0.03,-0.19268
2022-01-06,15.57,-0.12,-0.76482
2022-01-05,15.69,-0.02,-0.12731
2022-01-04,15.71,-0.25,-1.56642
2022-01-03,15.96,-0.08,-0.49875
2022-01-02,16.04,-0.07,-0.43451
2021-12-29,16.11,-0.07,-0.43263
2021-12-28,16.18,0.01,0.06184
2021-12-27,16.17,-0.03,-0.18519
2021-12-26,16.2,0.11,0.68365
2021-12-22,16.09,0.06,0.3743
2021-12-21,16.03,0.11,0.69095
2021-12-20,15.92,0.2,1.27226
2021-12-19,15.72,-0.09,-0.56926
2021-12-16,15.81,-0.04,-0.25237
2021-12-15,15.85,-0.14,-0.87555
2021-12-14,15.99,0.16,1.01074
2021-12-13,15.83,-0.1,-0.62775
2021-12-12,15.93,-0.09,-0.5618
2021-12-09,16.02,0.07,0.43887
2021-12-08,15.95,-0.1,-0.62305
2021-12-07,16.05,0.06,0.37523
2021-12-06,15.99,0.24,1.52381
2021-12-05,15.75,0.11,0.70332
2021-12-02,15.64,-0.1,-0.63532
2021-12-01,15.74,0.1,0.63939
2021-11-30,15.64,-0.12,-0.76142
2021-11-29,15.76,-0.26,-1.62297
2021-11-28,16.02,0.14,0.88161
2021-11-25,15.88,-0.22,-1.36646
2021-11-23,16.1,0.05,0.31153
2021-11-22,16.05,-0.05,-0.31056
2021-11-21,16.1,-0.13,-0.80099
2021-11-18,16.23,-0.02,-0.12308
2021-11-17,16.25,0.01,0.06158
2021-11-16,16.24,-0.06,-0.3681
2021-11-15,16.3,0.06,0.36946
2021-11-14,16.24,-0.02,-0.123
2021-11-11,16.26,0.09,0.55659
2021-11-09,16.17,-0.15,-0.91912
2021-11-08,16.32,0.0,0.0
2021-11-07,16.32,0.03,0.18416
2021-11-04,16.29,0.06,0.36969
2021-11-03,16.23,0.12,0.74488
2021-11-02,16.11,0.05,0.31133
2021-11-01,16.06,0.02,0.12469
2021-10-31,16.04,0.0,0.0
2021-10-28,16.04,-0.05,-0.31075
2021-10-27,16.09,0.08,0.49969
2021-10-26,16.01,-0.03,-0.18703
2021-10-25,16.04,-0.01,-0.06231
2021-10-24,16.05,0.04,0.24984
2021-10-21,16.01,-0.06,-0.37337
2021-10-20,16.07,0.04,0.24953
2021-10-19,16.03,0.02,0.12492
2021-10-18,16.01,0.06,0.37618
2021-10-17,15.95,0.04,0.25141
2021-10-14,15.91,0.06,0.37855
2021-10-13,15.85,0.16,1.01976
2021-10-12,15.69,0.06,0.38388
2021-10-11,15.63,-0.08,-0.50923
2021-10-07,15.71,-0.05,-0.31726
2021-10-06,15.76,0.1,0.63857
2021-10-05,15.66,0.04,0.25608
2021-10-04,15.62,0.1,0.64433
2021-10-03,15.52,-0.17,-1.08349
2021-09-30,15.69,0.1,0.64144
2021-09-29,15.59,-0.15,-0.95299
2021-09-28,15.74,-0.01,-0.06349
2021-09-27,15.75,-0.26,-1.62399
2021-09-26,16.01,-0.07,-0.43532
2021-09-23,16.08,0.0,0.0
2021-09-22,16.08,0.1,0.62578
2021-09-21,15.98,-0.08,-0.49813
2021-09-16,16.06,-0.09,-0.55728
2021-09-15,16.15,0.01,0.06196
2021-09-14,16.14,0.06,0.37313
2021-09-13,16.08,-0.02,-0.12422
2021-09-12,16.1,0.0,0.0
2021-09-09,16.1,-0.06,-0.37129
2021-09-08,16.16,-0.04,-0.24691
2021-09-07,16.2,-0.02,-0.1233
2021-09-06,16.22,-0.05,-0.30731
2021-09-02,16.27,0.03,0.18473
2021-09-01,16.24,0.02,0.1233
2021-08-31,16.22,0.03,0.1853
2021-08-30,16.19,-0.08,-0.4917
2021-08-29,16.27,0.06,0.37014
2021-08-26,16.21,0.1,0.62073
2021-08-25,16.11,-0.06,-0.37106
2021-08-24,16.17,0.03,0.18587
2021-08-23,16.14,0.04,0.24845
2021-08-22,16.1,0.1,0.625
2021-08-19,16.0,0.1,0.62893
2021-08-18,15.9,0.02,0.12594
2021-08-17,15.88,-0.09,-0.56356
2021-08-16,15.97,-0.07,-0.43641
2021-08-15,16.04,0.0,0.0
2021-08-12,16.04,0.02,0.12484
2021-08-11,16.02,0.02,0.125
2021-08-10,16.0,0.01,0.06254
2021-08-09,15.99,-0.04,-0.24953
2021-08-08,16.03,-0.02,-0.12461
2021-08-05,16.05,-0.02,-0.12446
2021-08-04,16.07,0.07,0.4375
2021-08-03,16.0,-0.01,-0.06246
2021-08-02,16.01,0.03,0.18773
2021-08-01,15.98,0.0,0.0
2021-07-29,15.98,-0.13,-0.80695
2021-07-28,16.11,0.03,0.18657
2021-07-27,16.08,0.04,0.24938
2021-07-26,16.04,-0.07,-0.43451
2021-07-25,16.11,-0.02,-0.12399
2021-07-22,16.13,0.12,0.74953
2021-07-21,16.01,0.05,0.31328
2021-07-20,15.96,0.09,0.56711
2021-07-19,15.87,0.14,0.89002
2021-07-18,15.73,-0.12,-0.7571
2021-07-15,15.85,-0.05,-0.31447
2021-07-14,15.9,-0.04,-0.25094
2021-07-13,15.94,-0.01,-0.0627
2021-07-12,15.95,-0.03,-0.18773
2021-07-11,15.98,0.01,0.06262
2021-07-08,15.97,0.08,0.50346
2021-07-07,15.89,-0.08,-0.50094
2021-07-06,15.97,0.02,0.12539
2021-07-05,15.95,0.02,0.12555
2021-07-01,15.93,0.08,0.50473
2021-06-30,15.85,0.04,0.253
2021-06-29,15.81,-0.09,-0.56604
2021-06-28,15.9,0.02,0.12594
2021-06-27,15.88,0.05,0.31586
2021-06-24,15.83,0.04,0.25332
2021-06-23,15.79,0.07,0.44529
2021-06-22,15.72,0.0,0.0
2021-06-21,15.72,0.06,0.38314
2021-06-20,15.66,0.11,0.7074
2021-06-17,15.55,-0.08,-0.51184
2021-06-16,15.63,0.06,0.38536
2021-06-15,15.57,-0.06,-0.38388
2021-06-14,15.63,-0.02,-0.1278
2021-06-10,15.65,0.02,0.12796
2021-06-09,15.63,0.1,0.64392
2021-06-08,15.53,-0.01,-0.06435
2021-06-07,15.54,0.03,0.19342
2021-06-06,15.51,0.02,0.12912
2021-06-03,15.49,0.11,0.71521
2021-06-02,15.38,-0.07,-0.45307
2021-06-01,15.45,0.02,0.12962
2021-05-31,15.43,-0.01,-0.06477
2021-05-27,15.44,-0.05,-0.32279
2021-05-26,15.49,0.0,0.0
2021-05-25,15.49,0.05,0.32383
2021-05-24,15.44,0.01,0.06481
2021-05-23,15.43,0.11,0.71802
2021-05-20,15.32,0.0,0.0
2021-05-19,15.32,0.14,0.92227
2021-05-18,15.18,-0.03,-0.19724
2021-05-17,15.21,-0.04,-0.2623
2021-05-16,15.25,-0.04,-0.26161
2021-05-13,15.29,0.18,1.19126
2021-05-12,15.11,0.08,0.53227
2021-05-11,15.03,-0.25,-1.63613
2021-05-10,15.28,-0.04,-0.2611
2021-05-09,15.32,-0.14,-0.90556
2021-05-06,15.46,0.08,0.52016
2021-05-05,15.38,0.03,0.19544
2021-05-04,15.35,-0.02,-0.13012
2021-05-03,15.37,-0.11,-0.71059
2021-05-02,15.48,-0.09,-0.57803
2021-04-28,15.57,-0.02,-0.12829
2021-04-27,15.59,0.0,0.0
2021-04-26,15.59,-0.02,-0.12812
2021-04-25,15.61,0.04,0.2569
2021-04-22,15.57,0.13,0.84197
2021-04-21,15.44,-0.07,-0.45132
2021-04-20,15.51,0.11,0.71429
2021-04-19,15.4,-0.06,-0.3881
2021-04-18,15.46,-0.07,-0.45074
2021-04-15,15.53,0.01,0.06443
2021-04-14,15.52,0.15,0.97593
2021-04-13,15.37,-0.05,-0.32425
2021-04-12,15.42,0.05,0.32531
2021-04-11,15.37,-0.02,-0.12995
2021-04-08,15.39,0.04,0.26059
2021-04-07,15.35,0.07,0.45812
2021-04-06,15.28,0.0,0.0
2021-04-05,15.28,0.13,0.85809
2021-03-31,15.15,0.14,0.93271
2021-03-30,15.01,0.01,0.06667
2021-03-29,15.0,-0.02,-0.13316
2021-03-28,15.02,-0.02,-0.13298
2021-03-25,15.04,0.14,0.9396
2021-03-24,14.9,0.02,0.13441
2021-03-23,14.88,-0.1,-0.66756
2021-03-22,14.98,-0.06,-0.39894
2021-03-21,15.04,0.1,0.66934
2021-03-18,14.94,0.05,0.3358
2021-03-17,14.89,-0.22,-1.45599
2021-03-16,15.11,0.02,0.13254
2021-03-15,15.09,-0.02,-0.13236
2021-03-14,15.11,0.05,0.33201
2021-03-11,15.06,-0.05,-0.33091
2021-03-10,15.11,0.18,1.20563
2021-03-09,14.93,0.03,0.20134
2021-03-08,14.9,0.23,1.56783
2021-03-07,14.67,-0.18,-1.21212
2021-03-04,14.85,0.13,0.88315
2021-03-03,14.72,-0.19,-1.27431
2021-03-02,14.91,-0.21,-1.38889
2021-03-01,15.12,0.13,0.86724
2021-02-25,14.99,0.04,0.26756
2021-02-24,14.95,-0.31,-2.03145
2021-02-23,15.26,0.05,0.32873
2021-02-22,15.21,-0.01,-0.0657
2021-02-21,15.22,-0.18,-1.16883
2021-02-18,15.4,-0.04,-0.25907
2021-02-17,15.44,-0.04,-0.2584
2021-02-16,15.48,0.1,0.6502
2021-02-04,15.38,0.07,0.45722
2021-02-03,15.31,0.09,0.59133
2021-02-02,15.22,0.0,0.0
2021-02-01,15.22,0.15,0.99536
2021-01-31,15.07,0.18,1.20887
2021-01-28,14.89,-0.13,-0.86551
2021-01-27,15.02,0.06,0.40107
2021-01-26,14.96,-0.09,-0.59801
2021-01-25,15.05,0.0,0.0
