tradeDate,nav,change,changePercent
2022-08-31,11.3417,-0.052,-0.45639
2022-08-30,11.3937,-0.0614,-0.53601
2022-08-29,11.4551,-0.1319,-1.13834
2022-08-28,11.587,-0.0848,-0.72654
2022-08-25,11.6718,-0.2797,-2.34029
2022-08-24,11.9515,0.1289,1.09028
2022-08-23,11.8226,0.0211,0.17879
2022-08-22,11.8015,-0.0238,-0.20126
2022-08-21,11.8253,-0.2082,-1.73017
2022-08-18,12.0335,-0.1515,-1.24333
2022-08-17,12.185,0.0113,0.09282
2022-08-16,12.1737,-0.0861,-0.7023
2022-08-15,12.2598,0.0214,0.17486
2022-08-14,12.2384,0.0249,0.20387
2022-08-11,12.2135,0.1282,1.06079
2022-08-10,12.0853,0.0192,0.15912
2022-08-09,12.0661,0.2201,1.85801
2022-08-08,11.846,-0.0672,-0.56408
2022-08-07,11.9132,0.0293,0.24655
2022-08-04,11.8839,-0.0415,-0.348
2022-08-03,11.9254,0.0243,0.20418
2022-08-02,11.9011,0.1222,1.03745
2022-08-01,11.7789,-0.0804,-0.67795
2022-07-31,11.8593,-0.012,-0.10108
2022-07-28,11.8713,0.1211,1.03062
2022-07-27,11.7502,0.1161,0.99793
2022-07-26,11.6341,0.2248,1.97032
2022-07-25,11.4093,-0.1247,-1.08115
2022-07-24,11.534,0.018,0.1563
2022-07-21,11.516,-0.0675,-0.58273
2022-07-20,11.5835,0.0847,0.7366
2022-07-19,11.4988,0.0465,0.40603
2022-07-18,11.4523,0.2132,1.89695
2022-07-17,11.2391,0.0039,0.03471
2022-07-14,11.2352,0.1857,1.68062
2022-07-13,11.0495,-0.082,-0.73665
2022-07-12,11.1315,-0.0696,-0.62137
2022-07-11,11.2011,-0.0559,-0.49658
2022-07-10,11.257,-0.1619,-1.41782
2022-07-07,11.4189,0.0105,0.09204
2022-07-06,11.4084,0.1736,1.5452
2022-07-05,11.2348,0.0431,0.38511
2022-07-04,11.1917,-0.0679,-0.60304
2022-06-30,11.2596,0.0395,0.35205
2022-06-29,11.2201,-0.0732,-0.64817
2022-06-28,11.2933,-0.0591,-0.52059
2022-06-27,11.3524,-0.1415,-1.23109
2022-06-26,11.4939,0.0089,0.07749
2022-06-23,11.485,0.3119,2.79153
2022-06-22,11.1731,0.0365,0.32775
2022-06-21,11.1366,-0.0408,-0.36502
2022-06-20,11.1774,0.2176,1.98544
2022-06-16,10.9598,0.0029,0.02647
2022-06-15,10.9569,-0.2906,-2.58369
2022-06-14,11.2475,0.1227,1.10294
2022-06-13,11.1248,-0.042,-0.37611
2022-06-12,11.1668,-0.3793,-3.28509
2022-06-09,11.5461,-0.3304,-2.78196
2022-06-08,11.8765,-0.2485,-2.04948
2022-06-07,12.125,-0.0671,-0.55036
2022-06-06,12.1921,0.0431,0.35476
2022-06-05,12.149,-0.0813,-0.66474
2022-06-01,12.2303,0.1565,1.2962
2022-05-31,12.0738,-0.1059,-0.86948
2022-05-30,12.1797,-0.01,-0.08204
2022-05-26,12.1897,0.2193,1.83202
2022-05-25,11.9704,0.1861,1.57922
2022-05-24,11.7843,0.0853,0.72912
2022-05-23,11.699,-0.1078,-0.91303
2022-05-22,11.8068,0.1977,1.70297
2022-05-19,11.6091,0.0057,0.04912
2022-05-18,11.6034,-0.046,-0.39487
2022-05-17,11.6494,-0.3302,-2.75635
2022-05-16,11.9796,0.2272,1.93322
2022-05-15,11.7524,-0.0301,-0.25546
2022-05-12,11.7825,0.2649,2.29996
2022-05-11,11.5176,-0.0931,-0.80185
2022-05-10,11.6107,-0.0806,-0.6894
2022-05-09,11.6913,0.0095,0.08132
2022-05-08,11.6818,-0.3402,-2.82981
2022-05-05,12.022,-0.1207,-0.99401
2022-05-04,12.1427,-0.2916,-2.34513
2022-05-03,12.4343,0.1947,1.59074
2022-05-02,12.2396,0.0572,0.46953
2022-04-28,12.1824,-0.2244,-1.80869
2022-04-27,12.4068,0.1798,1.47052
2022-04-26,12.227,0.02,0.16384
2022-04-25,12.207,-0.2454,-1.9707
2022-04-24,12.4524,-0.081,-0.64627
2022-04-21,12.5334,-0.3232,-2.51388
2022-04-20,12.8566,-0.1251,-0.96366
2022-04-19,12.9817,0.0445,0.34397
2022-04-18,12.9372,0.1142,0.89059
2022-04-17,12.823,-0.0424,-0.32957
2022-04-13,12.8654,-0.0885,-0.68319
2022-04-12,12.9539,0.0938,0.72939
2022-04-11,12.8601,-0.0443,-0.34329
2022-04-10,12.9044,-0.1925,-1.46981
2022-04-07,13.0969,0.0212,0.16213
2022-04-06,13.0757,-0.0039,-0.02982
2022-04-05,13.0796,-0.1981,-1.49198
2022-03-31,13.2777,0.0007,0.00527
2022-03-30,13.277,-0.1704,-1.26716
2022-03-29,13.4474,-0.0419,-0.31062
2022-03-28,13.4893,0.1868,1.40425
2022-03-27,13.3025,0.0362,0.27287
2022-03-24,13.2663,0.045,0.34036
2022-03-23,13.2213,0.0969,0.73832
2022-03-22,13.1244,-0.1184,-0.89407
2022-03-21,13.2428,0.1337,1.0199
2022-03-20,13.1091,-0.0128,-0.09755
2022-03-17,13.1219,0.1129,0.86786
2022-03-16,13.009,0.1382,1.07375
2022-03-15,12.8708,0.2854,2.26771
2022-03-14,12.5854,0.1067,0.85506
2022-03-13,12.4787,-0.066,-0.52612
2022-03-10,12.5447,-0.0825,-0.65335
2022-03-09,12.6272,-0.0561,-0.44231
2022-03-08,12.6833,0.2642,2.12737
2022-03-07,12.4191,-0.0772,-0.61778
2022-03-06,12.4963,-0.316,-2.46638
2022-03-03,12.8123,-0.201,-1.54457
2022-03-02,13.0133,-0.0975,-0.74366
2022-03-01,13.1108,0.1525,1.17685
2022-02-28,12.9583,-0.2423,-1.83552
2022-02-24,13.2006,0.2898,2.24463
2022-02-23,12.9108,-0.0667,-0.51397
2022-02-22,12.9775,-0.1422,-1.08387
2022-02-21,13.1197,-0.1468,-1.10655
2022-02-17,13.2665,-0.0959,-0.71769
2022-02-16,13.3624,-0.1811,-1.33717
2022-02-15,13.5435,0.0117,0.08646
2022-02-14,13.5318,0.2069,1.55273
2022-02-13,13.3249,-0.1155,-0.85935
2022-02-10,13.4404,-0.2165,-1.58528
