tradeDate,nav,change,changePercent
2022-08-30,9.7073,-0.0322,-0.33061
2022-08-29,9.7395,-0.0585,-0.59706
2022-08-28,9.798,-0.0025,-0.02551
2022-08-25,9.8005,0.0126,0.12873
2022-08-24,9.7879,-0.0175,-0.17847
2022-08-23,9.8054,-0.0131,-0.13342
2022-08-22,9.8185,-0.0614,-0.62146
2022-08-21,9.8799,-0.0468,-0.47146
2022-08-18,9.9267,0.0035,0.03527
2022-08-17,9.9232,-0.0238,-0.23927
2022-08-16,9.947,0.0004,0.00402
2022-08-15,9.9466,0.01,0.10064
2022-08-14,9.9366,0.0183,0.18451
2022-08-11,9.9183,0.0152,0.15349
2022-08-10,9.9031,0.0233,0.23583
2022-08-09,9.8798,-0.0206,-0.20807
2022-08-08,9.9004,0.0065,0.0657
2022-08-07,9.8939,-0.0193,-0.19469
2022-08-04,9.9132,0.0369,0.37362
2022-08-03,9.8763,0.0051,0.05167
2022-08-02,9.8712,-0.0006,-0.00608
2022-08-01,9.8718,0.0335,0.34051
2022-07-31,9.8383,0.0419,0.42771
2022-07-28,9.7964,0.0457,0.46868
2022-07-27,9.7507,0.0137,0.1407
2022-07-26,9.737,-0.0117,-0.12002
2022-07-25,9.7487,0.0084,0.08624
2022-07-24,9.7403,0.0414,0.42685
2022-07-21,9.6989,0.0197,0.20353
2022-07-20,9.6792,0.0382,0.39622
2022-07-19,9.641,0.0233,0.24226
2022-07-18,9.6177,0.0308,0.32127
2022-07-17,9.5869,0.0448,0.4695
2022-07-14,9.5421,-0.0497,-0.51815
2022-07-13,9.5918,-0.0019,-0.0198
2022-07-12,9.5937,-0.0035,-0.03647
2022-07-11,9.5972,0.0174,0.18163
2022-07-10,9.5798,0.0297,0.31099
2022-07-07,9.5501,0.0659,0.69484
2022-07-06,9.4842,0.016,0.16899
2022-07-05,9.4682,-0.0056,-0.05911
2022-07-04,9.4738,0.0232,0.24549
2022-06-30,9.4506,-0.0172,-0.18167
2022-06-29,9.4678,-0.0569,-0.59739
2022-06-28,9.5247,-0.0466,-0.48687
2022-06-27,9.5713,0.0025,0.02613
2022-06-26,9.5688,0.0549,0.57705
2022-06-23,9.5139,0.0181,0.19061
2022-06-22,9.4958,-0.0171,-0.17976
2022-06-21,9.5129,,
2022-06-20,9.4971,0.0288,0.30417
2022-06-16,9.4683,-0.0685,-0.71827
2022-06-15,9.5368,0.0364,0.38314
2022-06-14,9.5004,-0.0307,-0.3221
2022-06-13,9.5311,-0.1867,-1.92122
2022-06-12,9.7178,-0.0779,-0.79525
2022-06-09,9.7957,-0.0255,-0.25964
2022-06-08,9.8212,-0.0246,-0.24985
2022-06-07,9.8458,-0.0167,-0.16933
2022-06-06,9.8625,-0.041,-0.414
2022-06-05,9.9035,-0.0169,-0.17036
2022-06-01,9.9204,0.0009,0.00907
2022-05-31,9.9195,-0.0201,-0.20222
2022-05-30,9.9396,0.0523,0.52896
2022-05-26,9.8873,0.0824,0.8404
2022-05-25,9.8049,0.0621,0.63739
2022-05-24,9.7428,0.012,0.12332
2022-05-23,9.7308,0.0187,0.19254
2022-05-22,9.7121,0.0083,0.08553
2022-05-19,9.7038,-0.0115,-0.11837
2022-05-18,9.7153,-0.0396,-0.40595
2022-05-17,9.7549,-0.0005,-0.00513
2022-05-16,9.7554,-0.0089,-0.09115
2022-05-15,9.7643,-0.0017,-0.01741
2022-05-12,9.766,-0.0223,-0.22782
2022-05-11,9.7883,-0.0009,-0.00919
2022-05-10,9.7892,-0.0079,-0.08064
2022-05-09,9.7971,-0.0553,-0.56128
2022-05-08,9.8524,-0.0205,-0.20764
2022-05-05,9.8729,-0.0199,-0.20116
2022-05-04,9.8928,0.0091,0.09207
2022-05-03,9.8837,0.013,0.1317
2022-05-02,9.8707,-0.0694,-0.69818
2022-04-28,9.9401,-0.0089,-0.08946
2022-04-27,9.949,-0.0086,-0.08637
2022-04-26,9.9576,-0.0079,-0.07927
2022-04-25,9.9655,-0.0074,-0.0742
2022-04-24,9.9729,-0.0128,-0.12818
2022-04-21,9.9857,-0.0018,-0.01802
2022-04-20,9.9875,0.0072,0.07214
2022-04-19,9.9803,-0.0124,-0.12409
2022-04-18,9.9927,-0.0094,-0.09398
2022-04-17,10.0021,0.0057,0.05702
2022-04-13,9.9964,0.0114,0.11417
2022-04-12,9.985,0.0102,0.10226
2022-04-11,9.9748,-0.0238,-0.23803
2022-04-10,9.9986,-0.0136,-0.13583
2022-04-07,10.0122,-0.0066,-0.06588
2022-04-06,10.0188,-0.0234,-0.23302
2022-04-05,10.0422,-0.0135,-0.13425
2022-03-31,10.0557,-0.0078,-0.07751
2022-03-30,10.0635,0.0176,0.1752
2022-03-29,10.0459,0.0458,0.458
2022-03-28,10.0001,0.0017,0.017
2022-03-27,9.9984,-0.0094,-0.09393
2022-03-24,10.0078,0.0017,0.01699
2022-03-23,10.0061,-0.0012,-0.01199
2022-03-22,10.0073,-0.0166,-0.1656
2022-03-21,10.0239,-0.0091,-0.0907
2022-03-20,10.033,0.0115,0.11475
2022-03-17,10.0215,0.0357,0.35751
2022-03-16,9.9858,0.0295,0.29629
2022-03-15,9.9563,-0.0113,-0.11337
2022-03-14,9.9676,-0.0475,-0.47428
2022-03-13,10.0151,-0.0155,-0.15453
2022-03-10,10.0306,-0.019,-0.18906
2022-03-09,10.0496,0.0192,0.19142
2022-03-08,10.0304,-0.0386,-0.38335
2022-03-07,10.069,-0.0209,-0.20714
2022-03-06,10.0899,-0.0304,-0.30039
2022-03-03,10.1203,-0.0055,-0.05432
2022-03-02,10.1258,-0.0024,-0.0237
2022-03-01,10.1282,0.0043,0.04247
2022-02-28,10.1239,0.048,0.47638
2022-02-24,10.0759,-0.0223,-0.22083
2022-02-23,10.0982,0.0011,0.01089
2022-02-22,10.0971,0.0003,0.00297
2022-02-21,10.0968,-0.0022,-0.02178
2022-02-17,10.099,0.0004,0.00396
2022-02-16,10.0986,-0.002,-0.0198
2022-02-15,10.1006,0.0137,0.13582
2022-02-14,10.0869,-0.0259,-0.25611
2022-02-13,10.1128,-0.0358,-0.35276
2022-02-10,10.1486,-0.0155,-0.1525
2022-02-09,10.1641,0.0066,0.06498
2022-02-08,10.1575,-0.0021,-0.02067
2022-02-07,10.1596,-0.0047,-0.04624
2022-02-06,10.1643,-0.0381,-0.37344
2022-01-27,10.2024,-0.0186,-0.18198
2022-01-26,10.221,0.0175,0.17151
2022-01-25,10.2035,-0.0094,-0.09204
2022-01-24,10.2129,-0.0133,-0.13006
2022-01-23,10.2262,-0.0039,-0.03812
2022-01-20,10.2301,0.0028,0.02738
2022-01-19,10.2273,0.0032,0.0313
2022-01-18,10.2241,-0.0187,-0.18257
2022-01-17,10.2428,0.0072,0.07034
2022-01-13,10.2356,0.0037,0.03616
2022-01-12,10.2319,-0.0037,-0.03615
2022-01-11,10.2356,0.0157,0.15362
2022-01-10,10.2199,-0.0066,-0.06454
2022-01-09,10.2265,-0.0071,-0.06938
2022-01-06,10.2336,-0.0149,-0.14539
2022-01-05,10.2485,0.0006,0.00585
2022-01-04,10.2479,-0.0119,-0.11599
2022-01-03,10.2598,-0.0008,-0.0078
2022-01-02,10.2606,0.0031,0.03022
2021-12-29,10.2575,-0.0076,-0.07404
2021-12-28,10.2651,0.0034,0.03313
2021-12-27,10.2617,0.0008,0.0078
2021-12-26,10.2609,0.0167,0.16302
2021-12-22,10.2442,0.0037,0.03613
2021-12-21,10.2405,0.0049,0.04787
2021-12-20,10.2356,-0.0032,-0.03125
2021-12-19,10.2388,0.0057,0.0557
2021-12-16,10.2331,0.0109,0.10663
2021-12-15,10.2222,0.0066,0.06461
2021-12-14,10.2156,-0.0074,-0.07239
2021-12-13,10.223,0.0023,0.0225
2021-12-12,10.2207,0.0008,0.00783
2021-12-09,10.2199,-0.0115,-0.1124
2021-12-08,10.2314,-0.0023,-0.02247
2021-12-07,10.2337,0.0235,0.23016
2021-12-06,10.2102,0.0061,0.05978
2021-12-05,10.2041,0.0101,0.09908
2021-12-02,10.194,0.0125,0.12277
2021-12-01,10.1815,0.0091,0.08946
2021-11-30,10.1724,-0.0044,-0.04324
2021-11-29,10.1768,0.0127,0.12495
2021-11-28,10.1641,-0.0236,-0.23165
2021-11-25,10.1877,0.0013,0.01276
2021-11-23,10.1864,-0.0187,-0.18324
2021-11-22,10.2051,-0.0011,-0.01078
2021-11-21,10.2062,0.0058,0.05686
2021-11-18,10.2004,-0.0035,-0.0343
2021-11-17,10.2039,-0.0042,-0.04114
2021-11-16,10.2081,0.0025,0.0245
2021-11-15,10.2056,-0.0064,-0.06267
2021-11-14,10.212,-0.0053,-0.05187
2021-11-11,10.2173,-0.0128,-0.12512
2021-11-10,10.2301,-0.0185,-0.18051
2021-11-09,10.2486,0.0018,0.01757
2021-11-08,10.2468,0.0009,0.00878
2021-11-07,10.2459,0.0138,0.13487
2021-11-04,10.2321,0.0045,0.044
2021-11-03,10.2276,0.0059,0.05772
2021-11-02,10.2217,0.0037,0.03621
2021-11-01,10.218,0.0023,0.02251
2021-10-31,10.2157,0.0014,0.01371
2021-10-28,10.2143,0.0004,0.00392
2021-10-27,10.2139,-0.004,-0.03915
2021-10-26,10.2179,0.0027,0.02643
2021-10-25,10.2152,-0.0026,-0.02545
2021-10-24,10.2178,-0.0014,-0.0137
2021-10-21,10.2192,-0.0023,-0.0225
2021-10-20,10.2215,0.0006,0.00587
2021-10-19,10.2209,-0.0001,-0.00098
2021-10-18,10.221,-0.0033,-0.03228
2021-10-17,10.2243,0.0039,0.03816
2021-10-14,10.2204,0.0146,0.14306
2021-10-13,10.2058,-0.0049,-0.04799
2021-10-12,10.2107,-0.0098,-0.09589
2021-10-11,10.2205,-0.0103,-0.10068
2021-10-07,10.2308,-0.0001,-0.00098
2021-10-06,10.2309,-0.0147,-0.14348
2021-10-05,10.2456,0.0009,0.00879
2021-10-04,10.2447,-0.0041,-0.04
2021-10-03,10.2488,0.0012,0.01171
2021-09-30,10.2476,-0.0098,-0.09554
2021-09-29,10.2574,0.006,0.05853
