tradeDate,nav,change,changePercent
2022-08-30,8.3436,0.0052,0.06236
2022-08-29,8.3384,0.0115,0.13811
2022-08-28,8.3269,-0.0159,-0.19058
2022-08-25,8.3428,0.0176,0.21141
2022-08-24,8.3252,0.0251,0.30241
2022-08-23,8.3001,0.0074,0.08924
2022-08-22,8.2927,-0.0068,-0.08193
2022-08-21,8.2995,-0.0094,-0.11313
2022-08-18,8.3089,-0.0107,-0.12861
2022-08-17,8.3196,0.0055,0.06615
2022-08-16,8.3141,-0.0243,-0.29142
2022-08-15,8.3384,0.0162,0.19466
2022-08-14,8.3222,0.0024,0.02885
2022-08-11,8.3198,-0.0008,-0.00961
2022-08-10,8.3206,0.0061,0.07337
2022-08-09,8.3145,0.0054,0.06499
2022-08-08,8.3091,-0.0727,-0.86736
2022-08-07,8.3818,0.0138,0.16491
2022-08-04,8.368,-0.6536,-7.24483
2022-08-03,9.0216,0.0015,0.01663
2022-08-02,9.0201,0.0174,0.19328
2022-08-01,9.0027,-0.0247,-0.27361
2022-07-31,9.0274,-0.0047,-0.05204
2022-07-28,9.0321,0.0146,0.16191
2022-07-27,9.0175,0.0137,0.15216
2022-07-26,9.0038,0.0108,0.12009
2022-07-25,8.993,0.0015,0.01668
2022-07-24,8.9915,0.0125,0.13921
2022-07-21,8.979,0.0066,0.07356
2022-07-20,8.9724,0.0218,0.24356
2022-07-19,8.9506,0.0023,0.0257
2022-07-18,8.9483,-0.023,-0.25637
2022-07-17,8.9713,-0.0076,-0.08464
2022-07-14,8.9789,-0.009,-0.10013
2022-07-13,8.9879,-0.0105,-0.11669
2022-07-12,8.9984,-0.0169,-0.18746
2022-07-11,9.0153,-0.0403,-0.44503
2022-07-10,9.0556,-0.0096,-0.1059
2022-07-07,9.0652,0.0014,0.01545
2022-07-06,9.0638,-0.0094,-0.1036
2022-07-05,9.0732,-0.0314,-0.34488
2022-07-04,9.1046,0.0091,0.10005
2022-07-03,9.0955,0.0022,0.02419
2022-06-30,9.0933,0.0162,0.17847
2022-06-29,9.0771,-0.0024,-0.02643
2022-06-28,9.0795,0.0033,0.03636
2022-06-27,9.0762,-0.0308,-0.3382
2022-06-26,9.107,0.0002,0.0022
2022-06-23,9.1068,-0.0184,-0.20164
2022-06-22,9.1252,0.007,0.07677
2022-06-21,9.1182,,
2022-06-20,9.1017,0.0088,0.09678
2022-06-19,9.0929,,
2022-06-16,9.1073,-0.0121,-0.13268
2022-06-15,9.1194,-0.0163,-0.17842
2022-06-14,9.1357,0.014,0.15348
2022-06-13,9.1217,-0.0291,-0.318
2022-06-12,9.1508,-0.0479,-0.52073
2022-06-09,9.1987,-0.0143,-0.15522
2022-06-08,9.213,-0.0005,-0.00543
2022-06-07,9.2135,-0.0046,-0.0499
2022-06-06,9.2181,-0.0032,-0.0347
2022-06-05,9.2213,-0.011,-0.11915
2022-06-01,9.2323,-0.0091,-0.09847
2022-05-31,9.2414,0.0011,0.0119
2022-05-30,9.2403,-0.0068,-0.07354
2022-05-29,9.2471,0.0036,0.03895
2022-05-26,9.2435,0.0037,0.04004
2022-05-25,9.2398,0.0056,0.06064
2022-05-24,9.2342,0.0123,0.13338
2022-05-23,9.2219,0.001,0.01084
2022-05-22,9.2209,0.0112,0.12161
2022-05-19,9.2097,0.0054,0.05867
2022-05-18,9.2043,0.0093,0.10114
2022-05-17,9.195,0.0037,0.04026
2022-05-16,9.1913,-0.0106,-0.11519
2022-05-15,9.2019,0.0149,0.16219
2022-05-12,9.187,-0.0085,-0.09244
2022-05-11,9.1955,-0.0147,-0.15961
2022-05-10,9.2102,-0.0092,-0.09979
2022-05-09,9.2194,-0.0128,-0.13865
2022-05-08,9.2322,0.0045,0.04877
2022-05-05,9.2277,-0.0127,-0.13744
2022-05-04,9.2404,-0.0091,-0.09838
2022-05-03,9.2495,0.0095,0.10281
2022-05-02,9.24,-0.019,-0.20521
2022-04-28,9.259,0.0012,0.01296
2022-04-27,9.2578,-0.007,-0.07555
2022-04-26,9.2648,-0.0246,-0.26482
2022-04-25,9.2894,-0.003,-0.03228
2022-04-24,9.2924,-0.0043,-0.04625
2022-04-21,9.2967,0.0009,0.00968
2022-04-20,9.2958,-0.0145,-0.15574
2022-04-19,9.3103,0.0023,0.02471
2022-04-18,9.308,-0.0238,-0.25504
2022-04-17,9.3318,-0.01,-0.10705
2022-04-14,9.3418,0.0054,0.05784
2022-04-13,9.3364,0.0053,0.0568
