tradeDate,nav,change,changePercent
2022-08-30,8.6,-0.07,-0.80738
2022-08-29,8.67,-0.09,-1.0274
2022-08-28,8.76,-0.03,-0.3413
2022-08-25,8.79,-0.12,-1.3468
2022-08-24,8.91,0.07,0.79186
2022-08-23,8.84,0.03,0.34052
2022-08-22,8.81,0.03,0.34169
2022-08-21,8.78,-0.06,-0.67873
2022-08-18,8.84,-0.08,-0.89686
2022-08-17,8.92,0.03,0.33746
2022-08-16,8.89,-0.07,-0.78125
2022-08-15,8.96,-0.04,-0.44444
2022-08-14,9.0,-0.02,-0.22173
2022-08-11,9.02,0.06,0.66964
2022-08-10,8.96,0.03,0.33595
2022-08-09,8.93,0.08,0.90395
2022-08-08,8.85,-0.01,-0.11287
2022-08-07,8.86,0.04,0.45351
2022-08-04,8.82,0.01,0.11351
2022-08-03,8.81,0.02,0.22753
2022-08-02,8.79,-0.01,-0.11364
2022-08-01,8.8,-0.03,-0.33975
2022-07-31,8.83,-0.03,-0.3386
2022-07-28,8.86,0.1,1.14155
2022-07-27,8.76,0.09,1.03806
2022-07-26,8.67,0.08,0.93132
2022-07-25,8.59,0.0,0.0
2022-07-24,8.59,0.03,0.35047
2022-07-21,8.56,0.02,0.23419
2022-07-20,8.54,0.0,0.0
2022-07-19,8.54,0.0,0.0
2022-07-18,8.54,0.1,1.18483
2022-07-17,8.44,0.06,0.71599
2022-07-14,8.38,0.0,0.0
2022-07-13,8.38,-0.12,-1.41176
2022-07-12,8.5,0.01,0.11779
2022-07-11,8.49,-0.03,-0.35211
2022-07-10,8.52,-0.05,-0.58343
2022-07-07,8.57,0.0,0.0
2022-07-06,8.57,0.1,1.18064
2022-07-05,8.47,-0.03,-0.35294
2022-07-04,8.5,-0.15,-1.7341
2022-07-03,8.65,0.02,0.23175
2022-06-30,8.63,0.05,0.58275
2022-06-29,8.58,-0.09,-1.03806
2022-06-28,8.67,-0.08,-0.91429
2022-06-27,8.75,0.01,0.11442
2022-06-26,8.74,0.04,0.45977
2022-06-23,8.7,0.1,1.16279
2022-06-22,8.6,-0.1,-1.14943
2022-06-21,8.7,,
2022-06-20,8.78,0.06,0.68807
2022-06-19,8.72,0.03,0.34522
2022-06-16,8.69,-0.04,-0.45819
2022-06-15,8.73,-0.14,-1.57835
2022-06-14,8.87,-0.02,-0.22497
2022-06-13,8.89,-0.06,-0.67039
2022-06-12,8.95,-0.23,-2.50545
2022-06-09,9.18,-0.12,-1.29032
2022-06-08,9.3,-0.11,-1.16897
2022-06-07,9.41,-0.05,-0.52854
