tradeDate,nav,change,changePercent
2022-08-31,10.46,-0.11,-1.04068
2022-08-30,10.57,-0.09,-0.84428
2022-08-29,10.66,-0.1,-0.92937
2022-08-28,10.76,-0.04,-0.37037
2022-08-25,10.8,-0.15,-1.36986
2022-08-24,10.95,0.09,0.82873
2022-08-23,10.86,0.03,0.27701
2022-08-22,10.83,0.04,0.37071
2022-08-21,10.79,-0.07,-0.64457
2022-08-18,10.86,-0.11,-1.00273
2022-08-17,10.97,0.05,0.45788
2022-08-16,10.92,-0.09,-0.81744
2022-08-15,11.01,0.03,0.27322
2022-08-14,10.98,-0.04,-0.36298
2022-08-11,11.02,0.08,0.73126
2022-08-10,10.94,0.05,0.45914
2022-08-09,10.89,0.09,0.83333
2022-08-08,10.8,-0.01,-0.09251
2022-08-07,10.81,0.05,0.46468
2022-08-04,10.76,0.01,0.09302
2022-08-03,10.75,0.02,0.18639
2022-08-02,10.73,-0.01,-0.09311
2022-08-01,10.74,-0.04,-0.37106
2022-07-31,10.78,-0.04,-0.36969
2022-07-28,10.82,0.12,1.1215
2022-07-27,10.7,0.12,1.13422
2022-07-26,10.58,0.1,0.9542
2022-07-25,10.48,0.0,0.0
2022-07-24,10.48,0.03,0.28708
2022-07-21,10.45,0.03,0.28791
2022-07-20,10.42,-0.01,-0.09588
2022-07-19,10.43,0.0,0.0
2022-07-18,10.43,0.13,1.26214
2022-07-17,10.3,0.06,0.58594
2022-07-14,10.24,0.09,0.8867
2022-07-13,10.15,-0.15,-1.45631
2022-07-12,10.3,0.01,0.09718
2022-07-11,10.29,-0.04,-0.38722
2022-07-10,10.33,-0.06,-0.57748
2022-07-07,10.39,0.0,0.0
2022-07-06,10.39,0.13,1.26706
2022-07-05,10.26,-0.05,-0.48497
2022-07-04,10.31,-0.17,-1.62214
2022-07-03,10.48,0.01,0.09551
2022-06-30,10.47,0.06,0.57637
2022-06-29,10.41,-0.1,-0.95147
2022-06-28,10.51,-0.1,-0.94251
2022-06-27,10.61,0.01,0.09434
2022-06-26,10.6,0.05,0.47393
2022-06-23,10.55,0.13,1.2476
2022-06-22,10.42,-0.12,-1.13852
2022-06-21,10.54,,
2022-06-20,10.64,0.07,0.66225
2022-06-19,10.57,0.03,0.28463
2022-06-16,10.54,-0.04,-0.37807
2022-06-15,10.58,-0.17,-1.5814
2022-06-14,10.75,0.04,0.37348
2022-06-13,10.71,-0.07,-0.64935
2022-06-12,10.78,-0.28,-2.53165
2022-06-09,11.06,-0.14,-1.25
2022-06-08,11.2,-0.13,-1.1474
2022-06-07,11.33,-0.06,-0.52678
2022-06-06,11.39,0.03,0.26408
2022-06-05,11.36,0.0,0.0
2022-06-01,11.36,0.09,0.79858
2022-05-31,11.27,-0.06,-0.52957
2022-05-30,11.33,-0.07,-0.61404
2022-05-29,11.4,0.03,0.26385
2022-05-26,11.37,0.08,0.70859
2022-05-25,11.29,0.05,0.44484
2022-05-24,11.24,0.04,0.35714
2022-05-23,11.2,-0.02,-0.17825
2022-05-22,11.22,0.09,0.80863
2022-05-19,11.13,0.06,0.54201
2022-05-18,11.07,0.0,0.0
2022-05-17,11.07,-0.08,-0.71749
2022-05-16,11.15,0.11,0.99638
2022-05-15,11.04,0.06,0.54645
2022-05-12,10.98,0.12,1.10497
2022-05-11,10.86,-0.08,-0.73126
2022-05-10,10.94,0.09,0.82949
2022-05-09,10.85,-0.01,-0.09208
2022-05-08,10.86,-0.27,-2.42588
2022-05-05,11.13,-0.09,-0.80214
2022-05-04,11.22,-0.07,-0.62002
2022-05-03,11.29,0.07,0.62389
2022-05-02,11.22,0.0,0.0
2022-04-28,11.22,-0.03,-0.26667
2022-04-27,11.25,0.06,0.53619
2022-04-26,11.19,0.02,0.17905
2022-04-25,11.17,-0.01,-0.08945
2022-04-24,11.18,-0.15,-1.32392
2022-04-21,11.33,-0.14,-1.22058
2022-04-20,11.47,-0.12,-1.03538
